Gene	HD30PBMC0	HD30PBMC1	HD30PBMC3	HD30PBMC7	HD31PBMC0	HD31PBMC1	HD31PBMC3	HD31PBMC7
GAPDH	1857.366787	2058.024717	1744.035055	1721.307331	1508.074676	1560.142519	1771.109855	1712.488078
RPL24	1531.548857	1306.925798	1713.313207	1554.747764	2044.630873	1934.305338	1864.49782	1948.119206
RPS19	1633.229801	1614.176689	1813.748975	1843.063199	1746.906005	1729.671416	1596.138633	1869.733642
FAU	1485.038753	1535.180738	1628.137938	1648.12408	1734.238336	1740.589075	1638.364539	1808.342884
FUS	1676.600864	1533.299684	1713.254137	1341.453347	1600.198607	1635.985987	1817.314756	1809.403324
CORO1A	1540.214552	1863.980616	1510.054808	1699.868312	1433.433145	1356.739036	1537.232377	1588.466252
ACTG1	1621.594933	1735.601798	1656.252378	1616.359447	1356.803278	1411.509792	1584.626076	1477.202004
CTSS	1570.498408	1916.024246	1389.962697	1196.358345	1628.48699	1657.447763	1514.57622	1401.219865
PABPC1	1733.11876	1534.002666	1658.974865	1612.819425	1328.410168	1460.603376	1474.171664	1441.484976
PTMA	1624.954949	1351.032269	1585.168498	1354.434941	1665.892183	1652.743176	1454.14127	1515.847623
RPL34	1333.739919	1199.379853	1555.082702	1497.422348	1602.892831	1728.443125	1537.880333	1626.627092
EEF2	1577.742727	1656.967233	1546.398853	1661.155359	1234.661839	1349.321643	1409.773308	1530.240061
NACA	1461.326303	1291.087043	1434.083022	1541.021584	1483.451578	1560.257315	1497.481767	1506.720273
ARHGDIB	1509.312262	1484.788654	1437.118203	1450.764298	1437.698824	1431.032744	1522.620947	1452.163867
RPS26	1268.924945	1185.423006	1444.399057	1454.65039	1507.643516	1425.996402	1444.658392	1542.631187
RPL28	1305.01378	1480.95913	1375.701168	1442.718023	1425.908519	1380.161943	1304.237856	1412.712544
CYBA	1431.374131	1911.25173	1332.994955	1399.45924	1314.66326	1113.557792	1222.740189	1396.558544
RPS5	1168.612798	1309.655844	1370.791728	1435.170122	1355.79702	1525.343944	1393.277494	1551.570924
GNLY	2047.376953	1993.77409	1760.2727	1877.715227	766.530663	587.760893	766.3809026	994.0996605
IFI30	1548.828724	2053.911712	1351.983446	1270.397216	1211.770022	1148.724967	1080.320723	1125.925184
TYROBP	1430.484113	1870.174871	1292.178368	1188.051713	1257.710352	1090.57498	1125.677174	1223.950043
HNRNPA1	1332.438673	1206.81563	1395.028299	1352.231161	1286.390847	1376.989871	1310.069015	1207.107614
ITGB2	1311.423535	1700.792453	1221.520661	1216.381217	1087.46942	1041.40619	1184.260681	1228.403974
ARHGEF1	1321.271343	1272.83345	1292.118525	1338.312534	1119.075769	1030.627274	1239.934135	1303.610091
LAPTM5	1256.756727	1362.763618	1205.708887	1191.545453	1147.663509	1174.19682	1246.119504	1230.002498
OAZ1	1254.180541	1401.225817	1160.88199	1126.207669	1258.462024	1144.875467	1216.808323	1238.258594
CFL1	1241.179921	1363.311138	1174.088495	1164.346224	1103.813941	1063.403598	1139.984085	1145.771909
S100A6	1133.049988	1318.517301	1099.995798	1054.639152	1209.778917	1156.098214	1118.387056	1129.90896
VIM	1163.35585	1169.805295	1091.539423	1069.926181	1089.042149	1175.896601	1224.590243	1233.13708
NBPF10	1343.0341	1238.7976	1154.07771	1141.737114	1149.842293	1171.699045	1049.65004	956.5981387
RPL32	937.7805217	900.8236271	1074.722802	1064.057865	1154.335078	1293.086411	1196.72934	1223.451722
H3F3A	1112.839273	1047.647772	1078.505812	887.0524096	1285.812149	1257.0351	1107.915105	1065.465216
RPL15	1033.676787	938.9985969	1065.186574	989.0557433	1099.35689	1210.24688	1144.537395	1127.758459
MYL6	1107.763886	1194.605412	1054.928881	1100.248352	1116.295923	1000.284852	996.5315531	963.1739233
DDX39B	1100.499204	1049.910616	1070.772718	1121.780682	950.0568781	993.2925809	1084.8018	1041.178914
UBC	1069.274271	1113.109165	969.076653	1026.100486	1058.281273	1156.702085	1030.975153	957.7873205
EEF1B2	950.0078887	835.3818007	1060.538823	1062.486549	1108.46737	1165.544143	1077.154779	1088.154391
CST3	939.9002716	1297.269601	771.3443543	815.0154378	1143.486136	1041.842968	1108.518211	1147.418447
DDX5	1063.105475	886.1300456	1021.350611	1067.012956	1041.777189	1177.883526	991.436298	1002.644939
ATP5E	919.8709213	984.2936953	998.8629778	968.6381625	1154.970511	1073.404597	1026.712653	986.0322812
DDX17	1072.641275	852.2810278	1029.802414	1088.453099	874.2199905	973.2199813	981.1961472	976.2785454
COTL1	1077.87624	1175.361669	960.3934517	888.8868078	946.9154575	901.6259201	905.8854543	926.3320703
LCP1	988.9443053	1058.764121	900.1540901	877.0920167	945.6271077	976.897334	979.0729821	880.9571857
TNFAIP2	1164.93963	1389.773701	1054.662993	870.4666813	863.2167553	785.7100886	739.3133018	736.4101686
COX7C	880.6382689	863.543664	936.8042279	888.129646	989.4319248	1012.74899	937.4414195	1025.994535
FCER1G	903.4772375	1011.76049	778.6166434	729.3043571	964.5098994	942.0153508	974.9021934	857.4947107
EIF1	870.458106	875.3926212	890.4160821	918.3890823	948.9386217	1004.892717	747.8596801	845.6803829
HLA-DPA1	967.3108629	1192.242212	787.613669	869.8381166	907.7954407	951.0848294	686.1434567	695.1471677
SAT1	949.9826252	994.8922929	726.8102389	717.8139973	1245.079442	1101.142015	672.8950691	640.939075
RPL37	717.2654571	740.9229076	827.9681773	844.048911	955.7952098	1020.569418	931.7939146	972.6905872
PFDN5	828.5933406	849.8693973	870.3030582	892.0949597	934.7027156	924.0672223	870.7524945	819.7087692
NEAT1	794.5131289	736.4927738	745.7589117	807.7606943	925.7424838	939.4064941	910.4072317	914.6733577
SLC25A6	858.5393365	963.1449878	798.4120929	879.1787521	762.6345653	722.4726655	737.2892542	793.0901757
HNRNPH1	805.326155	677.0587644	783.0983376	792.0263883	829.1684471	864.5025615	871.2635855	837.9763138
HLA-DRB1	716.8189994	936.7135108	605.4189996	652.4282785	1016.677075	967.0056712	762.4166672	766.7500743
PTPRC	901.1246806	807.8231889	821.179959	760.0260899	742.6940844	810.3946674	768.121757	724.498208
GNAS	812.240651	830.096001	793.6107809	830.7316362	703.7343881	782.4334084	778.1864777	778.5032287
ARPC3	808.0090732	748.926218	755.7580633	670.3543632	873.4989512	861.3177995	835.1577922	755.7679299
S100A11	809.1760633	888.2551171	684.8952911	640.9625852	841.111095	774.532994	803.6607437	757.1117562
CD37	774.7220555	806.7988637	713.3914898	780.116566	737.6486879	776.0872487	772.4701606	812.0558422
UBB	811.0244735	893.2611636	790.7658007	860.1161861	690.6365729	690.6065818	673.8639305	726.1281239
SH3BGRL3	751.2310094	871.8874188	701.4199062	665.2339088	731.5378759	714.3362441	803.8056114	783.3192784
NOP53	686.9104004	661.9647142	719.3901473	755.0606356	755.5040294	718.3496312	805.7933369	885.5887789
RAC2	807.5397277	898.8604776	785.8718477	800.0086129	626.8246024	610.8317407	712.7106797	737.9526322
EEF1D	741.7889127	750.9478276	742.4738169	835.1428442	743.6633402	682.5109299	705.7628817	772.6905173
IFITM1	678.9761313	814.7798675	825.6936699	757.2149235	712.5245902	734.7221326	695.3090277	671.4500992
ALDOA	773.500276	903.2544074	705.5273889	712.6454844	660.592424	642.638884	730.1033825	728.9508434
RASGRP2	712.2138851	730.6256206	760.9319254	879.1691165	677.5269843	634.3729234	699.2834272	757.4751012
MYL12A	759.9249114	689.4779678	769.9109401	715.0058348	705.7595458	760.8805201	761.7460698	687.2502392
NKG7	1046.655524	1133.615614	924.7164651	938.6340558	434.1280504	364.3427639	465.4986879	535.8423151
ARPC1B	775.7047492	907.8427091	707.8773544	725.6038005	664.7484846	625.9369252	657.852962	676.7385271
BTF3	695.8305733	615.9549359	715.6592936	699.1081471	751.4615582	767.8048327	759.3976647	728.0484016
HSPA8	683.9981205	724.1159982	721.0239729	783.4621325	653.808258	713.2785294	753.4320372	648.7850731
AES	738.0753116	719.8066885	778.3742492	841.000681	586.3915037	610.0849587	665.7569454	740.5078802
ARPC2	786.43772	744.0235886	718.4179429	707.5390061	665.2915733	674.5521202	698.1861709	646.1660359
TMC8	727.9488048	723.1353267	782.5365979	828.9067153	546.0798742	553.0755763	663.5836957	691.3818943
TPM3	721.5982293	698.4134437	664.0089589	623.9980518	705.6012588	722.1957823	681.1443634	628.0188782
LTB	523.0757641	568.1719918	651.9571819	680.4161948	800.5184723	703.1893897	713.709566	786.9924037
LSP1	680.662681	708.8593607	626.0783058	671.5544582	668.6243885	612.16091	699.551221	732.9001291
SRGN	677.8991397	628.5671819	632.1037412	545.7975074	894.7698202	850.9944253	579.7537405	578.9968487
SELL	634.5902965	543.3835089	719.1295802	673.4825542	664.8783895	698.2574291	748.3511789	671.1820321
SRSF5	644.9892509	527.4217007	648.3305301	663.4157812	707.4011141	741.7218095	697.3492467	707.6511948
EVL	673.1415936	647.4707787	690.6373714	735.2170632	566.5404706	598.935371	655.4960108	676.7407144
FGR	693.8069871	832.8583851	632.0909507	624.7838209	642.1250074	588.812646	617.370072	589.1433542
LST1	746.7440428	811.8313091	613.3567529	604.1344794	633.4868045	576.2941809	600.3261966	601.5141191
CD53	655.2211044	701.4158761	638.6423425	650.4654646	633.1512503	638.7445289	642.76889	606.0690504
CALM1	689.8659632	626.2809197	678.8273971	613.0235975	648.4499175	668.9173112	618.7915831	590.9727893
HLA-F	668.4696052	792.4462069	638.8128785	684.0611565	574.3391801	563.9079907	577.0253671	603.8609285
GABARAP	676.8275716	717.3267827	611.9860409	535.2388347	667.0472802	650.9415017	605.5634688	611.3839709
FLNA	702.7765861	828.7709884	650.0214776	673.9260881	518.1280586	498.1371247	558.8225966	581.4429384
AIF1	671.4532754	653.011323	501.8530002	452.1855726	760.0345945	692.4862145	669.0875012	607.9929909
CD48	610.886608	617.2505561	622.87335	598.0096904	630.4272419	687.6672753	620.0087676	613.8797647
GNAI2	700.7415374	777.7077727	621.7041664	594.5948083	565.8087407	534.4858936	586.480857	611.2208152
MSN	684.8228928	722.5523769	627.4725685	623.3855718	563.6394671	554.7231753	588.46674	587.5871916
OGT	686.7903377	527.348175	652.9936785	679.4129231	521.6565184	600.8012484	614.9910939	609.5610365
TSC22D3	710.6049454	576.7344632	573.5661256	783.7688814	570.9860061	614.1358137	467.1615639	582.4004664
YBX1	608.9486165	621.8166384	561.8994187	569.819232	616.4944197	607.934983	632.8838871	620.9548067
ANXA1	645.4313095	556.0837033	586.7746709	528.3214959	623.9216655	689.7363379	572.7934886	625.8512328
DEFA1	280.5430161	409.7965436	709.8106974	549.5673265	755.9118289	815.883889	530.7626518	740.9218485
GRN	653.802719	857.1838292	563.3386668	563.8988568	502.5060135	481.8076077	583.1948398	579.587632
LENG8	612.0602036	618.2219117	603.9181951	652.8510049	508.5023029	538.6066161	588.8838189	633.1237068
NPM1	581.219438	462.9230269	613.033113	579.8970765	598.9154718	653.9609951	652.9884204	591.638287
TAGLN2	623.2477675	589.7407184	627.953801	615.0772325	609.7532214	589.4284843	516.21549	559.8747352
FXYD5	584.3299938	579.8781571	542.0072361	599.6659818	569.2330089	570.6183923	632.662847	639.4614012
IFITM2	652.1643322	845.7637518	585.6955126	634.0721542	588.3950973	470.5345617	470.6787607	446.9833986
ENO1	595.9567724	691.1519274	572.6572568	571.8791058	530.7060681	524.4166495	600.2982943	591.1428084
RPL36AL	569.3022446	526.4222681	581.1754354	598.8366807	624.879446	606.5852644	591.9564167	576.1024213
GMFG	585.1594027	565.7383297	563.5193541	554.174349	632.3286529	575.9221326	584.7727297	567.5723237
TMA7	568.5721516	477.3558543	589.5002485	517.7424083	658.0719914	628.8883138	617.865543	562.7665447
HLA-DPB1	657.0763521	839.2391624	525.4922515	624.2291667	552.3622583	537.2838687	414.4313619	421.8785703
GPX1	546.6504696	688.211331	541.1275399	512.7488908	539.2543898	554.7269968	576.6785958	575.0652899
TYMP	416.5759467	876.2517219	408.8659541	334.0253566	778.1641123	642.2130606	526.6723231	524.752304
COX4I1	563.4427216	608.3807056	562.6775664	567.4253849	544.0454244	526.6217102	549.8400963	580.3996289
PGGHG	553.9917293	538.0971286	597.1750039	646.9130339	531.8259186	508.8095927	551.6667849	570.2791739
ITM2B	516.4180106	485.0519623	516.6372987	432.4149805	655.5931246	679.2412248	613.0358398	587.2590886
TMC6	576.1086711	586.011969	604.5128081	616.2141074	483.9913005	481.312714	538.3503158	571.9123998
SARAF	544.6936231	450.0453772	564.4293539	546.2780468	542.8936467	605.0179679	587.8096013	577.2924115
MCL1	590.3500168	527.5334697	553.7131595	544.4832652	587.8791465	641.8924323	473.5249904	485.0388966
RHOA	572.9700932	586.1605265	538.1183723	508.0618381	552.1605204	564.0758415	536.6811996	502.5747599
FMNL1	584.5310591	657.166694	533.6605692	537.3082747	495.2357704	463.5017804	500.0164622	536.143658
CD14	558.8700258	792.3300202	476.6151116	444.8331222	496.1150377	474.199001	519.4828298	535.4688361
GSTK1	520.3963341	553.1707023	508.3122854	505.9365144	536.2254831	534.4278756	536.4464905	538.49867
NBPF14	622.9134629	583.6157902	561.0860768	575.8088558	485.3398735	490.6635599	470.7745837	433.807253
ARRB2	565.826647	605.3472951	481.5103031	514.2201654	529.6543181	478.5271575	511.4281022	515.1024092
LDHB	489.2016241	420.6878547	556.8565173	567.4527548	478.1557298	562.7091229	578.2633553	539.8987393
TCIRG1	582.4848284	722.4088274	520.968968	535.4187207	477.7820265	431.104447	438.2750155	470.2758067
MNDA	540.8320913	572.3788306	475.7297321	405.6816334	586.1047375	526.4264564	596.2113222	465.3501887
RPL22	485.460349	393.3940444	530.2885569	509.1594431	562.9841438	571.4839169	523.6824939	535.971148
TOMM7	453.5222304	436.057764	513.0374421	552.7537464	588.5635754	552.5217947	487.8876451	523.8909869
CTSD	538.9477558	643.9601086	481.2186453	488.8706707	456.8337166	426.8987191	536.4241762	523.2510696
IL7R	529.5181981	328.7363751	520.429302	547.7075802	465.8471781	536.9525102	587.1820904	579.9898607
ARHGAP45	496.2382495	564.6303951	529.687705	564.6505434	473.0864354	451.055997	493.7197395	508.4891432
GPSM3	519.7355767	549.956964	496.4698718	544.9216694	468.6224604	465.2807819	503.7657091	532.6986341
SNORA67	508.1899775	578.7773524	496.1158011	470.8750001	556.1768974	620.3218038	412.2351461	430.4363007
PKM	502.7151859	593.2889073	459.6914935	496.3820608	470.8151324	455.8994767	546.5825354	529.9167694
IL32	441.5563363	421.9684668	498.3087851	458.4655083	522.0541183	531.4652736	567.3965324	610.4539313
SPI1	500.0080678	718.2277569	430.4166817	419.8147576	501.8637938	455.111808	512.7461298	501.8950513
ZAP70	540.4875743	603.7138678	547.4953622	621.7655025	411.0602575	373.498433	444.5908863	489.8904355
DAZAP2	508.2865816	511.2668731	484.9518239	463.1736379	497.611842	518.9149453	510.1105302	494.5539201
CD3E	409.6589337	373.0626535	477.2157783	492.4797974	492.1650965	516.4118011	604.8031469	618.3561607
SERPINA1	464.4706297	656.3833566	385.1971929	372.3710117	538.5528386	544.3008548	511.5416902	488.6320439
SF3B1	514.8271262	423.7689572	499.0853934	503.4604882	464.8660581	512.9549452	510.2216098	500.1600377
LGALS1	531.6178531	568.6465507	491.2959287	502.8928595	453.5513388	389.8515117	473.2758652	494.5536874
TKT	545.303281	598.5562891	490.8154231	454.8963333	449.995819	429.9517803	462.7636552	464.1819091
HCLS1	523.1312628	526.0378318	482.6821317	483.5950372	472.9873043	456.7954769	473.2107799	471.1904463
ARHGAP4	516.3932338	547.6383309	490.2454998	520.8906398	453.7828843	392.6658151	443.8348193	479.2888627
EIF3E	489.7668633	366.8140179	506.7652835	458.1037295	480.5565548	540.3355344	513.1121428	482.4031703
CAP1	497.7257736	521.663955	475.8501015	467.6654734	457.6017165	464.3610001	495.8863649	453.1057411
SMAP2	540.5302268	484.7029781	466.0723585	497.5878977	441.2817726	471.9136682	473.088577	427.5588253
PTPRCAP	405.8123861	543.0547564	453.6398081	546.3058096	438.4248314	416.4769299	468.0641318	516.1700938
HCST	519.3453362	587.0397215	487.4124821	537.5807032	396.3973171	382.1881223	410.1678602	462.0982453
CDC42SE1	502.5358122	421.263905	499.2607562	486.7435563	441.5351967	457.1634737	483.1408904	483.9682917
9-Sep	526.5636864	541.4379926	504.8945711	524.1337949	382.6849939	387.8323537	418.9509711	469.8073372
IL2RG	444.0294327	439.3917125	457.5768821	476.4406059	445.3138192	464.2064129	507.565356	508.1620523
HNRNPA2B1	499.8450136	431.0018773	472.8382717	465.1147199	466.1353581	477.3800636	471.4248295	440.5987692
CTSZ	447.1003548	593.0472479	410.5623729	432.4312592	478.4238928	439.0635836	466.07664	451.926818
UCP2	507.289286	490.7934835	467.008055	447.160757	412.5694962	441.7090905	454.2330488	481.6713609
CIRBP	500.8204412	451.8038359	494.2692251	488.9392515	474.6275153	413.8150886	413.6190652	459.2905209
GAS5	398.2620764	345.611668	468.4582648	468.3141374	485.9666228	520.6671276	493.8816643	515.3157693
KLF2	332.7903308	393.1262281	340.0718559	388.479818	565.143939	538.7257089	529.3560329	591.294058
EIF3L	456.0258582	464.2255124	467.3253401	491.3835638	402.8815839	471.3214429	449.3288556	459.8916452
EIF4A1	478.5104574	513.3590189	441.1459559	453.3757409	442.6201958	465.8940749	440.2781039	426.9533577
PCBP1	461.7803943	522.8882942	448.1474224	457.6383019	414.7177218	422.5529988	449.7640663	476.5394336
PSME1	410.1403315	551.5936077	458.5686021	416.6666949	503.8475942	497.3191205	401.9539767	412.0064497
TCF7	404.5022283	325.075898	490.519413	471.3308037	419.0027566	483.6974275	530.6668172	526.8172822
ARGLU1	461.2496282	363.4204435	461.6694561	447.4343639	433.217326	481.0894547	481.5064552	483.9589838
CRIP1	450.1904564	424.954919	438.1893624	481.8714994	446.5259191	451.3244229	442.6713889	475.297994
