"gene_symbol","B_cells","NK_cells","T_cells_CD4.","Monocytes"
"ACCN4",31.843449,28.751044,31.449664,35.034561
"ACCN5",13.351716,13.9129,12.974404,13.366336
"ACCS",61.230625,46.662561,52.881984,49.056016
"ACD",58.583716,62.0944,66.308449,48.399849
"ACE",22.534009,20.268004,23.367556,23.892544
"ACE2",14.776336,15.202201,14.622976,14.760964
"ACER1",23.068809,22.705225,24.750625,25.140196
"ACER3",32.798529,36.312676,32.592681,50.537881
"ACHE",25.6036,23.648769,24.393721,26.584336
"ACIN1",61.795321,52.388644,57.078025,56.896849
"ACLY",70.3921,74.287161,72.233001,72.097081
"ACMSD",11.669056,11.417641,11.390625,11.881809
"ACN9",28.121809,37.234404,37.871716,23.532201
"ACO1",38.750625,48.846121,45.319824,49.252324
"ACO2",51.008164,48.469444,49.956624,52.664049
"ACOT11",25.918281,24.960016,26.122321,26.956864
"ACOT12",11.256025,11.135569,10.837264,11.282881
"ACOT13",51.108201,56.055169,55.279225,52.664049
"ACOT4",23.1361,38.477209,29.203216,21.288996
"ACOT6",14.205361,14.615329,13.527684,14.318656
"ACOT7",36.857041,51.222649,44.3556,35.093776
"ACOT8",36.180225,41.912676,37.810201,38.254225
"ACOT9",74.252689,71.690089,65.383396,91.087936
"ACOX1",27.888961,30.151081,29.800681,36.929929
"ACOX2",21.631801,21.3444,23.068809,27.206656
"ACOX3",36.990724,34.480384,39.112516,39.200121
