Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.01549	0	0.10253	0	0.37265	0	0.012	0	0.00702	0.49031
V2	0.6681	0	0	0	0.01135	0.27851	0.04204	0	0	0
V3	0.10704	0	0.0987	0	0.50043	0.0116	0.05448	0.21588	0.00244	0.00944
V4	0.03052	0.07401	0.02863	0.01375	0.04418	0.06511	0.01507	0.02142	0.60183	0.10547
V5	0	0.11951	0.09277	0.08666	0.16228	0.06633	0.01502	0	0.0014	0.45604
V6	0.0166	0	0.20562	0	0.66831	0.01536	0.00363	0.09048	0	0
V7	0.01332	0.39018	0.03252	0	0.42205	0.00198	0.03381	0.10615	0	0
V8	0.00829	0.41851	0.06772	0	0.11462	0.00035	0	0.38454	0	0.00597
V9	0.00013	0.00958	0.04479	0.14049	0.00688	0.02192	0.10589	0.64129	0.02362	0.0054
V10	0.01611	0	0.00429	0.0024	0.73535	0.04432	0.006	0.19154	0	0
V11	0.01854	0.42113	0.02645	0	0.11292	0.0223	6e-04	0.35819	0.02762	0.01224
V12	0	0.03081	0.15175	0.58496	0.05141	0.00722	0.06575	0.00189	0.00936	0.09685
V13	0.10375	0.05638	0.11973	0	0.01574	0.19316	0.31308	0.01765	0.17337	0.00715
V14	0.07621	0.40429	0.18839	0.02971	0.13334	0.0573	0.08926	0.02099	0	5e-04
V15	0.20263	0.00929	0.06667	0.66783	0	0.01538	0.02498	0.00032	0.01249	0.00042
V16	0	0.04395	0.16254	0.61214	0.02195	0.03481	0.00951	0	0.109	0.00609
V17	0.02422	0.13279	0.05909	0	0.18522	0.08085	0.03331	0.00759	0.01594	0.46099
V18	0.05094	0.07823	0.08209	0.37537	0.0814	0.00061	0.00629	0	0.0056	0.31946
V19	0	0.00327	0.07696	0.08535	0.1154	0.08597	0.01357	0.0075	0.01151	0.60046
V20	0.00878	0.28282	0.02348	0	0.04998	0.0793	0.38282	0.07968	0.0249	0.06824
V21	0.10327	0.37258	0.02261	0	0.09725	0.32493	0.02798	0.04425	0.00084	0.00627
V22	0.0015	0.00131	0.03552	0.00911	0.0782	0	0.00276	0.4148	0.05161	0.40518
V23	0.24905	0.00934	0.6158	0	0.02956	0.00467	0.01249	0.00846	0	0.07062
V24	0.03449	0.51637	0.07412	0	0.14178	0	0.04541	0.11023	0.0761	0.00149
