mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V117	0.0013	0.20671	0.66512	0.10642	0.02045
V118	0	0.09905	0.00999	0.85286	0.03811
V119	0.22991	0.15256	0.34447	0.25773	0.01533
V120	0	0.18928	0.655	0.13094	0.02478
V121	0.1443	0.55235	0.09647	0.13715	0.06973
V122	0	0.35729	0.12681	0.34397	0.17192
V123	0.36708	0.15171	0.08132	0.26772	0.13217
V124	0.14087	0.20737	0.07305	0.33429	0.24443
V125	0	0.41812	0.48855	0.07532	0.01801
V126	0.0905	0.26106	0.2146	0.22695	0.20689
V127	0.20099	0.17002	0.54555	0.07266	0.01078
V128	0.15687	0.57718	0.11007	0.11908	0.0368
V129	0.17608	0.17605	0.23738	0.25542	0.15507
V130	0	0.41686	0.10283	0.3424	0.13791
V131	0	0.1188	0.20465	0.66001	0.01654
V132	0.25682	0.13714	0.00629	0.41608	0.18366
V133	0	0.20309	0.4472	0.16958	0.18014
V134	0.02139	0.21361	0.64083	0.06471	0.05946
V135	0	0.24598	0.59462	0.08088	0.07852
V136	0.86534	0.09766	0.00264	0.01897	0.01539
V137	0.78427	0.11712	0.00753	0.05889	0.03219
V138	0.16875	0.22977	0.09189	0.26077	0.24881
V139	0.06693	0.11629	0.15128	0.64025	0.02525
V140	0	0.17974	0.12098	0.21689	0.4824
V141	0	0.28962	0.55353	0.14258	0.01426
V142	0.13202	0.16649	0.28094	0.22467	0.19589
V143	0	0.26937	0.41579	0.21242	0.10242
V144	0.38886	0.24164	0.09653	0.20083	0.07214
V145	0	0.20793	0.75045	0.031	0.01062
V146	0	0.3283	0.04882	0.42412	0.19877
V147	0.04309	0.22036	0.5634	0.14406	0.02909
V148	0.11184	0.58599	0.11256	0.15293	0.03668
V149	0	0.09093	0.00837	0.84789	0.05281
V150	0.08595	0.28502	0.51108	0.06043	0.05752
V151	0.32223	0.11921	0.02333	0.44274	0.09249
V152	0	0.10618	0.10601	0.72326	0.06456
V153	0.10457	0.26447	0.41048	0.12716	0.09332
V154	0.06936	0.48051	0.09793	0.17873	0.17348
V155	0	0.11611	0.12818	0.72957	0.02613
V156	0.04122	0.19165	0.33392	0.24106	0.19215
V157	0.03838	0.18185	0.15356	0.37431	0.2519
V158	0.12083	0.17713	0.373	0.14341	0.18562
V159	0.06461	0.2323	0.05102	0.60754	0.04453
V160	0.34581	0.22742	0.10802	0.15473	0.16401
V161	0.13626	0.18559	0.05019	0.20405	0.42392
V162	0	0.21186	0.77842	0.00973	0
V163	0	0.18037	0	0.27143	0.5482
V164	0.81573	0.12734	0.01715	0.02954	0.01025
V165	0.49629	0.2355	0.1068	0.11554	0.04588
V166	0.00832	0.13241	0.21376	0.57852	0.06699
V167	0.00045	0.5062	0.09788	0.26665	0.12882
V168	0	0.21186	0.77842	0.00973	0
V169	0.01551	0.52966	0.23449	0.18737	0.03296
V170	0.17361	0.34023	0.10621	0.28718	0.09276
V171	0.21517	0.19013	0.32699	0.22182	0.04589
V172	0.11473	0.2874	0.08979	0.194	0.31407
V173	0.13979	0.18634	0.10441	0.44856	0.1209
V174	0.13332	0.16069	0.3002	0.26863	0.13716
V175	0.02502	0.24195	0.12334	0.31302	0.29667
V176	0.27191	0.10793	0.02051	0.57406	0.02559
V177	0.12414	0.18176	0.47585	0.20165	0.01661
V178	0.1936	0.18112	0.3955	0.16564	0.06414
V179	0.03301	0.18285	0	0.24458	0.53956
V180	0	0.19373	0.2836	0.16896	0.35371
V181	0.01396	0.32079	0.02386	0.2506	0.39078
V182	0.44961	0.23409	0.03979	0.22949	0.04702
V183	0.03337	0.68089	0.12316	0.1303	0.03229
V184	0.22358	0.14051	0.26226	0.34099	0.03267
V185	0.05537	0.4113	0.08461	0.27524	0.17347
V186	0.07828	0.24374	0.05073	0.37092	0.25633
V187	0.04105	0.51514	0.0932	0.31959	0.03101
V188	0.71507	0.11507	0.03872	0.11486	0.01628
V189	0.3487	0.24014	0.07259	0.31015	0.02841
V190	0.30839	0.18736	0.19756	0.12803	0.17866
V191	0.14876	0.23945	0.04191	0.47465	0.09524
V192	0.22911	0.23729	0.14307	0.28984	0.1007
V193	0.02153	0.29043	0.45754	0.1243	0.1062
V194	0.17867	0.1864	0.08648	0.24992	0.29852
V195	0.46967	0.22296	0.23615	0.05415	0.01707
V196	0	0.16598	0.03416	0.26209	0.53777
V197	0.0331	0.65595	0.11835	0.16064	0.03195
V198	0.1576	0.26311	0.06588	0.31535	0.19807
V199	0.66206	0.12278	0.19892	0.01076	0.00548
V200	0.64458	0.11162	0.02954	0.08817	0.12609
V201	0	0.1119	0.02512	0.72432	0.13865
V202	0.81587	0.1311	0.00404	0.03278	0.0162
V203	0.42217	0.25966	0.06122	0.15225	0.1047
V204	0.24649	0.20172	0.0386	0.17848	0.3347
V205	0.05324	0.19447	0.10132	0.24965	0.40131
V206	0.00246	0.15837	0.02123	0.77016	0.04778
V207	0	0.10338	0.01247	0.85295	0.0312
V208	0.09688	0.28356	0.42867	0.12024	0.07065
V209	0.08907	0.18892	0.08241	0.22236	0.41725
V210	0	0.20527	0.77058	0.0196	0.00455
V211	0.0886	0.19167	0.17723	0.19635	0.34616
V212	0.02202	0.57826	0.16933	0.16614	0.06426
V213	0.04559	0.15507	0.05207	0.39279	0.35446
V214	0	0.45759	0.41163	0.09962	0.03117
V215	0.17175	0.27111	0.15114	0.20599	0.20001
V216	0.00195	0.20891	0.2781	0.19141	0.31964
V217	0	0.09168	0.02773	0.80663	0.07395
V218	0.0261	0.24651	0.27294	0.38375	0.0707
V219	0.07269	0.2943	0.36304	0.24891	0.02106
V220	0.14554	0.55758	0.15033	0.11725	0.0293
V221	0	0.22267	0.41594	0.13023	0.23115
V222	0	0.17002	0	0.26006	0.56993
V223	0.40404	0.13766	0.28344	0.15267	0.0222
V224	0.00095	0.45985	0.09055	0.23639	0.21226
