cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V146	0.18325	0.00669	0.2028	0.60726
V147	0.93826	0.06174	0	0
V148	0.13806	0.09236	0.64315	0.12643
V149	0.29909	0.54196	0.15895	0
V150	0.07875	0.26651	0.60092	0.05382
V151	0.26947	0.66894	0	0.06159
V152	0.27915	0.47899	0.18766	0.0542
V153	0.15609	0.79273	0	0.05118
V154	0.27696	0.48133	0.22685	0.01486
V155	0.51776	0.17434	0.25211	0.05578
V156	0.00667	0.16584	0.74079	0.0867
V157	0.36479	0.18758	0.32507	0.12256
V158	0.13072	0	0.20822	0.66107
V159	0.90636	0.09364	0	0
V160	0.78642	0.04313	0.05659	0.11386
V161	0.37619	0.0075	0.14924	0.46707
V162	0.14716	0.36713	0.1731	0.31261
V163	0.14404	0.54515	0.18672	0.12409
V164	0.41817	0.35246	0.10426	0.12511
V165	0.09862	0.34089	0.10551	0.45498
V166	0.10285	0.12332	0.24031	0.53352
V167	0.52868	0.00937	0.0783	0.38365
V168	0.34331	0.60944	0.02215	0.0251
V169	0.33374	0.07549	0.15307	0.4377
V170	0.13118	0.03736	0.63777	0.1937
V171	0.12617	0.26465	0.5791	0.03008
V172	0.76357	0.03026	0.20617	0
V173	0.12971	0.18816	0.18323	0.4989
V174	0.09994	0.21173	0.22642	0.46191
V175	0.03564	0.01598	0.85731	0.09107
V176	0.00988	0.86749	0.12264	0
V177	0.01613	0.98387	0	0
V178	0.04619	0.8465	0	0.10731
V179	0.22453	0.02275	0.49794	0.25478
V180	0.03589	0.93524	0.02887	0
V181	0.1784	0.15872	0.56803	0.09486
V182	0.32812	0.20414	0.43095	0.03678
V183	0.21055	0.78945	0	0
V184	0.96127	0.03873	0	0
V185	0.60358	0.39642	0	0
V186	0.15214	0.51886	0.25738	0.07163
V187	0.95127	0.04873	0	0
V188	0.16361	0.30223	0.09736	0.43681
V189	0.87991	0.06576	0	0.05433
V190	0.70039	0.03902	0.26	6e-04
V191	0.18896	0.23061	0.55115	0.02928
V192	0.37374	0.51219	0.02464	0.08943
V193	0.6609	0.0622	0.20907	0.06784
V194	0.05422	0.94578	0	0
V195	0	0.01744	0.9728	0.00976
V196	0.13065	0.08811	0.17514	0.6061
V197	0.56324	0.07976	0.06912	0.28788
V198	0.07427	0.53878	0.3522	0.03476
V199	0.27625	0.02745	0.32057	0.37573
V200	0.20087	0.63342	0.02295	0.14276
V201	0.13514	0.60477	0.18354	0.07655
V202	0	0.02243	0.86418	0.11338
V203	0.18315	0.4531	0.3519	0.01184
V204	0.06176	0.64412	0.0446	0.24953
V205	0	0.04915	0.9356	0.01524
V206	0	0.10737	0.88244	0.01019
V207	0.24355	0.24697	0.15607	0.35341
V208	0.24596	0.08139	0.65621	0.01645
V209	0.36989	0.51133	0.03813	0.08064
V210	0.1207	0.81906	0.04449	0.01575
V211	0.57938	0.03588	0.08475	0.29998
V212	0.54071	0.05823	0.38733	0.01372
V213	0.72618	0.0616	0.0993	0.11292
V214	0.41556	0.20505	0.19946	0.17994
V215	0.43987	0.13491	0.08813	0.33709
V216	0.15704	0	0.20238	0.64058
V217	0.06992	0.54535	0.26196	0.12278
V218	0.14517	0.50497	0.20072	0.14914
V219	0.1725	0.70834	0	0.11915
V220	0.03721	0.88944	0	0.07335
V221	0.88077	0.04879	0	0.07044
V222	0.36749	0.16754	0.36495	0.10002
V223	0	0.14586	0.79624	0.05791
V224	0.95343	0.04657	0	0
V225	0.07299	0.92701	0	0
V226	0.32012	0.09914	0.56762	0.01311
V227	0.84059	0.03085	0.12856	0
V228	0.83687	0.11301	0.01503	0.03509
V229	0	0.01782	0.96135	0.02083
V230	0.1323	0.0209	0.20551	0.64129
V231	0.08135	0.34491	0.232	0.34174
V232	0.10216	0.74593	0	0.15191
V233	0.62511	0.12015	0.17672	0.07801
V234	0.05225	0.94775	0	0
V235	0.40999	0.06661	0.49943	0.02397
V236	0.00309	0.08684	0.84938	0.0607
V237	0.30965	0.0083	0.17169	0.51036
V238	0.15794	0.58593	0.23121	0.02492
V239	0.15274	0.49104	0.07184	0.28438
V240	0.52231	0.05862	0.38896	0.03011
V241	0	0.01169	0.93818	0.05013
V242	0.16617	0.80163	0.0322	0
V243	0.24819	0.05857	0.64027	0.05297
V244	0.20401	0.01833	0.7175	0.06016
V245	0.65809	0.32449	0	0.01742
V246	0.01011	0.1765	0.78905	0.02434
V247	0.12452	0.04804	0.8217	0.00574
V248	0.14137	0.0342	0.22446	0.59997
V249	0	0.03485	0.91517	0.04998
V250	0.81257	0.03233	0.1551	0
V251	0.9356	0.0644	0	0
V252	0.01041	0.88437	0.10522	0
V253	0.46346	0.10543	0.21466	0.21645
V254	0.0168	0.9832	0	0
V255	0.07044	0.92956	0	0
V256	0.18343	0.24464	0.51674	0.05519
V257	0.49312	0.13343	0.24502	0.12843
V258	0.19993	0.30073	0.4262	0.07315
V259	0.00293	0.32561	0.64115	0.03032
V260	0	0.28906	0.70573	0.0052
V261	0.6806	0.06151	0.17656	0.08133
V262	0.22887	0.07032	0.15872	0.5421
V263	0.02962	0.97038	0	0
V264	0.2158	0.05902	0.52043	0.20474
V265	0.12135	0	0.33721	0.54144
V266	0.66687	0.33313	0	0
V267	0.02619	0.22223	0.43235	0.31923
V268	0.5001	0.04821	0.20547	0.24622
V269	0	0.59013	0.37918	0.0307
V270	0.69336	0.05593	0.2057	0.04501
V271	0.85523	0.10962	0	0.03515
V272	0.0914	0.86416	0	0.04444
V273	0.18014	0.01889	0.20517	0.5958
V274	0.77189	0.026	0.14835	0.05377
V275	0	0.01771	0.97454	0.00775
V276	0.57101	0.36094	0	0.06804
V277	0.10154	0.2604	0.29194	0.34612
V278	0.08892	0.07043	0.47103	0.36963
V279	0.76269	0.09371	0.07484	0.06875
V280	0.13072	0	0.20822	0.66107
V281	0.6332	0.06296	0.15364	0.15021
V282	0.01188	0.08585	0.85293	0.04934
V283	0.27353	0.62585	0.02755	0.07307
V284	0.03938	0.95689	0.00373	0
V285	0	0.0375	0.95487	0.00763
