Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V124	0	0.03441	0.29196	0.08625	0.58738	0
V125	0	0.2074	0.77208	0.00115	0	0.01937
V126	0	0.28263	0.01504	0	0	0.70233
V127	0	0.07302	0.88569	0.04129	0	0
V128	0.36256	0.32909	0.09516	0.21319	0	0
V129	0	0.06229	0.92222	0.01549	0	0
V130	0.53827	0.20595	0	0.25579	0	0
V131	0	0.05409	0	0.11559	0.7505	0.07981
V132	0	0.5201	0.4799	0	0	0
V133	0	0.25782	0.66951	0.07268	0	0
V134	0.18277	0.73113	0	0.05605	0.03005	0
V135	0	0.07986	0.82407	0	0	0.09607
V136	0.05882	0.81827	0.07092	0.05198	0	0
V137	0	0.20942	0.66486	0.04277	0.08295	0
V138	0	0.04628	0	0.53505	0	0.41867
V139	0	0.08165	0.14057	0.06632	0.42189	0.28957
V140	0.64464	0.29229	0	0.06307	0	0
V141	0.2433	0.34227	0.10749	0.30695	0	0
V142	0.08742	0.80682	0	0.06637	0	0.03939
V143	0.02014	0.13767	0.74631	0.09588	0	0
V144	0	0.19912	0	0.12591	0	0.67497
V145	0	0.02283	0	0.97717	0	0
V146	0.1135	0.08261	0.01536	0.09574	0.69279	0
V147	0.47519	0.14301	0.08112	0.01694	0	0.28375
V148	0	0.20176	0.79824	0	0	0
V149	0	0.53847	0	0	0	0.46153
V150	0	0.02139	0	0.97861	0	0
V151	0	0.4419	0	0	0	0.5581
V152	0.01585	0.30711	0.54367	0.06659	0.04292	0.02385
V153	0	0.06888	0.69576	0.23536	0	0
V154	0.37552	0.26599	0	0	0	0.35849
V155	0.01416	0.44518	0.06648	0.0582	0.41366	0.00233
V156	0	0.5213	0	0.0577	0.421	0
V157	0	0.13077	0	0.32941	0	0.53983
V158	0	0.09933	0.90067	0	0	0
V159	0.11615	0.311	0.38245	0.1904	0	0
V160	0	0.05659	0.92195	0	0	0.02146
V161	0	0.54101	0	0.45596	0.00303	0
V162	0	0.62334	0	0.21146	0.1652	0
V163	0	0.05215	0.94785	0	0	0
V164	0	0.39492	0.45382	0.15126	0	0
V165	0	0.07776	0	0.11588	0.76932	0.03703
V166	0	0.04138	0	0.24697	0.4179	0.29374
V167	0	0.03554	0.43667	0.52779	0	0
V168	0.68536	0.11223	0	0.20241	0	0
V169	0	0.06393	0.77065	0.16541	0	0
V170	0.45459	0.12415	0.06939	0.35187	0	0
V171	0	0.54049	0	0	0	0.45951
V172	0.0035	0.14518	0.62016	0.14555	0	0.08562
V173	0	0.06279	0.85331	0	0	0.0839
V174	0.65346	0.18666	0	0.04076	0.11912	0
V175	0.02179	0.77478	0.14675	0.05668	0	0
V176	0	0.03618	0.96382	0	0	0
V177	0.04306	0.14886	0.38838	0.05828	0.10135	0.26006
V178	0	0.07556	0	0.09429	0.83015	0
V179	0	0.04507	0	0.82097	0.02729	0.10667
V180	0.25272	0.09109	0.1641	0.41538	0	0.07671
