Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.02683	0.01898	0	0	0.10703	0.00287	0	0.00194	0	0.84236
V2	0.52221	0.03492	0.14485	0.00256	0.04211	0.19518	0.05403	0.00413	0	0
V3	0.09721	0.04414	0.08814	0.00065	0.49905	0.01011	0.10904	0.12102	0	0.03065
V4	0.02715	0.1206	0	0	0.09051	0.09365	0.02072	0.01865	0.28702	0.3417
V5	0.02177	0.12948	0.01096	0.02453	0	0.05837	0.00809	0.00061	0	0.74619
V6	0	0.04395	0.14607	0.01588	0.70049	0.02921	0.00331	0.05354	0	0.00756
V7	0	0.5027	0	0	0.35761	0.00788	0.06872	0.05807	0	0.00501
V8	0	0.5908	0.01432	0	0.09234	0.01636	0.03446	0.2224	0.01271	0.0166
V9	0.0159	0.01328	0.07064	0.03017	0.0291	0.00853	0.3157	0.45894	0.02746	0.03027
V10	0	0.04371	0	0	0.7553	0.06024	0.02526	0.11548	0	0
V11	0	0.58458	0	0	0.09129	0.03783	0.03635	0.20446	0.01705	0.02844
V12	0.0485	0.05764	0.2398	0.26851	0.0043	0	0.11458	0	0.03802	0.22864
V13	0.09604	0.02005	0.12762	0.00391	0.05447	0.10501	0.51292	0.006	0.0265	0.04748
V14	0.06295	0.4612	0.14102	0.03226	0.1009	0.03878	0.14253	0.00857	0.00078	0.01101
V15	0.3142	0.04828	0.27521	0.31363	0	0.01613	0.03254	0	0	0
V16	0.05603	0.09977	0.30607	0.32704	0.03209	0.0481	0.00331	0	0.10653	0.02107
V17	0.02469	0.14005	0	0	0	0.06199	0.04537	0.00599	0	0.7219
V18	0.09315	0.09592	0.08316	0.13319	0	0.00411	0	0	0	0.59047
V19	0.02111	0	0	0.0152	0	0.06822	0.00533	0.00656	0	0.88357
V20	0	0.24998	0	0	0.01757	0	0.55285	0.03614	0	0.14346
V21	0.08603	0.44309	0.02543	0	0.08137	0.26737	0.0631	0.02386	0	0.00976
V22	0	0	0	0	0	0.01168	0.01279	0.21402	0	0.76151
V23	0.22434	0.04936	0.52918	0.05042	0	0.00836	0	0	0	0.13834
