mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V113	0.19812	0.10638	0.14308	0.22565	0.32677
V114	0.39873	0.11434	0.09439	0.27171	0.12083
V115	0.58895	0.06384	0.05092	0.16502	0.13127
V116	0.06233	0.12893	0.0287	0.1384	0.64164
V117	0.05757	0.16998	0.61062	0.12458	0.03725
V118	0.08474	0.03569	0.02724	0.80141	0.05093
V119	0.21523	0.11905	0.36047	0.26634	0.03891
V120	0.03799	0.16671	0.61417	0.14077	0.04036
V121	0.17973	0.51963	0.06792	0.14024	0.09247
V122	0.06801	0.31816	0.13484	0.29522	0.18377
V123	0.34956	0.10138	0.1172	0.27495	0.15691
V124	0.18472	0.15533	0.10508	0.28766	0.26722
V125	0.05878	0.35453	0.45507	0.09491	0.03671
V126	0.13506	0.21506	0.24905	0.18668	0.21414
V127	0.17372	0.14761	0.51821	0.12328	0.03718
V128	0.18809	0.53546	0.07834	0.13481	0.0633
V129	0.1932	0.13168	0.28192	0.22839	0.16482
V130	0.06676	0.38417	0.09638	0.30092	0.15178
V131	0.05717	0.0806	0.23429	0.59481	0.03313
V132	0.2776	0.07506	0.03397	0.4011	0.21226
V133	0.03853	0.17854	0.48169	0.13576	0.16548
V134	0.06779	0.17549	0.60067	0.09036	0.06569
V135	0.04471	0.20652	0.57812	0.09182	0.07883
V136	0.63349	0.06182	0.05511	0.16983	0.07975
V137	0.5976	0.07847	0.05302	0.18476	0.08615
V138	0.20334	0.18074	0.12454	0.221	0.27038
V139	0.12261	0.06418	0.17769	0.59316	0.04237
V140	0.06218	0.13529	0.18919	0.11357	0.49976
V141	0.04495	0.244	0.53349	0.14544	0.03212
V142	0.16077	0.12462	0.33003	0.18823	0.19635
V143	0.04831	0.23051	0.43741	0.1822	0.10157
V144	0.35572	0.19949	0.11748	0.22872	0.09859
V145	0.03171	0.18783	0.66673	0.08042	0.03331
V146	0.07379	0.28612	0.05345	0.37034	0.2163
V147	0.0835	0.17917	0.54453	0.14926	0.04355
V148	0.15301	0.54964	0.07851	0.1585	0.06035
V149	0.06634	0.03809	0.0273	0.801	0.06727
V150	0.1108	0.23524	0.49947	0.08659	0.06789
V151	0.32341	0.06129	0.05023	0.44952	0.11556
V152	0.06213	0.05723	0.1362	0.66865	0.07579
V153	0.13008	0.22279	0.42119	0.12682	0.09912
V154	0.12448	0.45456	0.08523	0.14597	0.18975
V155	0.07407	0.06159	0.15257	0.67215	0.03962
V156	0.09532	0.14828	0.37877	0.19242	0.18521
V157	0.10315	0.13133	0.1985	0.30696	0.26005
V158	0.14441	0.14182	0.41086	0.12315	0.17975
V159	0.1263	0.17709	0.0556	0.57733	0.06368
V160	0.32615	0.18429	0.1403	0.16076	0.18849
V161	0.18802	0.12745	0.10104	0.12838	0.4551
V162	0.03257	0.19292	0.676	0.07179	0.02672
V163	0.08652	0.12234	0.04582	0.15305	0.59227
V164	0.60614	0.0898	0.06261	0.17016	0.07129
V165	0.4118	0.19675	0.13332	0.17744	0.08068
V166	0.07952	0.08495	0.24691	0.51168	0.07694
V167	0.07099	0.47653	0.0784	0.23152	0.14255
V168	0.03257	0.19292	0.676	0.07179	0.02672
V169	0.07707	0.4847	0.21411	0.17575	0.04838
V170	0.20224	0.30043	0.10848	0.27647	0.11238
V171	0.20833	0.15221	0.34794	0.22765	0.06387
V172	0.16202	0.24286	0.11997	0.13737	0.33778
V173	0.1796	0.13374	0.12867	0.42057	0.13742
V174	0.15948	0.11938	0.34372	0.23627	0.14116
V175	0.09521	0.19342	0.15961	0.24301	0.30876
V176	0.28306	0.04937	0.04171	0.57448	0.05138
