CD56NK	CD4MemoryT	CD19B	CD14
V164	0.50717	0.24806	0.24477	0
V165	0.14813	0.22692	0.26336	0.36159
V166	0.08068	0.01568	0.382	0.52164
V167	0.58099	0	0.03607	0.38293
V168	0.38424	0.45566	0.1601	0
V169	0.35053	0	0.22985	0.41963
V170	0.22039	0.09355	0.68605	0
V171	0.17798	0.26247	0.55955	0
V172	0.74671	0	0.25329	0
V173	0.15124	0.07085	0.33227	0.44564
V174	0.13684	0.11405	0.37283	0.37627
V175	0.11958	0.10996	0.77046	0
V176	0.11644	0.62779	0.25578	0
V177	0.11785	0.75374	0.12841	0
V178	0.14826	0.66622	0.18552	0
V179	0.3167	0.01797	0.59224	0.07309
V180	0.12607	0.69442	0.1795	0
V181	0.23208	0.17185	0.59607	0
V182	0.35936	0.17118	0.46946	0
V183	0.279	0.61501	0.10599	0
V184	1	0	0	0
V185	0.64194	0.31552	0.04255	0
V186	0.2288	0.42806	0.34314	0
V187	1	0	0	0
V188	0.23943	0.17941	0.23785	0.3433
V189	1	0	0	0
V190	0.68457	0	0.31543	0
V191	0.22841	0.22321	0.54838	0
V192	0.43986	0.38654	0.1736	0
V193	0.69608	0.00862	0.2953	0
V194	0.14024	0.72909	0.13067	0
V195	0.03858	0.16496	0.79646	0
V196	0.01367	0	0.29753	0.6888
V197	0.67709	0	0.11957	0.20334
V198	0.15517	0.44532	0.3995	0
V199	0.32451	0	0.39502	0.28047
V200	0.32242	0.49521	0.18237	0
V201	0.21912	0.46978	0.3111	0
V202	0.08113	0.13092	0.78795	0
V203	0.22459	0.39445	0.38096	0
V204	0.21514	0.57175	0.21311	0
V205	0.05072	0.16983	0.77945	0
V206	0.08804	0.18711	0.72486	0
V207	0.33638	0.16003	0.26057	0.24303
V208	0.27746	0.1085	0.61404	0
V209	0.42993	0.38588	0.18418	0
V210	0.20372	0.59299	0.20329	0
V211	0.67437	0	0.09721	0.22842
V212	0.52407	0.04679	0.42914	0
V213	0.82343	0	0.17657	0
V214	0.53521	0.13086	0.33393	0
V215	0.55793	0.00018	0.18092	0.26097
V216	0.00048	0	0.23566	0.76385
V217	0.18426	0.44981	0.36594	0
V218	0.26053	0.40022	0.33925	0
V219	0.27888	0.54961	0.17151	0
V220	0.13655	0.69654	0.16691	0
V221	1	0	0	0
V222	0.40234	0.1391	0.45856	0
V223	0.06599	0.21322	0.72079	0
V224	1	0	0	0
V225	0.17004	0.67103	0.15893	0
V226	0.33838	0.09623	0.56538	0
V227	0.83164	0	0.16836	0
V228	0.91367	0	0.08633	0
V229	0.04805	0.15816	0.79379	0
V230	0	0	0.24998	0.75002
V231	0.18271	0.29112	0.34706	0.17912
V232	0.24538	0.5889	0.16572	0
V233	0.67601	0.04287	0.28112	0
V234	0.14162	0.71346	0.14492	0
V235	0.40194	0.07807	0.51999	0
V236	0.09684	0.17015	0.73301	0
V237	0.26496	0	0.20896	0.52609
V238	0.22717	0.46884	0.30399	0
V239	0.27262	0.41713	0.22615	0.0841
V240	0.52331	0.0353	0.44139	0
V241	0.05052	0.14865	0.80083	0
V242	0.22763	0.58644	0.18594	0
V243	0.29486	0.08591	0.61922	0
V244	0.25143	0.08346	0.66511	0
V245	0.67706	0.21383	0.10911	0
V246	0.10777	0.20889	0.68334	0
V247	0.19229	0.10676	0.70095	0
V248	0.01535	0	0.31049	0.67416
V249	0.03256	0.17009	0.79735	0
V250	0.80112	0	0.19888	0
V251	1	0	0	0
V252	0.11234	0.64751	0.24015	0
V253	0.58568	0.01348	0.35761	0.04323
V254	0.11558	0.72256	0.16186	0
V255	0.16078	0.71512	0.1241	0
V256	0.22992	0.24023	0.52985	0
V257	0.57745	0.0569	0.36565	0
V258	0.25952	0.25673	0.48376	0
V259	0.08823	0.30811	0.60366	0
V260	0.04962	0.31307	0.63731	0
V261	0.73585	0	0.26415	0
V262	0.18752	0	0.24443	0.56804
V263	0.12619	0.74618	0.12763	0
V264	0.31054	0.08034	0.60912	0
V265	0.05252	0	0.40808	0.5394
V266	0.71982	0.24228	0.0379	0
V267	0.12691	0.19456	0.55116	0.12737
V268	0.61258	0	0.2864	0.10101
V269	0.09589	0.48132	0.42279	0
V270	0.71694	0	0.28306	0
V271	0.95933	0	0.04067	0
V272	0.18	0.66473	0.15528	0
V273	0.06249	0	0.27155	0.66595
V274	0.7863	0	0.2137	0
V275	0.03042	0.16408	0.80551	0
V276	0.64358	0.25997	0.09644	0
V277	0.19575	0.21886	0.39017	0.19522
V278	0.15291	0.04059	0.56392	0.24259
V279	0.81718	0	0.18282	0
V280	0	0	0.22624	0.77376
V281	0.75762	0	0.24238	0
V282	0.10673	0.16449	0.72878	0
V283	0.32597	0.48332	0.19071	0
V284	0.13112	0.70124	0.16764	0
V285	0.08677	0.1435	0.76973	0
V286	0.34533	0.4538	0.20088	0
V287	0.19699	0.67339	0.12962	0
V288	0.13807	0.30464	0.55728	0
V289	0.34667	0.20985	0.44348	0
V290	0.92924	0.06467	0.0061	0
V291	0.50542	0.06617	0.42841	0
V292	1	0	0	0
V293	0.33386	0.0488	0.61734	0
V294	0.31378	0.35726	0.19313	0.13583
V295	0.15518	0.17843	0.44439	0.222
V296	0.2216	0.17554	0.60286	0
V297	0.09709	0	0.30604	0.59687
V298	0.33	0.1111	0.5589	0
V299	0.24991	0.24957	0.23949	0.26103
V300	0.05779	0	0.55147	0.39074
V301	0.1677	0.18543	0.64686	0
V302	0.72646	0.24796	0.02558	0
V303	0.09206	0.51317	0.39477	0
V304	0.12207	0.13127	0.74666	0
V305	0.23193	0.19169	0.57637	0
V306	0.93252	0.00306	0.06442	0
V307	0.12577	0.73873	0.13551	0
V308	0.35761	0.21826	0.42413	0
V309	0.55499	0.28436	0.16065	0
V310	0.2666	0.31579	0.38081	0.0368
V311	0.59707	0.3578	0.04513	0
V312	0.20287	0.56792	0.22921	0
V313	0.04041	0.02136	0.32159	0.61664
V314	0.2212	0.45519	0.32361	0
V315	0.28207	0.52487	0.19306	0
V316	0.38839	0.14157	0.47004	0
V317	0.23718	0.56331	0.19952	0
V318	0.24819	0.54882	0.20299	0
V319	0.09521	0.16716	0.73763	0
V320	0.13038	0.21751	0.65211	0
V321	0.70744	0.25572	0.03684	0
V322	0.41272	0.31476	0.26526	0.00727
V323	0.09551	0	0.3406	0.56389
V324	0.71178	0.17784	0.11038	0
V325	0.37583	0.49089	0.13327	0
V326	0.19084	0.52436	0.2848	0
V327	0.12986	0.09273	0.4098	0.3676
V328	0.1158	0.13013	0.75407	0
V329	0.36253	0.09059	0.38081	0.16607
V330	0.53281	0	0.46719	0
V331	0.60681	7e-04	0.19434	0.19815
V332	0.08124	0	0.50508	0.41369
V333	0.46334	0.09522	0.44144	0
V334	0.49307	0	0.50693	0
V335	0.09971	0.35223	0.54807	0
V336	0.29555	0.56462	0.13983	0
V337	0.34151	0.34014	0.31836	0
V338	0.1056	0.76152	0.13289	0
V339	0.14408	0.12114	0.73478	0
V340	0.14259	0.26664	0.59078	0
V341	0.02749	0	0.3355	0.63701
V342	0.30773	0.05657	0.6357	0
V343	1	0	0	0
V344	0.70875	0.0912	0.20005	0
V345	0.03917	0.16449	0.79634	0
V346	0.41268	0.11158	0.4755	0.00024
V347	0.08026	0	0.39576	0.52399
V348	0.19255	0.53402	0.27343	0
V349	0.40343	0.1649	0.43167	0
V350	0.13151	0.61971	0.24878	0
V351	0.10962	0.04655	0.66664	0.1772
V352	0.08432	0.15077	0.76492	0
V353	1	0	0	0
V354	0.15821	0.55107	0.29072	0
V355	0.35635	0.10208	0.54157	0
V356	0.05591	0	0.36961	0.57448
V357	0.25562	0.31484	0.42954	0
V358	0.79896	0.0233	0.17774	0
V359	0.85152	0	0.12435	0.02412
V360	0.61005	0.33382	0.05613	0
V361	0.06064	0.42529	0.51407	0
V362	0.10568	0.75713	0.1372	0
V363	0.26893	0.1574	0.57367	0
V364	0.20651	0.13454	0.65895	0
V365	0.43244	0	0.13304	0.43451
V366	0.22219	0.55044	0.22737	0
V367	0.83319	0.06425	0.10256	0
V368	0.21703	0.57257	0.21041	0
V369	0.07703	0.38574	0.53723	0
V370	0.34342	0.24594	0.41064	0
V371	0.29977	0.56191	0.13832	0
V372	0.32633	0	0.34985	0.32382
V373	0.19917	0.19051	0.61031	0
V374	0.8133	0	0.1867	0
V375	0.13041	0	0.42557	0.44403
V376	0.06411	0	0.37526	0.56063
V377	1	0	0	0
V378	0.09545	0.04847	0.68234	0.17374
V379	0.60459	0.16254	0.14248	0.09039
V380	0.31659	0.0444	0.42525	0.21376
V381	0.89068	0	0.10932	0
V382	0.10558	0.14494	0.74948	0
V383	0.98683	0	0.01317	0
V384	0.74474	0.01722	0.23804	0
V385	0.97333	0	0.02667	0
V386	0.49238	0	0.29954	0.20808
V387	0.64001	0.11586	0.24414	0
V388	0.47529	0.27575	0.24896	0
V389	0.50978	0.40633	0.0839	0
V390	0.32976	0.22009	0.45015	0
V391	0.69205	0.02868	0.13998	0.13929
V392	0.54325	0.17933	0.27741	0
V393	0.35856	0.22352	0.41792	0
V394	0.28508	0.22383	0.32114	0.16995
V395	0.33462	0.34853	0.31685	0
V396	0.11614	0.74662	0.13724	0
