Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V123	0.5004	0.07079	0.05727	0.15905	0.21249
V124	0.22632	0.1027	0.04637	0.20161	0.42299
V125	0.07465	0.43188	0.48515	0	0.00832
V126	0.18196	0.15705	0.1878	0.10598	0.36722
V127	0.33786	0	0.62583	0.02863	0.00768
V128	0.22894	0.75014	0	0	0.02092
V129	0.29955	0.02469	0.23429	0.15917	0.28231
V130	0.05844	0.48036	0.02882	0.20984	0.22253
V131	0.03313	0	0.21327	0.69002	0.06358
V132	0.35895	0.02775	0	0.30256	0.31073
V133	0.02091	0	0.53571	0.08983	0.35356
V134	0.09716	0	0.78687	0.01111	0.10486
V135	0.04624	0.03972	0.75112	0.01737	0.14555
V136	0.92298	0.06123	0.00336	0	0.01243
V137	0.86415	0.09841	0	0	0.03744
V138	0.2619	0.13675	0.06037	0.11932	0.42165
V139	0.14365	0	0.14019	0.64896	0.0672
V140	0.03481	0	0.12761	0.04731	0.79026
V141	0.04541	0.17462	0.67137	0.09237	0.01623
V142	0.23736	0	0.28746	0.11922	0.35595
V143	0.04558	0.14646	0.47121	0.14463	0.19213
V144	0.51557	0.25105	0.04895	0.08802	0.09641
V145	0.00873	0	0.97006	0.00049	0.02073
V146	0.05797	0.3183	0	0.29066	0.33307
V147	0.13552	0.01421	0.70297	0.1009	0.04641
V148	0.18535	0.77395	0	0.01495	0.02574
V149	0.02936	0	0.00202	0.82589	0.14272
V150	0.18955	0.15416	0.57132	0	0.08497
V151	0.44551	0.03519	0.0037	0.36044	0.15515
V152	0.03298	0	0.10231	0.71451	0.1502
V153	0.21715	0.15086	0.43371	0.0379	0.16039
V154	0.14555	0.56699	0.01145	0.02463	0.25139
V155	0.05581	0	0.12012	0.744	0.08007
V156	0.12358	0	0.36354	0.14854	0.36434
V157	0.11132	0.0114	0.14518	0.268	0.4641
V158	0.22478	0	0.39828	0.04045	0.33648
V159	0.13916	0.2138	0.00686	0.55049	0.08969
V160	0.46474	0.18044	0.07135	0.02736	0.25612
V161	0.21389	0.01558	0.0447	0.03404	0.69179
V162	0.00931	0	0.99069	0	0
V163	0.05914	0	0.00786	0.07734	0.85566
V164	0.87638	0.11291	0.00704	0	0.00366
V165	0.60848	0.25779	0.06082	0.02045	0.05246
V166	0.07362	0	0.21566	0.56783	0.14289
V167	0.06733	0.62202	0.00643	0.11752	0.18671
V168	0.00931	0	0.99069	0	0
V169	0.08969	0.68316	0.13506	0.06432	0.02778
V170	0.27375	0.38143	0.03902	0.1655	0.14029
V171	0.36578	0.07038	0.33317	0.16087	0.0698
V172	0.1921	0.20355	0.05249	0.03323	0.51864
V173	0.23731	0.09352	0.07396	0.37569	0.21952
V174	0.24327	0	0.3149	0.18914	0.25269
V175	0.09395	0.11289	0.09826	0.17368	0.52122
V176	0.39325	0.02688	0	0.52844	0.05144
V177	0.25042	0	0.56096	0.16913	0.01949
V178	0.33807	0.02037	0.43315	0.10068	0.10773
V179	0.09974	0	0.00067	0.05199	0.8476
V180	0.03679	0	0.30034	0.03059	0.63228
V181	0.07956	0.23961	0	0.071	0.60984
V182	0.55903	0.26733	0	0.11837	0.05527
V183	0.10246	0.88152	0	0	0.01602
V184	0.3693	0.00071	0.26933	0.30821	0.05246
V185	0.12849	0.46072	0.01109	0.12972	0.26997
V186	0.15102	0.16383	0.01815	0.23244	0.43456
V187	0.11181	0.6724	0	0.18374	0.03204
V188	0.81231	0.10379	0.02076	0.0463	0.01684
V189	0.47232	0.26655	0.02264	0.20854	0.02996
V190	0.43885	0.07538	0.18014	0.00839	0.29723
V191	0.23765	0.2206	0	0.38025	0.1615
V192	0.35121	0.19307	0.10339	0.18753	0.16481
V193	0.10598	0.16167	0.50763	0.03588	0.18885
V194	0.27189	0.04905	0.06682	0.10002	0.51222
V195	0.59664	0.20378	0.19428	0	0.0053
V196	0.0184	0	0.04663	0.07953	0.85544
V197	0.10165	0.86038	0	0.01857	0.01941
V198	0.24606	0.218	0.02362	0.18285	0.32947
V199	0.7611	0.06344	0.17546	0	0
V200	0.72851	0.07099	0.01877	6e-05	0.18166
V201	0.05502	0	0.01847	0.65704	0.26946
V202	0.87164	0.11635	0	0	0.01201
V203	0.52857	0.28461	0.01344	0.03079	0.14259
V204	0.33348	0.08392	0.02177	0.01668	0.54414
V205	0.12505	0.009	0.09474	0.08944	0.68176
V206	0.06766	0.08071	0	0.73567	0.11597
V207	0.04316	0.0032	0.00091	0.85052	0.10221
V208	0.20723	0.18532	0.45741	0.035	0.11505
V209	0.16485	0.00667	0.0763	0.05732	0.69486
V210	0.00692	0	0.98512	0	0.00796
V211	0.16997	0.00214	0.16892	0.04827	0.61071
V212	0.09357	0.74873	0.05902	0.02815	0.07052
V213	0.10926	0	0.04806	0.24218	0.60049
V214	0.05895	0.53807	0.36949	0.00231	0.03117
V215	0.27288	0.21069	0.1099	0.07169	0.33485
V216	0.07371	0	0.28994	0.05774	0.57861
V217	0.02558	0	0.02391	0.77591	0.1746
V218	0.10742	0.1538	0.26374	0.33937	0.13567
V219	0.17581	0.24487	0.36602	0.18919	0.02411
V220	0.22068	0.72539	0.0416	0	0.01233
V221	0.06755	0.00725	0.47063	0.02216	0.43241
V222	0.03068	0	0.00358	0.06823	0.89751
V223	0.57604	0.03586	0.27323	0.09134	0.02354
V224	0.06965	0.5136	0.0129	0.07999	0.32386
V225	0.69475	0.20536	0.09572	0	0.00416
V226	0.45942	0.53066	0	0	0.00992
V227	0.1194	0.25439	0	0.53663	0.08958
V228	0.61896	0.07071	0.22488	0.04102	0.04444
V229	0.31733	0.39107	0.2286	0.02422	0.03878
V230	0.02946	0	0.00403	0.06842	0.89809
V231	0.09717	0.5918	0.04332	0.15483	0.11288
V232	0.78568	0.06899	0.14533	0	0
V233	0.07124	0	0.12168	0.10937	0.6977
V234	0.05052	0.35474	0.19285	0.34076	0.06113
V235	0.92008	0.07106	0	0	0.00886
V236	0.11064	0	0.62412	0.19032	0.07492
V237	0.15775	0.04551	0.23758	0.31051	0.24865
V238	0.02243	0	0.00379	0.26879	0.70499
V239	0.09199	0.37701	0.0342	0.16444	0.33237
V240	0.09853	0.82369	0.00073	0.00725	0.0698
V241	0.08501	0.89815	0	0	0.01684
V242	0.06817	0.29259	0.27289	0.27017	0.09618
V243	0.52136	0.02624	0.28224	0.00965	0.16051
V244	0.06031	0.37098	0.16317	0.08113	0.32441
V245	0.08258	0.8784	0.01785	0.01111	0.01005
V246	0.59096	0.29943	0.01327	0	0.09634
V247	0.2528	0.06163	0.61023	0.03642	0.03891
V248	0.12461	0.5714	0.01198	0.013	0.27902
V249	0.27683	0.05521	0.17108	0.09391	0.40298
V250	0.03805	0	0.62931	0.03615	0.29649
V251	0.24493	0.01261	0.07687	0.55761	0.10797
V252	0.05119	0.06476	0.5453	0.15552	0.18323
V253	0.32579	0.56708	0.0616	0.02271	0.02282
V254	0.52099	0.4019	0	0.05101	0.0261
V255	0.77087	0.13911	0	0	0.09003
V256	0.07349	0.73113	0.00721	0.00853	0.17965
V257	0.46923	0.31314	0.11255	0.01473	0.09035
V258	0.1918	0.3172	0.03537	0.40823	0.0474
V259	0.54779	0.29389	0.13741	0	0.02091
V260	0.26959	0.02954	0.08215	0.08555	0.53318
V261	0.04025	0	0.4847	0.29457	0.18048
V262	0.86469	0.08979	0.0363	0	0.00922
V263	0.76548	0.15254	0.00191	0.06779	0.01228
V264	0.10128	0.85973	0.00219	0.02545	0.01135
V265	0.79013	0.14674	0.05425	0	0.00888
V266	0.02688	0	0.06722	0.06873	0.83718
V267	0.06019	0	0.00095	0.16522	0.77364
V268	0.235	0.42292	0.11459	0.15656	0.07093
V269	0.12837	0.30068	0.33257	0.18342	0.05496
V270	0.07055	0	0.02915	0.81662	0.08368
V271	0.24739	0.70592	0	0.0062	0.0405
V272	0.13558	0.79655	0.01369	0.00371	0.05047
V273	0.31972	0.0119	0.15024	0.30551	0.21262
V274	0.10585	0.0197	0.02692	0.19715	0.65037
V275	0.08	0.69097	0.12708	0.07314	0.02881
V276	0.02443	0	0.69164	0.23509	0.04885
V277	0.42593	0	0.54567	0	0.0284
V278	0.02464	0	0.31694	0.46272	0.1957
V279	0.16816	0	0.00919	0.69551	0.12715
V280	0.21621	0.01335	0.02891	0.57861	0.16293
V281	0.05335	0.20698	0.03345	0.63493	0.07129
V282	0.09354	0.89008	0	0	0.01638
V283	0.36163	0.01591	0.08687	0.03263	0.50296
V284	0.04954	0.07254	0.50783	0.00795	0.36215
V285	0.51096	0.47219	0	0.00216	0.0147
V286	0.1117	0	0.85848	0.02208	0.00774
V287	0.27427	0.05511	0.14216	0.27237	0.2561
V288	0.2444	0	0.59396	0	0.16164
V289	0.18501	0.21873	0.01354	0.52489	0.05783
V290	0.44339	0.45411	0.1025	0	0
V291	0.42498	0.22654	0	0.30908	0.0394
V292	0.14375	0	0.36297	0.04491	0.44837
V293	0.02286	0.05162	0.8634	0.03912	0.02299
V294	0.02139	0	0.0051	0.06266	0.91086
V295	0.0342	0	0.30508	0.51826	0.14246
V296	0.80277	0.16314	0	0	0.03408
V297	0.03408	0	0.78096	0.12403	0.06094
V298	0.3124	0.00961	0	0.50377	0.17422
V299	0.29253	0	0.00822	0.63709	0.06216
V300	0.92454	0.0685	0	0	0.00696
V301	0.91354	0.06905	0.00101	0	0.0164
V302	0.02352	0	0.00418	0.38173	0.59057
V303	0.13538	0.14075	0.18254	0.17347	0.36786
V304	0.23959	0	0.73884	0	0.02157
V305	0.23197	0.30015	0.06983	0.09567	0.30237
V306	0.34164	0.63619	0	0	0.02217
V307	0.27595	0	0.24308	0.44453	0.03644
V308	0.29124	0	0.64111	0.05766	0.00999
V309	0.6317	0.12621	0.0318	0.08294	0.12735
V310	0.0437	0	0.00216	0.12354	0.8306
