Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V124	0.21578	0.16963	0.06417	0.28217	0.26825
V125	0.01404	0.50563	0.48033	0	0
V126	0.15129	0.24775	0.22684	0.16209	0.21203
V127	0.2267	0.0779	0.64843	0.04697	0
V128	0.21912	0.77591	0	0	0.00497
V129	0.24005	0.10978	0.275	0.22167	0.1535
V130	0.04885	0.54486	0.02629	0.22968	0.15032
V131	0	0.02235	0.23381	0.70823	0.03561
V132	0.35025	0.05649	0	0.39339	0.19987
V133	0	0.1247	0.55988	0.14442	0.171
V134	0.01427	0.12185	0.79143	0.05343	0.01902
V135	0	0.18053	0.72454	0.05315	0.04179
V136	1	0	0	0	0
V137	0.95935	0.04065	0	0	0
V138	0.25331	0.20876	0.08018	0.19093	0.26682
V139	0.1016	0.018	0.15985	0.679	0.04155
V140	0.01958	0.07934	0.19473	0.15776	0.54858
V141	0	0.27709	0.62869	0.09422	0
V142	0.18996	0.07507	0.34778	0.19267	0.19453
V143	0	0.25758	0.47822	0.17449	0.08971
V144	0.51853	0.27202	0.04005	0.116	0.05341
V145	0	0.09177	0.8912	0.01703	0
V146	0.045	0.38328	0	0.34731	0.22442
V147	0.05232	0.14466	0.67972	0.1233	0
V148	0.17178	0.80389	0	0	0.02433
V149	0	0	0	0.90814	0.09186
V150	0.10992	0.27068	0.59039	0.00989	0.01912
V151	0.42653	0.04742	0	0.42889	0.09716
V152	0	0.00638	0.11504	0.78434	0.09424
V153	0.1438	0.25721	0.45684	0.07144	0.07072
V154	0.1458	0.6515	0.0034	0.02681	0.17249
V155	0.01658	0.01759	0.13188	0.78323	0.05073
V156	0.07681	0.1042	0.41159	0.21436	0.19303
V157	0.08317	0.10433	0.18728	0.34648	0.27874
V158	0.1684	0.08432	0.47005	0.10424	0.17299
V159	0.11348	0.23486	0	0.5862	0.06545
V160	0.47042	0.23126	0.07585	0.06815	0.15431
V161	0.22364	0.10431	0.07156	0.12794	0.47255
V162	0	0.08807	0.91193	0	0
V163	0.0566	0.07901	0.0262	0.20723	0.63096
V164	0.95535	0.04465	0	0	0
V165	0.64406	0.26353	0.04416	0.03412	0.01413
V166	0.03347	0.02764	0.25179	0.60547	0.08162
V167	0.05807	0.69254	0	0.11652	0.13287
V168	0	0.08807	0.91193	0	0
V169	0.06602	0.73062	0.12982	0.04677	0.02676
V170	0.25003	0.4238	0.04034	0.18995	0.09589
V171	0.27059	0.14996	0.36014	0.1939	0.02541
V172	0.19421	0.29914	0.07323	0.09298	0.34044
V173	0.20779	0.14268	0.08898	0.4279	0.13264
V174	0.18177	0.07064	0.36384	0.25094	0.13282
V175	0.0768	0.20773	0.13352	0.25283	0.32911
V176	0.35403	0.02865	0	0.58253	0.03479
V177	0.15075	0.10279	0.56379	0.18267	0
V178	0.24344	0.11796	0.46132	0.13969	0.03759
V179	0.10644	0.09038	0.01197	0.16965	0.62155
V180	0.00221	0.10606	0.38673	0.11612	0.38888
V181	0.08173	0.35155	0	0.14308	0.42364
V182	0.5841	0.25101	0	0.13956	0.02534
V183	0.09082	0.90703	0	0	0.00215
V184	0.27738	0.07098	0.29396	0.33552	0.02217
V185	0.1273	0.52785	0.00823	0.15467	0.18195
V186	0.14332	0.23509	0.02558	0.31175	0.28426
V187	0.09997	0.69822	0	0.16891	0.0329
V188	0.88895	0.05725	0	0.0538	0
V189	0.45479	0.28237	0.00552	0.23673	0.0206
V190	0.41318	0.14532	0.2174	0.05931	0.1648
V191	0.21928	0.2424	0	0.43002	0.1083
V192	0.30823	0.23995	0.12088	0.23033	0.10062
V193	0.04603	0.27893	0.52221	0.06852	0.08432
V194	0.26572	0.124	0.09425	0.18783	0.3282
V195	0.58779	0.20915	0.20306	0	0
V196	0.00567	0.07157	0.08226	0.21232	0.62818
V197	0.0901	0.89156	0	0	0.01834
V198	0.23581	0.27771	0.02824	0.24357	0.21468
V199	0.78561	0.03933	0.17506	0	0
V200	0.84346	0.03423	0	0.031	0.09132
V201	0.02715	0.00908	0.01907	0.76707	0.17763
V202	0.95581	0.04419	0	0	0
V203	0.56263	0.30215	0	0.05221	0.083
V204	0.35789	0.16102	0.02522	0.08804	0.36782
V205	0.11424	0.1109	0.14065	0.18936	0.44485
V206	0.03585	0.09987	0	0.78574	0.07854
V207	0.0031	0.0148	0	0.9129	0.0692
V208	0.13183	0.28661	0.47405	0.06173	0.04577
V209	0.16277	0.10253	0.11793	0.15488	0.46189
V210	0	0.08215	0.91351	0.00434	0
V211	0.15166	0.10591	0.22918	0.13356	0.37968
V212	0.08072	0.80607	0.04769	0.00578	0.05974
V213	0.10112	0.05277	0.07667	0.36589	0.40356
V214	0.01297	0.60444	0.36697	0	0.01562
V215	0.25054	0.28499	0.13766	0.12302	0.20379
V216	0.03898	0.12058	0.36008	0.13945	0.34091
V217	0	0	0.01373	0.87327	0.113
V218	0.06249	0.22719	0.2846	0.35256	0.07316
V219	0.10854	0.31926	0.36831	0.19726	0.00662
V220	0.20878	0.77366	0.01167	0	0.00589
V221	0.01859	0.14932	0.52384	0.08523	0.22302
V222	0.02216	0.08113	0.01808	0.2025	0.67614
V223	0.51902	0.0697	0.29882	0.11245	0
V224	0.06798	0.60673	0.00793	0.09682	0.22054
V225	0.73505	0.19514	0.06981	0	0
V226	0.48646	0.51354	0	0	0
V227	0.09522	0.26948	0	0.56914	0.06616
V228	0.59769	0.0833	0.25069	0.06831	0
V229	0.25716	0.44163	0.24277	0.03692	0.02153
V230	0.02114	0.07008	0.01884	0.205	0.68495
V231	0.08175	0.64401	0.03854	0.15292	0.08278
V232	0.82211	0.04391	0.13398	0	0
V233	0.05429	0.10072	0.17607	0.21439	0.45454
V234	0.01563	0.39822	0.20593	0.3393	0.04092
V235	1	0	0	0	0
V236	0.04106	0.08881	0.635	0.22158	0.01356
V237	0.11119	0.12893	0.27259	0.35196	0.13533
V238	0.00618	0.05586	0.01404	0.41979	0.50413
V239	0.0851	0.45318	0.04028	0.20291	0.21853
V240	0.09091	0.86209	0	0	0.047
V241	0.07386	0.92398	0	0	0.00216
V242	0.02724	0.35599	0.28656	0.27672	0.05349
V243	0.47819	0.08009	0.32756	0.04953	0.06463
V244	0.03798	0.46288	0.19096	0.11169	0.1965
V245	0.07188	0.91929	0	0	0.00883
V246	0.6568	0.30364	0	0	0.03956
V247	0.15215	0.1714	0.61596	0.06049	0
V248	0.12524	0.66374	0.00478	0.01489	0.19135
V249	0.24258	0.14186	0.21524	0.1646	0.23572
V250	0	0.11534	0.6633	0.08708	0.13428
V251	0.1987	0.05351	0.08415	0.59631	0.06733
V252	0	0.18976	0.544	0.18724	0.079
V253	0.30677	0.60654	0.04534	0.01735	0.024
V254	0.54948	0.39858	0	0.04802	0.00393
V255	0.87731	0.09867	0	0.00151	0.02251
V256	0.07026	0.80673	0	0	0.123
V257	0.45398	0.3519	0.11625	0.03167	0.04621
V258	0.1637	0.33945	0.03089	0.42371	0.04226
V259	0.5589	0.30681	0.13429	0	0
V260	0.26191	0.10774	0.1154	0.17381	0.34113
V261	0	0.08207	0.50356	0.33177	0.0826
V262	0.94917	0.05083	0	0	0
V263	0.8353	0.09264	0	0.07206	0
V264	0.08936	0.89356	0	0	0.01709
V265	0.86006	0.12598	0.01396	0	0
V266	0.01411	0.07459	0.11303	0.19535	0.60292
V267	0.0558	0.0686	0.01359	0.30436	0.55766
V268	0.20144	0.4569	0.12464	0.16714	0.04988
V269	0.07504	0.36821	0.33787	0.19254	0.02633
V270	0.03233	0.00752	0.0234	0.87865	0.0581
V271	0.23909	0.73127	0	0	0.02964
V272	0.12704	0.83833	0	0	0.03463
V273	0.26858	0.07253	0.17772	0.36037	0.1208
V274	0.09851	0.10583	0.04711	0.31205	0.43649
V275	0.05869	0.73872	0.12077	0.05428	0.02754
V276	0	0.07342	0.67423	0.25235	0
V277	0.32845	0.07721	0.59434	0	0
V278	0	0.07434	0.33894	0.48521	0.10151
V279	0.13447	0.01577	0.00063	0.7657	0.08343
V280	0.18199	0.04663	0.0268	0.64145	0.10313
