Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V70	0.7727	0.00323	0.08012	0	0	0.03064	0.02841	0.0084	0.07649	0
V71	0.01731	0	0	0.02375	0	0	0	0.94606	0	0.01288
V72	0.21132	0.00275	0.06913	0.31992	0.23694	0	0.00217	0.00543	0	0.15233
V73	0.03843	0	0.05152	0	0.88404	0.01082	0.0066	0.00634	0	0.00225
V74	0.0018	0.00566	0.10541	0.25063	0.1064	0.03073	0.00409	0.00578	0.00406	0.48543
V75	0	0.06936	0.2071	0.50952	0.01173	0.00557	0.00699	0.00356	0.18585	0.00032
V76	0.00042	0.0056	0.00039	0.00328	0.00153	0.88408	0.08372	0.00092	0.02007	0
V77	0	0.04764	0.042	0.38605	0	0.30241	0.20403	0	0.01192	0.00595
V78	0.00752	0.46643	0.09604	0	0.13232	0.03713	0.20466	0	0	0.05591
V79	0.00072	0.02727	0.05945	0.34776	0	0.25007	0.02917	0	0.26834	0.01723
V80	0.44792	0.0026	0.04219	0	0.06931	0	0.02436	0	0.06779	0.34583
V81	0	0.00208	0.02699	0.18835	0.17759	0.56116	0.04383	0	0	0
V82	0.04414	0.39597	0.0791	0.2912	0.09529	0.00289	0	0.08937	0	0.00204
V83	0.00123	0.03807	0.07932	0.51809	0.01541	0	0	0.34725	0	0.00062
V84	0.02258	0.0219	0.02596	0.03354	0.12055	0.59285	0.17492	0.0016	0.00611	0
V85	0.18648	0	0.56846	0	0.04133	0	0.00511	0	0	0.19862
V86	0.24131	0.00632	0.34363	0.39235	0	0.00565	0.00701	0	0	0.00373
V87	0.04166	0.03631	0.03151	0.01873	0.01466	0.00082	0.01478	0	0.84152	0
V88	0	0.26211	0.10269	0.57684	0.04913	0	0.00577	0	0	0.00346
V89	0	0.1151	0.02514	0.0442	0	0.09324	0.52016	0.17358	0.02841	0.00017
V90	0	0.04848	0.52571	0	0.09047	0.01533	0.00565	0	0	0.31435
V91	0.00218	0	0.95219	0	0.02108	0	0.00993	0.01143	0	0.00319
V92	0.00372	0.14411	0.02564	0	0	0.11743	0.58863	0.00985	0.11063	0
V93	0.02999	0.07942	0.0996	0	0	0.02483	0.15551	0.0255	0.58516	0
V94	0.89189	0	0.00366	0	0	0.02632	0.01748	0.05471	0	0.00594
V95	0.0034	0.07472	0.01234	0.0044	0	0.05468	0.32484	0.50906	0.01516	0.00141
V96	0	0.09724	0.40234	0.43107	0.01291	0.01218	0.00659	0.01723	0.01418	0.00626
V97	0.00206	0.13018	0.03486	0	0	0.10312	0.57425	0.00982	0.05317	0.09253
V98	0.01334	0.20832	0.05519	0.059	0.26091	0.00939	0.02234	0.14756	0.14623	0.07771
V99	0.62198	0.01044	0.0064	0	0	0.00593	0.05537	0.00906	0.29021	0.00061
V100	0.18335	0.01443	0.04822	0.25847	0.00973	0.31	0.03524	0	0.12915	0.01143
V101	0.00084	0.02777	0.06379	0	0.10836	0.09976	0.11187	0.06557	0.00548	0.51656
V102	0.04554	0.1812	0.01848	0	0.13322	0.32276	0.09821	0.18743	0	0.01316
V103	0.1032	0.02349	0.02696	0.01648	0	0	0.0128	0.00587	0.81063	0.00057
V104	0.00336	0	0.95688	0	0.00218	0	0.0109	0	0.02669	0
V105	0.28467	0	0.08319	0	0	0.10727	0.0018	0.52307	0	0
V106	0.01675	0.53688	0.2897	0	0.13971	0.00963	0.00029	0	0	0.00705
V107	0.27416	0.13582	0.04131	0	0.35393	0.00869	0.00766	0.05853	0.1199	0
V108	0	0	0.04726	0.18992	0.05213	0.40807	0.02983	0.03289	0.00746	0.23244
V109	0.00069	0.02103	0.00255	0.01083	0.01265	0.84731	0.08155	0.00021	0.02317	0
V110	0.01666	0	0.04253	0	0.83333	0	0	0.10532	0	0.00217
V111	0.00459	0.12966	0.03404	0.00598	0.09679	0.10308	0.56568	0.01017	0.03703	0.01298
V112	0.00604	0.11543	0.04406	0	0.00387	0.08119	0.45845	0.00714	0.10962	0.17419
V113	0.04585	0.0182	0.03444	0.00684	0	0.05036	0.02306	0.03326	0.68846	0.09952
V114	0.0516	0.02504	0.03821	0.00837	0	0.00034	0.01422	0.00599	0.85543	0.00078
V115	0.01367	0.70529	0.07363	0	0.1861	0	0.0103	0	0	0.01101
V116	0.38071	0.04254	0.0028	0	0	0	0.00044	0.57351	0	0
V117	0.01454	0.14538	0.02602	0	0	0.11624	0.63868	0.01147	0.04768	0
V118	0.02089	0	0	7e-05	0	0.86858	0.08319	0.01331	0.01397	0
V119	0	0.03482	0.06866	0.62038	0	0.16624	0.03028	0	0.07962	0
V120	0.66872	0	0.23379	0	0	0.0863	0.0112	0	0	0
V121	0.03803	0.12758	0.34155	0	0.03081	0.16548	0.2213	0.02889	0.00994	0.03643
V122	0.02989	0.04603	0.15398	0	0	0.06655	0.09399	0	0.60723	0.00232
V123	0.01742	0	0.01263	0.00882	0.37137	0	0	0.58975	0	0
V124	0.66085	0.0166	0	0	0	0	0	0.32255	0	0
V125	0.00188	0.09445	0.09959	0.01683	0.03252	0.08839	0.00715	0.6592	0	0
V126	0.01938	0.03265	0.04811	0	0.81061	0	0.00106	0.08358	0.0046	0
V127	0.0022	0.03165	0.68255	0	0	0.02308	0.14436	0	0.11457	0.00159
V128	0.00441	0.10078	0.48244	0	0.36186	0.03907	0.00623	0.0052	0	0
V129	0.02757	0.06197	0.08975	0.25854	0.07858	0.00524	0.00903	0	0.45737	0.01195
V130	0	0	0.43228	0	0	0	0	0.56772	0	0
V131	0.02342	0.30946	0.53658	0.02732	0.07817	0.00217	0.00974	0	0.01309	5e-05
V132	0.12114	0.09295	0.02733	0	0.04879	0.07887	0.44108	0.17191	0.01565	0.00228
V133	0	0.01624	0.01305	0.19701	0	0.0879	0.0298	0.65599	0	0
V134	0.0147	0.03998	0.2997	0.026	0.33373	0.01439	0.11075	0.01173	0.01055	0.13846
V135	0.03044	0.15569	0.20882	0	0.02481	0	0.01894	0	0.56129	0
V136	0.00123	0.47691	0.08397	0.17673	0.15347	0	0	0	0	0.10769
V137	0.00454	0.08131	0.03025	0.00673	0.00421	0.42731	0.34414	0.00552	0.09452	0.00146
V138	0.01755	0.11698	0.05925	0	0.04509	0.06955	0.39818	0.00571	0.07882	0.20887
V139	0.63849	0.00647	0.00783	0	0.05418	0.07791	0.01302	0	0.2021	0
V140	0	0.01368	0.36977	0.51882	0.02594	0.04556	0.01384	0	0	0.01239
V141	0	0.02656	0.09039	0.82648	0	0.02146	0.00659	0	8e-04	0.02772
V142	0	0.09986	0.06199	0.29956	0	0.07563	0.4165	0.00404	0.02688	0.01555
V143	0.01192	0.6692	0.07549	0.05002	0.18344	0	0	0	0.00465	0.00528
