CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V95	0.06746	0.01751	0.26905	0.11788	0.49199	0.03611
V96	0.14714	0.24201	0.07643	0.07082	0.35417	0.10943
V97	0.063	0.01803	0.04993	0.09529	0.73545	0.0383
V98	0.09918	0.05496	0.04619	0.53385	0.22735	0.03846
V99	0.08232	0.01696	0.04335	0.64541	0.17824	0.03372
V100	0.08458	0.01657	0.38375	0.21764	0.2419	0.05556
V101	0.11362	0.23577	0.37126	0.09548	0.13706	0.04681
V102	0.51599	0.04265	0.17405	0.03814	0.12668	0.10249
V103	0.42939	0.04282	0.09777	0.15268	0.17534	0.102
V104	0.09521	0.00775	0.19956	0.49127	0.16439	0.04182
V105	0.25119	0.02281	0.15332	0.03085	0.1482	0.39363
V106	0.13998	0.01759	0.51582	0.01483	0.13105	0.18073
V107	0.16744	0.38356	0.23366	0.03009	0.13943	0.04582
V108	0.20247	0.04076	0.10556	0.04122	0.30849	0.3015
V109	0.21402	0.02747	0.09101	0.03458	0.29731	0.33562
V110	0.12087	0.12017	0.56172	0.01453	0.12613	0.05659
V111	0.0795	0.0272	0.69482	0.0268	0.13125	0.04042
V112	0.12067	0.19979	0.05029	0.42174	0.16738	0.04014
V113	0.09537	0.07265	0.50922	0.04745	0.23126	0.04405
V114	0.1604	0.01538	0.52672	0.12507	0.12256	0.04987
V115	0.34181	0.06679	0.09924	0.05559	0.24108	0.1955
V116	0.53999	0.03694	0.10946	0.0757	0.13137	0.10654
V117	0.3658	0.03267	0.07632	0.10733	0.33625	0.08163
V118	0.14462	0.39961	0.14768	0.05886	0.19556	0.05367
V119	0.15664	0.46988	0.09331	0.0659	0.15557	0.05871
V120	0.14254	0.13512	0.12545	0.32282	0.21714	0.05693
V121	0.28918	0.02724	0.08342	0.23643	0.14595	0.21779
V122	0.2359	0.02823	0.06012	0.43807	0.18145	0.05624
V123	0.30909	0.03073	0.08582	0.07149	0.25425	0.24862
V124	0.07076	0.0125	0.25919	0.04327	0.57296	0.04132
V125	0.11082	0.11259	0.52015	0.06471	0.12286	0.06888
V126	0.21726	0.18735	0.12682	0.03708	0.15211	0.27938
V127	0.10374	0.01368	0.6267	0.0861	0.12691	0.04287
V128	0.2695	0.1763	0.14746	0.14559	0.18905	0.07209
V129	0.08216	0.02605	0.6508	0.07116	0.12666	0.04317
V130	0.35659	0.10028	0.08304	0.2116	0.16537	0.08312
V131	0.10067	0.01367	0.06898	0.05759	0.6602	0.09889
V132	0.12869	0.29423	0.33976	0.02495	0.16847	0.04388
V133	0.12554	0.13645	0.4494	0.08227	0.16356	0.04278
