Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01088	0.03435	0.02032	0.01747	0.07097	0	0.02767	0	0.01587	0.80247
V2	0.62103	0.01375	0.06635	0.00401	0.02394	0.22832	0.03828	0.00245	0.00188	0
V3	0.11313	0.09377	0.10439	0.01113	0.38188	0.00946	0.09873	0.11389	0.02044	0.05319
V4	0	0.09456	0.04069	0.00633	0.02232	0.07864	0.01643	0.00802	0.471	0.26201
V5	0	0.10621	0.02243	0.06558	0	0.05478	0.02512	0	0.01277	0.71311
V6	0	0.12243	0.18841	0.02073	0.53412	0.02613	0.01598	0.04688	0.00915	0.03616
V7	0	0.58539	0	0.01039	0.23673	0.00868	0.06612	0.05506	0.0188	0.01884
V8	0	0.61893	0.04507	0.00867	0.01356	0.02469	0.01996	0.21574	0.03771	0.01567
V9	0.00587	0	0.10745	0.10842	0.03557	0.02333	0.23127	0.42588	0.0461	0.0161
V10	0	0.13945	0	0	0.61289	0.06432	0.02601	0.11224	0.00803	0.03707
V11	0.00499	0.61025	0.00898	0.00554	0.01173	0.04811	0.01979	0.19721	0.06455	0.02884
V12	0.0028	0.03008	0.20813	0.41194	0.02277	0.00021	0.09815	0.00464	0.01582	0.20545
V13	0.10138	0.01195	0.14071	0.00029	0.04818	0.12472	0.42713	0.0012	0.11441	0.03003
V14	0.06669	0.49031	0.14364	0.05439	0.03605	0.04693	0.122	0.00812	0.02357	0.0083
V15	0.25736	0.0099	0.18554	0.45052	0.02315	0.01772	0.03279	0.00712	0.0159	0
V16	0.00169	0.06374	0.25777	0.47086	0.03749	0.0479	0.00801	0	0.09865	0.01388
V17	0.01519	0.12249	0	0.0153	0	0.06216	0.04563	0.00047	0.02074	0.71801
V18	0.0598	0.0669	0.07164	0.22495	0	0.0052	0.01613	0	0.01219	0.54318
V19	0	0	0.00711	0.05745	0	0.06336	0.02361	0.00048	0.01269	0.83531
V20	0.00029	0.2642	0.01423	0.00086	0.0048	0.00093	0.52238	0.03055	0.02076	0.141
V21	0.094	0.46472	0.02649	0.00383	0.01062	0.30923	0.027	0.02351	0.02664	0.01396
V22	2e-05	0	0	0.00855	0	0.01082	0.02661	0.18492	0.04801	0.72107
V23	0.24617	0.03054	0.49548	0.04284	0.00629	0.00983	0.01391	4e-05	0.01394	0.14097
V24	0.01578	0.6656	0.04585	0.00926	0.02498	0.00266	0.07803	0.05627	0.09229	0.00928
V25	0.02009	0.1261	0.02196	0.02534	0.01792	0.10827	0.03603	0	0.12651	0.51777
V26	0.01019	0	0.079	0	0.02367	0.03317	0.05151	0.75243	0.04171	0.00831
V27	0	0.08116	0	0.00845	0.26078	0	0.03625	0	0.01178	0.60157
V28	0.23894	0	0.02264	0.01203	0	0.01366	0.0368	0.01424	0.006	0.65569
V29	0.00097	0.70785	0.00362	0.01463	0.00724	0.09055	0.02097	0.01443	0.02237	0.11736
V30	0	0.00789	0.1212	0.00697	0.02974	0.29862	0.28393	0	0.22169	0.02995
V31	0	0.3965	0.20427	0.01783	0.06376	0.01057	0.01952	0.23874	0.02941	0.01939
V32	0.48354	0.0517	0.06304	0.0056	0.21927	0.03416	0.04053	0	0.06814	0.03403
V33	0.03026	0.01691	0.27701	0.42709	0.02934	0	0.20036	0	0.01684	0.00218
V34	0	0.06635	0	0.01183	0.11399	0	0.02751	0.00472	0.04273	0.73287
V35	0.00033	0.87418	0.00437	0.01228	0.02116	0.0096	0.02652	0.01531	0.02881	0.00744
V36	0.06353	0.0191	0.02444	0	0.04194	0	0.79326	0.01728	0.02046	0.02
V37	0	0.60939	0.00531	0.00219	0.02954	0	0.27656	0.02161	0.02975	0.02565
V38	0.14554	0	0.0896	0.13698	0.03143	0	0.56356	0	0.02133	0.01156
V39	0.08908	0.00567	0.09332	0.13347	0.06233	0	0.55597	0.00922	0.02168	0.02926
V40	0.09464	0.03629	0.647	0.05291	0.1068	0.00466	0.01248	0	0.018	0.02722
V41	0.59709	0.06354	0.09438	0.00943	0.01509	0.00291	0.01804	0.00426	0.17387	0.02139
V42	0	0.65851	0	0.0084	0.22833	0.00036	0.015	0.00075	0.02022	0.06843
V43	0.14095	0.04837	0.13916	0.06637	0.19366	0.03417	0.22241	0.01522	0.12163	0.01808
V44	0.00997	0.00286	0.57302	0.0413	0.02582	0.01499	0.02083	0.27452	0.03111	0.00558
