CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V95	0.07478	0.02997	0.28212	0.10072	0.47799	0.03443
V96	0.16079	0.26378	0.06619	0.05356	0.34578	0.1099
V97	0.0775	0.03333	0.06186	0.07774	0.71214	0.03744
V98	0.11343	0.07366	0.04047	0.50129	0.2314	0.03973
V99	0.09375	0.0322	0.03707	0.6177	0.18396	0.03532
V100	0.088	0.02779	0.39088	0.19277	0.24594	0.05462
V101	0.11422	0.24986	0.361	0.07967	0.15078	0.04447
V102	0.54458	0.05641	0.14707	0.02221	0.1328	0.09694
V103	0.4695	0.05921	0.07901	0.11958	0.17357	0.09913
V104	0.10548	0.02039	0.20444	0.45579	0.17148	0.04242
V105	0.27003	0.04185	0.11928	0.02194	0.16477	0.38211
V106	0.14771	0.02817	0.48948	0.01212	0.14698	0.17554
V107	0.17204	0.39487	0.21512	0.02097	0.15336	0.04365
V108	0.22457	0.05937	0.08471	0.02881	0.3027	0.29984
V109	0.23611	0.04682	0.06782	0.02345	0.29313	0.33268
V110	0.12	0.12757	0.54478	0.01213	0.14251	0.05302
V111	0.07787	0.03212	0.67952	0.02502	0.14849	0.03699
V112	0.13176	0.23193	0.03845	0.38336	0.1739	0.04059
V113	0.09637	0.08211	0.50604	0.03927	0.23515	0.04105
V114	0.16856	0.02443	0.51712	0.10689	0.13596	0.04704
V115	0.37197	0.08332	0.07827	0.03812	0.23645	0.19187
V116	0.57263	0.05238	0.0855	0.05215	0.13585	0.10149
V117	0.40517	0.05078	0.06411	0.08168	0.31841	0.07984
V118	0.14955	0.4169	0.13296	0.04476	0.20385	0.05198
V119	0.16147	0.48364	0.07606	0.05084	0.17022	0.05778
V120	0.15819	0.15783	0.11954	0.28731	0.21995	0.05717
V121	0.3212	0.04614	0.06097	0.19774	0.15399	0.21997
V122	0.27243	0.04544	0.04952	0.39278	0.18271	0.05712
V123	0.33772	0.04994	0.06372	0.05241	0.25012	0.24609
V124	0.08059	0.02469	0.27252	0.0326	0.55025	0.03936
V125	0.11024	0.12234	0.50792	0.05479	0.13931	0.0654
V126	0.22984	0.20347	0.09815	0.02666	0.16687	0.27501
V127	0.10442	0.02066	0.61695	0.07464	0.14345	0.03987
V128	0.29428	0.19366	0.13231	0.11855	0.19091	0.07029
V129	0.08022	0.03223	0.64094	0.06236	0.14423	0.04002
V130	0.39449	0.1172	0.0657	0.17397	0.16694	0.0817
V131	0.11921	0.03039	0.07433	0.04185	0.63356	0.10066
V132	0.12977	0.30691	0.32479	0.01823	0.17923	0.04108
V133	0.12746	0.14825	0.44124	0.0687	0.17414	0.04021
V134	0.2274	0.39261	0.07127	0.02972	0.21271	0.0663
V135	0.12999	0.03081	0.56631	0.01186	0.17275	0.08829
V136	0.18672	0.42841	0.11359	0.03485	0.18356	0.05287
V137	0.10996	0.12924	0.43874	0.02832	0.25813	0.03561
V138	0.19833	0.03269	0.05683	0.28558	0.2229	0.20367
V139	0.14659	0.06634	0.16253	0.02913	0.42988	0.16553
V140	0.42321	0.17765	0.09944	0.06362	0.14784	0.08824
V141	0.24627	0.19764	0.1397	0.17986	0.17043	0.06609
V142	0.20559	0.42676	0.07495	0.0596	0.16112	0.07197
V143	0.12683	0.06414	0.4891	0.06412	0.20419	0.05163
V144	0.23816	0.14989	0.06859	0.09989	0.16676	0.2767
V145	0.09779	0.01973	0.04317	0.62051	0.17267	0.04614
V146	0.16088	0.03848	0.10943	0.03326	0.58071	0.07725
V147	0.38614	0.08877	0.1442	0.04717	0.14485	0.18888
V148	0.09919	0.13817	0.57245	0.01246	0.13734	0.04038
V149	0.20928	0.3275	0.06092	0.0388	0.16257	0.20093
V150	0.09803	0.01963	0.03115	0.61833	0.1967	0.03615
V151	0.22146	0.282	0.06124	0.02808	0.17819	0.22903
V152	0.13854	0.17681	0.34921	0.04041	0.23017	0.06486
V153	0.08111	0.04642	0.49551	0.17984	0.16128	0.03584
V154	0.37036	0.17316	0.07579	0.01973	0.15239	0.20857
V155	0.14223	0.25595	0.11688	0.02451	0.39813	0.06231
V156	0.12094	0.32465	0.06312	0.02842	0.42378	0.03909
V157	0.19852	0.1085	0.07964	0.19767	0.17205	0.24361
V158	0.0941	0.05977	0.65713	0.01177	0.13576	0.04148
V159	0.18451	0.17826	0.27925	0.12524	0.17274	0.05999
V160	0.09618	0.0211	0.66208	0.01764	0.13655	0.06646
V161	0.13094	0.33126	0.04786	0.22507	0.22642	0.03845
V162	0.14408	0.3544	0.0542	0.10217	0.2935	0.05166
V163	0.0891	0.02015	0.70052	0.01218	0.13597	0.04208
V164	0.11667	0.24572	0.30409	0.08784	0.20365	0.04202
V165	0.11262	0.0429	0.0808	0.04187	0.6363	0.08551
V166	0.15583	0.03918	0.04975	0.12326	0.45673	0.17524
V167	0.08791	0.01918	0.3463	0.34046	0.1693	0.03685
V168	0.47626	0.05265	0.07102	0.16796	0.13888	0.09323
V169	0.09353	0.02641	0.54102	0.14692	0.14754	0.04458
V170	0.34666	0.05772	0.12675	0.20503	0.18978	0.07406
V171	0.23346	0.31043	0.07453	0.02186	0.17007	0.18965
V172	0.14198	0.07289	0.42574	0.12764	0.14761	0.08414
V173	0.10598	0.03567	0.60546	0.01108	0.14981	0.092
V174	0.44249	0.10792	0.077	0.02598	0.26385	0.08275
V175	0.17221	0.40931	0.1461	0.03401	0.19173	0.04664
V176	0.07619	0.01943	0.69941	0.01917	0.1485	0.03729
V177	0.18947	0.08644	0.28069	0.0353	0.26128	0.14683
V178	0.09481	0.05452	0.08205	0.03169	0.68825	0.04868
V179	0.12305	0.02479	0.06821	0.43488	0.23859	0.11048
V180	0.2551	0.03891	0.18253	0.26859	0.14665	0.10822
V181	0.39296	0.11379	0.10959	0.05936	0.18902	0.13528
V182	0.09518	0.08038	0.58408	0.05481	0.13798	0.04758
V183	0.1037	0.01967	0.0369	0.63126	0.17185	0.03662
V184	0.32037	0.27397	0.07241	0.03849	0.22392	0.07083
V185	0.19587	0.34269	0.07772	0.02862	0.24322	0.11188
V186	0.07745	0.01857	0.4868	0.23279	0.15173	0.03267
V187	0.27389	0.32142	0.06576	0.03449	0.24285	0.0616
V188	0.21509	0.37422	0.0689	0.03905	0.16125	0.1415
V189	0.11052	0.07525	0.18144	0.04301	0.49553	0.09425
V190	0.12981	0.14957	0.05861	0.03918	0.51302	0.1098
V191	0.19646	0.37458	0.06251	0.02857	0.17257	0.16531
V192	0.39018	0.17737	0.12929	0.03547	0.17928	0.0884
V193	0.25921	0.12006	0.0703	0.02826	0.17233	0.34983
V194	0.08923	0.0404	0.07192	0.10732	0.64348	0.04766
V195	0.08122	0.0204	0.56405	0.07798	0.219	0.03736
V196	0.09295	0.01951	0.05073	0.59596	0.20208	0.03877
V197	0.2095	0.03457	0.07811	0.03369	0.58497	0.05917
V198	0.17749	0.27639	0.08286	0.1148	0.29449	0.05396
V199	0.11199	0.17653	0.12675	0.09195	0.44979	0.04299
V200	0.1294	0.03	0.44965	0.16216	0.14843	0.08037
V201	0.1054	0.02028	0.03017	0.62178	0.17207	0.05031
V202	0.15617	0.07015	0.3516	0.0406	0.24201	0.13947
V203	0.41878	0.06138	0.06415	0.23107	0.1429	0.08174
V204	0.25323	0.07193	0.08773	0.12747	0.16594	0.29371
V205	0.08352	0.03249	0.68554	0.02441	0.13652	0.03753
V206	0.09645	0.05332	0.11979	0.50775	0.18807	0.03462
V207	0.32216	0.15296	0.08658	0.16916	0.16441	0.10473
V208	0.30884	0.08791	0.32566	0.04421	0.16805	0.06533
V209	0.28243	0.31516	0.06502	0.04292	0.16126	0.13321
V210	0.14471	0.0365	0.62991	0.01102	0.13288	0.04498
V211	0.39225	0.06416	0.13816	0.02391	0.24047	0.14105
V212	0.11539	0.19876	0.18977	0.25735	0.19439	0.04435
V213	0.10959	0.07319	0.24888	0.04239	0.48476	0.04119
V214	0.53324	0.06256	0.09415	0.05262	0.15848	0.09895
V215	0.19561	0.40024	0.06234	0.04451	0.16245	0.13485
V216	0.18907	0.32273	0.25645	0.02414	0.15893	0.04868
V217	0.25121	0.03798	0.08903	0.07913	0.33562	0.20703
V218	0.14506	0.23277	0.04594	0.35924	0.17797	0.039
V219	0.54034	0.0519	0.09153	0.01833	0.14486	0.15303
V220	0.15526	0.03055	0.04606	0.55392	0.16521	0.049
V221	0.18864	0.43881	0.08546	0.07026	0.16641	0.05042
V222	0.15047	0.20838	0.08079	0.12017	0.3827	0.0575
V223	0.17914	0.22394	0.23575	0.02257	0.16648	0.17212
V224	0.07796	0.02408	0.35422	0.02359	0.48486	0.0353
V225	0.30685	0.05013	0.08043	0.02813	0.165	0.36946
V226	0.24932	0.06573	0.19821	0.19585	0.21678	0.07411
V227	0.44914	0.04519	0.0695	0.15899	0.14738	0.1298
V228	0.17518	0.17729	0.36797	0.05043	0.16295	0.06619
V229	0.18525	0.03497	0.30995	0.17768	0.22918	0.06296
V230	0.11826	0.12729	0.55041	0.01787	0.1367	0.04947
V231	0.12526	0.03483	0.03903	0.5757	0.18617	0.03901
V232	0.34707	0.04776	0.05557	0.20267	0.15676	0.19016
V233	0.53774	0.05664	0.09415	0.05811	0.14772	0.10564
V234	0.35549	0.04228	0.06476	0.03495	0.42484	0.07768
V235	0.14342	0.02309	0.05233	0.5556	0.17764	0.04793
V236	0.13636	0.03032	0.19225	0.03635	0.48013	0.12459
V237	0.08234	0.01934	0.62849	0.08201	0.1505	0.03732
V238	0.44437	0.04681	0.09983	0.07217	0.16587	0.17095
V239	0.38544	0.06127	0.13964	0.10336	0.21592	0.09436
V240	0.10217	0.18665	0.0508	0.10671	0.51426	0.03941
V241	0.40158	0.14223	0.06907	0.12961	0.17218	0.08534
V242	0.29432	0.0727	0.08802	0.1328	0.20778	0.20439
V243	0.12334	0.26591	0.36	0.0454	0.16591	0.03944
V244	0.19404	0.04942	0.06277	0.02606	0.51016	0.15755
V245	0.50907	0.05035	0.08375	0.01865	0.15376	0.18443
V246	0.09212	0.05608	0.21161	0.26628	0.33281	0.0411
V247	0.30283	0.09304	0.06344	0.13818	0.16795	0.23456
V248	0.24078	0.05519	0.052	0.1693	0.40785	0.07488
V249	0.23711	0.13707	0.31335	0.06787	0.14044	0.10416
V250	0.10114	0.03294	0.03661	0.61812	0.17172	0.03946
V251	0.14363	0.36775	0.15188	0.13	0.16192	0.04482
V252	0.09363	0.02671	0.06429	0.57239	0.20071	0.04227
V253	0.16874	0.07157	0.04889	0.2831	0.24751	0.1802
V254	0.13312	0.19678	0.10437	0.14521	0.35583	0.06469
V255	0.30831	0.22303	0.11099	0.05923	0.18704	0.1114
V256	0.16198	0.50185	0.06903	0.033	0.18116	0.05298
