cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.25555	0.02181	0.08212	0.64052
V2	0.02648	0.02895	0.01527	0.9293
V3	0.01684	0.32043	0.00271	0.66002
V4	0.796	0.13937	0.00033	0.0643
V5	0.03204	0.33183	0.15076	0.48538
V6	0.03125	0.717	0.00227	0.24948
V7	0.03352	0.14008	0.02333	0.80306
V8	0.04885	0.08738	0.8021	0.06167
V9	0.05331	0.07645	0.00746	0.86278
V10	0.01253	0.08741	0.81016	0.0899
V11	0.10121	0.34415	0.4646	0.09004
V12	0.00741	0.49749	0.3338	0.16129
V13	0.14258	0.63581	0	0.22161
V14	0.03461	0.74946	0	0.21592
V15	0.03614	0.41719	0.0484	0.49828
V16	0.85976	0.06872	0.00894	0.06258
V17	0.03485	0.71664	0	0.24851
V18	0.45503	0.34726	0.01546	0.18225
V19	0.07516	0.70551	0	0.21933
V20	0.0428	0.21244	0.00354	0.74122
V21	0.04678	0.09806	0.78957	0.06559
V22	0.00195	0.0331	0.08855	0.8764
V23	0.23924	0.09662	0.6489	0.01524
V24	0.84989	0.0955	0.05461	0
V25	0.11896	0.10678	0.04922	0.72504
V26	0.16872	0.24899	0.00374	0.57854
V27	0.02386	0.02443	0.00936	0.94235
V28	0.0074	0.16634	0.81199	0.01426
V29	0.2901	0.08104	0.55836	0.07051
V30	0.01857	0.07582	0.11763	0.78797
V31	0.05566	0.08685	0.14888	0.70861
V32	0.0212	0.01399	0.01487	0.94994
V33	0.01067	0.37386	0.28283	0.33264
V34	0.04535	0.09269	0.79823	0.06374
V35	0.07097	0.65258	0.0342	0.24225
V36	0.00131	0.03639	0.25202	0.71028
V37	0.23514	0.03523	0.03842	0.69121
V38	0.14432	0.01703	0.07983	0.75883
V39	0.05746	0.41944	0.05638	0.46671
V40	0.05801	0.68653	0.07147	0.18399
V41	0.00478	0.36634	0.01403	0.61484
V42	0.04813	0.01491	0.08512	0.85183
V43	0.0502	0.2952	0.52142	0.13318
V44	0.00191	0.07338	0.59954	0.32516
V45	0.0321	0.47968	0.14168	0.34654
V46	0.76954	0.10878	0.11086	0.01082
V47	0.31107	0.17943	0.34119	0.16832
V48	0.7354	0.18528	0.00198	0.07734
V49	0.5894	0.16706	0.00019	0.24335
V50	0.02965	0.70903	0.04729	0.21403
V51	0.17881	0.40222	0.2443	0.17467
V52	0.00562	0.12401	0.79555	0.07483
V53	0.64788	0.16047	0.17472	0.01693
V54	0.29662	0.19439	0.42251	0.08648
V55	0.05161	0.04481	0.09778	0.80579
V56	0.01261	0.01061	0.05601	0.92077
V57	0.03954	0.72482	0.00509	0.23055
V58	0.29408	0.01667	0.01921	0.67005
V59	0.29697	0.40697	0.06369	0.23237
V60	0.02862	0.05381	0.1525	0.76507
V61	0.66968	0.09463	0.00464	0.23105
V62	0.85893	0.07266	0.04717	0.02124
V63	0.00781	0.69011	0.06502	0.23707
V64	0.01448	0.57394	0	0.41158
V65	0.00766	0.0118	0.08547	0.89507
V66	0.09316	0.58934	0.00075	0.31675
V67	0.06784	0.29849	0.53915	0.09452
V68	0.0287	0.04579	0.00578	0.91973
V69	0.00502	0.23981	0.59663	0.15854
V70	0.36565	0.11309	0.11951	0.40175
V71	0.04055	0.03291	0.19618	0.73037
V72	0.34655	0.09575	0.04737	0.51034
V73	0.05748	0.51224	0.0682	0.36209
V74	0.02947	0.22124	0.71102	0.03827
V75	0.54415	0.04576	0.16163	0.24846
V76	0.00119	0.06315	0.08085	0.85481
V77	0.01088	0.10188	0.00313	0.88411
V78	0.08747	0.03906	0.07301	0.80046
V79	0.00129	0.10307	0.7212	0.17444
V80	0.16798	0.07016	0.55108	0.21078
V81	0.01974	0.16121	0.78399	0.03506
V82	0	0.13416	0.83773	0.02811
V83	0.02471	0.05198	0.01967	0.90364
V84	0.12429	0.02047	0.06288	0.79237
V85	0.03027	0.19541	0.30019	0.47413
V86	0.01613	0.09404	0.81073	0.0791
V87	0.01122	0.64837	0.01636	0.32405
V88	0.03584	0.02274	0.11748	0.82394
V89	0.00557	0.0148	0.11043	0.8692
V90	0.01118	0.73473	0.02238	0.2317
V91	0.01112	0.62684	0.12753	0.23451
V92	0.23874	0.05785	0.35681	0.3466
V93	0.71712	0.04728	0.00165	0.23396
V94	0.00322	0.17447	0.00847	0.81384
V95	0.11261	0.31772	0.07935	0.49032
V96	0.01577	0.0383	0.01067	0.93527
V97	0.61458	0.13401	0.23017	0.02123
V98	0.58791	0.31586	0	0.09623
V99	0.75338	0.08954	0.15283	0.00425
V100	0.02454	0.0923	0.83628	0.04688
V101	0.01481	0.04744	0.00294	0.9348
V102	0.8849	0.08832	0.00372	0.02306
V103	0.00158	0.02504	0.05869	0.91469
V104	0.01786	0.75983	0	0.22231
V105	0.02592	0.7531	0.00335	0.21763
V106	0.04516	0.45218	0.29106	0.21161
V107	0.07932	0.16991	0.60389	0.14688
V108	0.09082	0.65647	0.0806	0.17211
V109	0.00275	0.09325	0.42283	0.48117
V110	0.02457	0.71674	0.01118	0.24751
V111	0.87121	0.06133	0.06669	0.00076
V112	0.03092	0.03378	0.24288	0.69243
V113	0.03984	0.03305	0.0623	0.86481
V114	0.05459	0.01707	0.02388	0.90445
V115	0.0058	0.63042	0.18244	0.18133
V116	0.04312	0.19772	0.27428	0.48488
V117	0.58936	0.24417	0.01255	0.15391
V118	0.05356	0.35525	0.00657	0.58462
V119	0.02166	0.02741	0.01612	0.93482
V120	0.02551	0.11009	0.82677	0.03763
V121	0.35457	0.07679	0.04671	0.52193
V122	0.90721	0.06122	0.01302	0.01856
V123	0.00323	0.21671	0.01371	0.76635
V124	0.52916	0.27401	0	0.19684
V125	0.26635	0.43178	0.14006	0.16181
V126	0.00712	0.0517	0.01612	0.92506
V127	0.03518	0.01956	0.11313	0.83214
V128	0.00951	0.01124	0.07209	0.90716
V129	0.50506	0.23775	0.12871	0.12848
V130	0.00529	0.55125	0.28395	0.15951
V131	0.01807	0.6555	0	0.32643
V132	0.88549	0.05353	0.02081	0.04017
V133	0.87745	0.06501	0.0369	0.02064
V134	0.02304	0.1673	0.04074	0.76892
V135	0.0162	0.01301	0.08401	0.88678
V136	0.06909	0.19141	0.00236	0.73714
V137	0.52547	0.06237	0.22871	0.18345
V138	0.07852	0.24708	0.08438	0.59003
V139	0.14114	0.10821	0.09286	0.65778
V140	0.00633	0.03707	0.02194	0.93467
V141	0.0127	0.08808	0.37892	0.5203
V142	0.67902	0.08102	0.23996	0
V143	0.18267	0.14124	0.02679	0.6493
V144	0.03547	0.04915	0.05505	0.86034
V145	0.0048	0.63091	0.18282	0.18147
V146	0.0184	0.01009	0.02087	0.95064
V147	0.84668	0.05671	0.01068	0.08593
V148	0.03887	0.06564	0.44054	0.45495
V149	0.14359	0.5102	0.19949	0.14672
V150	0.02503	0.18117	0.57406	0.21975
V151	0.08226	0.47559	0.00617	0.43597
V152	0.11082	0.37406	0.14591	0.36921
V153	0.03921	0.55141	0.00102	0.40836
V154	0.12838	0.44188	0.24305	0.18669
V155	0.30566	0.12965	0.25902	0.30567
V156	0.00575	0.10766	0.60931	0.27728
V157	0.11874	0.08842	0.2034	0.58944
V158	0.01268	0.00796	0.05509	0.92427
V159	0.80431	0.08371	0.00018	0.1118
