CD19B	CD56NK	CD4MemoryT	CD14
V139	0.27377	0.24898	0.20219	0.27506
V140	0.07418	0.16997	0.11583	0.64002
V141	0.10535	0.22125	0.40263	0.27077
V142	0.58502	0.09113	0.22436	0.09949
V143	0.31827	0.28355	0.12509	0.27309
V144	0.16077	0.21477	0.1851	0.43936
V145	0.0505	0.63109	0.20453	0.11387
V146	0.08817	0.11912	0.10608	0.68663
V147	0.6568	0.1026	0.1062	0.1344
V148	0.15025	0.16246	0.4318	0.25548
V149	0.22361	0.45904	0.20781	0.10955
V150	0.12232	0.27636	0.43385	0.16748
V151	0.17954	0.53378	0.08566	0.20102
V152	0.20105	0.40902	0.20798	0.18196
V153	0.11537	0.61501	0.07387	0.19575
V154	0.21112	0.41568	0.24128	0.13191
V155	0.35712	0.20387	0.26047	0.17855
V156	0.09052	0.21028	0.49802	0.20118
V157	0.25004	0.21772	0.2715	0.26074
V158	0.06693	0.11527	0.1005	0.7173
V159	0.63616	0.13579	0.08797	0.14008
V160	0.49736	0.09303	0.13485	0.27476
V161	0.18684	0.1087	0.1085	0.59595
V162	0.0932	0.31229	0.12771	0.4668
V163	0.11533	0.43931	0.17582	0.26954
V164	0.26331	0.31761	0.14481	0.27427
V165	0.05793	0.28703	0.07538	0.57966
V166	0.06234	0.1768	0.12548	0.63538
V167	0.27117	0.09689	0.09219	0.53975
V168	0.23219	0.49641	0.12053	0.15087
V169	0.17066	0.14332	0.11186	0.57416
V170	0.13506	0.12503	0.40054	0.33937
V171	0.15038	0.27534	0.43409	0.14019
V172	0.53265	0.09357	0.26666	0.10712
V173	0.07306	0.20773	0.10905	0.61016
V174	0.06544	0.2239	0.1271	0.58355
V175	0.11328	0.11529	0.56959	0.20185
V176	0.05402	0.66373	0.1676	0.11464
V177	0.04989	0.77015	0.0578	0.12216
V178	0.04912	0.62759	0.06192	0.26137
V179	0.1685	0.11181	0.31886	0.40082
V180	0.06428	0.71847	0.10972	0.10753
V181	0.16999	0.20114	0.40706	0.22181
V182	0.25311	0.23472	0.36089	0.15128
V183	0.16467	0.65895	0.06542	0.11096
V184	0.7166	0.08423	0.09946	0.09971
V185	0.42183	0.38741	0.08426	0.1065
V186	0.1322	0.43457	0.2312	0.20202
V187	0.68884	0.09106	0.11396	0.10614
V188	0.08974	0.26502	0.07655	0.56869
V189	0.58082	0.10432	0.10118	0.21368
V190	0.49365	0.10252	0.29631	0.10752
V191	0.18387	0.25259	0.42405	0.13949
V192	0.23948	0.42458	0.10264	0.2333
V193	0.44384	0.12178	0.23775	0.19663
V194	0.06873	0.74033	0.063	0.12794
V195	0.07919	0.13069	0.67676	0.11335
V196	0.06485	0.15711	0.09244	0.6856
V197	0.30954	0.1351	0.10443	0.45093
V198	0.10031	0.45089	0.29449	0.1543
V199	0.1619	0.12501	0.19512	0.51797
V200	0.13051	0.48847	0.07853	0.30249
V201	0.11615	0.4845	0.18265	0.21669
V202	0.08026	0.1244	0.55909	0.23625
V203	0.16579	0.39822	0.31096	0.12503
V204	0.05036	0.47034	0.07122	0.40808
V205	0.08387	0.14886	0.64522	0.12205
V206	0.10358	0.17624	0.60883	0.11135
V207	0.13745	0.23895	0.11458	0.50901
V208	0.23139	0.15448	0.49685	0.11728
V209	0.23876	0.42361	0.11782	0.21981
V210	0.10471	0.62532	0.12234	0.14763
V211	0.31811	0.10707	0.1099	0.46492
V212	0.39253	0.12887	0.35681	0.12179
V213	0.4596	0.11519	0.16142	0.26379
V214	0.25892	0.2189	0.18544	0.33674
V215	0.2319	0.17308	0.09566	0.49936
V216	0.07795	0.11427	0.1005	0.70728
V217	0.08144	0.44335	0.21111	0.2641
V218	0.11523	0.40814	0.17786	0.29876
V219	0.11549	0.53938	0.07096	0.27418
V220	0.04974	0.66744	0.06102	0.2218
V221	0.58068	0.08751	0.09199	0.23981
V222	0.25882	0.20314	0.30406	0.23398
V223	0.07055	0.21169	0.54983	0.16793
V224	0.70683	0.08473	0.1085	0.09993
V225	0.08314	0.70489	0.09845	0.11353
V226	0.26514	0.16628	0.45218	0.1164
V227	0.57864	0.08972	0.21797	0.11367
V228	0.55052	0.1427	0.13295	0.17384
V229	0.08496	0.129	0.65751	0.12853
V230	0.06635	0.12615	0.09993	0.70756
V231	0.06351	0.2999	0.14558	0.49101
V232	0.07351	0.55121	0.06007	0.31521
V233	0.41287	0.16476	0.21193	0.21043
V234	0.06917	0.72994	0.07913	0.12177
V235	0.3036	0.14821	0.41577	0.13242
V236	0.10169	0.16172	0.56866	0.16794
V237	0.15308	0.11024	0.11159	0.62509
V238	0.14135	0.4838	0.22884	0.14601
V239	0.0917	0.37909	0.08455	0.44467
V240	0.37713	0.12719	0.35164	0.14405
V241	0.08353	0.12168	0.63357	0.16122
V242	0.13605	0.6222	0.12375	0.11799
V243	0.22367	0.13853	0.47153	0.16628
V244	0.20367	0.11111	0.51125	0.17397
V245	0.43121	0.30654	0.11417	0.14809
V246	0.10657	0.21634	0.54996	0.12713
V247	0.18002	0.12302	0.59315	0.10382
V248	0.07098	0.1316	0.11486	0.68256
V249	0.07014	0.14204	0.62636	0.16147
V250	0.56526	0.09169	0.23559	0.10746
V251	0.68164	0.11568	0.09733	0.10536
V252	0.05411	0.68148	0.15754	0.10687
V253	0.28054	0.1552	0.18685	0.3774
V254	0.0509	0.74194	0.09228	0.11488
V255	0.07443	0.72803	0.05573	0.14181
V256	0.17611	0.25864	0.39077	0.17448
V257	0.31847	0.17696	0.23016	0.27441
V258	0.17354	0.29272	0.33285	0.20089
V259	0.08814	0.31354	0.45693	0.14139
V260	0.06576	0.30968	0.51324	0.11132
V261	0.4489	0.11901	0.2148	0.21729
V262	0.11486	0.14522	0.09638	0.64354
V263	0.05633	0.75753	0.05853	0.12761
V264	0.16874	0.13499	0.34364	0.35263
V265	0.07753	0.11184	0.16931	0.64133
V266	0.4761	0.34234	0.08231	0.09924
V267	0.05543	0.23698	0.24656	0.46104
V268	0.29329	0.11741	0.17877	0.41053
V269	0.05838	0.48838	0.30463	0.14862
V270	0.47115	0.11513	0.24478	0.16894
V271	0.56955	0.13976	0.10973	0.18096
V272	0.08029	0.66318	0.06684	0.18969
V273	0.08834	0.12383	0.11199	0.67584
V274	0.51091	0.09006	0.21038	0.18864
V275	0.07431	0.1305	0.68182	0.11336
V276	0.36528	0.33551	0.08234	0.21687
V277	0.07676	0.25263	0.17716	0.49345
V278	0.08222	0.15336	0.25801	0.50641
V279	0.49396	0.13561	0.16115	0.20928
V280	0.06693	0.11527	0.1005	0.7173
V281	0.39634	0.117	0.18061	0.30605
V282	0.10776	0.16205	0.57618	0.15401
V283	0.18036	0.49816	0.10683	0.21465
V284	0.06441	0.724	0.09735	0.11424
V285	0.11989	0.12128	0.65363	0.1052
V286	0.20369	0.47814	0.13737	0.1808
V287	0.10924	0.69649	0.06759	0.12668
V288	0.06794	0.30328	0.32987	0.29892
V289	0.23895	0.26172	0.3334	0.16593
V290	0.59943	0.20762	0.09447	0.09848
V291	0.37679	0.15268	0.35604	0.11449
V292	0.67191	0.08969	0.09187	0.14653
V293	0.25966	0.11814	0.48317	0.13903
V294	0.10356	0.35434	0.07346	0.46864
V295	0.06514	0.23446	0.19456	0.50585
V296	0.17937	0.19572	0.45157	0.17334
V297	0.10274	0.10856	0.13052	0.65818
V298	0.25772	0.17972	0.4458	0.11676
V299	0.09392	0.29441	0.08496	0.52671
V300	0.05944	0.13154	0.22388	0.58513
V301	0.14536	0.19088	0.46904	0.19473
V302	0.47585	0.33542	0.07719	0.11153
V303	0.05405	0.51467	0.29706	0.13423
V304	0.10633	0.13103	0.53254	0.23009
V305	0.13948	0.2242	0.3525	0.28381
V306	0.57539	0.16145	0.12246	0.14071
V307	0.05674	0.75264	0.06889	0.12173
V308	0.19855	0.26774	0.25684	0.27688
V309	0.25191	0.32054	0.09201	0.33554
V310	0.1012	0.32362	0.1672	0.40797
V311	0.38355	0.43396	0.07542	0.10706
V312	0.11278	0.60782	0.15262	0.12679
V313	0.05866	0.18268	0.09588	0.66278
V314	0.05864	0.43002	0.13882	0.37252
V315	0.12423	0.52803	0.0856	0.26214
V316	0.2513	0.2037	0.31753	0.22747
V317	0.10183	0.57799	0.09084	0.22934
V318	0.06896	0.48025	0.07392	0.37686
V319	0.1095	0.15389	0.60148	0.13512
V320	0.11755	0.21457	0.46686	0.20102
V321	0.46906	0.34964	0.08185	0.09945
V322	0.16936	0.32505	0.12058	0.38501
V323	0.08962	0.12497	0.14042	0.64499
V324	0.47675	0.27742	0.12684	0.119
V325	0.24517	0.54275	0.10291	0.10917
V326	0.04676	0.48467	0.12497	0.3436
V327	0.066	0.21007	0.14613	0.5778
V328	0.10043	0.13101	0.53187	0.23669
V329	0.16116	0.18722	0.18571	0.46591
V330	0.30181	0.10626	0.29656	0.29537
V331	0.26079	0.16453	0.11335	0.46133
V332	0.06361	0.14611	0.19392	0.59636
V333	0.32178	0.1599	0.32619	0.19213
V334	0.28058	0.10786	0.30716	0.3044
V335	0.07752	0.34165	0.3787	0.20212
V336	0.15869	0.57813	0.07603	0.18715
V337	0.23427	0.37997	0.25412	0.13165
V338	0.04437	0.77707	0.06376	0.11481
V339	0.15256	0.11873	0.61679	0.11191
V340	0.09908	0.26995	0.38842	0.24255
V341	0.07079	0.13185	0.12403	0.67333
V342	0.22334	0.10915	0.4606	0.20691
V343	0.69994	0.09617	0.0986	0.10529
V344	0.49509	0.20401	0.20135	0.09956
V345	0.07945	0.13095	0.68302	0.10658
V346	0.19818	0.18886	0.25258	0.36038
V347	0.08286	0.11614	0.16472	0.63628
V348	0.0839	0.54718	0.1528	0.21611
V349	0.2724	0.22542	0.31659	0.18559
V350	0.06692	0.65762	0.16813	0.10733
V351	0.07125	0.13277	0.32144	0.47454
V352	0.10343	0.1272	0.60101	0.16836
V353	0.62585	0.10458	0.1155	0.15407
V354	0.08242	0.57598	0.20096	0.14064
V355	0.233	0.16378	0.36307	0.24015
V356	0.07555	0.12606	0.14526	0.65314
V357	0.12718	0.33552	0.23956	0.29774
V358	0.38256	0.17463	0.11811	0.32469
