CD56NK	CD4MemoryT	CD19B	CD14
V141	0.06076	0.09929	0.55328	0.28667
V142	0.8042	0	0.1958	0
V143	0.44838	0.2019	0.06409	0.28562
V144	0.1566	0.09831	0.15788	0.58721
V145	0.00048	0.75504	0.23721	0.00728
V146	0.04522	0.00086	0.02119	0.93273
V147	0.93161	0.00792	0.01717	0.04331
V148	0.12683	0.03433	0.58358	0.25526
V149	0.28684	0.48076	0.22619	0.00622
V150	0.08788	0.18621	0.62563	0.10028
V151	0.21988	0.59003	0.03203	0.15806
V152	0.25235	0.39697	0.22804	0.12264
V153	0.11121	0.72637	0.01712	0.1453
V154	0.26521	0.4144	0.28164	0.03875
V155	0.50359	0.09274	0.28794	0.11573
V156	0.03053	0.08643	0.72344	0.15961
V157	0.31503	0.10113	0.31583	0.26802
V158	0.01242	0	0.01667	0.97091
V159	0.90619	0.04006	0	0.05375
V160	0.67856	0	0.05881	0.26263
V161	0.19149	0	0.02359	0.78492
V162	0.05939	0.23277	0.07403	0.63381
V163	0.0976	0.43702	0.17267	0.29271
V164	0.35435	0.24672	0.10585	0.29308
V165	0.00756	0.20821	0	0.78423
V166	0.00771	0.05726	0.05902	0.87601
V167	0.32243	0	0.00328	0.6743
V168	0.31038	0.53796	0.07889	0.07276
V169	0.17304	0.0259	0.03014	0.77092
V170	0.09937	0.00331	0.50687	0.39045
V171	0.13585	0.19028	0.62319	0.05068
V172	0.73363	0	0.26034	0.00603
V173	0.02275	0.09856	0.03194	0.84674
V174	0.01405	0.11283	0.06555	0.80757
V175	0.06102	0	0.78647	0.15251
V176	0.00724	0.81066	0.17484	0.00725
V177	0.00927	0.97148	0	0.01925
V178	0.00666	0.72778	0.00303	0.26254
V179	0.15086	0	0.36214	0.487
V180	0.02906	0.89212	0.07877	5e-05
V181	0.16761	0.08145	0.55495	0.19599
V182	0.32248	0.12808	0.47681	0.07263
V183	0.19788	0.79004	0.00474	0.00734
V184	0.99236	0	0.00751	0.00013
V185	0.60355	0.37909	0.01124	0.00612
V186	0.12245	0.43764	0.27669	0.16322
V187	0.96746	5e-04	0.02526	0.00678
V188	0.05065	0.17872	0	0.77063
V189	0.8133	0.00613	0.01523	0.16533
V190	0.68128	0.00065	0.31201	0.00605
V191	0.20044	0.15548	0.59403	0.05005
V192	0.31799	0.415	0.04768	0.21932
V193	0.61444	0.01132	0.2316	0.14265
V194	0.0377	0.92875	0.00448	0.02907
V195	0.00793	0.01022	0.97259	0.00926
V196	0.00999	0.04176	0.00686	0.94139
V197	0.39169	0.02307	0.02146	0.56379
V198	0.06473	0.46843	0.3914	0.07544
V199	0.15067	0.00638	0.15901	0.68394
V200	0.12938	0.51149	0.0153	0.34382
V201	0.09935	0.51416	0.19736	0.18913
V202	0.01294	0.00326	0.77278	0.21103
V203	0.17737	0.38694	0.40804	0.02766
V204	0.00641	0.47111	0.00212	0.52037
V205	0.01563	0.02794	0.9374	0.01903
V206	0.04667	0.05761	0.88783	0.00789
V207	0.12143	0.13451	0.04618	0.69789
V208	0.26715	0.03368	0.68225	0.01692
V209	0.3202	0.41833	0.06698	0.1945
V210	0.09052	0.75315	0.09351	0.06282
V211	0.395	0.00172	0.02845	0.57483
V212	0.53321	0.01582	0.42551	0.02545
V213	0.63345	0.01043	0.10537	0.25076
V214	0.33093	0.10633	0.16109	0.40165
V215	0.27311	0.05721	0.01431	0.65537
V216	0.02909	0	0.01592	0.95499
V217	0.0413	0.43896	0.23911	0.28062
V218	0.09712	0.38882	0.17059	0.34347
V219	0.10821	0.59017	0.00898	0.29264
V220	0.00673	0.8	0.00311	0.19016
V221	0.79453	0	0.00344	0.20203
V222	0.32702	0.08449	0.37169	0.2168
V223	0.00555	0.09128	0.80484	0.09833
V224	0.97901	0	0.02092	7e-05
V225	0.05931	0.87767	0.05574	0.00728
V226	0.32844	0.04877	0.60626	0.01653
V227	0.80024	0	0.18488	0.01488
V228	0.79535	0.03709	0.06168	0.10587
V229	0.01541	0.00709	0.94751	0.02999
V230	0.01116	0.0103	0.01594	0.96261
V231	0.01307	0.21266	0.10242	0.67185
V232	0.0432	0.59871	0	0.35809
V233	0.58428	0.05128	0.19576	0.16868
V234	0.03784	0.91653	0.0273	0.01833
V235	0.39752	0.03029	0.53498	0.0372
V236	0.04244	0.03557	0.82467	0.09732
V237	0.14194	0	0.02499	0.83307
V238	0.13717	0.52493	0.27517	0.06273
