B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.57743	0	0.19712	0.22545
V2	0.22955	0.08362	0.07847	0.60836
V3	0.10468	0.59638	0.05023	0.24871
V4	0.85585	0.10274	0.01128	0.03013
V5	0.15256	0.43783	0.29865	0.11096
V6	0.1324	0.7838	0.08286	0.00094
V7	0.19518	0.34706	0.11748	0.34028
V8	0.1881	0	0.79583	0.01607
V9	0.2976	0.22947	0.05722	0.41571
V10	0.08557	0	0.87798	0.03645
V11	0.24145	0.31148	0.44708	0
V12	0.07308	0.52085	0.40608	0
V13	0.30663	0.63953	0.05384	0
V14	0.12337	0.81355	0.06309	0
V15	0.16477	0.55151	0.1725	0.11122
V16	0.85939	0.03244	0.06079	0.04737
V17	0.14236	0.78746	0.0689	0.00128
V18	0.58422	0.30983	0.08673	0.01922
V19	0.20536	0.73768	0.05697	0
V20	0.21285	0.44587	0.04875	0.29253
V21	0.18539	0.05669	0.74542	0.0125
V22	0.07403	0.08919	0.25152	0.58525
V23	0.40413	0.03267	0.56319	0
V24	0.89239	0.02103	0.08658	0
V25	0.38435	0.22132	0.15881	0.23552
V26	0.43083	0.35905	0.04779	0.16233
V27	0.19658	0.05894	0.03768	0.7068
V28	0.04152	0.06199	0.89649	0
V29	0.46135	0.01701	0.50889	0.01274
V30	0.15141	0.20796	0.31245	0.32817
V31	0.25067	0.17923	0.32762	0.24248
V32	0.18329	0.01588	0.07487	0.72596
V33	0.09098	0.45719	0.39705	0.05477
V34	0.18603	0.03625	0.76325	0.01447
V35	0.20728	0.6489	0.14382	0
V36	0.06124	0.03547	0.51475	0.38854
V37	0.57356	0.04741	0.13261	0.24642
V38	0.47404	0	0.19493	0.33103
V39	0.20867	0.51789	0.17969	0.09375
V40	0.13954	0.72242	0.13803	0
V41	0.04429	0.64436	0.10316	0.2082
V42	0.29143	0.00625	0.25111	0.45121
V43	0.1772	0.30712	0.51568	0
V44	0.0669	0.077	0.73695	0.11915
V45	0.14407	0.53623	0.27084	0.04886
V46	0.77767	0.05421	0.16811	0
V47	0.46777	0.16846	0.34358	0.0202
V48	0.79651	0.14416	0.03852	0.02082
V49	0.74909	0.1733	0.00173	0.07588
V50	0.11457	0.7343	0.15113	0
V51	0.34346	0.3582	0.29835	0
V52	0.08345	0.11136	0.78878	0.0164
V53	0.71618	0.09422	0.18961	0
V54	0.44221	0.16893	0.38885	0
V55	0.2689	0.11613	0.2767	0.33827
V56	0.13945	0	0.14258	0.71798
V57	0.1494	0.7682	0.0824	0
V58	0.6658	0	0.06759	0.26661
V59	0.45877	0.36879	0.15261	0.01983
V60	0.18677	0.14386	0.36113	0.30824
V61	0.79603	0.08518	0.03835	0.08044
V62	0.83993	0.02211	0.11865	0.0193
V63	0.06511	0.74294	0.19195	0
V64	0.06057	0.82096	0.02792	0.09055
V65	0.09354	0	0.1573	0.74916
V66	0.25887	0.63633	0.06825	0.03655
V67	0.19347	0.29113	0.51539	0
V68	0.23641	0.14528	0.03771	0.5806
V69	0.0762	0.28856	0.62015	0.01509
V70	0.55419	0.13166	0.21705	0.09711
V71	0.22207	0.0587	0.41065	0.30858
V72	0.59068	0.13845	0.12934	0.14154
V73	0.19622	0.55981	0.19398	0.04999
V74	0.10344	0.19743	0.69913	0
V75	0.70233	0	0.2207	0.07697
V76	0.0328	0.17701	0.23339	0.5568
V77	0.09775	0.29615	0.02255	0.58355
V78	0.35824	0.10035	0.22218	0.31923
V79	0.05733	0.10156	0.78273	0.05838
V80	0.38781	0.00758	0.54672	0.05789
V81	0.11042	0.14839	0.74119	0
V82	0.04347	0.08265	0.87225	0.00164
V83	0.2041	0.17328	0.1056	0.51702
V84	0.44716	0.02321	0.20053	0.3291
V85	0.15445	0.29375	0.43138	0.12043
V86	0.10777	0.05556	0.80961	0.02706
V87	0.08446	0.75534	0.12376	0.03644
V88	0.23124	0.04425	0.31071	0.41379
V89	0.09463	0.00196	0.25541	0.648
V90	0.08123	0.78774	0.13103	0
V91	0.08289	0.66524	0.25187	0
V92	0.48443	0.00431	0.40741	0.10385
V93	0.88514	0.01241	0	0.10245
V94	0.06536	0.44117	0.06084	0.43263
V95	0.29748	0.39814	0.19916	0.10522
V96	0.16199	0.10896	0.04503	0.68403
V97	0.67421	0.08306	0.24273	0
V98	0.70997	0.2728	0.01065	0.00657
V99	0.77755	0.02934	0.1931	0
V100	0.13914	0.0305	0.81778	0.01258
V101	0.11981	0.07978	0	0.80041
V102	0.88352	0.04826	0.03691	0.03131
V103	0.07646	0.04741	0.14775	0.72837
V104	0.09248	0.84129	0.06623	0
V105	0.11382	0.81005	0.07613	0
V106	0.16605	0.4669	0.36607	0.00098
V107	0.23211	0.18618	0.56566	0.01605
V108	0.18648	0.66297	0.15055	0
V109	0.06123	0.15689	0.60918	0.1727
V110	0.11217	0.77926	0.10838	0.00019
V111	0.86901	0	0.11955	0.01144
V112	0.18792	0.05261	0.46142	0.29805
V113	0.2537	0.09495	0.21902	0.43234
V114	0.32036	0.02735	0.12171	0.53058
V115	0.05109	0.66745	0.28146	0
V116	0.18767	0.29095	0.40036	0.12101
V117	0.67716	0.22288	0.0742	0.02575
V118	0.20928	0.5465	0.07608	0.16813
V119	0.20114	0.07608	0.08295	0.63984
V120	0.13766	0.07382	0.78853	0
V121	0.6112	0.10852	0.12969	0.15058
V122	0.88925	0	0.06788	0.04287
V123	0.04638	0.50343	0.09458	0.35561
V124	0.67963	0.26706	0.01007	0.04324
V125	0.41275	0.36972	0.21753	0
V126	0.10815	0.15475	0.08344	0.65366
V127	0.23298	0.03261	0.30147	0.43294
V128	0.12061	0	0.16733	0.71206
V129	0.58423	0.20541	0.20452	0.00584
V130	0.05083	0.57988	0.36929	0
V131	0.07865	0.83803	0.03701	0.04631
V132	0.87466	0	0.08097	0.04437
V133	0.86275	0.00349	0.10689	0.02687
V134	0.15809	0.38013	0.17032	0.29146
V135	0.16107	0.00198	0.2323	0.60465
V136	0.29665	0.38594	0.03537	0.28204
V137	0.65074	0.01718	0.27956	0.05252
V138	0.25528	0.37507	0.21977	0.14988
V139	0.39042	0.18873	0.23159	0.18926
V140	0.10597	0.09896	0.09419	0.70088
V141	0.11637	0.15195	0.55778	0.1739
V142	0.76872	0	0.23128	0
