B_cells	NK_cells	T_cells_CD4.	Monocytes
V147	0.85636	0.00582	0.08391	0.05392
V148	0.15957	0.06281	0.6236	0.15401
V149	0.27405	0.4469	0.27905	0
V150	0.11615	0.22389	0.62313	0.03684
V151	0.23881	0.58222	0.09275	0.08621
V152	0.25508	0.40178	0.28668	0.05646
V153	0.14493	0.69946	0.08182	0.07379
V154	0.26068	0.40409	0.33523	0
V155	0.47292	0.12095	0.34025	0.06588
V156	0.05903	0.13618	0.72404	0.08075
V157	0.32514	0.13627	0.36923	0.16936
V158	0.09017	0	0.1253	0.78453
V159	0.87251	0.05578	0.01034	0.06137
V160	0.69012	0	0.1115	0.19838
V161	0.26902	0	0.07872	0.65226
V162	0.09854	0.2959	0.13815	0.46742
V163	0.12431	0.46259	0.23691	0.17619
V164	0.36681	0.28727	0.15275	0.19316
V165	0.04779	0.27812	0	0.67409
V166	0.03563	0.10084	0.14282	0.72071
V167	0.39463	0	0.0436	0.56176
V168	0.31027	0.51824	0.14852	0.02297
V169	0.24964	0.0351	0.08662	0.62864
V170	0.14112	0.00638	0.58543	0.26707
V171	0.15973	0.2222	0.61805	1e-05
V172	0.68278	0	0.31722	0
V173	0.06827	0.14713	0.0931	0.69149
V174	0.0441	0.16514	0.14033	0.65043
V175	0.10232	0	0.81634	0.08134
V176	0.03691	0.71037	0.25271	0
V177	0.06115	0.8953	0.03568	0.00787
V178	0.03922	0.72554	0.07738	0.15785
V179	0.19791	0	0.4461	0.35599
V180	0.06064	0.7725	0.16685	0
V181	0.19019	0.12025	0.57989	0.10967
V182	0.31448	0.16262	0.50112	0.02179
V183	0.20766	0.71782	0.07452	0
V184	0.89217	0	0.10783	0
V185	0.56812	0.35799	0.07389	0
V186	0.1455	0.44077	0.33266	0.08107
V187	0.86769	0	0.11517	0.01714
V188	0.10278	0.24304	0	0.65418
V189	0.79909	0	0.0699	0.13101
V190	0.63107	0	0.36893	0
V191	0.21091	0.19109	0.59796	4e-05
V192	0.32966	0.43455	0.10045	0.13534
V193	0.59874	0.00392	0.29762	0.09971
V194	0.08416	0.83702	0.07288	0.00593
V195	0.0638	0.04639	0.88738	0.00243
V196	0.05622	0.09268	0.05023	0.80087
V197	0.46092	0.01916	0.06624	0.45368
V198	0.0954	0.45772	0.4334	0.01348
V199	0.21513	0	0.24972	0.53516
V200	0.16234	0.54278	0.06732	0.22757
V201	0.12411	0.51336	0.26189	0.10065
V202	0.05314	0.02601	0.80168	0.11917
V203	0.18425	0.37733	0.43842	0
V204	0.03874	0.523	0.06062	0.37764
V205	0.06229	0.07153	0.86439	0.00178
V206	0.0828	0.0968	0.82041	0
V207	0.18245	0.18899	0.09251	0.53604
V208	0.26356	0.05814	0.67831	0
V209	0.32818	0.43416	0.1207	0.11696
