B_cells	NK_cells	T_cells_CD4.	Monocytes
V144	0.22527	0.18543	0.17508	0.41423
V145	0.01373	0.73728	0.24899	0
V146	0.1648	0.03395	0.05299	0.74826
V147	0.89823	0.03195	0.02408	0.04574
V148	0.16502	0.11277	0.56324	0.15897
V149	0.27837	0.49812	0.22351	0
V150	0.11745	0.27763	0.56416	0.04077
V151	0.24386	0.6198	0.05106	0.08529
V152	0.2634	0.45068	0.22912	0.0568
V153	0.14792	0.73564	0.03945	0.07699
V154	0.26828	0.45702	0.2747	0
V155	0.49181	0.16666	0.28035	0.06118
V156	0.06068	0.18665	0.66512	0.08754
V157	0.3391	0.18517	0.30856	0.16717
V158	0.12746	0.0046	0.08052	0.78742
V159	0.88217	0.07032	0	0.04751
V160	0.72944	0.00588	0.06545	0.19923
V161	0.30153	0.01541	0.03816	0.64489
V162	0.12102	0.33504	0.09072	0.45323
V163	0.13562	0.50549	0.18514	0.17374
V164	0.37662	0.32559	0.11264	0.18515
V165	0.07127	0.29865	0	0.63008
V166	0.07912	0.13683	0.08114	0.70291
V167	0.43417	0	0.00094	0.56489
V168	0.3157	0.56144	0.0986	0.02426
V169	0.27327	0.07665	0.03904	0.61104
V170	0.15043	0.05767	0.52043	0.27147
V171	0.16113	0.27555	0.55923	0.00409
V172	0.72464	0.00263	0.27273	0
V173	0.10162	0.18233	0.04646	0.66958
V174	0.07978	0.20303	0.08522	0.63197
V175	0.09769	0.05405	0.76131	0.08695
V176	0.03595	0.77169	0.19235	0
V177	0.05334	0.91655	0.02012	0.00998
V178	0.04661	0.76826	0.02501	0.16012
V179	0.21695	0.0366	0.38729	0.35916
V180	0.0599	0.83604	0.10406	0
V181	0.19614	0.17059	0.5197	0.11357
V182	0.32477	0.21234	0.44014	0.02274
V183	0.2098	0.76372	0.02649	0
V184	0.96451	0	0.03549	0
V185	0.58045	0.3997	0.01985	0
V186	0.15371	0.49084	0.27189	0.08356
V187	0.92859	0.01742	0.04249	0.0115
V188	0.12694	0.2619	0	0.61115
V189	0.83451	0.02581	0.01377	0.12592
V190	0.66212	0.02894	0.30894	0
V191	0.21547	0.24301	0.53866	0.00287
V192	0.33731	0.47304	0.06036	0.12928
V193	0.6214	0.04821	0.23707	0.09332
V194	0.08101	0.87901	0.03205	0.00793
V195	0.04696	0.08713	0.86023	0.00568
V196	0.09599	0.1251	0.01124	0.76767
V197	0.48101	0.06343	0.01795	0.43762
V198	0.09874	0.51303	0.36833	0.0199
V199	0.23736	0.04625	0.18749	0.52891
V200	0.17457	0.57814	0.02717	0.22013
V201	0.13232	0.55917	0.20653	0.10199
V202	0.04554	0.07142	0.75316	0.12987
V203	0.1889	0.43374	0.37736	0
V204	0.05444	0.56659	0.01101	0.36795
V205	0.05045	0.11337	0.83144	0.00474
V206	0.07297	0.14375	0.78328	0
V207	0.2032	0.22452	0.05508	0.5172
V208	0.26906	0.10451	0.62643	0
V209	0.33537	0.47296	0.08029	0.11139
V210	0.1246	0.73797	0.11881	0.01862
V211	0.49258	0.02244	0.02994	0.45504
V212	0.51984	0.06758	0.41258	0
V213	0.66616	0.03919	0.113	0.18166
V214	0.37373	0.18644	0.16911	0.27071
V215	0.36481	0.12296	0.00826	0.50396
V216	0.15484	0	0.0677	0.77746
V217	0.07814	0.51034	0.24724	0.16428
V218	0.13694	0.46838	0.18358	0.2111
V219	0.15096	0.64447	0.02211	0.18246
V220	0.04644	0.81726	0.02954	0.10676
V221	0.83808	0.00649	0	0.15543
V222	0.34526	0.16649	0.35665	0.1316
V223	0.02944	0.1918	0.73157	0.04719
V224	0.955	0	0.045	0
V225	0.0926	0.82095	0.08645	0
V226	0.32209	0.11846	0.55945	0
V227	0.79612	0.00514	0.19798	0.00076
V228	0.77973	0.07655	0.06839	0.07533
V229	0.0498	0.08016	0.85143	0.0186
V230	0.11193	0.07324	0.04326	0.77157
V231	0.06208	0.32106	0.12276	0.4941
V232	0.09039	0.67365	0	0.23596
V233	0.58263	0.10752	0.20085	0.109
V234	0.07937	0.85749	0.06313	0
V235	0.39571	0.09646	0.50641	0.00142
V236	0.07411	0.12223	0.75399	0.04967
V237	0.25304	0.01853	0.04456	0.68388
V238	0.16398	0.55183	0.27269	0.0115
V239	0.12031	0.43574	0.02078	0.42318
V240	0.50488	0.06625	0.40777	0.0211
V241	0.0458	0.05855	0.85139	0.04426
V242	0.16005	0.72372	0.11623	0
V243	0.26773	0.08311	0.60275	0.04641
V244	0.23726	0.0371	0.67017	0.05547
V245	0.61048	0.29998	0.05749	0.03206
V246	0.08474	0.1981	0.71715	0
V247	0.17899	0.06813	0.75288	0
V248	0.11735	0.07098	0.06439	0.74728
V249	0.00883	0.1036	0.83795	0.04962
V250	0.77195	0.0043	0.22374	0
V251	0.9264	0.0572	0.00794	0.00847
V252	0.03455	0.79257	0.17289	0
V253	0.41357	0.09027	0.16738	0.32878
V254	0.04754	0.86916	0.08329	0
V255	0.0891	0.87611	0.01308	0.0217
V256	0.20507	0.25036	0.49534	0.04923
V257	0.45394	0.12472	0.23401	0.18733
V258	0.20764	0.29649	0.41211	0.08376
V259	0.06397	0.33028	0.59942	0.00633
V260	0.00716	0.32038	0.67246	0
V261	0.63594	0.04404	0.2	0.12002
V262	0.19118	0.09339	0.01375	0.70169
V263	0.06243	0.90723	0.01693	0.01341
V264	0.20901	0.07028	0.42849	0.29222
V265	0.11681	0.01268	0.16132	0.70919
V266	0.65566	0.33565	0.00869	0
V267	0.02567	0.22524	0.29896	0.45012
V268	0.4418	0.03436	0.14901	0.37483
V269	0.03241	0.56433	0.39049	0.01277
V270	0.65568	0.03909	0.24511	0.06012
V271	0.80756	0.07462	0.03226	0.08556
V272	0.09544	0.80112	0.03443	0.069
V273	0.15837	0.05117	0.05494	0.73552
V274	0.72109	0	0.19052	0.08839
V275	0.01469	0.09245	0.87803	0.01483
V276	0.53109	0.34577	0.00719	0.11595
V277	0.08761	0.24724	0.17158	0.49357
V278	0.09257	0.09372	0.30126	0.51245
V279	0.70313	0.06875	0.11418	0.11394
V280	0.12746	0.0046	0.08052	0.78742
V281	0.58012	0.04137	0.14385	0.23467
V282	0.08518	0.12233	0.75785	0.03464
V283	0.245	0.57476	0.07742	0.10282
V284	0.06563	0.84551	0.08886	0
V285	0.09213	0.05712	0.85076	0
V286	0.2752	0.54118	0.12563	0.05799
V287	0.13752	0.82251	0.03905	0.00092
V288	0.04247	0.31967	0.42652	0.21134
V289	0.30472	0.25117	0.40492	0.03919
V290	0.82763	0.15641	0.01595	0
V291	0.49343	0.09531	0.41126	0
V292	0.92795	0.00926	0	0.06279
V293	0.31927	0.05444	0.61375	0.01254
V294	0.14485	0.39469	0	0.46047
V295	0.06525	0.21821	0.20282	0.51372
V296	0.2054	0.16418	0.57895	0.05147
V297	0.17328	0.00589	0.1008	0.72002
V298	0.31161	0.13707	0.55132	0
V299	0.13321	0.31231	0.00661	0.54787
V300	0.04736	0.06747	0.2457	0.63946
V301	0.15108	0.15823	0.61209	0.0786
V302	0.66729	0.33271	0	0
V303	0.01803	0.6005	0.38147	0
V304	0.08687	0.07547	0.71471	0.12295
V305	0.15475	0.20092	0.44866	0.19567
V306	0.80574	0.10321	0.05391	0.03714
V307	0.06322	0.88594	0.04757	0.00327
V308	0.26056	0.25999	0.29444	0.18501
V309	0.37576	0.33484	0.02056	0.26883
