mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V112	0.15515	0.06824	0.10313	0.48687	0.18661
V113	0.20745	0.07952	0.10375	0.20529	0.40398
V114	0.47293	0.13619	0.0578	0.21896	0.11413
V115	0.71681	0.08424	0.01639	0.07407	0.10849
V116	0.02525	0.04822	0.01668	0.1427	0.76714
V117	0.04439	0.21691	0.59869	0.1043	0.03571
V118	0.03904	0.04009	0.01145	0.86271	0.04671
V119	0.26156	0.15345	0.31441	0.25101	0.01957
V120	0.01196	0.21038	0.6061	0.1288	0.04276
V121	0.19354	0.63905	0.03938	0.06274	0.06529
V122	0.03603	0.36143	0.10121	0.28322	0.2181
V123	0.40846	0.11245	0.07833	0.23341	0.16735
V124	0.18754	0.14765	0.07086	0.27048	0.32346
V125	0.04169	0.46973	0.42804	0.04329	0.01725
V126	0.13702	0.23233	0.20177	0.16037	0.2685
V127	0.2206	0.18811	0.48622	0.0818	0.02326
V128	0.20442	0.67398	0.04887	0.05121	0.02151
V129	0.22181	0.13832	0.23095	0.20772	0.2012
V130	0.03333	0.45168	0.06754	0.28068	0.16677
V131	0.01548	0.09305	0.19838	0.66737	0.02571
V132	0.30436	0.06966	0.01063	0.38	0.23535
V133	0.00895	0.19189	0.4465	0.12204	0.23062
V134	0.062	0.21818	0.58239	0.05788	0.07956
V135	0.02418	0.25857	0.55557	0.06114	0.10055
V136	0.78844	0.09433	0.01862	0.06646	0.03215
V137	0.73352	0.11128	0.01775	0.08977	0.04768
V138	0.21802	0.17804	0.08678	0.18937	0.32779
V139	0.1046	0.07532	0.14184	0.64582	0.03243
V140	0.03434	0.07584	0.14794	0.11095	0.63093
V141	0.02043	0.32416	0.51081	0.12352	0.02108
V142	0.1784	0.12046	0.27737	0.16921	0.25457
V143	0.02116	0.27984	0.4027	0.16955	0.12675
V144	0.42586	0.24315	0.07837	0.16879	0.08383
V145	0.00486	0.24274	0.67577	0.04693	0.0297
V146	0.03685	0.31063	0.03105	0.36671	0.25476
V147	0.08113	0.23009	0.5179	0.12942	0.04147
V148	0.1578	0.6879	0.0497	0.08345	0.02115
V149	0.01292	0.03908	0.01213	0.86692	0.06896
V150	0.12359	0.30271	0.46345	0.03886	0.07139
V151	0.36471	0.07086	0.02252	0.42868	0.11323
V152	0.01723	0.0592	0.10677	0.73191	0.08489
V153	0.1454	0.27265	0.37794	0.08816	0.11585
V154	0.11661	0.52876	0.05591	0.09054	0.20817
V155	0.03411	0.07204	0.12193	0.73786	0.03405
V156	0.0866	0.15061	0.33046	0.18451	0.24783
V157	0.08389	0.1138	0.15562	0.31335	0.33334
V158	0.16432	0.14528	0.3607	0.09323	0.23648
V159	0.10302	0.21344	0.03195	0.60137	0.05021
V160	0.38678	0.20305	0.09881	0.10192	0.20944
V161	0.19119	0.08259	0.06881	0.10307	0.55434
V162	0.00534	0.25075	0.69457	0.03198	0.01737
V163	0.05857	0.05069	0.02918	0.15409	0.70747
V164	0.75313	0.12819	0.02572	0.0688	0.02416
V165	0.50709	0.24668	0.09031	0.10129	0.05463
V166	0.04904	0.09047	0.20689	0.56648	0.08712
V167	0.04136	0.56755	0.05192	0.19092	0.14824
V168	0.00534	0.25075	0.69457	0.03198	0.01737
V169	0.05811	0.61484	0.17928	0.12649	0.02128
V170	0.22034	0.3596	0.07399	0.23796	0.10811
V171	0.25132	0.19145	0.29911	0.20197	0.05615
V172	0.16479	0.23593	0.08427	0.10156	0.41344
V173	0.18296	0.14624	0.09255	0.4237	0.15454
V174	0.17758	0.1247	0.29356	0.22683	0.17734
V175	0.07318	0.18	0.12148	0.23389	0.39144
V176	0.31231	0.06581	0.01648	0.57862	0.02678
V177	0.15991	0.18883	0.43679	0.19027	0.02419
V178	0.22683	0.18079	0.36524	0.14521	0.08193
V179	0.09567	0.05765	0.02168	0.12702	0.69798
V180	0.02944	0.13045	0.29567	0.08502	0.45942
V181	0.06665	0.25792	0.02281	0.14233	0.51029
V182	0.47819	0.23945	0.02349	0.20801	0.05086
V183	0.0804	0.80488	0.04995	0.0523	0.01248
V184	0.25952	0.12446	0.24712	0.32905	0.03985
V185	0.1003	0.43256	0.05085	0.20204	0.21426
V186	0.1239	0.19018	0.04498	0.30393	0.337
V187	0.08195	0.59522	0.03807	0.26737	0.01739
V188	0.67802	0.1127	0.04155	0.13932	0.0284
V189	0.38684	0.24652	0.05137	0.28998	0.02529
V190	0.34421	0.15731	0.19194	0.07735	0.22919
V191	0.19129	0.21715	0.02427	0.4522	0.11509
V192	0.27454	0.22436	0.12592	0.25037	0.12481
V193	0.06415	0.29683	0.42721	0.08132	0.13049
V194	0.23042	0.11258	0.09045	0.17186	0.39468
V195	0.46723	0.24469	0.20829	0.05729	0.0225
V196	0.02101	0.0527	0.06737	0.15223	0.70669
V197	0.07745	0.77566	0.04819	0.08586	0.01284
V198	0.20485	0.22941	0.05289	0.25548	0.25736
V199	0.61541	0.13283	0.18467	0.04696	0.02013
V200	0.629	0.08231	0.04022	0.08727	0.16119
V201	0.03753	0.03845	0.03186	0.71604	0.17613
V202	0.75435	0.13119	0.01361	0.07048	0.03036
V203	0.45644	0.26203	0.04449	0.11204	0.125
V204	0.29798	0.12523	0.0476	0.09161	0.43758
V205	0.10639	0.09726	0.11557	0.15339	0.52739
V206	0.04218	0.11238	0.01435	0.77457	0.05651
V207	0.0221	0.05377	0.01242	0.87209	0.03962
V208	0.13659	0.2991	0.39241	0.08536	0.08654
V209	0.14289	0.08822	0.09885	0.12318	0.54686
V210	0.00468	0.24192	0.69038	0.03939	0.02363
V211	0.13938	0.1126	0.18387	0.10961	0.45454
V212	0.06563	0.67425	0.11139	0.09136	0.05737
