CD19B	CD56NK	CD4MemoryT	CD14
V139	0.29946	0.241	0.19518	0.26437
V140	0.0643	0.15208	0.07848	0.70514
V141	0.08127	0.20305	0.46039	0.25529
V142	0.68215	0.03929	0.21875	0.05981
V143	0.359	0.28551	0.0912	0.26428
V144	0.16519	0.20395	0.17164	0.45922
V145	0.01211	0.70806	0.21408	0.06574
V146	0.08334	0.08954	0.06208	0.76504
V147	0.78122	0.05816	0.05427	0.10636
V148	0.13535	0.13043	0.49602	0.23819
V149	0.23151	0.49441	0.20839	0.0657
V150	0.09485	0.27138	0.50245	0.13133
V151	0.18674	0.58709	0.05046	0.1757
V152	0.2066	0.43703	0.2058	0.15057
V153	0.10555	0.68939	0.0361	0.16896
V154	0.21474	0.4443	0.24933	0.09162
V155	0.39612	0.18301	0.27001	0.15086
V156	0.05313	0.18839	0.58616	0.17231
V157	0.26619	0.20069	0.28559	0.24753
V158	0.05537	0.08587	0.05437	0.8044
V159	0.75751	0.09837	0.03004	0.11408
V160	0.57653	0.05402	0.0979	0.27155
V161	0.20364	0.07965	0.06392	0.65279
V162	0.08643	0.32461	0.09874	0.49023
V163	0.10351	0.47474	0.16679	0.25497
V164	0.28906	0.32639	0.12014	0.26441
V165	0.04447	0.29848	0.02638	0.63067
V166	0.04898	0.16047	0.09254	0.69801
V167	0.311	0.06363	0.0391	0.58628
V168	0.2468	0.54079	0.09424	0.11817
V169	0.18549	0.11903	0.07109	0.62439
V170	0.12105	0.08728	0.45391	0.33776
V171	0.13056	0.26921	0.50332	0.09691
V172	0.61517	0.04274	0.27439	0.0677
V173	0.06289	0.1996	0.06978	0.66773
V174	0.053	0.21795	0.09616	0.63289
V175	0.08194	0.07345	0.67229	0.17231
V176	0.01899	0.74755	0.16618	0.06728
V177	0.01873	0.88753	0.01417	0.07957
V178	0.02267	0.70758	0.021	0.24875
V179	0.16677	0.07628	0.3445	0.41245
V180	0.03548	0.81664	0.08677	0.06111
V181	0.15925	0.18002	0.46258	0.19814
V182	0.26368	0.21768	0.40314	0.11551
V183	0.165	0.7445	0.02157	0.06893
V184	0.86312	0.03146	0.04129	0.06413
V185	0.48268	0.4146	0.03387	0.06885
V186	0.11912	0.4664	0.24006	0.17442
V187	0.82485	0.03918	0.06389	0.07208
V188	0.08429	0.27137	0.02724	0.61711
V189	0.68499	0.06549	0.04843	0.2011
V190	0.56413	0.05436	0.3146	0.06691
V191	0.17387	0.24038	0.48755	0.0982
V192	0.26019	0.45712	0.06747	0.21523
V193	0.50353	0.0822	0.23899	0.17528
V194	0.04413	0.84755	0.02095	0.08737
V195	0.02816	0.08688	0.82398	0.06099
V196	0.05277	0.13712	0.04573	0.76438
V197	0.3529	0.10752	0.05988	0.4797
V198	0.07296	0.48686	0.32377	0.11641
V199	0.1687	0.09571	0.18221	0.55338
V200	0.12872	0.53651	0.03754	0.29724
V201	0.10115	0.52671	0.18063	0.19151
V202	0.03814	0.08448	0.66348	0.21389
V203	0.15351	0.42308	0.34164	0.08177
V204	0.03114	0.51947	0.02619	0.4232
V205	0.03528	0.11092	0.78215	0.07165
V206	0.06298	0.14524	0.73128	0.06051
V207	0.14134	0.23666	0.07857	0.54343
V208	0.23111	0.11607	0.58097	0.07185
V209	0.25882	0.45486	0.08727	0.19906
V210	0.08666	0.6999	0.10278	0.11066
V211	0.36225	0.07447	0.06665	0.49664
V212	0.43364	0.08606	0.39795	0.08235
V213	0.52744	0.07987	0.13635	0.25634
V214	0.28374	0.20631	0.17118	0.33876
V215	0.2597	0.15657	0.04866	0.53506
V216	0.06935	0.08482	0.05306	0.79276
V217	0.05985	0.47887	0.21395	0.24732
V218	0.10469	0.43926	0.16731	0.28874
V219	0.11033	0.5961	0.02969	0.26388
V220	0.0222	0.75754	0.01984	0.20042
V221	0.684	0.04815	0.03565	0.2322
V222	0.27479	0.18188	0.32818	0.21516
V223	0.02402	0.19032	0.65432	0.13134
V224	0.85079	0.03085	0.05496	0.06339
V225	0.06142	0.79908	0.07141	0.0681
V226	0.27402	0.13155	0.52232	0.0721
V227	0.67269	0.04083	0.2091	0.07737
V228	0.64246	0.10676	0.09782	0.15296
V229	0.03557	0.08616	0.79838	0.07988
V230	0.05462	0.09993	0.05422	0.79124
V231	0.04677	0.30937	0.12404	0.51982
V232	0.05901	0.6132	0.01497	0.31281
V233	0.46796	0.13613	0.20496	0.19095
V234	0.04347	0.83295	0.04464	0.07894
V235	0.32627	0.10925	0.47318	0.09131
V236	0.06229	0.12707	0.67982	0.13082
V237	0.1625	0.08097	0.06788	0.68865
V238	0.12586	0.52597	0.23921	0.10896
V239	0.08485	0.40941	0.04078	0.46496
V240	0.41569	0.08527	0.39037	0.10867
V241	0.03493	0.07791	0.7647	0.12245
V242	0.12317	0.69872	0.10314	0.07497
V243	0.22273	0.0984	0.54734	0.13153
V244	0.19752	0.06545	0.59728	0.13975
V245	0.49408	0.31113	0.07621	0.11859
V246	0.06919	0.19595	0.65453	0.08033
V247	0.16172	0.0778	0.70894	0.05154
V248	0.06018	0.10559	0.07583	0.7584
V249	0.0192	0.10368	0.75485	0.12227
V250	0.65639	0.04137	0.2337	0.06854
V251	0.81556	0.07345	0.03967	0.07132
V252	0.0189	0.77051	0.1506	0.06
V253	0.3117	0.12865	0.17282	0.38683
V254	0.01874	0.84865	0.06366	0.06894
V255	0.05154	0.83206	0.01249	0.10391
V256	0.16582	0.24895	0.44429	0.14094
V257	0.35476	0.15196	0.22881	0.26447
V258	0.1654	0.29221	0.36852	0.17386
V259	0.05062	0.31721	0.53468	0.09749
V260	0.01665	0.31241	0.6098	0.06114
V261	0.51147	0.08195	0.20669	0.19989
V262	0.11448	0.12415	0.05031	0.71106
V263	0.02748	0.87134	0.01401	0.08718
V264	0.16467	0.10173	0.37873	0.35487
V265	0.06505	0.08055	0.14812	0.70628
V266	0.55226	0.35846	0.02831	0.06097
V267	0.02819	0.2308	0.25775	0.48327
V268	0.32911	0.08437	0.15981	0.4267
V269	0.01854	0.53248	0.34007	0.1089
V270	0.53701	0.07343	0.2469	0.14265
V271	0.66856	0.10536	0.06471	0.16138
V272	0.06185	0.7487	0.02821	0.16124
V273	0.08343	0.09587	0.07001	0.75069
V274	0.58818	0.04499	0.19925	0.16757
V275	0.02043	0.08774	0.83121	0.06061
V276	0.41553	0.3511	0.03286	0.20051
V277	0.06213	0.25123	0.1647	0.52195
V278	0.06486	0.12666	0.26921	0.53927
V279	0.56912	0.10331	0.13519	0.19237
V280	0.05537	0.08587	0.05437	0.8044
V281	0.45131	0.08388	0.16044	0.30438
V282	0.07069	0.12706	0.6883	0.11395
V283	0.18681	0.5433	0.07772	0.19218
V284	0.03625	0.82387	0.07085	0.06903
V285	0.08154	0.07509	0.79194	0.05143
V286	0.21239	0.51823	0.11816	0.15121
V287	0.09471	0.78997	0.02866	0.08666
V288	0.03567	0.30939	0.36667	0.28828
V289	0.24562	0.25213	0.36928	0.13297
V290	0.70756	0.18803	0.04188	0.06253
V291	0.41525	0.11349	0.39759	0.07367
V292	0.80521	0.04026	0.0332	0.12133
V293	0.26655	0.0702	0.56498	0.09827
V294	0.10191	0.37944	0.02349	0.49516
V295	0.04764	0.22779	0.18745	0.53712
V296	0.16774	0.17122	0.52145	0.13959
V297	0.09847	0.07996	0.09623	0.72534
V298	0.26503	0.14868	0.51412	0.07217
V299	0.08963	0.30531	0.04013	0.56493
V300	0.0381	0.10475	0.22195	0.6352
V301	0.1246	0.16565	0.5458	0.16395
V302	0.55206	0.34913	0.02148	0.07733
V303	0.01189	0.56557	0.33033	0.09221
V304	0.07367	0.0903	0.6303	0.20573
V305	0.12651	0.20792	0.39388	0.27168
V306	0.67445	0.13085	0.08201	0.11269
V307	0.02736	0.86422	0.02931	0.07911
V308	0.20441	0.26465	0.26692	0.26401
V309	0.27964	0.33378	0.0481	0.33848
V310	0.09149	0.33652	0.1534	0.41859
V311	0.43728	0.46768	0.02538	0.06966
V312	0.09584	0.67775	0.14172	0.0847
V313	0.0436	0.16976	0.04997	0.73667
V314	0.03802	0.46513	0.12021	0.37664
V315	0.11914	0.58138	0.05114	0.24834
V316	0.26601	0.18217	0.34514	0.20667
V317	0.09072	0.64242	0.05877	0.20809
V318	0.05449	0.52968	0.03108	0.38475
V319	0.07085	0.11723	0.72266	0.08926
V320	0.08905	0.19413	0.54449	0.17233
V321	0.54348	0.36752	0.0279	0.0611
V322	0.17825	0.33799	0.09039	0.39337
V323	0.08104	0.09467	0.11177	0.71252
V324	0.54793	0.27439	0.09266	0.08502
V325	0.26292	0.59761	0.07142	0.06805
V326	0.02046	0.53307	0.10335	0.34313
V327	0.05304	0.19943	0.12159	0.62594
V328	0.06508	0.09083	0.63028	0.21381
V329	0.16649	0.16987	0.17219	0.49145
V330	0.33067	0.06731	0.31296	0.28907
V331	0.29291	0.14437	0.07367	0.48905
V332	0.04742	0.12041	0.18362	0.64855
V333	0.35312	0.12509	0.35559	0.1662
V334	0.30349	0.0696	0.32905	0.29785
V335	0.04158	0.35294	0.43326	0.17222
V336	0.15949	0.64433	0.03651	0.15967
V337	0.24171	0.40084	0.26581	0.09165
V338	0.01056	0.89812	0.02191	0.06941
V339	0.1259	0.07224	0.74095	0.06091
V340	0.07134	0.264	0.44262	0.22204
V341	0.05914	0.10554	0.08954	0.74577
V342	0.22431	0.0641	0.53066	0.18093
V343	0.84099	0.04664	0.04062	0.07175
V344	0.56874	0.18104	0.19051	0.05971
V345	0.02803	0.08682	0.83312	0.05203
V346	0.20771	0.16956	0.25897	0.36376
V347	0.07185	0.08692	0.14107	0.70016
V348	0.06391	0.60235	0.14153	0.19222
V349	0.2905	0.20774	0.34407	0.15768
V350	0.03481	0.73885	0.16665	0.05969
V351	0.04714	0.10193	0.35077	0.50016
V352	0.06314	0.08393	0.7217	0.13124
V353	0.74051	0.06051	0.06952	0.12946
V354	0.05405	0.63789	0.20667	0.10139
V355	0.2412	0.13211	0.40403	0.22266
V356	0.0652	0.09552	0.1187	0.72058
V357	0.11554	0.34643	0.24934	0.28869
V358	0.43856	0.15419	0.07844	0.32881
V359	0.46571	0.10981	0.06352	0.36095
V360	0.45718	0.4252	0.04137	0.07625
V361	0.01279	0.44929	0.47544	0.06248
V362	0.01078	0.89108	0.02882	0.06932
V363	0.16184	0.17167	0.40304	0.26345
V364	0.15133	0.12083	0.58043	0.14741
V365	0.23625	0.09328	0.04625	0.62422
V366	0.08087	0.62473	0.09448	0.19992
V367	0.46399	0.18507	0.03082	0.32013
V368	0.08814	0.66595	0.09437	0.15154
V369	0.02979	0.40546	0.50212	0.06263
V370	0.2526	0.29571	0.36046	0.09122
V371	0.16731	0.66294	0.04229	0.12746
V372	0.16053	0.12193	0.13543	0.58211
V373	0.09182	0.19423	0.40119	0.31277
V374	0.66517	0.04901	0.22549	0.06032
V375	0.07154	0.1107	0.15452	0.66324
V376	0.06471	0.10356	0.11892	0.71281
V377	0.65927	0.04114	0.04427	0.25532
V378	0.03936	0.10199	0.35933	0.49932
V379	0.28216	0.23752	0.03801	0.44232
V380	0.15028	0.13815	0.19655	0.51502
V381	0.60225	0.06007	0.12125	0.21642
V382	0.08926	0.09134	0.75836	0.06104
V383	0.69297	0.04544	0.0849	0.17669
V384	0.44954	0.12838	0.1499	0.27218
V385	0.71729	0.05174	0.11083	0.12014
V386	0.26139	0.08074	0.15982	0.49804
V387	0.47419	0.18586	0.19709	0.14286
V388	0.30412	0.34266	0.15399	0.19923
V389	0.34213	0.50026	0.0302	0.12741
V390	0.25456	0.27906	0.40356	0.06283
V391	0.34344	0.15961	0.04732	0.44963
V392	0.34189	0.25411	0.17181	0.23219
V393	0.23778	0.26192	0.30966	0.19063
V394	0.10524	0.26507	0.12416	0.50553
V395	0.19182	0.39473	0.19063	0.22282
V396	0.01848	0.8741	0.02034	0.08707
V397	0.64185	0.12527	0.12834	0.10454
V398	0.36168	0.18317	0.11669	0.33847
V399	0.16953	0.52109	0.15027	0.15912
V400	0.02104	0.55018	0.07736	0.35141
V401	0.05124	0.20539	0.61203	0.13134
V402	0.67486	0.1997	0.06378	0.06167
V403	0.05917	0.09819	0.09645	0.74618
V404	0.09603	0.23628	0.51898	0.14872
V405	0.20228	0.1007	0.1746	0.52241
V406	0.52105	0.27457	0.04378	0.16059
V407	0.01056	0.89812	0.02191	0.06941
V408	0.09884	0.27864	0.34275	0.27977
V409	0.04808	0.09373	0.05447	0.80372
V410	0.08699	0.78369	0.04262	0.0867
V411	0.36862	0.06596	0.03165	0.53377
V412	0.15407	0.13798	0.4281	0.27985
V413	0.06856	0.46832	0.17403	0.28908
V414	0.04804	0.48731	0.29072	0.17392
V415	0.36499	0.09001	0.23107	0.31393
V416	0.02776	0.13066	0.78938	0.05219
V417	0.32241	0.58589	0.02305	0.06865
V418	0.09316	0.16511	0.15206	0.58967
V419	0.05483	0.08433	0.06409	0.79675
V420	0.01224	0.80712	0.02816	0.15248
V421	0.15213	0.10244	0.5812	0.16422
V422	0.0749	0.1276	0.04526	0.75225
V423	0.08923	0.0831	0.74803	0.07964
V424	0.02417	0.1193	0.52819	0.32835
V425	0.06882	0.27278	0.50243	0.15597
V426	0.09816	0.10638	0.67212	0.12334
V427	0.07988	0.39921	0.18261	0.3383
V428	0.08747	0.69809	0.07035	0.14409
V429	0.05445	0.0849	0.06978	0.79087
V430	0.61441	0.20111	0.04712	0.13736
V431	0.1746	0.09218	0.39572	0.33751
V432	0.12032	0.15586	0.0768	0.64702
V433	0.065	0.67161	0.01484	0.24855
V434	0.28483	0.1375	0.0807	0.49697
V435	0.41565	0.07039	0.14382	0.37014
V436	0.32096	0.07672	0.13595	0.46638
V437	0.20678	0.26534	0.03098	0.4969
V438	0.49112	0.20204	0.05928	0.24756
V439	0.06608	0.15861	0.04407	0.73124
V440	0.39608	0.09716	0.06606	0.4407
V441	0.08124	0.18592	0.50276	0.23009
V442	0.26224	0.35369	0.14448	0.23958
V443	0.61051	0.05025	0.12266	0.21658
V444	0.02803	0.08682	0.83312	0.05203
V445	0.51177	0.0648	0.32997	0.09345
V446	0.04334	0.74931	0.07104	0.13632
V447	0.50989	0.14215	0.18867	0.15929
V448	0.0529	0.1369	0.18941	0.62079
V449	0.46011	0.09107	0.28991	0.15891
V450	0.12976	0.77999	0.02862	0.06163
V451	0.79689	0.08359	0.02961	0.08992
V452	0.06697	0.09086	0.09602	0.74615
V453	0.66765	0.11449	0.09794	0.11992
V454	0.01021	0.84741	0.06357	0.07881
V455	0.49388	0.08199	0.29722	0.12692
V456	0.27473	0.17325	0.34525	0.20677
V457	0.04801	0.10044	0.04789	0.80366
V458	0.23117	0.26456	0.03025	0.47402
V459	0.02741	0.71888	0.10183	0.15189
V460	0.81645	0.03963	0.06381	0.0801
V461	0.08377	0.10433	0.04644	0.76546
V462	0.28955	0.27876	0.02204	0.40965
V463	0.21515	0.45932	0.159	0.16654
V464	0.41223	0.15556	0.03186	0.40035
V465	0.32808	0.42484	0.0467	0.20038
V466	0.47128	0.22682	0.02953	0.27236
V467	0.26411	0.53954	0.09444	0.10191
V468	0.40536	0.40266	0.07306	0.11892
V469	0.04449	0.23006	0.258	0.46745
V470	0.43997	0.1712	0.18909	0.19974
V471	0.23453	0.16544	0.06499	0.53505
V472	0.27083	0.34807	0.01983	0.36127
V473	0.09846	0.51851	0.29972	0.08332
V474	0.12926	0.07563	0.12531	0.6698
V475	0.1672	0.39914	0.09611	0.33755
V476	0.16214	0.08987	0.08646	0.66152
V477	0.48627	0.09018	0.21587	0.20768
V478	0.12826	0.55196	0.02277	0.29702
V479	0.03445	0.14625	0.68022	0.13908
V480	0.09556	0.33245	0.06703	0.50496
V481	0.14199	0.07903	0.70821	0.07078
V482	0.56622	0.19736	0.13328	0.10313
V483	0.13571	0.17056	0.09719	0.59654
V484	0.05907	0.13618	0.05967	0.74508
V485	0.11544	0.67259	0.02712	0.18485
V486	0.23028	0.2939	0.13667	0.33915
V487	0.09642	0.11572	0.10997	0.67789
V488	0.01889	0.07836	0.74794	0.15482
V489	0.19492	0.153	0.58087	0.07121
V490	0.27986	0.33326	0.08942	0.29747
V491	0.36139	0.45817	0.05308	0.12736
V492	0.0354	0.76175	0.13421	0.06864
V493	0.05602	0.08585	0.04261	0.81552
V494	0.17593	0.20606	0.44511	0.1729
V495	0.19365	0.57883	0.14243	0.08509
V496	0.23556	0.63995	0.01317	0.11132
V497	0.02816	0.07919	0.83188	0.06077
V498	0.26755	0.1631	0.07956	0.48979
V499	0.50504	0.28731	0.13992	0.06774
V500	0.10409	0.17704	0.62121	0.09766
V501	0.04739	0.0852	0.06998	0.79743
V502	0.44389	0.29914	0.16327	0.0937
V503	0.18276	0.16092	0.19612	0.46019
V504	0.2012	0.64185	0.02916	0.12779
V505	0.17859	0.2574	0.23311	0.33089
V506	0.09705	0.28743	0.38502	0.2305
V507	0.4921	0.15127	0.14168	0.21495
V508	0.61606	0.20149	0.07057	0.11189
V509	0.20642	0.12557	0.43757	0.23044
V510	0.19579	0.4978	0.24093	0.06548
V511	0.06632	0.4202	0.06427	0.44921
V512	0.21813	0.11668	0.10569	0.55951
