Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V70	0.7402	0	0.06848	0	0.00283	0.01764	0.04438	0	0.12647	0
V71	0.0093	0	0	0.03748	0	0	0	0.94216	0.00213	0.00893
V72	0.19177	0	0.03119	0.31828	0.29374	0	0.00637	0	0.02413	0.13453
V73	0.0507	0	0.01351	0	0.93037	0	0.00542	0	0	0
V74	0	0.00259	0.08922	0.25285	0.14334	0.02135	0.00911	0	0.03062	0.45092
V75	0	0.03866	0.17433	0.51771	0.02781	0	0.01292	0	0.22857	0
V76	0	0.02738	0.0097	0.00645	0.05036	0.80639	0.06125	0	0.03847	0
V77	0	0.01802	0.0389	0.40001	0.01758	0.25647	0.22853	0	0.03702	0.00348
V78	0	0.33558	0.10959	0	0.17346	0.01752	0.25796	0	0.06109	0.0448
V79	0	0.01557	0.03239	0.35462	0.00318	0.21635	0.03346	0	0.33032	0.01412
V80	0.38666	0.00161	0.02714	0	0.11849	0	0.03994	0	0.11612	0.31005
V81	0	0.00948	0.01096	0.19422	0.23038	0.50938	0.03137	0	0.01422	0
V82	0.03708	0.31983	0.06506	0.33719	0.12227	0.00217	0.00576	0.08681	0.02382	0
V83	0.00145	0.02583	0.04274	0.54115	0.02992	0	0.00084	0.3523	0.00577	0
V84	0.01628	0.01493	0.02185	0.03337	0.17703	0.51845	0.18259	0	0.03549	0
V85	0.15205	0.00542	0.55836	0	0.07383	0	0.01584	0	0.01873	0.17578
V86	0.22508	0.00348	0.31997	0.42031	0.01533	0	0.01165	0	0.00418	0
V87	0.00694	0.02426	0.02282	0.02088	0.03768	0	0.04127	0	0.84615	0
V88	0	0.19249	0.09059	0.60922	0.07717	0	0.01005	0	0.02048	0
V89	0	0.04089	0.03926	0.04926	0.03943	0.03747	0.56009	0.15185	0.08174	0
V90	0	0.04377	0.52295	0	0.10681	0.00771	0.01266	0	0.02084	0.28527
V91	0	0.00429	0.94509	0	0.02609	0	0.0165	0	0.00802	0
V92	0.00148	0.05383	0.05514	0.00178	0.04253	0.05333	0.6239	0	0.16801	0
V93	0	0.0408	0.08671	0.00369	0.01127	0.00098	0.18801	0.00609	0.66244	0
V94	0.89135	0	0	0	0.01418	0.01557	0.03005	0.03727	0.0038	0.00778
V95	0	0.03082	0.00852	0.01618	0.02728	0.01623	0.35374	0.48551	0.06171	0
V96	0	0.0667	0.39282	0.47526	0.02226	0.00178	0.00847	0	0.03272	0
