Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.36775	0.1321	0.21353	0.14292	0.1437
V2	0.09006	0.74854	0.02549	0.03006	0.10586
V3	0.08156	0.01142	0.38681	0.42096	0.09925
V4	0	0.04765	0.22465	0.17604	0.55165
V5	0	0.04014	0.04677	0.25005	0.66304
V6	0.37361	0.02335	0.23473	0.23566	0.13265
V7	0.0021	0.06385	0.39807	0.15448	0.38149
V8	0.01621	0.03378	0.79343	0.0755	0.08107
V9	0.06868	0	0.21727	0.60638	0.10767
V10	0.51395	0.02859	0.40678	0	0.05067
V11	0.02312	0.06032	0.08896	0.20366	0.62394
V12	0.08966	0.02116	0.19395	0.37077	0.32447
V13	0.14438	0.05175	0.01672	0.47159	0.31555
V14	0.17222	0	0.04389	0.6295	0.15439
V15	0.03558	0	0	0.81831	0.14611
V16	0.59258	0.05579	0	0.28658	0.06505
V17	0.07285	0.28552	0	0.15105	0.49057
V18	0.11568	0.40371	0.21082	0.1843	0.08549
V19	0.01261	0.04542	0	0.26491	0.67706
V20	0.0064	0.0095	0.65839	0.23072	0.09498
V21	0.02775	0.28294	0.10787	0.22439	0.35705
V22	0.83994	0.07555	0.04201	0	0.0425
V23	0.07439	0.05185	0.00512	0.26817	0.60048
V24	0.49978	0.13657	0	0.08359	0.28006
V25	0.0229	0.04144	0	0.50714	0.42853
V26	0.51819	0.21031	0.03523	0.05181	0.18445
V27	0.15495	0.50369	0.14901	0.01177	0.18058
V28	0.04436	0.06118	0.16605	0.60146	0.12695
V29	0.00996	0	0.28256	0.5895	0.11798
V30	0.76852	0.10563	0.00577	0.01768	0.10241
V31	0.45201	0.13775	0	0.2357	0.17453
V32	0.93676	0	0	0	0.06324
V33	0.02113	0.23612	0	0.22125	0.5215
V34	0.15088	0.77853	0	0	0.07059
V35	0.12712	0.59089	0.20874	0	0.07325
V36	0.0285	0.20872	0.14822	0.17737	0.43719
V37	0.78367	0	0	0.03236	0.18397
V38	0.14226	0.03356	0.42805	0.22509	0.17104
V39	0.37114	0.0498	0.29801	0.04551	0.23554
V40	0.25901	0.57713	0	0.07239	0.09148
V41	0.08382	0.7969	0	0	0.11929
V42	0.88965	0.03443	0.00222	0	0.0737
V43	0.52747	0.12236	0.29702	0.00254	0.05062
V44	0.05116	0.29766	0.5005	0.00794	0.14274
V45	0.07058	0.64259	0.06481	0.11293	0.10909
V46	0.15019	0.7252	0.03896	0	0.08565
V47	0.00342	0.03559	0.86468	0.00684	0.08947
V48	0.19207	0.12553	0.18363	0.33654	0.16223
V49	0.50522	0.13751	0.18355	0.11494	0.05879
V50	0.02861	0.05191	0.83882	0.00086	0.0798
V51	0.12458	0.28756	0.16873	0.11092	0.30821
V52	0.08813	0.83452	0	0	0.07735
V53	0.04692	0.14218	0	0.68703	0.12388
V54	0.22818	0	0	0.55991	0.21191
V55	0.0779	0	0	0.7914	0.1307
V56	0.07377	0	0	0.73699	0.18924
V57	0.18334	0.13813	0.50462	0.0337	0.14021
V58	0.07235	0.01167	0.12092	0.31689	0.47818
V59	0.88267	0.01618	0.06448	0	0.03666
V60	0.4644	0.20045	0.09217	0.1179	0.12508
V61	0.21257	0.02381	0.00902	0.31913	0.43546
V62	0.06214	0.04521	0.27691	0.22354	0.3922
V63	0.43817	0.26716	0.03599	0.05112	0.20756
V64	0.94204	0.01403	0.0054	0	0.03853
V65	0.10252	0.06813	0.0172	0.61707	0.19509
V66	0.03629	0	0.10052	0.7346	0.12859
V67	0	0.04151	0.3203	0.19732	0.44088
V68	0.5121	0.00947	0.34786	0.03322	0.09736
V69	0.63644	0.11545	0.16183	0.00631	0.07998
V70	0.09613	0.67262	0.0169	0.11935	0.095
V71	0.1311	0.73851	0.01704	0.0285	0.08485
V72	0.05313	0.43505	0.00371	0.1031	0.40502
V73	0.06838	0	0.07734	0.60764	0.24665
V74	0.02629	0.04176	0	0.7558	0.17615
V75	0.51344	0.17737	0.25786	0	0.05133
V76	0.01776	0	0	0.80882	0.17341
V77	0.02653	0.02691	0.82495	0.04189	0.07972
V78	0.00409	0.04338	0.85094	0.01346	0.08813
V79	0.10211	0.41402	0.01707	0.17728	0.28952
V80	0.15835	0.68644	0	0.03069	0.12452
V81	0.01538	0.03506	0.86284	0.00397	0.08275
V82	0.26212	0.13976	0.00592	0.49346	0.09874
V83	0.11296	0.073	0.0013	0.56614	0.2466
V84	0.10107	0.19893	0	0.16969	0.53032
V85	0.00369	0.03508	0.86332	0.01357	0.08434
V86	0.04454	0.23831	0.25547	0.36157	0.10011
V87	0.4827	0	0.01845	0.41254	0.0863
V88	0.34201	0.16635	0.02839	0.22538	0.23786
V89	0.05776	0.11158	0.72398	0.03205	0.07464
V90	0.01834	0.2185	0.03911	0.21645	0.50759
V91	0.01709	0	0.05363	0.79471	0.13457
V92	0.26414	0.06488	0.00897	0.16499	0.49702
V93	0.01972	0.07989	0.13385	0.54006	0.22649
V94	0.04459	0.19222	0.00308	0.33186	0.42826
V95	0.07203	0.26355	0.00219	0.20219	0.46004
V96	0.829	0.00781	0.00693	0.03046	0.12579
V97	0.17613	0.05425	0.02667	0.23613	0.50682
V98	0.07442	0.38386	0.14827	0.15172	0.24173
