cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V174	0	0.53755	0.25331	0.20914
V175	0	0.3075	0.6925	0
V176	0	0.90884	0.09116	0
V177	0	1	0	0
V178	0	1	0	0
V179	0	0.43539	0.49539	0.06923
V180	0	1	0	0
V181	0	0.48092	0.51908	0
V182	0	0.5963	0.4037	0
V183	0	1	0	0
V184	0.50228	0.49772	0	0
V185	0.13149	0.86851	0	0
V186	0	0.74931	0.25069	0
V187	0.47445	0.52555	0	0
V188	0	0.67109	0.12424	0.20467
V189	0.42419	0.57581	0	0
V190	0.21573	0.54584	0.23843	0
V191	0	0.50418	0.49582	0
V192	0	0.93899	0.06101	0
V193	0.21882	0.54481	0.23636	0
V194	0	1	0	0
V195	0	0.22965	0.77035	0
V196	0	0.49884	0.14001	0.36115
V197	0.22005	0.58863	0.06149	0.12983
V198	0	0.70297	0.29703	0
V199	0.0171	0.42323	0.37943	0.18024
V200	0	0.95668	0.04332	0
V201	0	0.81759	0.18241	0
V202	0	0.2885	0.7115	0
V203	0	0.69105	0.30895	0
V204	0	0.9607	0.02483	0.01447
V205	0	0.26005	0.73995	0
V206	0	0.30658	0.69342	0
V207	0	0.65573	0.18905	0.15521
V208	0	0.4253	0.5747	0
V209	0	0.92848	0.07152	0
V210	0	0.96221	0.03779	0
V211	0.2349	0.54949	0.0749	0.14072
V212	0.0791	0.53755	0.38335	0
V213	0.31671	0.59107	0.09221	0
V214	0.05583	0.69138	0.22624	0.02656
V215	0.13871	0.58322	0.11638	0.1617
V216	0.00782	0.39398	0.18394	0.41426
V217	0	0.76235	0.23765	0
V218	0	0.79865	0.20135	0
V219	0	0.99419	0.00581	0
V220	0	1	0	0
V221	0.44364	0.55636	0	0
V222	0	0.63045	0.36955	0
V223	0	0.35054	0.64946	0
V224	0.48382	0.51618	0	0
V225	0	1	0	0
V226	0	0.4878	0.5122	0
V227	0.34406	0.54592	0.11002	0
V228	0.36204	0.63796	0	0
V229	0	0.2338	0.7662	0
V230	0	0.41317	0.17785	0.40898
V231	0	0.6316	0.26786	0.10054
V232	0	1	0	0
V233	0.18379	0.60221	0.214	0
V234	0	1	0	0
V235	0	0.5164	0.4836	0
V236	0	0.33811	0.66189	0
V237	0.09503	0.41888	0.17894	0.30715
V238	0	0.7763	0.2237	0
V239	0	0.87753	0.05592	0.06654
V240	0.06784	0.55029	0.38187	0
V241	0	0.25232	0.74768	0
V242	0	0.96554	0.03446	0
V243	0	0.4451	0.5549	0
V244	0	0.38348	0.61652	0
V245	0.18678	0.79419	0.01903	0
V246	0	0.3674	0.6326	0
V247	0	0.32078	0.67922	0
V248	0	0.44119	0.19597	0.36283
V249	0	0.27595	0.72405	0
V250	0.32073	0.54006	0.13922	0
V251	0.46789	0.53211	0	0
V252	0	0.92686	0.07314	0
V253	0.11752	0.58933	0.23561	0.05754
V254	0	1	0	0
V255	0	1	0	0
V256	0	0.53432	0.46568	0
V257	0.10595	0.62933	0.26472	0
V258	0	0.59144	0.40856	0
V259	0	0.48446	0.51554	0
V260	0	0.41413	0.58587	0
V261	0.24346	0.56476	0.19178	0
V262	0.03463	0.48986	0.15771	0.3178
V263	0	1	0	0
V264	0	0.44405	0.52921	0.02674
V265	0	0.35549	0.34343	0.30108
V266	0.20304	0.79696	0	0
V267	0	0.49517	0.42674	0.07809
V268	0.16173	0.5376	0.21443	0.08624
V269	0	0.68564	0.31436	0
V270	0.2405	0.56339	0.19611	0
V271	0.38147	0.61853	0	0
V272	0	1	0	0
V273	0.01573	0.44451	0.17051	0.36925
V274	0.31236	0.53755	0.15009	0
V275	0	0.22988	0.77012	0
V276	0.1495	0.84899	0.00152	0
V277	0	0.56841	0.31902	0.11256
V278	0	0.37776	0.48769	0.13455
V279	0.31644	0.61243	0.07113	0
V280	0	0.38084	0.18944	0.42973
V281	0.24454	0.57852	0.16728	0.00967
V282	0	0.33479	0.66521	0
V283	0	0.9585	0.0415	0
V284	0	1	0	0
V285	0	0.26633	0.73367	0
V286	0	0.91025	0.08975	0
V287	0	1	0	0
V288	0	0.55734	0.44266	0
V289	0	0.63076	0.36924	0
V290	0.34822	0.65178	0	0
V291	0.0626	0.55845	0.37894	0
V292	0.48841	0.51159	0	0
V293	0	0.43736	0.56264	0
V294	0	0.8504	0.05286	0.09674
V295	0	0.52277	0.36051	0.11672
V296	0	0.4698	0.5302	0
V297	0.02144	0.4007	0.23467	0.3432
V298	0	0.50101	0.49899	0
V299	0	0.68894	0.1552	0.15586
V300	0	0.34744	0.43943	0.21312
V301	0	0.42242	0.57758	0
V302	0.21739	0.78261	0	0
V303	0	0.70537	0.29463	0
V304	0	0.32285	0.67715	0
V305	0	0.53635	0.46365	0
V306	0.36944	0.63056	0	0
V307	0	1	0	0
V308	0	0.67244	0.32756	0
V309	0.06939	0.8627	0.05571	0.0122
V310	0	0.72653	0.22868	0.04479
V311	0.08754	0.91246	0	0
V312	0	0.91724	0.08276	0
V313	0	0.52931	0.1507	0.31999
V314	0	0.84307	0.15693	0
V315	0	0.96082	0.03918	0
V316	0	0.61732	0.38268	0
V317	0	0.97648	0.02352	0
V318	0	0.95594	0.04406	0
V319	0	0.2981	0.7019	0
V320	0	0.41603	0.58397	0
V321	0.18883	0.81117	0	0
V322	0	0.84395	0.1156	0.04045
V323	0	0.42552	0.25943	0.31505
V324	0.21961	0.76761	0.01278	0
V325	0	0.99181	0.00819	0
V326	0	0.87605	0.12395	0
V327	0	0.49785	0.2929	0.20925
V328	0	0.31358	0.68642	0
V329	0	0.58308	0.29419	0.12274
V330	0.09399	0.51258	0.39343	0
V331	0.15519	0.62465	0.08705	0.1331
V332	0	0.40347	0.36993	0.2266
V333	0.03338	0.57195	0.39467	0
V334	0.06603	0.51859	0.41336	0.00201
V335	0	0.55982	0.44018	0
V336	0	1	0	0
V337	0	0.76327	0.23673	0
V338	0	1	0	0
V339	0	0.28378	0.71622	0
V340	0	0.49709	0.50291	0
V341	0	0.4399	0.21446	0.34563
V342	0	0.41085	0.58915	0
V343	0.48784	0.51216	0	0
V344	0.21929	0.67011	0.11061	0
V345	0	0.23466	0.76534	0
V346	0	0.62746	0.33609	0.03646
V347	0	0.39986	0.304	0.29613
V348	0	0.8837	0.1163	0
V349	0	0.63916	0.36084	0
V350	0	0.9253	0.0747	0
V351	0	0.33452	0.56703	0.09845
V352	0	0.29522	0.70478	0
V353	0.42539	0.57461	0	0
V354	0	0.85174	0.14826	0
V355	0	0.52808	0.47192	0
V356	0	0.40024	0.28584	0.31393
V357	0	0.70281	0.29719	0
V358	0.24939	0.675	0.06277	0.01285
V359	0.28633	0.64987	0.02733	0.03647
V360	0.11439	0.88561	0	0
V361	0	0.55594	0.44406	0
V362	0	1	0	0
V363	0	0.5301	0.4699	0
V364	0	0.4134	0.5866	0
V365	0.16628	0.44486	0.13767	0.25119
V366	0	0.93891	0.06109	0
V367	0.27921	0.72059	0	2e-04
V368	0	0.95229	0.04771	0
V369	0	0.53918	0.46082	0
V370	0	0.65448	0.34552	0
V371	0	1	0	0
V372	0.01798	0.46768	0.31403	0.20031
V373	0	0.48594	0.51406	0
V374	0.31346	0.56506	0.12148	0
V375	0	0.42761	0.31613	0.25626
V376	0	0.41289	0.28377	0.30334
V377	0.43633	0.56367	0	0
V378	0	0.33011	0.57288	0.09701
V379	0.11247	0.74888	0.04854	0.09011
V380	0	0.50366	0.35576	0.14058
V381	0.35399	0.58691	0.0591	0
V382	0	0.28182	0.71818	0
V383	0.42383	0.57617	0	0
V384	0.2223	0.61121	0.16648	0
V385	0.41448	0.58552	0	0
V386	0.10706	0.47964	0.2662	0.14711
V387	0.16065	0.65311	0.18624	0
V388	0.02154	0.8205	0.15796	0
V389	0.01566	0.98434	0	0
V390	0	0.61863	0.38137	0
V391	0.18936	0.68733	0.02595	0.09737
V392	0.07619	0.71711	0.2067	0
V393	0	0.66554	0.33446	0
V394	0	0.65535	0.23395	0.1107
V395	0	0.81296	0.18704	0
V396	0	1	0	0
V397	0.32845	0.63728	0.03427	0
V398	0.15821	0.69127	0.12491	0.02562
V399	0	0.8816	0.1184	0
V400	0	0.91615	0.08385	0
V401	0	0.38129	0.61871	0
V402	0.31477	0.68523	0	0
V403	0	0.42219	0.22865	0.34916
V404	0	0.47054	0.52946	0
V405	0.03857	0.47381	0.32974	0.15788
V406	0.23464	0.76536	0	0
V407	0	1	0	0
V408	0	0.58496	0.41504	0
V409	0	0.3825	0.18907	0.42843
V410	0	1	0	0
V411	0.28013	0.53816	0.01768	0.16402
V412	0	0.46004	0.53996	0
V413	0	0.79055	0.20945	0
V414	0	0.71282	0.28718	0
V415	0.15554	0.53555	0.29665	0.01226
V416	0	0.26752	0.73248	0
V417	0	1	0	0
V418	0	0.47363	0.34357	0.1828
V419	0	0.37833	0.19625	0.42542
V420	0	1	0	0
V421	0	0.38916	0.61084	0
V422	0.00218	0.50442	0.13164	0.36176
V423	0	0.28447	0.71553	0
V424	0	0.31172	0.68828	0
V425	0	0.49576	0.50424	0
V426	0	0.3286	0.6714	0
V427	0	0.76835	0.23165	0
V428	0	0.98163	0.01837	0
V429	0	0.37746	0.20782	0.41472
V430	0.30879	0.69121	0	0
V431	0	0.45167	0.53636	0.01197
V432	0.00595	0.52839	0.21998	0.24568
V433	0	1	0	0
V434	0.14984	0.58645	0.12534	0.13837
V435	0.24208	0.54578	0.16544	0.04671
V436	0.17401	0.52562	0.1782	0.12218
V437	0.03057	0.76516	0.07543	0.12885
V438	0.26021	0.73342	0.00638	0
V439	0	0.55292	0.12456	0.32253
V440	0.2496	0.59688	0.05477	0.09875
V441	0	0.43505	0.56495	0
V442	0	0.83447	0.16553	0
V443	0.35937	0.58094	0.05969	0
V444	0	0.23466	0.76534	0
V445	0.17112	0.56186	0.26702	0
V446	0	1	0	0
V447	0.22206	0.61116	0.16678	0
V448	0	0.40891	0.39157	0.19952
V449	0.15955	0.54506	0.29538	0
V450	0	1	0	0
V451	0.46318	0.53682	0	0
V452	0	0.41817	0.22482	0.35702
V453	0.36858	0.62799	0.00344	0
V454	0	1	0	0
V455	0.17026	0.55912	0.27062	0
V456	0	0.6155	0.3845	0
V457	0	0.39967	0.16877	0.43156
V458	0.06172	0.77087	0.06132	0.1061
V459	0	0.96435	0.03565	0
V460	0.46525	0.53475	0	0
V461	0.02398	0.46111	0.13415	0.38075
V462	0.1144	0.81365	0.01833	0.05362
V463	0	0.86428	0.13572	0
V464	0.25247	0.68607	0.00882	0.05264
V465	0.04674	0.92837	0.02489	0
V466	0.24328	0.75672	0	0
V467	0	0.949	0.051	0
V468	0.09051	0.90388	0.00561	0
V469	0	0.511	0.42264	0.06636
V470	0.15735	0.65284	0.18981	0
V471	0.10184	0.59884	0.1346	0.16472
V472	0.07942	0.88972	0.00595	0.02491
V473	0	0.73544	0.26456	0
V474	0.03488	0.41884	0.26553	0.28075
V475	0	0.89466	0.10534	0
V476	0.07331	0.4389	0.21462	0.27317
V477	0.20869	0.57733	0.21398	0
V478	0	0.99137	0.00863	0
V479	0	0.33537	0.66463	0
V480	0	0.7511	0.14542	0.10348
V481	0	0.30763	0.69237	0
V482	0.26264	0.68664	0.05073	0
V483	0	0.54485	0.25217	0.20298
V484	0	0.49954	0.15967	0.34079
V485	0	1	0	0
V486	0	0.78691	0.19549	0.0176
V487	0	0.47407	0.24769	0.27824
V488	0	0.27046	0.72954	0
V489	0	0.43018	0.56982	0
V490	0.04384	0.85157	0.10459	0
V491	0.02637	0.97093	0.0027	0
V492	0	0.94814	0.05186	0
V493	0.00892	0.38834	0.16083	0.44191
V494	0	0.516	0.484	0
V495	0	0.90268	0.09732	0
V496	0	1	0	0
V497	0	0.22959	0.77041	0
V498	0.1163	0.61491	0.13834	0.13045
V499	0.16153	0.76666	0.07181	0
V500	0	0.39533	0.60467	0
V501	0	0.35977	0.21982	0.42041
V502	0.11852	0.75042	0.13105	0
V503	0	0.61261	0.28368	0.10371
V504	0	1	0	0
V505	0	0.69603	0.30103	0.00295
V506	0	0.56599	0.43401	0
V507	0.23781	0.64453	0.11766	0
V508	0.30639	0.69361	0	0
V509	0	0.48382	0.51618	0
V510	0	0.79562	0.20438	0
V511	0	0.86699	0.08351	0.0495
V512	0.08737	0.50619	0.21689	0.18955
V513	0	0.83746	0.16254	0
V514	0	0.48759	0.13074	0.38166
V515	0.36302	0.63698	0	0
V516	0.43131	0.56869	0	0
V517	0	0.36047	0.45144	0.18809
V518	0.48083	0.51917	0	0
V519	0	1	0	0
V520	0	0.28893	0.71107	0
V521	0.12819	0.54345	0.32836	0
V522	0	0.40221	0.59779	0
V523	0.04794	0.63183	0.32023	0
V524	0	0.89022	0.10978	0
V525	0.05179	0.74593	0.09079	0.1115
V526	0.29986	0.64121	0.05893	0
V527	0	0.46964	0.49161	0.03874
V528	0	1	0	0
V529	0	0.44078	0.40013	0.15909
V530	0	0.42602	0.57398	0
V531	0	0.97028	0.02972	0
V532	0	0.84874	0.0753	0.07596
V533	0	0.83414	0.16586	0
V534	0	0.29452	0.70548	0
V535	0.32367	0.57646	0	0.09988
V536	0	0.45132	0.47424	0.07444
V537	0.14646	0.73885	0.11469	0
V538	0.20611	0.6054	0.12735	0.06113
V539	0	0.85433	0.14567	0
V540	0	0.9524	0.0476	0
V541	0	0.89887	0.10113	0
V542	0	0.63334	0.3083	0.05836
V543	0.45972	0.54028	0	0
V544	0	0.48297	0.35607	0.16096
V545	0.11891	0.70217	0.10908	0.06984
V546	0	1	0	0
V547	0	0.77174	0.22826	0
V548	0	0.95155	0.04845	0
V549	0	0.45249	0.54751	0
V550	0.34571	0.59476	0	0.05953
V551	0	1	0	0
V552	0	0.93143	0.0403	0.02828
V553	0	0.47924	0.52076	0
V554	0	0.52144	0.16484	0.31371
V555	0	0.59991	0.40009	0
V556	0	0.2457	0.7543	0
V557	0.41926	0.58074	0	0
V558	0	1	0	0
V559	0	0.90441	0.09559	0
V560	0.23601	0.76399	0	0
V561	0	0.22988	0.77012	0
V562	0.37406	0.57502	0.05092	0
V563	0	0.37843	0.62157	0
V564	0	0.31495	0.68505	0
V565	0	0.63324	0.36676	0
V566	0.33839	0.66161	0	0
V567	0	0.9449	0.0551	0
V568	0.13119	0.41949	0.20711	0.24221
V569	0.39101	0.59762	0	0.01138
V570	0	0.493	0.507	0
V571	0.37663	0.62337	0	0
V572	0.04643	0.51612	0.43745	0
V573	0	0.60426	0.15024	0.2455
V574	0	0.90214	0.09786	0
V575	0	0.46152	0.30707	0.23141
V576	0	1	0	0
V577	0	0.39915	0.40405	0.19681
V578	0	0.37471	0.62529	0
V579	0	0.98347	0.01653	0
V580	0.03536	0.42114	0.29716	0.24634
V581	0.02676	0.51347	0.12162	0.33815
V582	0.25132	0.71267	0.03601	0
V583	0	0.33097	0.66903	0
V584	0.07491	0.66697	0.25812	0
V585	0	0.33183	0.58097	0.0872
V586	0	0.41776	0.58224	0
V587	0	0.41615	0.58385	0
V588	0.32898	0.65259	0.00188	0.01654
V589	0	0.99972	0.00028	0
V590	0	0.89786	0.10214	0
V591	0	0.37914	0.39709	0.22377
V592	0	0.33645	0.66355	0
V593	0.26209	0.53864	0.19927	0
V594	0	0.6899	0.3101	0
V595	0.00676	0.42162	0.17444	0.39718
V596	0	0.6605	0.3037	0.0358
V597	0	0.71412	0.28588	0
V598	0	0.31118	0.68882	0
V599	0.19125	0.80875	0	0
V600	0	0.95421	0.04579	0
V601	0	0.76396	0.15519	0.08085
V602	0.00609	0.41488	0.16443	0.41459
V603	0	0.75673	0.13022	0.11305
V604	0.06791	0.63669	0.2954	0
V605	0	0.61574	0.38426	0
V606	0.30608	0.69392	0	0
V607	0.33127	0.56653	0.1022	0
V608	0	0.61426	0.38574	0
V609	0	0.59097	0.35586	0.05318
V610	0.3556	0.61143	0.03297	0
V611	0.16416	0.42553	0.19592	0.21439
V612	0	0.33165	0.66835	0
V613	0	0.51136	0.48864	0
V614	0.349	0.651	0	0
V615	0.06799	0.4814	0.14474	0.30588
V616	0	0.96752	0.03248	0
V617	0.0228	0.6459	0.3313	0
V618	0.42887	0.57113	0	0
V619	0.08005	0.54881	0.37114	0
V620	0	0.75579	0.24421	0
V621	0.09809	0.70331	0.1986	0
V622	0	0.67082	0.32918	0
V623	0	0.453	0.32544	0.22156
V624	0.33155	0.66845	0	0
V625	0	0.91539	0.08461	0
V626	0.478	0.522	0	0
V627	0	0.4082	0.23409	0.35771
V628	0	0.61226	0.16529	0.22245
V629	0	0.69278	0.30722	0
V630	0	0.52204	0.47796	0
V631	0	0.5352	0.30064	0.16416
V632	0.29163	0.54336	0.15084	0.01418
V633	0	0.28979	0.71021	0
V634	0	0.70053	0.29947	0
V635	0	1	0	0
V636	0	0.42919	0.57081	0
V637	0.0594	0.74006	0.14197	0.05856
V638	0.07915	0.8249	0.09379	0.00216
V639	0	0.75505	0.24495	0
V640	0	0.36328	0.63672	0
V641	0.42477	0.57523	0	0
V642	0.32638	0.67362	0	0
V643	0	0.49846	0.50154	0
V644	0.42553	0.57447	0	0
V645	0	0.74053	0.25947	0
V646	0	1	0	0
V647	0	0.40406	0.59594	0
V648	0	0.88266	0.11734	0
V649	0	0.30821	0.69179	0
V650	0	0.35469	0.64531	0
V651	0	0.42582	0.57418	0
V652	0	0.45494	0.53167	0.01339
V653	0	0.92396	0.07604	0
V654	0.27151	0.72148	0.00701	0
V655	0	0.96055	0.03945	0
