CD19B	CD56NK	CD4MemoryT	CD14
V139	0.28533	0.23813	0.20406	0.27248
V140	0.11513	0.15898	0.11719	0.6087
V141	0.11326	0.22202	0.40542	0.2593
V142	0.59664	0.05106	0.22819	0.12412
V143	0.33125	0.26761	0.12851	0.27263
V144	0.18764	0.20841	0.18547	0.41847
V145	0.05638	0.61955	0.21629	0.10779
V146	0.13255	0.10294	0.10827	0.65624
V147	0.68411	0.05255	0.10391	0.15944
V148	0.15692	0.15987	0.43439	0.24882
V149	0.22705	0.44591	0.21457	0.11247
V150	0.12366	0.27444	0.43649	0.16541
V151	0.19305	0.52009	0.09526	0.19161
V152	0.20933	0.40259	0.21009	0.17798
V153	0.12885	0.60086	0.0866	0.18369
V154	0.21445	0.40837	0.24524	0.13194
V155	0.36136	0.18626	0.26596	0.18641
V156	0.09364	0.21225	0.49789	0.19622
V157	0.25894	0.2086	0.27484	0.25762
V158	0.11261	0.10002	0.10076	0.68661
V159	0.6634	0.0885	0.08353	0.16457
V160	0.51965	0.06202	0.13223	0.2861
V161	0.22452	0.09275	0.10659	0.57615
V162	0.12182	0.30821	0.13119	0.43878
V163	0.13081	0.43626	0.18014	0.25279
V164	0.27684	0.3063	0.14806	0.2688
V165	0.09487	0.28139	0.07758	0.54616
V166	0.10228	0.169	0.12681	0.60191
V167	0.30597	0.07398	0.09036	0.52969
V168	0.23938	0.48099	0.1309	0.14873
V169	0.20709	0.12645	0.11255	0.55391
V170	0.14856	0.12324	0.40247	0.32574
V171	0.14914	0.27125	0.4391	0.14051
V172	0.53832	0.05801	0.27273	0.13094
V173	0.11051	0.19841	0.11147	0.57962
V174	0.10162	0.21688	0.12973	0.55178
V175	0.11441	0.12142	0.56447	0.1997
V176	0.06095	0.64991	0.18057	0.10858
V177	0.0603	0.75027	0.07673	0.1127
V178	0.0676	0.61633	0.07683	0.23924
V179	0.18776	0.11007	0.31707	0.3851
V180	0.07491	0.69806	0.12515	0.10188
V181	0.17562	0.19828	0.40907	0.21703
V182	0.25343	0.22411	0.36605	0.1564
V183	0.17453	0.63655	0.08055	0.10836
V184	0.74898	0.02579	0.0953	0.12993
V185	0.42743	0.36496	0.0889	0.11871
V186	0.14263	0.42972	0.2351	0.19255
V187	0.71974	0.03368	0.11156	0.13503
V188	0.12712	0.25755	0.07802	0.53731
V189	0.6078	0.06376	0.09617	0.23226
V190	0.49567	0.0737	0.3017	0.12893
V191	0.18459	0.24587	0.42719	0.14236
V192	0.2523	0.41423	0.10747	0.226
V193	0.45418	0.09786	0.23993	0.20802
V194	0.08055	0.71938	0.08049	0.11958
V195	0.07471	0.13717	0.66855	0.11956
V196	0.10892	0.14306	0.09485	0.65318
V197	0.3408	0.1099	0.10482	0.44448
V198	0.10472	0.44657	0.29988	0.14882
V199	0.19286	0.11582	0.19486	0.49647
V200	0.15084	0.48074	0.08511	0.28331
V201	0.12831	0.47828	0.18883	0.20458
V202	0.08456	0.13221	0.55444	0.22878
V203	0.1682	0.3938	0.31324	0.12476
V204	0.07642	0.46571	0.07886	0.37901
V205	0.08139	0.15413	0.63889	0.1256
V206	0.09916	0.17907	0.60397	0.1178
V207	0.16847	0.22968	0.11725	0.4846
V208	0.22549	0.14636	0.50081	0.12734
V209	0.25118	0.41221	0.12255	0.21406
V210	0.11202	0.61237	0.13542	0.14019
V211	0.34835	0.08495	0.10845	0.45826
V212	0.39113	0.11125	0.36044	0.13718
V213	0.47751	0.08693	0.16239	0.27317
V214	0.2755	0.20712	0.1873	0.33008
V215	0.26293	0.15591	0.09561	0.48554
V216	0.12452	0.09742	0.10103	0.67702
V217	0.09468	0.44284	0.21477	0.24771
V218	0.13189	0.40737	0.18038	0.28036
V219	0.13331	0.52906	0.08148	0.25615
V220	0.06608	0.65511	0.0766	0.2022
V221	0.60808	0.04827	0.08767	0.25598
V222	0.26525	0.19392	0.30717	0.23367
V223	0.07131	0.21582	0.54589	0.16698
V224	0.73993	0.02544	0.10521	0.12943
V225	0.09182	0.68532	0.11551	0.10734
V226	0.25948	0.15516	0.4579	0.12747
V227	0.59076	0.0507	0.21992	0.13862
V228	0.5679	0.10414	0.13505	0.1929
V229	0.08192	0.13624	0.65026	0.13157
V230	0.11145	0.11218	0.10099	0.67538
V231	0.09394	0.29701	0.14948	0.45957
V232	0.09455	0.54143	0.07144	0.29258
V233	0.4238	0.14274	0.21426	0.2192
V234	0.08005	0.71003	0.09534	0.11457
V235	0.29965	0.13402	0.42202	0.14432
V236	0.09972	0.16364	0.56754	0.1691
V237	0.1925	0.09523	0.11076	0.60152
V238	0.14792	0.47617	0.23453	0.14137
V239	0.12064	0.37542	0.08815	0.41579
V240	0.37683	0.11094	0.35572	0.15651
V241	0.08077	0.12891	0.62821	0.16212
V242	0.14091	0.60778	0.13785	0.11346
V243	0.22122	0.13167	0.47579	0.17132
V244	0.20304	0.10832	0.51087	0.17777
V245	0.44111	0.28306	0.11742	0.15842
V246	0.10315	0.21917	0.54839	0.12929
V247	0.1733	0.12224	0.59078	0.11368
V248	0.11468	0.11774	0.11582	0.65175
V249	0.06803	0.14902	0.62049	0.16246
V250	0.57488	0.05425	0.23844	0.13243
V251	0.71015	0.06321	0.09342	0.13322
V252	0.06097	0.66826	0.16999	0.10078
V253	0.29982	0.13955	0.18815	0.37248
V254	0.05977	0.72296	0.11064	0.10664
V255	0.08628	0.70814	0.07345	0.13213
V256	0.17932	0.25237	0.39452	0.17379
V257	0.32996	0.16235	0.23188	0.2758
V258	0.18061	0.28938	0.33349	0.19651
V259	0.08847	0.31172	0.45995	0.13986
V260	0.06576	0.31028	0.51148	0.11248
V261	0.46216	0.09372	0.21587	0.22825
V262	0.1561	0.12969	0.09889	0.61533
V263	0.06889	0.7363	0.07621	0.1186
V264	0.18425	0.13457	0.34128	0.3399
V265	0.11711	0.10266	0.17041	0.60982
V266	0.484	0.31559	0.08512	0.11529
V267	0.0811	0.2382	0.24936	0.43135
V268	0.31604	0.10084	0.17906	0.40406
V269	0.06511	0.48332	0.30983	0.14174
V270	0.47988	0.08852	0.24725	0.18436
V271	0.59175	0.10008	0.10812	0.20004
V272	0.09381	0.64898	0.08084	0.17637
V273	0.1322	0.10901	0.11214	0.64665
V274	0.5252	0.05676	0.21259	0.20545
V275	0.07005	0.13856	0.6721	0.11929
V276	0.37901	0.31682	0.08531	0.21886
V277	0.1056	0.25246	0.17742	0.46452
V278	0.10943	0.14994	0.26059	0.48004
V279	0.5095	0.10636	0.1619	0.22223
V280	0.11261	0.10002	0.10076	0.68661
V281	0.4137	0.09449	0.18117	0.31064
V282	0.10533	0.16369	0.57465	0.15633
V283	0.19377	0.48609	0.11557	0.20458
V284	0.07453	0.70371	0.11379	0.10797
V285	0.11334	0.12515	0.64834	0.11317
V286	0.2127	0.46395	0.14735	0.176
V287	0.11857	0.67849	0.08369	0.11924
V288	0.08112	0.30745	0.33031	0.28112
V289	0.24032	0.25399	0.33613	0.16956
V290	0.61568	0.16833	0.09357	0.12242
V291	0.37472	0.13444	0.36036	0.13048
V292	0.70348	0.03598	0.08838	0.17216
V293	0.25493	0.1075	0.48949	0.14808
V294	0.13467	0.34764	0.07621	0.44147
V295	0.09497	0.23261	0.1962	0.47623
V296	0.18028	0.1916	0.45275	0.17537
V297	0.1442	0.09889	0.12898	0.62793
V298	0.25212	0.16964	0.4512	0.12704
V299	0.12837	0.28692	0.08733	0.49738
V300	0.09262	0.1266	0.22591	0.55487
V301	0.14743	0.19003	0.4708	0.19174
V302	0.48517	0.30717	0.08116	0.1265
V303	0.05903	0.50883	0.30324	0.1289
V304	0.10919	0.13558	0.53124	0.22399
V305	0.15157	0.22434	0.35152	0.27256
V306	0.59191	0.12377	0.12307	0.16125
V307	0.06889	0.73081	0.08668	0.11362
V308	0.21195	0.26151	0.25928	0.26725
V309	0.27144	0.30751	0.09349	0.32755
V310	0.12444	0.32212	0.16943	0.38401
V311	0.38988	0.41148	0.08106	0.11758
V312	0.11838	0.59548	0.16462	0.12151
V313	0.1016	0.17057	0.09877	0.62907
V314	0.07989	0.42934	0.14334	0.34743
V315	0.14042	0.51889	0.09509	0.24561
V316	0.2578	0.19537	0.31955	0.22728
V317	0.11586	0.56838	0.1013	0.21446
V318	0.09267	0.47468	0.08156	0.3511
V319	0.10487	0.15748	0.5998	0.13785
V320	0.12063	0.21373	0.46934	0.1963
V321	0.47673	0.3232	0.08496	0.11511
V322	0.19348	0.31735	0.1228	0.36637
V323	0.13051	0.11187	0.14147	0.61615
V324	0.48466	0.25034	0.13043	0.13457
V325	0.24971	0.52392	0.11416	0.11221
V326	0.06754	0.48324	0.13141	0.31781
V327	0.10083	0.20217	0.14931	0.5477
V328	0.10305	0.13544	0.53155	0.22996
V329	0.18959	0.17844	0.18559	0.44637
V330	0.31188	0.09449	0.29844	0.2952
V331	0.288	0.14599	0.1145	0.4515
V332	0.09838	0.1402	0.19472	0.5667
V333	0.32542	0.14467	0.33032	0.19959
V334	0.29089	0.0983	0.30886	0.30195
V335	0.08327	0.34198	0.38259	0.19217
V336	0.1724	0.56214	0.08836	0.1771
V337	0.23588	0.3715	0.2592	0.13342
V338	0.05563	0.75648	0.08209	0.1058
V339	0.14674	0.11998	0.61274	0.12054
V340	0.10567	0.27073	0.39106	0.23255
V341	0.11317	0.12018	0.12447	0.64218
V342	0.22422	0.10306	0.46394	0.20878
V343	0.73222	0.03884	0.09461	0.13434
V344	0.50088	0.17523	0.20512	0.11877
V345	0.07488	0.13789	0.67418	0.11306
V346	0.21664	0.18262	0.25336	0.34738
V347	0.12224	0.10687	0.1662	0.60469
V348	0.09498	0.53948	0.16284	0.20269
V349	0.27547	0.21573	0.31988	0.18892
V350	0.07397	0.64261	0.18054	0.10288
V351	0.09543	0.13571	0.32087	0.44799
V352	0.10066	0.13223	0.59706	0.17005
V353	0.65081	0.05863	0.11293	0.17764
V354	0.08951	0.5655	0.21089	0.1341
V355	0.23943	0.15488	0.36706	0.23863
V356	0.1162	0.1132	0.14714	0.62346
V357	0.14238	0.33479	0.24078	0.28204
V358	0.40357	0.14993	0.11993	0.32657
V359	0.42986	0.11004	0.10687	0.35324
V360	0.40633	0.37524	0.09452	0.1239
V361	0.06146	0.416	0.41289	0.10966
V362	0.05566	0.75156	0.08693	0.10585
V363	0.17964	0.19038	0.36269	0.26729
V364	0.16839	0.15343	0.49639	0.18178
V365	0.24853	0.10176	0.09491	0.5548
V366	0.10887	0.55438	0.12824	0.20851
V367	0.42509	0.17285	0.08296	0.3191
V368	0.113	0.58521	0.12981	0.17198
V369	0.07419	0.38048	0.43397	0.11136
V370	0.2432	0.28922	0.32987	0.13771
V371	0.17778	0.57682	0.09225	0.15316
V372	0.18674	0.1364	0.15828	0.51858
V373	0.12456	0.21168	0.35959	0.30417
V374	0.58196	0.0613	0.23286	0.12389
V375	0.11901	0.12803	0.17484	0.57811
V376	0.1152	0.12007	0.14649	0.61823
V377	0.58797	0.04353	0.09362	0.27488
V378	0.08972	0.13612	0.3269	0.44726
V379	0.27649	0.22564	0.08848	0.40939
V380	0.17779	0.15376	0.20357	0.46489
V381	0.53835	0.06606	0.15348	0.24211
V382	0.11768	0.13713	0.62548	0.11971
V383	0.6135	0.0477	0.1249	0.2139
V384	0.41172	0.13298	0.17248	0.28283
V385	0.6306	0.05194	0.14793	0.16953
V386	0.26443	0.09976	0.17847	0.45733
V387	0.42661	0.18402	0.20828	0.18109
V388	0.28579	0.32073	0.17403	0.21945
V389	0.31182	0.44283	0.08512	0.16022
V390	0.24375	0.27375	0.36591	0.1166
V391	0.3273	0.15562	0.09714	0.41993
V392	0.31778	0.24497	0.18976	0.24749
V393	0.23569	0.25968	0.29165	0.21297
V394	0.13969	0.25894	0.14799	0.45338
V395	0.19963	0.36849	0.1993	0.23259
V396	0.06207	0.73902	0.08009	0.11882
V397	0.56594	0.12206	0.15771	0.15429
V398	0.3369	0.18155	0.14625	0.3353
V399	0.18049	0.4688	0.17005	0.18067
V400	0.06801	0.49453	0.11359	0.32386
V401	0.09081	0.22694	0.51599	0.16626
V402	0.58894	0.18089	0.10904	0.12113
V403	0.11312	0.11446	0.12951	0.64292
V404	0.12464	0.24571	0.45037	0.17927
V405	0.2165	0.12002	0.18905	0.47443
V406	0.46617	0.24759	0.09482	0.19142
V407	0.05563	0.75648	0.08209	0.1058
V408	0.12893	0.28024	0.31416	0.27667
V409	0.10677	0.10702	0.10104	0.68518
V410	0.11385	0.67248	0.09366	0.12002
V411	0.35427	0.07263	0.08594	0.48717
V412	0.17386	0.16265	0.38316	0.28034
V413	0.10106	0.4342	0.18438	0.28037
V414	0.08709	0.44701	0.27519	0.19071
V415	0.34017	0.10804	0.23473	0.31706
V416	0.07488	0.16965	0.64289	0.11257
V417	0.29481	0.51066	0.08043	0.11411
V418	0.13465	0.17436	0.17142	0.51957
V419	0.11184	0.09896	0.10825	0.68095
V420	0.05803	0.69171	0.08279	0.16746
V421	0.16992	0.13923	0.49744	0.19341
V422	0.12629	0.13417	0.09403	0.64552
V423	0.11948	0.13092	0.6169	0.1327
V424	0.07514	0.15511	0.45592	0.31382
V425	0.10165	0.27764	0.43707	0.18364
V426	0.12666	0.14662	0.56341	0.16332
V427	0.11239	0.37782	0.18918	0.32061
V428	0.11285	0.60876	0.11312	0.16527
V429	0.11166	0.10035	0.11188	0.67611
V430	0.54238	0.1831	0.09721	0.17731
V431	0.18977	0.12291	0.35952	0.32781
V432	0.15735	0.16053	0.11564	0.56648
V433	0.09772	0.58822	0.07223	0.24182
V434	0.28237	0.1412	0.11885	0.45758
V435	0.38753	0.08323	0.16841	0.36083
V436	0.3116	0.09153	0.16245	0.43442
V437	0.21983	0.25008	0.08183	0.44826
V438	0.44602	0.18928	0.1047	0.25999
V439	0.11742	0.16109	0.09389	0.6276
V440	0.37378	0.10147	0.10917	0.41558
V441	0.11286	0.20852	0.43812	0.24051
V442	0.25538	0.33237	0.16409	0.24817
V443	0.54587	0.05625	0.15465	0.24323
V444	0.07488	0.13789	0.67418	0.11306
V445	0.45507	0.08559	0.31328	0.14606
V446	0.07996	0.64949	0.11287	0.15769
V447	0.45748	0.14549	0.20153	0.19551
V448	0.10353	0.15433	0.19841	0.54373
V449	0.4149	0.10854	0.28133	0.19523
V450	0.1462	0.66655	0.08454	0.10271
V451	0.69689	0.07276	0.08416	0.1462
V452	0.11884	0.10844	0.12898	0.64373
V453	0.58688	0.11136	0.13486	0.1669
V454	0.05501	0.72176	0.11043	0.11279
V455	0.44303	0.09968	0.2871	0.17019
V456	0.26478	0.1876	0.31979	0.22783
V457	0.10687	0.1118	0.09639	0.68494
V458	0.23781	0.24944	0.08176	0.43099
V459	0.06963	0.62565	0.13497	0.16975
V460	0.7128	0.03508	0.11096	0.14116
V461	0.13274	0.11459	0.0952	0.65747
V462	0.27976	0.25884	0.07743	0.38398
V463	0.21533	0.41974	0.176	0.18893
V464	0.3858	0.14915	0.08322	0.38183
V465	0.30419	0.38474	0.09369	0.21738
V466	0.42912	0.21005	0.08248	0.27835
V467	0.2515	0.47906	0.13192	0.13752
V468	0.36622	0.36261	0.11541	0.15575
V469	0.09268	0.23769	0.2496	0.42004
V470	0.39991	0.17332	0.2027	0.22407
V471	0.2422	0.16657	0.10637	0.48485
V472	0.26396	0.31747	0.07469	0.34388
V473	0.12429	0.46993	0.28268	0.1231
V474	0.16566	0.09639	0.15042	0.58754
V475	0.18267	0.36968	0.12689	0.32076
V476	0.19091	0.10423	0.12274	0.58212
V477	0.44142	0.10241	0.22369	0.23248
V478	0.14823	0.4923	0.07573	0.28373
V479	0.07976	0.18009	0.56674	0.17342
V480	0.13086	0.31352	0.10508	0.45055
V481	0.16016	0.12421	0.58936	0.12627
V482	0.50211	0.18717	0.16049	0.15023
V483	0.16712	0.17647	0.1293	0.52712
V484	0.11273	0.14406	0.10445	0.63876
V485	0.13741	0.58762	0.07998	0.195
V486	0.23418	0.28187	0.15806	0.32588
V487	0.14132	0.13025	0.13785	0.59059
V488	0.06843	0.12944	0.61661	0.18552
V489	0.19807	0.1773	0.49913	0.1255
V490	0.27003	0.31099	0.12431	0.29467
V491	0.33123	0.40854	0.10005	0.16017
V492	0.07369	0.6588	0.15908	0.10844
V493	0.11314	0.09832	0.09346	0.69509
V494	0.18835	0.21878	0.3953	0.19757
V495	0.19724	0.51371	0.16548	0.12357
V496	0.22969	0.55481	0.0743	0.1412
V497	0.07476	0.13085	0.67489	0.1195
V498	0.26769	0.16517	0.11828	0.44886
V499	0.44755	0.26612	0.16523	0.1211
V500	0.13054	0.2027	0.52373	0.14303
V501	0.1065	0.10062	0.11198	0.6809
V502	0.39737	0.27961	0.18305	0.13997
V503	0.20093	0.17342	0.20374	0.42191
V504	0.20272	0.55949	0.08333	0.15447
V505	0.19476	0.25724	0.22992	0.31808
V506	0.12642	0.28999	0.34489	0.2387
V507	0.44675	0.1509	0.16484	0.23751
V508	0.54368	0.18528	0.11306	0.15798
V509	0.21158	0.15146	0.39193	0.24503
V510	0.1991	0.45134	0.23703	0.11254
V511	0.10503	0.38672	0.10443	0.40383
V512	0.23117	0.12801	0.13543	0.5054
V513	0.10836	0.53212	0.20413	0.15539
V514	0.11017	0.13446	0.09159	0.66378
V515	0.55628	0.10425	0.12265	0.21682
V516	0.68177	0.10472	0.08266	0.13085
V517	0.11437	0.1266	0.23713	0.5219
V518	0.72466	0.05287	0.08899	0.13348
V519	0.07596	0.67236	0.07738	0.1743
V520	0.0957	0.11712	0.4579	0.32928
V521	0.41804	0.10937	0.32647	0.14612
V522	0.07713	0.21232	0.42142	0.28913
V523	0.28213	0.19073	0.24206	0.28507
V524	0.06103	0.61985	0.19146	0.12766
V525	0.232	0.23952	0.09559	0.4329
V526	0.46794	0.13172	0.13654	0.26379
V527	0.20498	0.12307	0.32383	0.34811
V528	0.11879	0.66937	0.07281	0.13903
V529	0.12685	0.15404	0.21582	0.50329
V530	0.06978	0.26058	0.48628	0.18336
V531	0.06803	0.68557	0.14598	0.10041
V532	0.18275	0.32204	0.09412	0.40108
V533	0.23668	0.33994	0.16399	0.25939
V534	0.07975	0.13045	0.51257	0.27722
V535	0.42544	0.06176	0.09137	0.42143
V536	0.20074	0.10256	0.31034	0.38636
V537	0.42785	0.26101	0.18547	0.12567
V538	0.35252	0.12298	0.14065	0.38385
V539	0.2231	0.39122	0.17651	0.20916
V540	0.18364	0.55785	0.12412	0.13439
V541	0.08147	0.4455	0.11507	0.35796
V542	0.19827	0.19792	0.23231	0.3715
V543	0.65474	0.04189	0.09442	0.20896
V544	0.15296	0.16858	0.18557	0.49288
V545	0.29118	0.19214	0.12814	0.38854
V546	0.08592	0.68626	0.12019	0.10763
V547	0.08231	0.53178	0.27074	0.11517
V548	0.15457	0.60426	0.13281	0.10836
V549	0.26695	0.11993	0.48442	0.1287
V550	0.44406	0.08423	0.08165	0.39006
V551	0.17162	0.58463	0.09643	0.14732
V552	0.07242	0.45901	0.07853	0.39004
V553	0.20344	0.21048	0.45504	0.13104
V554	0.12881	0.15469	0.1034	0.6131
V555	0.13049	0.27117	0.27574	0.3226
V556	0.06905	0.14348	0.64878	0.13869
V557	0.60135	0.06977	0.0914	0.23748
V558	0.10125	0.61907	0.09083	0.18885
V559	0.06035	0.6452	0.19215	0.10229
V560	0.50575	0.29092	0.08107	0.12227
V561	0.07005	0.13856	0.6721	0.11929
V562	0.57139	0.05406	0.17405	0.2005
V563	0.22011	0.10824	0.54999	0.12166
V564	0.10492	0.17189	0.59823	0.12495
V565	0.14827	0.29152	0.30174	0.25847
V566	0.50853	0.13457	0.08573	0.27117
V567	0.20187	0.39934	0.09181	0.30698
V568	0.23518	0.09359	0.12091	0.55033
V569	0.50495	0.07683	0.08241	0.33581
V570	0.08287	0.31205	0.44721	0.15787
V571	0.59824	0.14666	0.08122	0.17388
V572	0.33961	0.09266	0.37211	0.19562
V573	0.12841	0.21536	0.08804	0.56819
V574	0.08123	0.62398	0.18022	0.11457
V575	0.10397	0.16453	0.16008	0.57142
V576	0.15655	0.63289	0.09794	0.11262
V577	0.11479	0.13976	0.21125	0.5342
V578	0.10825	0.16649	0.49022	0.23504
V579	0.06283	0.68093	0.13665	0.11959
V580	0.18407	0.09954	0.15793	0.55846
V581	0.13593	0.14562	0.08909	0.62936
V582	0.42483	0.18299	0.10513	0.28705
V583	0.08139	0.15418	0.43683	0.3276
V584	0.37887	0.19803	0.27406	0.14905
V585	0.08847	0.12158	0.35486	0.43509
V586	0.21495	0.11229	0.4877	0.18507
V587	0.2352	0.1122	0.51144	0.14117
V588	0.46472	0.0971	0.1027	0.33548
V589	0.09171	0.63586	0.11937	0.15306
V590	0.08703	0.61197	0.19179	0.1092
V591	0.09366	0.13501	0.20488	0.56645
V592	0.1669	0.13589	0.584	0.11321
V593	0.43844	0.06922	0.20749	0.28485
V594	0.26306	0.29997	0.28572	0.15125
V595	0.11609	0.11164	0.10106	0.67121
V596	0.09976	0.30598	0.21096	0.3833
V597	0.05665	0.49673	0.28085	0.16577
V598	0.08025	0.20195	0.59425	0.12355
V599	0.45381	0.30325	0.10331	0.13964
V600	0.27699	0.41496	0.11286	0.1952
V601	0.17618	0.28938	0.13098	0.40346
V602	0.11647	0.11042	0.09686	0.67625
V603	0.08756	0.35301	0.08558	0.47385
V604	0.37985	0.17158	0.30432	0.14424
V605	0.11181	0.33972	0.31251	0.23596
V606	0.52442	0.17657	0.09234	0.20667
V607	0.47909	0.07537	0.16081	0.28473
