Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V126	0.1214	0.21942	0.16792	0.23535	0.25591
V127	0.22963	0.04442	0.57502	0.15093	0
V128	0.17336	0.76483	0	0	0.06181
V129	0.21194	0.08965	0.20623	0.2961	0.19609
V130	0.01098	0.52446	0	0.25931	0.20524
V131	0	0.02203	0.16292	0.7208	0.09424
V132	0.2999	0.03201	0	0.42547	0.24262
V133	0	0.07142	0.47874	0.24063	0.2092
V134	0.01618	0.07074	0.70026	0.16203	0.05079
V135	0	0.12672	0.63928	0.15856	0.07544
V136	1	0	0	0	0
V137	0.97687	0.02313	0	0	0
V138	0.21409	0.18739	0.03685	0.25216	0.3095
V139	0.07157	0.03334	0.0974	0.69555	0.10215
V140	0.00621	0.03485	0.15135	0.24297	0.56462
V141	0	0.23783	0.55104	0.19162	0.01951
V142	0.16773	0.04612	0.2745	0.2775	0.23415
V143	0	0.21442	0.39919	0.25602	0.13037
V144	0.48165	0.26761	0	0.15598	0.09476
V145	0	0.03901	0.81037	0.15062	0
V146	0.00829	0.34449	0	0.3708	0.27642
V147	0.04772	0.10486	0.59532	0.22382	0.02829
V148	0.12222	0.78963	0	0	0.08815
V149	0	0	0	0.84975	0.15025
V150	0.09755	0.23379	0.51642	0.09756	0.05468
V151	0.37578	0.0274	0	0.45388	0.14294
V152	0	0.01344	0.06089	0.77178	0.15389
V153	0.12722	0.22337	0.38396	0.15402	0.11143
V154	0.10109	0.61123	0	0.06333	0.22435
V155	0	0.03233	0.07519	0.77892	0.11356
V156	0.06182	0.07036	0.33571	0.29762	0.2345
V157	0.06096	0.0806	0.13331	0.40405	0.32108
V158	0.15701	0.043	0.39139	0.19821	0.21039
V159	0.07135	0.21911	0	0.58398	0.12556
V160	0.43049	0.22018	0.03193	0.11897	0.19842
V161	0.18952	0.07262	0.03905	0.20191	0.4969
V162	0	0.03911	0.84098	0.11992	0
V163	0.03506	0.04293	0.00778	0.27538	0.63885
V164	0.99489	0.00511	0	0	0
V165	0.62072	0.26549	0.00104	0.06682	0.04592
V166	0.01268	0.02838	0.18315	0.63803	0.13775
V167	0.01565	0.65712	0	0.14128	0.18595
V168	0	0.03911	0.84098	0.11992	0
V169	0.02361	0.72464	0.08857	0.08183	0.08134
V170	0.20664	0.41476	0	0.2292	0.1494
