Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.01697	0	0.09812	0	0.40579	0	0	0	0	0.47911
V2	0.68222	0	0	0	0.00676	0.28009	0.03093	0	0	0
V3	0.10514	0	0.0998	0	0.5159	0.01017	0.04619	0.21751	0	0.00529
V4	0.03969	0.06847	0.02274	0.01575	0.06502	0.06602	0.00345	0.02019	0.59523	0.10344
V5	0.00429	0.1087	0.08972	0.08596	0.19707	0.06582	0.00129	0	0	0.44714
V6	0.00937	0	0.20286	0	0.6841	0.01261	0	0.09106	0	0
V7	0.01314	0.36605	0.03723	0	0.45168	0	0.02617	0.10574	0	0
V8	0.01299	0.39242	0.07039	0	0.13632	0	0	0.38582	0	0.00207
V9	7e-05	0.00752	0.04818	0.1393	0.00951	0.02388	0.10182	0.65298	0.01173	0.00501
V10	0.00546	0	0.00795	0.00229	0.7498	0.04209	0	0.19242	0	0
V11	0.02399	0.39723	0.03139	0	0.13749	0.02037	0	0.3613	0.01924	0.00898
V12	0	0.02864	0.15332	0.58224	0.05795	0.00784	0.06235	0.00578	0.00341	0.09846
V13	0.11019	0.0567	0.12139	0	0.01715	0.19841	0.31055	0.01885	0.16061	0.00614
V14	0.08357	0.38539	0.19136	0.02814	0.15314	0.05559	0.08243	0.02037	0	0
V15	0.21002	0.00793	0.06847	0.66561	0	0.01616	0.02122	0.00389	0.00594	0.00075
V16	0	0.04071	0.16518	0.6148	0.02452	0.03589	0.00637	0	0.10578	0.00675
V17	0.02976	0.12233	0.05874	0	0.22313	0.08081	0.01902	0.00919	0.00412	0.4529
V18	0.05551	0.07215	0.08074	0.37009	0.10352	0.00052	0	0	0	0.31746
V19	0.00198	0.00026	0.07371	0.08596	0.15296	0.08666	0	0.01046	0	0.58801
V20	0.01051	0.27645	0.02856	0.00023	0.06131	0.08112	0.38154	0.08157	0.01202	0.0667
V21	0.10937	0.34988	0.02954	0	0.11591	0.32621	0.02096	0.04443	0	0.00371
V22	0.00577	0	0.03286	0.01091	0.10524	0	0	0.4139	0.03533	0.39599
V23	0.26755	0.00923	0.6032	0	0.03497	0.00389	0.00144	0.00918	0	0.07054
V24	0.04233	0.4934	0.07794	0	0.16931	0	0.03797	0.10994	0.06911	0
V25	0.03902	0.09231	0.05584	0.0235	0.20603	0.1202	0.01623	0	0.172	0.27485
V26	0.00033	0	0.02832	0.03542	0.00211	0	0	0.93194	0	0.00188
V27	0.00704	0	0.04763	0	0.62588	0	0.00523	0	0	0.31421
V28	0.31676	0	0.03993	0	0.10225	0.02033	0.00929	0.04616	0	0.46528
V29	0.02519	0.54937	0.05017	0	0.21501	0.07922	0.00087	0.02618	0	0.054
V30	0.02147	0.03816	0.09771	0.00717	0	0.33261	0.20126	0.00311	0.29482	0.00369
V31	0.01254	0.21709	0.20649	0	0.14714	0	0	0.41626	0	0.00048
V32	0.51238	0	0	0	0.34197	0.0393	0.02043	0	0.08068	0.00526
V33	0.00873	0.0354	0.20538	0.57919	0	0.02352	0.13554	0	0.01018	0.00207
V34	0.00966	0.01274	0.05513	0	0.44875	0	0	0.02069	0.03808	0.41496
V35	0.02802	0.66386	0.04905	0	0.23275	0	0.00048	0.02584	0	0
V36	0.06137	0.12112	0	0	0	0.12765	0.59217	0.0602	0.03476	0.00274
V37	0.01652	0.50309	0.03732	0	0.16754	0.0258	0.19186	0.05109	0	0.00678
V38	0.13189	0.07036	0.03325	0.22082	0	0.08226	0.42075	0.00553	0.03448	0.00067
V39	0.07874	0.06831	0.04839	0.21056	0.03273	0.07899	0.40564	0.03476	0.0315	0.01038
V40	0.10037	0	0.74338	0	0.14138	0	0.00364	0.01095	0	0.00029
V41	0.66573	0.04964	0.00327	0	0.00553	0	0.00296	0.0085	0.25819	0.00618
V42	0.01492	0.429	0.04287	0	0.49303	0	0	0.00159	0	0.01859
V43	0.14324	0.0254	0.11443	0.07826	0.24091	0.0613	0.14742	0.03948	0.14954	0
V44	0.01268	0	0.51639	0	0.00194	0	0	0.46899	0	0
V45	0.03858	0.04065	0.01115	0.0287	0	0.03406	0.17429	0	0.64853	0.02404
V46	0.16274	0.074	0.07486	0.27679	0.13113	0	0	0.0171	0	0.26339
V47	0.00592	0.11684	0.00192	0	0	0.14249	0.65843	0.01281	0.05152	0.01007
V48	0.02276	0.02574	0.07264	0	0.17524	0	0	0	0.11278	0.59083
V49	0.12559	0	0	0.02189	0	0	0	0.85253	0	0
V50	0.32653	0.13166	1e-05	0	0.0616	0.45923	0.02097	0	0	0
V51	0.15054	0	0.61359	0	0.09372	0	0.00532	0.096	0.03494	0.00588
V52	0	0.04778	0.18317	0.39998	0	0.05236	0.2744	0.01467	0.02702	0.00063
V53	0.43172	0	0.09819	0.08917	0.04135	0	0	0.21527	0	0.1243
V54	0.00256	0	0	0.00076	0.24307	0.71044	0.04057	0.0017	0.00089	0
V55	0	0.01111	0.07098	0.79785	0.07044	0.00843	0.02225	0	0.00351	0.01544
V56	0.13965	0	0.59448	0	0.11191	0.13813	0.01032	0	0	0.00551
V57	0.01251	0	0.62632	0.17332	0.01569	0.00701	0.01034	0.04851	0.09041	0.0159
V58	0.01186	0.14474	0.08106	0.15782	0.06428	0.49839	0.0376	0	0.00425	0
V59	0.03536	0.16621	0.00236	0	0	0.13113	0.61124	0.01093	0.04057	0.00218
V60	0.79234	0	0	0	0.06868	0	0	0	0.13898	0
V61	0.00132	0	0.02472	0.03158	0.01921	0.84349	0.05501	0.0041	0.01518	0.0054
V62	0.03278	0.05265	0.03685	0.01662	0.08222	0.05972	0.31112	0.01873	0.06421	0.32511
V63	0.00843	0.15857	0.03215	0	0.27221	0.4902	0.02897	0	0	0.00946
V64	0.04698	0	0.2872	0.24271	0.00689	7e-04	0	0.38458	0	0.03095
V65	0.04704	0.01621	0.05144	0.39136	0.00217	0.00123	0.03076	0.3529	0.08993	0.01696
V66	0.01003	0	0.03854	0	0.79581	0.01865	0.00859	0.03193	0.00121	0.09525
V67	0.02141	0.14047	0.57682	0	0.07242	0.04681	0.05698	0.02328	0.04638	0.01543
V68	0.03871	0.00476	0	0.02851	0.01001	0	0	0.44434	0.47368	0
V69	0.01677	0	0.93782	0	0.03438	0	0.00818	0.00284	0	0
V70	0.79404	0.00395	0.06029	0	0	0.03364	0.02109	0.00997	0.07702	0
V71	0.01056	0	0	0.03939	0.00237	0	0	0.93745	0	0.01022
V72	0.21974	0	0.05176	0.31003	0.26423	0	0	0.00551	0	0.14873
V73	0.02862	0	0.03422	0.00109	0.92057	0.00916	0	0.00633	0	0
V74	0.00651	0.00172	0.08963	0.24676	0.12256	0.03387	0	0.00811	0	0.49084
V75	0.00098	0.05553	0.19538	0.50702	0.03786	0.00426	0.00415	0.00444	0.19039	0
V76	0	0	0	0.00553	0.01379	0.89118	0.06152	0.00504	0.02293	0
V77	0	0.03258	0.02954	0.38445	0	0.31551	0.21088	0.00099	0.01775	0.0083
V78	0.0154	0.4359	0.0794	0	0.17131	0.03899	0.20812	0	0	0.05088
V79	0.00818	0.01841	0.0473	0.34885	0.00689	0.25687	0.02217	0	0.27348	0.01784
V80	0.4665	0.00301	0.0229	0	0.08353	0.00105	0.01605	0	0.06161	0.34535
V81	0	0	0.01631	0.1857	0.19979	0.56634	0.03186	0	0	0
V82	0.0522	0.37375	0.07241	0.27525	0.13659	0.00018	0	0.08963	0	0
V83	0.0049	0.02601	0.0675	0.51267	0.03456	0	0	0.35432	0	3e-05
V84	0.02423	0.01027	0.01147	0.03716	0.13839	0.59835	0.1669	0.00435	0.00888	0
V85	0.20991	0	0.53655	0	0.05558	0	0	0	0	0.19797
V86	0.26673	0.00034	0.32617	0.38874	0.00354	0.00579	0.00417	0	0	0.0045
V87	0.04538	0.0291	0.00866	0.03554	0.03826	0.0018	0.0037	0	0.83755	0
V88	0	0.24607	0.09655	0.56767	0.0841	0	0.00462	0	0	0.00099
V89	0.00387	0.09024	0.00133	0.04913	0	0.10637	0.54024	0.1754	0.03222	0.0012
V90	0.01397	0.04747	0.49696	0	0.11029	0.01717	0	0	0	0.31415
V91	0.02764	0	0.90961	0	0.03927	0	0.0068	0.01401	0	0.00267
V92	0.00953	0.1181	0.0015	0	0	0.13257	0.61346	0.01115	0.1137	0
V93	0.03961	0.06905	0.07865	0.00945	0.00332	0.02918	0.15631	0.0262	0.58823	0
V94	0.9036	0	0	0	0	0.02917	0.00898	0.05591	0	0.00235
V95	0.0027	0.05798	0	0.01367	0	0.06458	0.33409	0.50742	0.0185	0.00105
V96	0.00778	0.0852	0.38918	0.42112	0.03925	0.01105	0.00491	0.01874	0.01733	0.00545
V97	0.00745	0.10606	0.01023	0	0	0.11828	0.59927	0.01119	0.05414	0.09338
V98	0.01812	0.1913	0.04233	0.05964	0.30084	0.00911	0.01757	0.14531	0.14417	0.07161
V99	0.63763	0.00847	0	0	0	0.00875	0.0487	0.00945	0.28701	0
V100	0.19559	0.00513	0.03423	0.25421	0.02956	0.31422	0.02702	0	0.12999	0.01005
V101	0.00503	0.02405	0.04713	0	0.12202	0.10781	0.10839	0.06859	0	0.51698
V102	0.04856	0.16482	0.01007	0	0.16087	0.32527	0.093	0.18711	0	0.01031
V103	0.1121	0.0208	0.006	0.03427	0	0.00128	0.00303	0.00676	0.81577	0
V104	0.02914	0	0.91696	0	0.0192	0	0.00776	0.00204	0.02489	0
V105	0.29449	0	0.07004	0.00161	0	0.11181	0	0.52205	0	0
V106	0.02937	0.50978	0.26719	0	0.18644	0.00606	0	0	0	0.00116
V107	0.27805	0.12208	0.02605	0	0.39108	0.00774	0.00086	0.05652	0.11763	0
V108	0	0	0.03697	0.18651	0.06653	0.41636	0.01964	0.03599	0.00565	0.23235
V109	0.00073	0.01444	0	0.01344	0.02714	0.85226	0.06161	0.00419	0.02618	0
V110	0.00768	0	0.02705	0	0.8622	0	0	0.10307	0	0
V111	0.00748	0.10183	0.00701	0.00912	0.11085	0.11569	0.58615	0.01051	0.03895	0.01241
V112	0.01128	0.09418	0.0208	0	0.01472	0.09348	0.47724	0.00817	0.10666	0.17347
V113	0.05282	0.01185	0.01418	0.02161	0.01815	0.05272	0.0129	0.03422	0.6862	0.09534
V114	0.05806	0.02271	0.01679	0.02691	0	0.00227	0.0039	0.00695	0.8624	0
V115	0.02019	0.66872	0.0633	0	0.23863	0	0.00626	0	0	0.0029
V116	0.38136	0.0386	0	0	0.01292	0	0	0.56712	0	0
V117	0.02022	0.11766	2e-05	0	0	0.13238	0.66526	0.01287	0.05106	0.00052
V118	0.02057	0	0	0.00281	0.0062	0.87343	0.06255	0.01741	0.01703	0
V119	0	0.02097	0.06058	0.61978	0.01284	0.17175	0.0275	0	0.08564	0.00092
V120	0.69586	0	0.21029	0	0	0.09041	0.00344	0	0	0
V121	0.05146	0.11098	0.31316	0	0.05204	0.17137	0.22495	0.02937	0.01163	0.03504
V122	0.04081	0.03883	0.13545	0.00332	0.00738	0.07067	0.09016	0	0.61243	0.00094
V123	0.012	0	0	0.02222	0.38882	0	0	0.57696	0	0
V124	0.66346	0.01709	0	0	0	0	0	0.31945	0	0
V125	0.00432	0.08617	0.0843	0.02692	0.04956	0.09172	0.00458	0.65244	0	0
V126	0.01133	0.02314	0.03248	0	0.84562	0	0	0.08173	0.0057	0
V127	0.02454	0.02633	0.64798	0	0.00577	0.02715	0.14874	0.00088	0.11575	0.00287
V128	0.01635	0.09219	0.44651	0	0.40041	0.03782	0.00105	0.00568	0	0
V129	0.0352	0.05038	0.07203	0.26035	0.10792	0.00459	0.0025	0	0.45841	0.00862
V130	0.00952	0	0.41177	0	0.00215	0	0	0.57656	0	0
V131	0.04182	0.2964	0.5126	0.01454	0.11491	0	0.00644	0	0.0133	0
V132	0.12574	0.07026	0.00622	0	0.06171	0.08941	0.45585	0.17164	0.01751	0.00166
V133	0	0.00939	0.00103	0.20258	0.00884	0.09272	0.02891	0.65653	0	0
V134	0.0229	0.02961	0.27233	0.02418	0.3688	0.01655	0.10919	0.01151	0.0104	0.13453
V135	0.04132	0.14549	0.18932	0	0.05447	0	0.01153	0	0.55788	0
V136	0.00841	0.45467	0.07689	0.16069	0.19809	0	0	0	0	0.10125
V137	0.00857	0.06229	0.0104	0.01183	0.01844	0.43794	0.34659	0.00731	0.09571	0.00092
V138	0.02301	0.09774	0.03679	0	0.0584	0.0803	0.41384	0.00661	0.07519	0.20812
V139	0.6458	0.00286	0	0	0.07343	0.07838	0.00289	0	0.19663	0
V140	0.01106	0.00157	0.35495	0.51267	0.04888	0.04613	0.01214	0	0	0.0126
V141	0	0.00981	0.07995	0.83262	0.01803	0.02066	0.00571	0	0.00457	0.02865
V142	0	0.07742	0.04298	0.29709	0	0.08655	0.44162	0.00526	0.03143	0.01763
V143	0.01859	0.63461	0.07047	0.0356	0.23603	0	0	0	0.0047	0
V144	0.00233	0.059	0	0.01167	0	0.46196	0.3949	0.03945	0.03069	0
V145	0.01461	0.05692	0.05862	0.56379	0.02703	0.0156	0.00045	0.26211	0	0.00087
V146	0.01516	0	0.5316	0	0.0553	0.0139	0.02261	0.1946	0	0.16683
V147	0.03658	0.00331	0.02493	0.02578	0.19963	0	0	0.03263	0.55381	0.12334
V148	0.05608	0.03149	0.00344	0.02451	0	0.04809	0.02519	0	0.8112	0
V149	0	0.01251	0.05379	0.64345	0.00046	0	0.00165	0.14233	0.13897	0.00684
V150	0.08327	0	0.05766	0	0.29181	0.00295	0	0.00955	0.03257	0.5222
V151	0.01672	0.00025	0.09883	0	0.17055	0.0791	0	0	0.00081	0.63374
V152	0	0	0	0.02814	0.02255	0	0	0.88904	0	0.06026
V153	0.00692	0	0.02357	0	0.83135	0	0	0.13816	0	0
V154	0.05603	0.0039	0.64372	0.25767	0.016	0.01471	0.00798	0	0	0
V155	0.04358	0	0	0.02104	0	0.0689	0	0.69153	0.17495	0
V156	0.11755	0.01114	0.18544	0	0.00901	0.47889	0.03908	0.06587	0.09107	0.00194
V157	0.01242	0.30925	0.05213	0.03556	0.36715	0.21004	0.00818	0	0.00211	0.00315
V158	0.29528	0.41579	0.03408	0	0.2055	0	0	0.04934	0	0
V159	0.0303	2e-04	0.27938	0.01126	0.43837	0.01484	0.00147	0.1388	0	0.08538
V160	0.03891	0.66736	0.0524	0	0.23947	0	0	0	0	0.00185
V161	0	0.01154	0.07917	0.85314	0.01347	0.00571	0.00542	0	0.02167	0.00987
V162	0.0065	0.00295	0.10084	0	0.19533	0	0	0	0.01136	0.68303
V163	0.10015	0	0.81983	0	0.02003	0.01207	0.00528	0.0359	0	0.00674
V164	0.01717	0	0.92282	0	0.02097	0.01665	0.01723	0.00226	0	0.0029
V165	0.01221	0	0.40897	0	0.14008	0	0	0.02166	0.00129	0.41579
V166	0.02763	0.07436	0.06515	0.63122	0.02787	0.00359	0.00973	0.09234	0.04219	0.02594
V167	0.937	0	0	0	0	0.00039	0	0	0.06261	0
V168	0.05593	0.00024	0	0.01411	0.00163	0.23256	0.01028	0.52762	0.15085	0.00678
V169	0	0	0.06923	0.20177	0.10896	0.18803	0.00557	0.02162	0	0.40483
V170	0.0575	0.01515	0.00497	0.02885	0	0.00295	0.00454	0	0.88605	0
V171	0.01235	0	0.25619	0.05124	0.03144	0.4071	0.04614	0.08045	0.1127	0.0024
V172	0.00835	0.10286	0.01125	0	0	0.27591	0.49869	0.02544	0.07633	0.00118
V173	0.02123	0.06878	0.02765	0	0.04058	0.09779	0.39779	0.00682	0.06533	0.27404
V174	0	0.04501	0.263	0.41107	0.18233	0.01779	0.00641	0.0171	0	0.05729
V175	0.87821	0	0.09763	0	0	0.00195	0.01141	0.0108	0	0
V176	0.19113	0	0	0	0.00627	0.71604	0.03853	0.00146	0.04442	0.00216
V177	0.74665	0	0	0.10891	0.02133	0	0	0.01984	0	0.10327
V178	0.20589	0	0	0.02636	0.07279	0.62413	0.03484	0.00108	0	0.0349
V179	0.16062	0	0.02639	0	0.81299	0	0	0	0	0
V180	0.46126	0.09074	0.03218	0.37654	0.03143	0.00373	0.00411	0	0	0
V181	0.02044	0.12002	0.70707	0	0.08562	0.01202	0.0534	0	0	0.00143
V182	0.00473	0	0	0.04546	0.3318	0.01045	0	0.58867	0.01821	0.00068
V183	0	0.13904	0.06994	0.65242	0.03559	0.01787	0.07943	0	0.00302	0.0027
V184	0.19488	0	0	0.01144	0.02458	0.58598	0.02623	0.04973	0	0.10716
V185	0.61482	0	0	0.20851	0	0	0	0.13054	0.04525	0.00087
V186	0.87177	0.00465	0	0.10692	0	0.00085	0.00649	0.00932	0	0
V187	0.80316	0	0.10049	0	0	0.00075	0.00325	0.01048	0.05621	0.02566
V188	0.07897	0.05622	0.03362	0.06891	0.73739	0	0.00289	0.01689	0	0.00511
V189	0.89802	0	0	0.06861	0	0.01333	0	0.00916	0	0.01088
V190	0.04265	0.01642	0.00515	0.02276	0.07709	0.08694	0.00768	0	0.74131	0
V191	0.00351	0	0.10073	0.3946	0.44425	0	0.0249	0.02897	0	0.00305
V192	0.00625	0	0.07746	0	0.41657	0.00042	0	0.02073	0	0.47858
V193	0.07815	0.01535	0.21003	0.33646	0.14784	0.01129	0.08084	0.10443	0.01113	0.00448
V194	9e-05	0.01147	0	0.01336	0.00092	0.77504	0.15676	0.01968	0.02266	0
V195	0.04421	0.0946	0.01253	0	0.09826	0.22945	0.40145	0.08504	0.02586	0.0086
V196	0.77719	0.00348	0	0.21825	0	0	0	0	0	0.00109
V197	0.01658	0.00118	0.01121	0.21087	0.01168	0	0.00252	0.56011	0.18585	0
V198	0.00997	0	0.0332	0.00459	0.66343	0.22796	0.02293	0	0.03791	0
V199	0.03002	0.01981	0.1091	0.00478	0.43444	0.02062	0.08828	0	0.00113	0.29183
V200	0.00592	0.0021	0.01657	0.00067	0.53448	0.13321	0.14846	0.15669	0	0.0019
V201	0.26447	0.05034	0.0067	0.01057	0.00136	0.01081	0.06499	0.00904	0.55995	0.02178
V202	0.03391	0.23407	0.54846	0	0.08538	0.00253	0.05266	0.00911	0.03387	0
V203	0.02125	0.06439	0.4367	0.13599	0.0344	0.01804	0.06863	0	0.2109	0.00971
V204	0.00296	0.14114	0.30911	0.29549	0.06372	0.07376	0.00555	0.09766	0.01061	0
V205	0.07855	0.12538	0.0137	0	0	0.10365	0.43035	0.11966	0.12823	0.00048
V206	0.29245	0	0.63306	0	0.04253	0	0.00658	0	0	0.02538
V207	0.02883	0.11521	0.07229	0.0784	0.17414	0	0	0	0.21369	0.31746
V208	0.0039	0	0.00863	0.07111	0.01559	0.75819	0.04752	0.00235	0.0879	0.0048
V209	0.03933	0	0.11356	0	0.84711	0	0	0	0	0
V210	0.05811	0	0.0769	0	0.67419	0	0	0.18647	0	0.00433
V211	0.02408	0.04545	0.72069	0	0.03959	0.01186	0.04413	0.06163	0.05115	0.00141
V212	0.10084	0.04421	0	0.01984	0.00731	0	0	0.51003	0.31777	0
V213	0.12116	0	0	0.01139	0.18353	0.62457	0.03914	0.01212	0	0.00809
V214	0.00773	0.05708	0.01403	0	0.37394	0.10905	0.35664	0.00444	0.01287	0.06422
V215	0.0058	0.11799	0.00149	0	0	0.14383	0.66368	0.01307	0.05335	8e-04
V216	0.01632	0.49107	0.05274	0	0.42627	0	0	0.0136	0	0
V217	0.02649	0.13089	0.06847	0.08804	0.28981	0.24252	0.00932	0.07361	0.00592	0.06494
V218	0.03584	0.01496	0	0	0.01568	0.69505	0.18086	0.00582	0.01585	0.03595
V219	0	0	0	0.08729	0	5e-05	0.02211	0.89054	0	0
V220	0.01479	0.01531	0.03913	0.41257	0	0	0.00211	0.08181	0.43428	0
V221	0.16945	0.06713	0.35117	0	0.05061	0	0.01558	0.12946	0.16241	0.05418
V222	0.02724	0	0.78454	0	0.0114	0.16225	0.01443	0.00015	0	0
V223	0.01808	0	0.82698	0	0.02187	0.08052	0.05128	0.00126	0	0
V224	0.02311	0	0.70229	0	0.01383	0.00615	0.00553	0.11595	0.13314	0
V225	0	0	0.33253	0.32546	0.00285	0.00939	0.00041	0.32589	0	0.00348
V226	0.02339	0.52232	0.03695	0	0.1973	0	0	0.22005	0	0
V227	0.01808	0	0.71463	0	0.26379	0	0.0035	0	0	0
V228	0.03788	0.44087	0.10376	0	0.16218	0	0	0.22414	0.02805	0.00313
V229	0.69479	0	0	0	0	0.2578	0.01878	0.02863	0	0
V230	0	0.01792	0.07278	0.44136	0.06472	0.01889	0.07578	0	0.02348	0.28507
V231	0.0612	0.18885	0.02451	0.02747	0.05734	0.0906	0.00554	0.00623	0.53775	0.00051
V232	0.02973	0.26205	0.47967	0	0.11272	0	0	0.11583	0	0
V233	0.01966	0	0.02489	0.03889	0.68727	0.00256	0	0	0.22674	0
V234	0.01199	0.0082	0.00242	0.01423	0.22271	0.01859	0.11807	0.60137	0	0.00243
V235	0.01806	0	0.372	0	0.00846	0	0.00131	0.59521	0	0.00495
V236	0	0.00218	0.25721	0.27812	0.01767	0.38792	0.0307	0	0.0262	0
V237	0.02985	0	0.45185	0.11374	0.33081	0.02574	0.00298	0.04502	0	0
V238	0.00799	0.00867	0.29776	0	0.03727	0	0	0.64831	0	0
V239	0.00834	0.11656	0.07448	0.57769	0.09734	0.02127	0.0241	0	0.00518	0.07504
V240	0.08357	0.05869	0.00728	0	0	0.38868	0.39515	0.00839	0.03371	0.02453
V241	0.16206	0.00417	0.05942	0.69233	0.01682	0.02699	0.004	0.02694	0	0.00729
V242	0.05396	0.01365	0.01904	0.07168	0	0.01019	0.00431	0	0.82717	0
V243	0.04306	0.0152	0.02787	0.16489	0.00768	0.07442	0.0353	0	0.57132	0.06026
V244	0.03979	0.04343	0.43304	0	0	0.06119	0.31563	0.07811	0.02881	0
V245	0.16955	0.09241	0.17746	0	0.03537	0.46326	0.02704	0.03491	0	0
V246	0.01331	0.28306	0.01661	0	0.04853	0.08986	0.4726	0.00621	0.06717	0.00265
V247	0.01831	0.00375	0.93231	0	0.03045	0	0.00822	0.0026	0.0011	0.00325
V248	0.5355	0.05015	0.00132	0	0.02131	0.02853	0.08651	0.27668	0	0
V249	0.02978	0	0.75939	0	0.13045	0	0.00327	0	0.00454	0.07257
V250	0.0013	0.02403	0.02179	0.32724	0.03	0.24171	0.01888	0.32451	0	0.01054
V251	0.62517	0.11503	0	0.01507	0.1277	0	0	0.0934	0.02337	0.00025
V252	0.07154	0.39995	0.03987	0.03244	0.13459	0.22603	0.01043	0.08232	0	0.00284
V253	0.03965	0.00388	0.34544	0	0	0.07773	0.01384	0	0.51946	0
V254	0.0062	0	0.04258	0.04451	0.87054	0	0	0	0	0.03616
V255	0.00779	0	0.02224	0	0.96388	0	0	0.00609	0	0
V256	0	0.01724	0.07639	0.84114	0.00627	0.03702	0.0072	0	0.00492	0.00981
V257	0.41508	0	0.42842	0	0	0.13934	0.01716	0	0	0
V258	0.00761	0	0.03272	0.00232	0.87258	0	0.00095	0	0	0.08381
V259	0.04644	0	0	0.10988	0.13542	0	0.00247	0.70544	0	0.00034
V260	0.00344	0.10355	0.00267	0.02592	0.03917	0	0	0.82525	0	0
