Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V65	0.04821	0.0384	0.13487	0.34112	0.01387	0.0171	0.1083	0.18641	0.1087	0.003
V66	0	0.17434	0.02015	0.01228	0.4931	0.0231	0.04399	0.02217	0.06066	0.15021
V67	0.03275	0.19895	0.38802	0.13717	0.00669	0.0379	0.10921	0.01118	0.06732	0.0108
V68	0	0.0822	0.05909	0.01961	0.04253	0.01716	0.0882	0.24534	0.44587	0
V69	0.08503	0.04014	0.67237	0.1681	0.01129	0	0	0	0.0074	0.01567
V70	0.66944	0.03719	0.12423	0.03751	0	0.02864	0.0424	0.0081	0.05249	0
V71	0.00947	0.02261	0.03415	0.02902	0.01867	0.05562	0.1219	0.6395	0.06905	0
V72	0.22423	0.05412	0.0954	0.26842	0.12337	8e-04	0.01608	0.01191	0.00035	0.20532
V73	0.01638	0.20813	0.01618	0.02037	0.63037	0.01389	0.01321	0.00587	0.06577	0.00984
V74	0.01325	0	0.07001	0.20522	0	0.0389	0.04331	0.02074	0	0.60857
V75	0.00802	0.10071	0.22479	0.43094	0.02478	0.00574	0.02542	0.01245	0.16715	0
V76	0	0.04876	0.02672	0.04337	0.00319	0.75526	0.10735	0.01535	0	0
V77	0	0.00825	0.10765	0.29817	0.01966	0.2417	0.30479	0.01978	0	0
V78	0	0.45611	0.05892	0.03312	0.00986	0.01884	0.33832	0.00916	0.05629	0.01938
V79	0	0.06096	0.11302	0.28668	0.02004	0.22779	0.06884	0.013	0.20968	0
V80	0.40382	0.01092	0.04603	0.02714	0	0.00565	0.06992	0.01203	1e-04	0.42441
V81	0	0.0691	0.05563	0.1767	0.12541	0.48983	0.07015	0.00925	0.00393	0
V82	0.03275	0.48678	0.07418	0.2437	0	0.0064	0.05449	0.04257	0.05915	0
V83	0.02043	0.0625	0.15138	0.45689	0.02166	0.01435	0.04242	0.19709	0.03327	0
V84	0	0.04331	0.06159	0.06717	0.0967	0.46081	0.25353	0.01688	0	0
V85	0.23465	0.00678	0.37934	0.09869	0	0.00033	0.01318	0.00028	0	0.26675
V86	0.28606	0.01688	0.29838	0.38248	0.00352	0.00784	0.00205	0.00196	0.00083	0
V87	0	0.12106	0.07097	0.02782	0.06991	0.00023	0.06775	0.01571	0.62655	0
V88	0	0.31978	0.13329	0.46743	0	0	0.03485	0	0.04465	0
V89	0	0	0.07734	0.06837	0.04438	0.04968	0.65703	0.09485	0.00834	0
