CD19B	CD56NK	CD4MemoryT	CD14
V139	0.27593	0.24738	0.20758	0.26911
V140	0.07667	0.17087	0.12276	0.62971
V141	0.10923	0.21702	0.40685	0.26689
V142	0.5879	0.08209	0.23275	0.09726
V143	0.31897	0.28331	0.13152	0.2662
V144	0.16434	0.21343	0.19106	0.43117
V145	0.05385	0.62714	0.20719	0.11182
V146	0.091	0.11863	0.11381	0.67656
V147	0.65715	0.09633	0.11562	0.1309
V148	0.15518	0.15786	0.43464	0.25232
V149	0.22617	0.45461	0.21149	0.10773
V150	0.12539	0.2735	0.43434	0.16677
V151	0.18253	0.53003	0.0909	0.19654
V152	0.20368	0.40797	0.21032	0.17803
V153	0.11783	0.6123	0.07834	0.19152
V154	0.21334	0.41445	0.2429	0.12931
V155	0.35897	0.20002	0.26581	0.1752
V156	0.09411	0.20606	0.5003	0.19953
V157	0.25286	0.21425	0.2771	0.25579
V158	0.06941	0.11524	0.10815	0.7072
V159	0.6359	0.1309	0.09657	0.13663
V160	0.49909	0.08832	0.144	0.2686
V161	0.18987	0.10715	0.11684	0.58614
V162	0.09546	0.31372	0.13372	0.4571
V163	0.11794	0.43913	0.17942	0.26351
V164	0.26529	0.31649	0.15044	0.26779
V165	0.06049	0.28957	0.08129	0.56865
V166	0.0645	0.17795	0.13235	0.6252
V167	0.27372	0.09479	0.10113	0.53037
V168	0.23411	0.49244	0.12524	0.14821
V169	0.17341	0.14283	0.1198	0.56397
V170	0.13946	0.11981	0.40604	0.33468
V171	0.15472	0.27179	0.43439	0.1391
V172	0.53608	0.08377	0.27463	0.10552
V173	0.07542	0.20859	0.11574	0.60024
V174	0.0677	0.22525	0.13354	0.57351
V175	0.11876	0.10882	0.5711	0.20132
V176	0.05717	0.65965	0.17084	0.11234
V177	0.0527	0.76644	0.06114	0.11972
V178	0.05124	0.62598	0.06705	0.25572
V179	0.17284	0.10778	0.32486	0.39453
V180	0.06759	0.71354	0.11305	0.10582
V181	0.1749	0.19765	0.40877	0.21868
V182	0.25634	0.23001	0.36387	0.14978
V183	0.1677	0.6537	0.06978	0.10882
V184	0.71753	0.07656	0.10946	0.09645
V185	0.42083	0.38597	0.08976	0.10345
V186	0.13515	0.43256	0.23407	0.19821
V187	0.6893	0.08382	0.12361	0.10326
V188	0.09186	0.26803	0.08267	0.55743
V189	0.58174	0.0994	0.11022	0.20864
V190	0.49734	0.09342	0.30306	0.10618
V191	0.18899	0.248	0.42462	0.13839
V192	0.24128	0.4237	0.10773	0.22728
V193	0.44622	0.11556	0.24548	0.19274
V194	0.07179	0.73617	0.06652	0.12552
V195	0.08504	0.12441	0.67577	0.11479
V196	0.06711	0.15768	0.09986	0.67535
V197	0.31179	0.13328	0.11294	0.44199
V198	0.10286	0.44819	0.29618	0.15276
V199	0.16583	0.12255	0.20249	0.50913
V200	0.13323	0.48787	0.08344	0.29545
V201	0.11876	0.48297	0.18625	0.21202
V202	0.08444	0.11916	0.56153	0.23487
V203	0.16929	0.39646	0.31141	0.12284
V204	0.0527	0.47151	0.07642	0.39938
V205	0.0899	0.14352	0.64397	0.12261
V206	0.10928	0.17125	0.60729	0.11218
V207	0.14028	0.24001	0.12115	0.49857
V208	0.23602	0.14748	0.49933	0.11717
V209	0.24062	0.42213	0.12291	0.21434
V210	0.10733	0.62075	0.12663	0.14529
V211	0.32051	0.1045	0.11902	0.45596
V212	0.39521	0.12194	0.36224	0.12061
V213	0.46159	0.10981	0.17028	0.25833
V214	0.26141	0.21676	0.19176	0.33006
V215	0.23433	0.17289	0.10324	0.48953
V216	0.08052	0.11419	0.10819	0.6971
V217	0.08439	0.44291	0.21414	0.25856
V218	0.11768	0.40974	0.18079	0.29178
V219	0.11821	0.53821	0.07557	0.26801
V220	0.05222	0.66579	0.06507	0.21692
V221	0.58113	0.08317	0.10188	0.23382
V222	0.26167	0.20038	0.30851	0.22944
V223	0.07554	0.20797	0.54784	0.16866
V224	0.70793	0.07669	0.11866	0.09671
V225	0.08632	0.70018	0.1026	0.1109
V226	0.26914	0.16056	0.45435	0.11595
V227	0.58095	0.08097	0.22645	0.11164
V228	0.55053	0.13737	0.14103	0.17106
V229	0.09106	0.12321	0.6563	0.12942
V230	0.0688	0.12615	0.10752	0.69754
V231	0.06629	0.30112	0.15136	0.48123
V232	0.07643	0.55009	0.06517	0.30831
V233	0.41475	0.16054	0.21851	0.20619
V234	0.07232	0.72554	0.08285	0.11929
V235	0.30789	0.14192	0.4191	0.1311
V236	0.10626	0.1568	0.56825	0.16868
V237	0.15611	0.10826	0.11986	0.61577
V238	0.14423	0.48028	0.23155	0.14393
V239	0.09366	0.38237	0.0893	0.43467
V240	0.37984	0.1207	0.35715	0.1423
V241	0.08892	0.11591	0.63239	0.16278
V242	0.13908	0.61739	0.12819	0.11533
V243	0.2279	0.13179	0.47426	0.16605
V244	0.20837	0.10305	0.51438	0.1742
V245	0.43107	0.30377	0.12043	0.14473
V246	0.1115	0.2131	0.54857	0.12683
V247	0.18645	0.11637	0.5929	0.10429
V248	0.07349	0.13129	0.12238	0.67284
V249	0.07528	0.13649	0.62525	0.16298
V250	0.56817	0.0826	0.24372	0.10551
V251	0.68233	0.109	0.10608	0.10259
V252	0.05719	0.67711	0.16032	0.10537
V253	0.28288	0.15336	0.19381	0.36995
V254	0.05383	0.73754	0.09617	0.11247
V255	0.07722	0.72404	0.05939	0.13935
V256	0.18046	0.25404	0.39335	0.17214
V257	0.32087	0.17415	0.23602	0.26896
V258	0.17738	0.29014	0.33505	0.19743
V259	0.09193	0.30973	0.4576	0.14073
V260	0.07005	0.30629	0.51238	0.11129
V261	0.45099	0.1137	0.2226	0.2127
V262	0.11778	0.14537	0.10438	0.63247
V263	0.0595	0.75331	0.06188	0.1253
V264	0.17307	0.13087	0.34909	0.34697
V265	0.08039	0.11045	0.17701	0.63214
V266	0.47516	0.34013	0.08868	0.09604
V267	0.05829	0.23655	0.25226	0.4529
V268	0.29584	0.11398	0.1872	0.40298
V269	0.06147	0.4853	0.30598	0.14725
V270	0.47329	0.1076	0.25205	0.16707
V271	0.56995	0.13499	0.11821	0.17685
V272	0.0828	0.66057	0.0711	0.18554
V273	0.09109	0.12384	0.11966	0.6654
V274	0.51333	0.08261	0.2189	0.18515
V275	0.08014	0.12424	0.68073	0.1149
V276	0.36555	0.33458	0.08906	0.21081
V277	0.07903	0.25405	0.1826	0.48431
V278	0.08521	0.1506	0.26501	0.49918
V279	0.49488	0.1311	0.16945	0.20457
V280	0.06941	0.11524	0.10815	0.7072
V281	0.39912	0.11197	0.18857	0.30034
V282	0.11282	0.15759	0.57499	0.15459
V283	0.18321	0.49563	0.11192	0.20925
V284	0.06773	0.71926	0.10126	0.11175
V285	0.12628	0.11557	0.65204	0.10611
V286	0.20662	0.47483	0.14192	0.17663
V287	0.11196	0.69233	0.07182	0.1239
V288	0.07043	0.30328	0.33266	0.29363
V289	0.2416	0.25769	0.33626	0.16446
V290	0.59905	0.20353	0.10193	0.0955
V291	0.37968	0.14621	0.36093	0.11318
V292	0.67198	0.08352	0.10129	0.1432
V293	0.26421	0.11068	0.48677	0.13835
V294	0.10579	0.35699	0.07914	0.45808
V295	0.0682	0.23472	0.20011	0.49696
V296	0.1841	0.19142	0.4517	0.17278
V297	0.10546	0.10902	0.13854	0.64698
V298	0.26176	0.17415	0.44785	0.11624
V299	0.0963	0.2962	0.09134	0.51616
V300	0.06194	0.13019	0.23117	0.5767
V301	0.15007	0.1869	0.47052	0.19251
V302	0.47483	0.33301	0.08364	0.10852
V303	0.05745	0.51079	0.29893	0.13283
V304	0.11094	0.12425	0.53679	0.22802
V305	0.1434	0.22065	0.35666	0.27929
V306	0.57525	0.15677	0.13056	0.13742
V307	0.05948	0.74908	0.07218	0.11925
V308	0.20127	0.26613	0.2614	0.2712
V309	0.25347	0.32081	0.09827	0.32745
V310	0.10374	0.32438	0.17252	0.39935
V311	0.38384	0.43034	0.08159	0.10423
V312	0.11512	0.6041	0.15648	0.1243
V313	0.06083	0.18401	0.10278	0.65238
V314	0.06128	0.43061	0.1437	0.36441
V315	0.12697	0.52643	0.09058	0.25603
V316	0.25437	0.20062	0.32184	0.22317
V317	0.10476	0.57546	0.09594	0.22384
V318	0.07153	0.48042	0.07952	0.36853
V319	0.1149	0.14886	0.60087	0.13537
V320	0.12167	0.21065	0.46869	0.19899
V321	0.46818	0.34756	0.08798	0.09628
V322	0.17205	0.32544	0.12642	0.37609
V323	0.09243	0.12395	0.14863	0.63499
V324	0.47604	0.27468	0.13298	0.1163
V325	0.24751	0.53774	0.10773	0.10702
V326	0.0491	0.48485	0.1297	0.33636
V327	0.06847	0.21003	0.15271	0.56879
V328	0.1042	0.12443	0.5368	0.23458
V329	0.16483	0.1863	0.19155	0.45732
V330	0.30565	0.09945	0.30374	0.29116
V331	0.26288	0.1631	0.1217	0.45232
V332	0.06631	0.14496	0.20066	0.58808
V333	0.32477	0.15438	0.33145	0.1894
V334	0.28389	0.10267	0.31397	0.29947
V335	0.08092	0.33939	0.38063	0.19906
V336	0.16176	0.5747	0.08088	0.18266
V337	0.23644	0.37795	0.25654	0.12907
V338	0.04729	0.77318	0.06721	0.11232
V339	0.15954	0.11192	0.61578	0.11276
V340	0.10231	0.26731	0.39149	0.23889
V341	0.0732	0.13178	0.1318	0.66321
V342	0.22797	0.10183	0.46491	0.20529
V343	0.70042	0.08944	0.10786	0.10228
V344	0.4961	0.19941	0.20739	0.0971
V345	0.08545	0.12455	0.68215	0.10785
V346	0.20117	0.187	0.25829	0.35355
V347	0.08577	0.11494	0.17252	0.62677
V348	0.08642	0.54482	0.1572	0.21156
V349	0.27522	0.22141	0.3207	0.18267
V350	0.06995	0.65296	0.17134	0.10575
V351	0.07457	0.12924	0.32765	0.46854
V352	0.1085	0.1209	0.60105	0.16955
V353	0.62612	0.09819	0.12462	0.15108
V354	0.08558	0.57191	0.20385	0.13866
V355	0.23666	0.15894	0.368	0.23639
V356	0.07826	0.12502	0.15328	0.64344
V357	0.13015	0.33461	0.24366	0.29157
V358	0.38408	0.17242	0.12608	0.31742
V359	0.40599	0.13435	0.11705	0.34261
V360	0.40048	0.39539	0.0943	0.10984
V361	0.06256	0.41728	0.4093	0.11087
V362	0.04755	0.76867	0.07157	0.1122
V363	0.17325	0.18978	0.36542	0.27155
V364	0.1734	0.15054	0.49643	0.17963
V365	0.21555	0.11923	0.10375	0.56148
V366	0.09828	0.56275	0.12129	0.21768
V367	0.40288	0.19744	0.09107	0.30861
V368	0.1054	0.59526	0.12107	0.17827
V369	0.07622	0.38087	0.43171	0.11119
V370	0.24696	0.29409	0.32896	0.12999
V371	0.16897	0.59009	0.08415	0.15679
V372	0.15715	0.14628	0.16553	0.53104
V373	0.11529	0.20868	0.36253	0.3135
V374	0.57622	0.08824	0.23804	0.09751
V375	0.08444	0.13722	0.17975	0.59859
V376	0.07783	0.13149	0.15297	0.63772
V377	0.56099	0.0775	0.10822	0.25329
V378	0.06923	0.12912	0.33349	0.46816
V379	0.25311	0.24014	0.09449	0.41226
V380	0.15292	0.16001	0.21016	0.47691
V381	0.51991	0.09574	0.16088	0.22347
V382	0.13051	0.12652	0.62949	0.11347
V383	0.5915	0.08238	0.13652	0.1896
V384	0.39624	0.15361	0.17899	0.27117
V385	0.60993	0.09192	0.15429	0.14386
V386	0.24045	0.11169	0.18604	0.46182
V387	0.42013	0.20178	0.21123	0.16686
V388	0.27905	0.33167	0.17459	0.21468
V389	0.30467	0.45712	0.08357	0.15465
V390	0.25049	0.28047	0.36332	0.10572
V391	0.30243	0.17518	0.10382	0.41858
V392	0.30891	0.25829	0.19189	0.2409
V393	0.23236	0.26518	0.29185	0.21061
V394	0.11282	0.26475	0.15264	0.46978
V395	0.18978	0.37287	0.20111	0.23623
V396	0.05284	0.75603	0.06542	0.12571
V397	0.5521	0.15293	0.16291	0.13206
V398	0.32116	0.19884	0.15141	0.32859
V399	0.17325	0.47716	0.16568	0.18391
V400	0.04868	0.49674	0.1117	0.34288
V401	0.09479	0.21998	0.51728	0.16795
V402	0.57494	0.21344	0.11643	0.09519
V403	0.07346	0.12582	0.13652	0.6642
V404	0.12637	0.24497	0.44851	0.18014
V405	0.19081	0.12749	0.19739	0.48431
V406	0.45132	0.27209	0.09945	0.17714
V407	0.04729	0.77318	0.06721	0.11232
V408	0.11955	0.2786	0.31661	0.28525
V409	0.06349	0.12146	0.10785	0.70719
V410	0.10667	0.68688	0.08233	0.12413
V411	0.32294	0.09688	0.09642	0.48376
V412	0.16744	0.16245	0.38522	0.28489
V413	0.08895	0.43399	0.18452	0.29254
V414	0.08033	0.4486	0.27226	0.19881
V415	0.32943	0.1186	0.24088	0.31109
V416	0.08409	0.16046	0.64876	0.10669
V417	0.29083	0.52631	0.07685	0.10602
V418	0.1036	0.18187	0.17594	0.53858
V419	0.069	0.11492	0.11502	0.70106
V420	0.04698	0.70386	0.07038	0.17877
V421	0.1741	0.13475	0.49923	0.19193
V422	0.08426	0.14923	0.10039	0.66611
V423	0.12971	0.12096	0.62131	0.12802
V424	0.06767	0.14649	0.45811	0.32773
V425	0.10362	0.27511	0.43439	0.18687
V426	0.13399	0.13783	0.56684	0.16133
V427	0.09653	0.37763	0.19221	0.33364
V428	0.10453	0.61969	0.10365	0.17214
V429	0.06893	0.1147	0.1192	0.69717
V430	0.52567	0.21284	0.10435	0.15715
V431	0.18029	0.12138	0.36413	0.3342
V432	0.12299	0.17356	0.12186	0.58158
V433	0.08235	0.59801	0.06415	0.2555
V434	0.25663	0.15799	0.12602	0.45936
V435	0.36814	0.1019	0.17692	0.35304
V436	0.28843	0.10586	0.17044	0.43527
V437	0.19188	0.26305	0.08761	0.45746
V438	0.42774	0.2124	0.11133	0.24854
V439	0.07727	0.17564	0.0979	0.64918
V440	0.34735	0.12336	0.11909	0.4102
V441	0.11147	0.20374	0.43836	0.24643
V442	0.24495	0.34094	0.16623	0.24788
V443	0.52725	0.08584	0.16316	0.22375
V444	0.08545	0.12455	0.68215	0.10785
V445	0.45575	0.1043	0.31282	0.12713
V446	0.07179	0.65954	0.10225	0.16642
V447	0.44836	0.1657	0.20596	0.17999
V448	0.07242	0.15797	0.20479	0.56482
V449	0.41167	0.1233	0.28308	0.18195
V450	0.14211	0.68195	0.07222	0.10373
V451	0.66916	0.116	0.09762	0.11722
V452	0.07901	0.11996	0.13659	0.66444
V453	0.57071	0.14411	0.14133	0.14385
V454	0.04775	0.73662	0.09574	0.11988
V455	0.44107	0.11594	0.28859	0.15439
V456	0.2615	0.19358	0.32204	0.22287
V457	0.06337	0.12576	0.1039	0.70697
V458	0.21098	0.2627	0.08783	0.43849
V459	0.0602	0.63589	0.12483	0.17909
V460	0.68293	0.08381	0.12307	0.11019
V461	0.0911	0.13068	0.10219	0.67603
V462	0.25795	0.27424	0.08305	0.38476
V463	0.20935	0.42632	0.175	0.18933
V464	0.36018	0.17148	0.09287	0.37548
V465	0.29377	0.39644	0.09654	0.21325
V466	0.40936	0.23229	0.08969	0.26866
V467	0.24766	0.49166	0.12562	0.13506
V468	0.35931	0.37859	0.11541	0.14669
V469	0.07059	0.23596	0.25328	0.44017
V470	0.39061	0.19081	0.20573	0.21285
V471	0.21448	0.18116	0.11402	0.49034
V472	0.24383	0.33107	0.07944	0.34566
V473	0.12307	0.47347	0.27884	0.12462
V474	0.13204	0.10513	0.15945	0.60338
V475	0.16446	0.37592	0.13018	0.32944
V476	0.15623	0.1169	0.13253	0.59434
V477	0.43101	0.12137	0.22824	0.21939
V478	0.13241	0.50047	0.07208	0.29504
V479	0.08533	0.17097	0.56839	0.17531
V480	0.10275	0.32013	0.10895	0.46817
V481	0.17217	0.11703	0.59141	0.11939
V482	0.49186	0.21152	0.16471	0.1319
V483	0.13543	0.18596	0.13586	0.54275
V484	0.07216	0.15742	0.10987	0.66055
V485	0.12535	0.59876	0.0722	0.20368
V486	0.21768	0.29001	0.16151	0.3308
V487	0.10498	0.14058	0.14585	0.6086
V488	0.07492	0.11317	0.62295	0.18895
V489	0.20702	0.17665	0.49884	0.11749
V490	0.25567	0.3222	0.12658	0.29555
V491	0.32346	0.42273	0.09981	0.154
V492	0.06817	0.67024	0.14907	0.11252
V493	0.06937	0.11491	0.10093	0.7148
V494	0.18791	0.21924	0.39529	0.19757
V495	0.19311	0.52402	0.15998	0.1229
V496	0.22299	0.5695	0.06588	0.14163
V497	0.08531	0.11809	0.68184	0.11476
V498	0.24217	0.17997	0.12472	0.45315
V499	0.44322	0.28576	0.16711	0.10391
V500	0.13715	0.1975	0.52459	0.14076
V501	0.06323	0.11536	0.11922	0.70219
