CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V95	0.07967	0.0187	0.22852	0.12096	0.50456	0.04759
V96	0.14094	0.26461	0.03035	0.07691	0.36791	0.11927
V97	0.0857	0.03066	0.03002	0.09431	0.71235	0.04695
V98	0.10437	0.07035	0.00712	0.50737	0.25936	0.05143
V99	0.08981	0.03461	0.00528	0.60837	0.21266	0.04927
V100	0.08551	0.01163	0.33698	0.21883	0.27753	0.06953
V101	0.10315	0.24293	0.32225	0.1052	0.16466	0.06182
V102	0.50228	0.05694	0.1061	0.07371	0.15614	0.10482
V103	0.42866	0.05783	0.04072	0.16688	0.20082	0.10508
V104	0.09956	0.01533	0.15985	0.46871	0.20029	0.05626
V105	0.23381	0.04453	0.08374	0.07638	0.18684	0.3747
V106	0.13243	0.01042	0.4422	0.05325	0.17401	0.1877
V107	0.15726	0.40638	0.17693	0.04341	0.15421	0.0618
V108	0.19342	0.05698	0.0513	0.07395	0.33073	0.29361
V109	0.20315	0.04719	0.0355	0.07107	0.32002	0.32307
V110	0.11363	0.10556	0.50106	0.0425	0.16458	0.07268
V111	0.08342	0.00977	0.61309	0.05797	0.1761	0.05965
V112	0.11566	0.22959	0.00192	0.40871	0.19088	0.05325
V113	0.09455	0.05968	0.45415	0.06786	0.26487	0.05889
V114	0.1586	0.00573	0.46485	0.14254	0.16383	0.06446
V115	0.33335	0.08297	0.04117	0.08322	0.26361	0.19567
V116	0.52422	0.0554	0.04664	0.10576	0.16	0.10797
V117	0.36674	0.04722	0.02773	0.12137	0.35174	0.08518
V118	0.13501	0.42914	0.09407	0.06514	0.20769	0.06896
V119	0.14635	0.50028	0.03966	0.0733	0.16488	0.07552
V120	0.14095	0.14838	0.08015	0.31641	0.24553	0.0686
V121	0.2832	0.04594	0.02518	0.24448	0.17864	0.22256
V122	0.24332	0.04429	0.01358	0.42178	0.21183	0.06519
V123	0.29729	0.05081	0.02853	0.09923	0.27791	0.24624
V124	0.08604	0.01452	0.21849	0.05609	0.57294	0.05193
V125	0.10293	0.09988	0.46583	0.0865	0.16127	0.08359
V126	0.19817	0.20714	0.06215	0.06865	0.18283	0.28106
V127	0.10493	0.00045	0.55611	0.10671	0.17131	0.06049
V128	0.26842	0.19233	0.0931	0.15375	0.21174	0.08065
V129	0.08348	0.01054	0.57872	0.09403	0.17172	0.06151
V130	0.35956	0.11677	0.02743	0.21718	0.19019	0.08887
V131	0.11294	0.02631	0.04045	0.06679	0.65062	0.10287
V132	0.11768	0.30824	0.28546	0.03932	0.19087	0.05842
V133	0.1188	0.12926	0.39959	0.09737	0.19766	0.05731
V134	0.20614	0.40597	0.03402	0.05479	0.21822	0.08086
V135	0.12322	0.00934	0.51215	0.04788	0.20152	0.1059
V136	0.16925	0.44417	0.07547	0.05781	0.18429	0.06902
V137	0.10527	0.10859	0.39286	0.05418	0.28712	0.05199
V138	0.16971	0.0308	0.02267	0.32044	0.25234	0.20405
V139	0.12956	0.05544	0.12296	0.06139	0.4636	0.16705
V140	0.39025	0.18143	0.05972	0.10607	0.1645	0.09803
V141	0.22263	0.19488	0.10001	0.21564	0.18948	0.07735
V142	0.18606	0.44231	0.03834	0.0856	0.15989	0.08779
V143	0.12079	0.04239	0.4393	0.09534	0.23363	0.06856
V144	0.20559	0.15068	0.03356	0.14466	0.18628	0.27923
V145	0.09314	0.0234	0.01074	0.61208	0.20154	0.05909
V146	0.14878	0.0319	0.07143	0.05986	0.60617	0.08186
V147	0.34914	0.08757	0.10485	0.09526	0.16645	0.19672
V148	0.09532	0.11687	0.528	0.04111	0.158	0.06069
V149	0.18147	0.34196	0.02503	0.0722	0.16956	0.20978
V150	0.09451	0.02448	7e-04	0.60503	0.22535	0.04992
V151	0.19172	0.29241	0.0255	0.06458	0.18903	0.23676
V152	0.12637	0.16107	0.30986	0.06783	0.25506	0.07981
V153	0.08016	0.02774	0.43957	0.20793	0.18971	0.05489
V154	0.3346	0.18063	0.03837	0.06554	0.16835	0.2125
V155	0.12865	0.25116	0.07853	0.04423	0.42456	0.07286
V156	0.11119	0.32495	0.02729	0.04359	0.44268	0.05031
V157	0.16999	0.10474	0.04404	0.24077	0.19603	0.24443
V158	0.09538	0.03572	0.60027	0.04476	0.16076	0.06311
V159	0.16685	0.16629	0.24093	0.15711	0.19401	0.07482
V160	0.09691	0	0.60106	0.05226	0.16279	0.08697
V161	0.1166	0.33558	0.01128	0.24633	0.23858	0.05163
V162	0.12922	0.35992	0.01796	0.12101	0.30732	0.06456
V163	0.09367	0	0.63164	0.0472	0.1629	0.0646
V164	0.10566	0.23845	0.26495	0.11154	0.22216	0.05724
V165	0.10817	0.03757	0.04613	0.06531	0.65359	0.08922
V166	0.13718	0.03556	0.0173	0.15168	0.48619	0.17208
V167	0.08545	0.00841	0.2926	0.36155	0.19858	0.0534
V168	0.43426	0.05264	0.03276	0.21658	0.16434	0.09942
V169	0.09217	0.00724	0.48348	0.17774	0.17571	0.06366
V170	0.31477	0.05221	0.08644	0.24599	0.21882	0.08178
V171	0.2052	0.32544	0.0378	0.05542	0.17868	0.19746
V172	0.129	0.05309	0.382	0.16284	0.1729	0.10016
V173	0.10161	0.01328	0.5512	0.04696	0.1761	0.11085
V174	0.40498	0.10734	0.03872	0.06703	0.29304	0.08889
V175	0.1563	0.42175	0.10781	0.05546	0.19485	0.06383
V176	0.08288	0	0.62714	0.05294	0.17673	0.06031
V177	0.16791	0.07145	0.24081	0.07189	0.29256	0.15538
V178	0.09725	0.04749	0.04719	0.0523	0.69932	0.05645
