mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V112	0.15204	0.10282	0.10614	0.45816	0.18084
V113	0.2	0.12304	0.10646	0.19678	0.37372
V114	0.44215	0.16327	0.05969	0.22354	0.11134
V115	0.65594	0.10937	0.02326	0.10664	0.10479
V116	0.02605	0.11072	0.0215	0.13155	0.71018
V117	0.04317	0.2518	0.54862	0.11572	0.04069
V118	0.04438	0.066	0.01645	0.81252	0.06064
V119	0.24258	0.18349	0.29707	0.24834	0.02852
V120	0.01452	0.24646	0.55586	0.13621	0.04694
V121	0.16811	0.63925	0.02658	0.09006	0.076
V122	0.03307	0.39511	0.0931	0.26996	0.20875
V123	0.38458	0.14293	0.08018	0.23328	0.15903
V124	0.17869	0.18822	0.07253	0.25757	0.30299
V125	0.03705	0.48374	0.38071	0.06823	0.03027
V126	0.12732	0.27188	0.19337	0.15959	0.24784
V127	0.20148	0.2207	0.44786	0.10032	0.02964
V128	0.17644	0.66657	0.03423	0.08328	0.03948
V129	0.20742	0.17748	0.22494	0.20355	0.18661
V130	0.02951	0.47692	0.0579	0.27044	0.16522
V131	0.02028	0.12418	0.19453	0.62211	0.03891
V132	0.29289	0.10218	0.01623	0.36425	0.22446
V133	0.01053	0.23628	0.42021	0.12411	0.20887
V134	0.05822	0.25462	0.53494	0.07481	0.07741
V135	0.02429	0.29236	0.51071	0.07673	0.0959
V136	0.70895	0.11784	0.02552	0.10793	0.03976
V137	0.66677	0.13317	0.02388	0.12356	0.05262
V138	0.20512	0.21833	0.08654	0.18597	0.30405
V139	0.10436	0.10432	0.14187	0.60547	0.04398
V140	0.03418	0.13282	0.1488	0.10198	0.58222
V141	0.02065	0.34831	0.46605	0.13395	0.03104
V142	0.16771	0.16418	0.26868	0.16689	0.23253
V143	0.02089	0.31337	0.37429	0.16967	0.12179
V144	0.39312	0.26581	0.0754	0.18003	0.08564
V145	0.00834	0.27734	0.60951	0.06841	0.03639
V146	0.03462	0.34839	0.02813	0.34534	0.24351
V147	0.07566	0.26162	0.47881	0.13766	0.04624
V148	0.13527	0.68173	0.03421	0.10905	0.03973
V149	0.0196	0.06664	0.0171	0.81544	0.08122
V150	0.11198	0.32957	0.42528	0.06096	0.07221
V151	0.34901	0.09777	0.02782	0.4115	0.11389
V152	0.0223	0.08974	0.10857	0.68666	0.09272
V153	0.13291	0.30326	0.35087	0.10187	0.11108
V154	0.10278	0.54904	0.0447	0.10461	0.19886
V155	0.03835	0.10024	0.12237	0.69188	0.04715
V156	0.08242	0.19533	0.31766	0.17849	0.22609
V157	0.08206	0.1593	0.15515	0.2926	0.31088
V158	0.15312	0.18861	0.34336	0.10069	0.21421
V159	0.0999	0.24004	0.03165	0.56553	0.06288
V160	0.35861	0.23483	0.09613	0.11581	0.19462
V161	0.18413	0.13169	0.07208	0.1007	0.51141
V162	0.00908	0.28495	0.6217	0.05755	0.02672
V163	0.05779	0.10799	0.03366	0.141	0.65956
V164	0.67906	0.14928	0.03074	0.10795	0.03298
V165	0.46246	0.26634	0.0866	0.12492	0.05968
V166	0.0513	0.12534	0.20417	0.52766	0.09153
V167	0.03489	0.58436	0.03896	0.19313	0.14866
V168	0.00908	0.28495	0.6217	0.05755	0.02672
V169	0.04912	0.61872	0.1531	0.14089	0.03816
V170	0.20148	0.3828	0.06788	0.23706	0.11079
V171	0.23223	0.22082	0.28261	0.20419	0.06015
V172	0.15367	0.28051	0.08186	0.10426	0.3797
V173	0.17507	0.17944	0.09312	0.40069	0.15169
V174	0.16678	0.16592	0.28292	0.21958	0.16481
V175	0.0698	0.2271	0.11985	0.21994	0.36331
V176	0.29959	0.0892	0.02187	0.55016	0.03917
V177	0.14767	0.22086	0.40736	0.19226	0.03185
V178	0.2087	0.2138	0.34347	0.153	0.08103
V179	0.09328	0.11392	0.02625	0.11764	0.6489
V180	0.02919	0.1845	0.28673	0.08324	0.41635
V181	0.06199	0.30834	0.02153	0.13753	0.47061
V182	0.43947	0.25914	0.02457	0.21865	0.05818
V183	0.06503	0.78483	0.03056	0.08461	0.03498
V184	0.2433	0.1555	0.23837	0.31608	0.04675
V185	0.09032	0.46001	0.04321	0.20118	0.20528
V186	0.11801	0.23223	0.04587	0.28736	0.31654
V187	0.07124	0.60084	0.0256	0.26519	0.03712
V188	0.62055	0.1336	0.04555	0.16426	0.03604
V189	0.35791	0.26648	0.04988	0.28879	0.03694
V190	0.31966	0.19323	0.18603	0.09122	0.20986
V191	0.18161	0.24639	0.02502	0.42849	0.11849
V192	0.25521	0.25445	0.12118	0.24647	0.12269
V193	0.05901	0.32846	0.39483	0.09416	0.12353
V194	0.22004	0.15542	0.09236	0.1677	0.36447
V195	0.42288	0.26478	0.19486	0.08651	0.03096
V196	0.02163	0.11156	0.07086	0.139	0.65695
V197	0.06293	0.76132	0.02961	0.11135	0.03479
V198	0.19169	0.26646	0.05244	0.24714	0.24227
V199	0.55811	0.1569	0.17643	0.08124	0.02732
V200	0.58254	0.10987	0.04513	0.11132	0.15114
V201	0.04198	0.07029	0.03651	0.67477	0.17645
V202	0.67962	0.15226	0.01975	0.10979	0.03858
V203	0.41915	0.28495	0.04338	0.13097	0.12155
V204	0.28224	0.1677	0.05041	0.09747	0.40218
V205	0.10271	0.14855	0.11713	0.14417	0.48745
V206	0.04554	0.13948	0.01716	0.72832	0.06949
V207	0.02805	0.07986	0.01692	0.82037	0.0548
V208	0.12437	0.32676	0.36222	0.10039	0.08625
V209	0.13795	0.13861	0.10106	0.11792	0.50446
V210	0.00845	0.27659	0.62053	0.06284	0.03159
V211	0.13288	0.16208	0.18215	0.1072	0.41569
V212	0.05422	0.67572	0.08989	0.11056	0.0696
V213	0.0948	0.10014	0.0729	0.29447	0.43769
V214	0.02542	0.5393	0.31605	0.07736	0.04187
V215	0.20276	0.28565	0.13037	0.14231	0.23891
V216	0.05296	0.19332	0.27343	0.10649	0.37381
V217	0.01761	0.06623	0.03755	0.77362	0.10499
V218	0.06407	0.27286	0.23936	0.33156	0.09214
V219	0.10404	0.34143	0.30384	0.2179	0.03279
V220	0.16442	0.64423	0.07381	0.08514	0.0324
V221	0.04142	0.23667	0.38422	0.07652	0.26118
V222	0.03336	0.10992	0.0279	0.13372	0.6951
V223	0.38357	0.16651	0.24428	0.16855	0.03709
V224	0.04039	0.51601	0.04489	0.15066	0.24804
V225	0.52857	0.24087	0.11471	0.08341	0.03245
V226	0.37523	0.47715	0.0244	0.08851	0.03471
V227	0.08364	0.26896	0.02574	0.55864	0.06302
V228	0.42568	0.1736	0.21528	0.13331	0.05213
V229	0.21085	0.41432	0.22051	0.10718	0.04714
V230	0.03347	0.10325	0.02805	0.13524	0.7
V231	0.05752	0.55225	0.07304	0.22443	0.09276
V232	0.58141	0.14965	0.15217	0.08889	0.02788
V233	0.05839	0.14734	0.14083	0.15916	0.49428
V234	0.0217	0.39043	0.18824	0.35043	0.04921
V235	0.70129	0.11974	0.01974	0.12437	0.03487
V236	0.06701	0.2188	0.45555	0.19952	0.05912
V237	0.10442	0.19903	0.22322	0.31373	0.1596
V238	0.02125	0.09452	0.02579	0.33097	0.52748
V239	0.06082	0.40491	0.06366	0.22532	0.24529
V240	0.0606	0.73675	0.03552	0.09574	0.0714
V241	0.04876	0.7998	0.03108	0.0851	0.03526
V242	0.03437	0.36426	0.2472	0.28284	0.07134
V243	0.35502	0.17317	0.25508	0.0963	0.12042
V244	0.03176	0.42506	0.17554	0.1394	0.22825
V245	0.04563	0.77245	0.05104	0.10269	0.02818
V246	0.47385	0.29495	0.04334	0.09327	0.09459
V247	0.14742	0.27167	0.43418	0.10147	0.04526
V248	0.08591	0.55732	0.04514	0.09166	0.21997
