cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V156	0	0.20499	0.78509	0.00992
V157	0.21749	0.32528	0.39422	0.06301
V158	0.07732	0.1058	0.25081	0.56606
V159	0.72368	0.27632	0	0
V160	0.61507	0.21299	0.10256	0.06937
V161	0.27872	0.1393	0.19396	0.38802
V162	0.05608	0.48775	0.22862	0.22756
V163	0.03512	0.65489	0.25273	0.05726
V164	0.27081	0.49639	0.1647	0.0681
V165	0.02424	0.46572	0.14918	0.36086
V166	0.03185	0.24671	0.28927	0.43216
V167	0.40883	0.1581	0.1166	0.31646
V168	0.1897	0.72753	0.08277	0
V169	0.23311	0.21232	0.19687	0.35769
V170	0.0257	0.14359	0.71167	0.11905
V171	0.00264	0.35772	0.63964	0
V172	0.55499	0.19103	0.25397	0
V173	0.05365	0.31492	0.22843	0.40299
V174	0.02572	0.33085	0.27788	0.36555
V175	0	0.0794	0.90417	0.01643
V176	0	0.83063	0.16937	0
V177	0	1	0	0
V178	0	0.91755	0.04992	0.03253
V179	0.11241	0.14264	0.56654	0.17841
V180	0	0.92497	0.07503	0
V181	0.05418	0.26959	0.64533	0.0309
V182	0.1718	0.32869	0.49951	0
V183	0.08718	0.91282	0	0
V184	0.78092	0.21908	0	0
V185	0.42833	0.57167	0	0
V186	0.03663	0.62305	0.33085	0.00947
V187	0.76019	0.23981	0	0
V188	0.08001	0.42893	0.14197	0.34909
V189	0.70663	0.25193	0.01887	0.02256
V190	0.49107	0.20054	0.30839	0
V191	0.05465	0.328	0.61735	0
V192	0.2295	0.65151	0.08559	0.0334
V193	0.48459	0.21582	0.27693	0.02265
V194	0	1	0	0
V195	0	0.03651	0.96349	0
V196	0.06818	0.21236	0.21232	0.50714
V197	0.42877	0.23455	0.11318	0.2235
V198	0	0.59354	0.40646	0
V199	0.1729	0.14844	0.38562	0.29303
V200	0.08763	0.75716	0.07805	0.07716
V201	0.0242	0.70936	0.25294	0.0135
V202	0	0.06789	0.9026	0.02951
V203	0.04544	0.54384	0.41072	0
V204	0	0.7427	0.09118	0.16612
V205	0	0.06973	0.93027	0
V206	0	0.12298	0.87702	0
