CD56NK	CD4MemoryT	CD19B	CD14
V1	0.54096	0	0.15253	0.30651
V2	0.13116	0.0451	0.03718	0.78656
V3	0.05276	0.56098	0.00821	0.37805
V4	0.89273	0.08222	0	0.02506
V5	0.11101	0.42553	0.25978	0.20368
V6	0.08048	0.87284	0.01835	0.02833
V7	0.13861	0.2893	0.07291	0.49918
V8	0.13669	0.00052	0.82275	0.04004
V9	0.22598	0.17097	0.02806	0.575
V10	0.01534	0.00137	0.9187	0.06459
V11	0.2289	0.31582	0.44901	0.00627
V12	0.02462	0.56763	0.39029	0.01746
V13	0.2929	0.67601	0.00392	0.02718
V14	0.07202	0.91494	0.00498	0.00807
V15	0.12182	0.55777	0.11962	0.20079
V16	0.92864	0.02043	0.01671	0.03422
V17	0.092	0.86904	0.0106	0.02836
V18	0.61429	0.30129	0.03796	0.04645
V19	0.17447	0.80369	0.00408	0.01775
V20	0.16327	0.39512	0.01427	0.42734
V21	0.13709	0.02081	0.80195	0.04014
V22	0.01349	0.04727	0.17869	0.76056
V23	0.40901	0.01365	0.57085	0.00649
V24	0.95984	0.01306	0.0271	0
V25	0.34986	0.17441	0.12115	0.35458
V26	0.40939	0.32795	0.01459	0.24807
V27	0.08259	0.02328	0.01075	0.88338
V28	0.00196	0.01541	0.98162	0.00101
V29	0.46387	0.00554	0.49367	0.03693
V30	0.09379	0.14814	0.26435	0.49372
V31	0.20398	0.13025	0.28848	0.37729
V32	0.06344	0.00541	0.01982	0.91133
V33	0.04283	0.45635	0.37457	0.12625
V34	0.13614	0.00874	0.81504	0.04009
V35	0.17725	0.70432	0.07912	0.03931
V36	0.0055	0.00978	0.4446	0.54013
V37	0.54075	0.03517	0.08557	0.33851
V38	0.40649	0	0.15054	0.44297
V39	0.17341	0.52228	0.12943	0.17488
V40	0.10673	0.81883	0.07445	0
V41	0.00623	0.62453	0.03778	0.33146
V42	0.20621	0.0062	0.18395	0.60364
V43	0.13903	0.29416	0.5268	0.04001
V44	0.01341	0.03395	0.74499	0.20765
V45	0.10142	0.56028	0.22561	0.11269
V46	0.83693	0.04224	0.1151	0.00572
V47	0.48708	0.13608	0.31766	0.05918
V48	0.83723	0.13386	0.00423	0.02468
V49	0.7578	0.14573	0	0.09647
V50	0.07	0.83946	0.08348	0.00705
V51	0.34335	0.35709	0.26115	0.0384
V52	0.0242	0.06316	0.87121	0.04143
V53	0.7675	0.0867	0.1458	0
V54	0.46128	0.14061	0.37155	0.02656
V55	0.20732	0.07333	0.22617	0.49319
V56	0.03399	1e-04	0.0658	0.90011
V57	0.10461	0.85905	0.01856	0.01779
V58	0.61802	0	0.03366	0.34831
V59	0.47	0.36523	0.10542	0.05934
V60	0.12584	0.09319	0.31617	0.4648
V61	0.82851	0.06688	0.00919	0.09542
V62	0.90747	0.01438	0.0629	0.01525
V63	0.01609	0.83509	0.12054	0.02829
V64	0.0072	0.8285	0	0.1643
V65	0.00907	0	0.07718	0.91375
V66	0.2328	0.66676	0.01642	0.08403
V67	0.16618	0.28454	0.53242	0.01686
V68	0.1419	0.0915	0.01459	0.75201
V69	0.02346	0.26377	0.64876	0.06401
V70	0.57444	0.10001	0.17613	0.14942
V71	0.1578	0.03185	0.35885	0.45149
V72	0.59997	0.1053	0.08881	0.20591
V73	0.16185	0.58572	0.14117	0.11126
V74	0.05921	0.18354	0.75701	0.00025
V75	0.71536	0	0.18013	0.10451
V76	0.00045	0.11248	0.16153	0.72554
V77	0.03106	0.22434	0.00243	0.74217
V78	0.30146	0.0648	0.17249	0.46124
V79	0.00563	0.05264	0.82988	0.11186
V80	0.36932	0.00011	0.52767	0.1029
V81	0.058	0.11482	0.8198	0.00738
V82	0.00058	0.03273	0.95753	0.00916
V83	0.1212	0.11791	0.06166	0.69924
V84	0.38472	0.017	0.14763	0.45065
V85	0.11027	0.25709	0.41612	0.21652
V86	0.04506	0.01708	0.88581	0.05205
V87	0.03389	0.8292	0.05059	0.08632
V88	0.15394	0.02469	0.24757	0.57379
V89	0.01426	0	0.17524	0.8105
V90	0.02627	0.9016	0.05392	0.01821
V91	0.03388	0.73212	0.19357	0.04043
V92	0.46923	0.0029	0.36998	0.1579
V93	0.88538	0.00334	0	0.11129
V94	0.01374	0.37482	0.01415	0.59729
V95	0.275	0.38189	0.15781	0.18531
V96	0.06011	0.05648	0.01649	0.86692
V97	0.72659	0.06623	0.20131	0.00587
V98	0.72164	0.26219	0	0.01617
V99	0.83149	0.02184	0.1409	0.00577
V100	0.08016	0.00508	0.88553	0.02923
V101	0.01266	0.01129	0.00292	0.97312
V102	0.94876	0.03024	0.00492	0.01608
V103	0.00828	0.01762	0.07524	0.89885
V104	0.02878	0.9579	0.00502	0.00829
V105	0.06027	0.92007	0.01179	0.00787
V106	0.12625	0.48366	0.33871	0.05139
V107	0.20374	0.1461	0.58765	0.06251
V108	0.16662	0.74084	0.09254	0
V109	0.01275	0.1023	0.59539	0.28957
