Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.01036	0	0.10127	0	0.39661	0	0	0	0	0.49176
V2	0.66622	0	0	0	0.012	0.28918	0.0326	0	0	0
V3	0.1011	0	0.09749	0	0.51194	0.01127	0.05015	0.22045	0	0.00761
V4	0.03464	0.06086	0.02614	0.01507	0.05465	0.06639	0.01642	0.02196	0.59727	0.10659
V5	0	0.11094	0.08995	0.08409	0.18283	0.06897	0.00608	0	0	0.45713
V6	0.00649	0	0.19788	0	0.68793	0.01344	0	0.09425	0	0
V7	0.0115	0.37154	0.03172	0	0.44554	0	0.03024	0.10946	0	0
V8	0.01236	0.39846	0.06302	0	0.12847	0	0	0.39167	0	0.00603
V9	0.00061	0.00565	0.04751	0.12614	0.00704	0.02573	0.11307	0.65066	0.01702	0.00657
V10	0.00177	0	0.00856	0.00194	0.74866	0.04381	0	0.19526	0	0
V11	0.02291	0.40308	0.0259	0	0.12875	0.02178	0	0.36674	0.01801	0.01283
V12	0	0.02404	0.14533	0.56648	0.05763	0.00968	0.08382	0.00861	0.00202	0.10238
V13	0.10688	0.04384	0.11554	0	0.01567	0.20653	0.32616	0.0194	0.15852	0.00747
V14	0.08299	0.38608	0.18	0.02854	0.14732	0.06004	0.09013	0.02367	0	0.00122
V15	0.21294	0.0041	0.0587	0.64977	0	0.0174	0.04093	0.00675	0.0062	0.00322
V16	0	0.03655	0.15643	0.60109	0.02591	0.03791	0.02622	0	0.10661	0.00928
V17	0.02382	0.12478	0.06133	0	0.20791	0.08505	0.02308	0.01025	0.00142	0.46235
V18	0.0538	0.07232	0.07755	0.36428	0.09603	0.00115	0.00783	0	0	0.32704
V19	0	0.00114	0.07644	0.08313	0.13649	0.09039	0.0021	0.01097	0	0.59934
V20	0.01119	0.2596	0.02557	0	0.05595	0.08867	0.39837	0.08161	0.0112	0.06785
V21	0.10636	0.34904	0.023	0	0.10785	0.33629	0.02461	0.04628	0	0.00658
V22	0.00066	0.00023	0.03885	0.00603	0.09171	0	0	0.41871	0.03915	0.40466
V23	0.26999	0.00847	0.59298	0	0.03473	0.00464	0	0.01148	0	0.07771
V24	0.04164	0.49814	0.07104	0	0.16243	0	0.04425	0.11477	0.06585	0.00188
V25	0.0338	0.09164	0.05714	0.02331	0.1932	0.12537	0.02334	0	0.17061	0.28159
