Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.00602	0.04117	0.0812	0.02754	0.42046	0	0.00464	0	0	0.41897
V2	0.61185	0.00058	0	0.00075	0.03004	0.32618	0.02216	9e-05	0.00356	0.00479
V3	0.07233	0.03086	0.08951	0	0.51493	0.01061	0.05676	0.21108	0.01392	0
V4	0.00499	0.06458	0.02213	0.03792	0.06606	0.06871	0.00876	0.02313	0.62521	0.0785
V5	0	0.14501	0.07328	0.10015	0.19959	0.07349	0.00369	0	0	0.40479
V6	0.00468	0.03363	0.18232	0	0.66692	0.02274	0	0.08971	0	0
V7	6e-05	0.39587	0.00646	0.00084	0.43672	0.00912	0.04031	0.1105	0.00011	0
V8	0.00112	0.42438	0.03674	0	0.10106	0.01374	0.00051	0.40357	0.01163	0.00725
V9	0.00152	0.00087	0.06288	0.09379	0.01434	0.01853	0.13588	0.64387	0.02491	0.0034
V10	0	0.03559	0.01014	0	0.72026	0.04952	0.00392	0.18056	0	0
V11	0.00661	0.42169	0.00176	0	0.09933	0.03644	0.00081	0.37436	0.04788	0.01111
V12	0.00624	0.02068	0.21187	0.50418	0.06682	0	0.08276	0.01212	0	0.09533
V13	0.07707	0.00792	0.12873	0	0.03509	0.18785	0.38252	0.01283	0.16705	0.00095
V14	0.06079	0.41135	0.15994	0.03201	0.12866	0.06708	0.10598	0.02409	0.00851	0.00158
V15	0.21777	0	0.13053	0.59507	0	0.01231	0.02509	0.01264	0.0061	0.00049
V16	0.00811	0.0363	0.23197	0.53903	0.02114	0.03958	0.00325	0	0.11861	0.002
V17	0.01303	0.1581	0.04029	0.03208	0.22883	0.08841	0.02464	0.01002	0	0.40461
V18	0.05433	0.09438	0.09924	0.33665	0.11166	0	0	0	0	0.30373
V19	0	0.03257	0.06571	0.10654	0.16496	0.09098	0	0.01044	0	0.5288
V20	0	0.22306	0.00904	0.00831	0.07006	0.04998	0.49457	0.07736	0.00939	0.05822
V21	0.07691	0.37882	0.00639	0	0.08068	0.38045	0.00683	0.04832	0.01325	0.00836
V22	0	0.02723	0.03206	0.02747	0.11409	0.00212	0.00026	0.42097	0.01491	0.36089
V23	0.2348	0.019	0.62595	0	0.02301	0.01461	0.00036	0.01041	0	0.07186
V24	0.01884	0.51409	0.03773	0	0.1409	0.00345	0.05743	0.12347	0.10385	0.00024
V25	0.01679	0.11774	0.04362	0.04467	0.20985	0.13624	0.01703	0	0.16669	0.24736
V26	0.00067	0.00107	0.0417	0	0.00542	0.00354	0.00568	0.93472	0.00258	0.00461
V27	0	0.05294	0.03503	0.01813	0.62232	0	0.01484	0	0	0.25675
V28	0.25366	0.02139	0.04857	0.02804	0.12557	0.02044	0.01872	0.04784	0	0.43576
V29	0.00822	0.59438	0.00648	0.00373	0.18106	0.10906	0.00421	0.03563	0	0.05723
V30	0.00479	0.00653	0.09786	0.01323	0.00237	0.34565	0.22532	0.00018	0.30407	0
V31	0.0055	0.25256	0.18265	0	0.12189	0.00165	0.00057	0.42726	0.00376	0.00416
V32	0.40378	0.01496	0.0176	0.00624	0.37377	0.04277	0.02587	0	0.11218	0.00283
V33	0.02784	0.00443	0.26624	0.50587	2e-04	0.00866	0.18579	0.00013	0.00085	0
V34	0	0.06189	0.04181	0.02795	0.46529	0	0.00523	0.02128	0.01484	0.36171
V35	0.00987	0.71968	0	0	0.20645	0.00832	0.01211	0.0387	0	0.00487
V36	0.04385	0.01937	0.0045	0	0.02945	0.07559	0.75085	0.05007	0.02632	0
V37	0.00049	0.49521	0.00119	0	0.14893	0.01958	0.25621	0.05499	0.01514	0.00827
V38	0.11546	0	0.054	0.18521	0.01115	0.04361	0.56203	0.00043	0.02811	0
V39	0.06682	0.00253	0.06506	0.17172	0.06136	0.04135	0.53208	0.02936	0.02521	0.00452
V40	0.09452	0.0086	0.74112	0	0.13142	0.01191	0.00111	0.01062	0	7e-04
V41	0.5489	0.04416	0.02261	0.0181	0.0181	0.00014	0.00958	0.01073	0.3192	0.00848
V42	0.00098	0.47863	0.00724	0	0.48399	0	0.00029	0.00997	0	0.0189
V43	0.10411	0.01736	0.118	0.06465	0.2577	0.05147	0.18193	0.03818	0.16661	0
V44	0.01531	0	0.50234	0	0	0.00694	0.00116	0.47263	0.00161	0
V45	0.00588	0.00139	0.01797	0.04447	0.00869	0.01573	0.22178	0	0.67481	0.00926
V46	0.14226	0.09984	0.08733	0.25617	0.14177	0	0	0.02241	0	0.25022
V47	0	0.00166	0.00686	0	0.00233	0.08733	0.86028	0.00071	0.03421	0.00662
V48	0.00701	0.06016	0.05848	0.04876	0.19694	0	0.00722	0	0.06701	0.55441
V49	0.1105	0	0	0.00745	0.00429	0.00076	0.00091	0.87168	0.00341	0.00099
V50	0.25757	0.14849	0.0039	0.00158	0.05212	0.52518	0	0.00031	0.008	0.00285
V51	0.12506	0	0.61491	0	0.08532	0.01008	0.00644	0.10153	0.05067	0.00599
