CD19B	CD56NK	CD4MemoryT	CD14
V139	0.26865	0.2591	0.19939	0.27286
V140	0.07278	0.18542	0.11829	0.62352
V141	0.10404	0.23138	0.39594	0.26864
V142	0.57465	0.10981	0.21374	0.10179
V143	0.31292	0.29506	0.12049	0.27153
V144	0.15754	0.22772	0.18358	0.43115
V145	0.05055	0.62817	0.20299	0.11829
V146	0.08575	0.13851	0.10837	0.66737
V147	0.64588	0.12019	0.10082	0.13311
V148	0.14816	0.17543	0.42328	0.25314
V149	0.22078	0.46181	0.20411	0.1133
V150	0.12033	0.28336	0.42752	0.16878
V151	0.17689	0.53532	0.08603	0.20176
V152	0.19714	0.41302	0.20679	0.18305
V153	0.11369	0.61189	0.07785	0.19657
V154	0.20692	0.4191	0.23911	0.13487
V155	0.35124	0.21642	0.25361	0.17873
V156	0.09045	0.22034	0.48792	0.20128
V157	0.24564	0.22925	0.26652	0.25859
V158	0.06529	0.13474	0.1033	0.69668
V159	0.62479	0.15209	0.0837	0.13943
V160	0.4904	0.11267	0.12652	0.27041
V161	0.18248	0.12844	0.10902	0.58005
V162	0.09192	0.32082	0.12881	0.45845
V163	0.11397	0.44199	0.17545	0.26859
V164	0.2583	0.32487	0.14462	0.27221
V165	0.05679	0.29707	0.07852	0.56762
V166	0.06089	0.19204	0.12752	0.61955
V167	0.26425	0.1171	0.09199	0.52666
V168	0.22873	0.4972	0.12076	0.1533
V169	0.16738	0.16082	0.11186	0.55994
V170	0.13332	0.13974	0.39287	0.33407
V171	0.14768	0.2823	0.4269	0.14312
V172	0.52237	0.11122	0.25745	0.10897
V173	0.07169	0.22115	0.11219	0.59497
V174	0.06404	0.23642	0.12981	0.56972
V175	0.11258	0.12984	0.55553	0.20205
V176	0.05372	0.65937	0.16793	0.11899
V177	0.04875	0.76142	0.06407	0.12576
V178	0.04847	0.62399	0.06564	0.26189
V179	0.16577	0.12936	0.31098	0.39389
V180	0.06324	0.71129	0.11305	0.11243
V181	0.16716	0.21231	0.40056	0.21997
V182	0.24857	0.24428	0.3546	0.15255
V183	0.16102	0.65357	0.07085	0.11455
V184	0.70166	0.10318	0.09388	0.10128
V185	0.41545	0.39192	0.08354	0.10909
V186	0.13082	0.43766	0.22909	0.20243
V187	0.67544	0.10967	0.10775	0.10714
V188	0.08796	0.27634	0.07928	0.55643
V189	0.57204	0.12217	0.09536	0.21043
V190	0.48523	0.11961	0.28584	0.10931
V191	0.17985	0.26043	0.41736	0.14237
V192	0.23631	0.43016	0.1005	0.23304
V193	0.43666	0.13839	0.23041	0.19454
V194	0.06734	0.73294	0.06842	0.13129
V195	0.08004	0.14571	0.65686	0.11738
V196	0.06334	0.17351	0.09618	0.66698
V197	0.30214	0.15225	0.10377	0.44185
V198	0.09952	0.45309	0.28979	0.15761
V199	0.15818	0.14206	0.19363	0.50614
V200	0.12891	0.49188	0.07788	0.30133
V201	0.11518	0.48534	0.18322	0.21625
V202	0.08071	0.1386	0.54512	0.23558
V203	0.16355	0.40289	0.30482	0.12874
V204	0.04981	0.47229	0.07427	0.40363
V205	0.08447	0.16262	0.62749	0.12542
V206	0.10307	0.1879	0.59377	0.11527
V207	0.13425	0.25108	0.11643	0.49823
V208	0.22772	0.16746	0.48458	0.12024
V209	0.23605	0.42964	0.11555	0.21876
V210	0.10356	0.62184	0.12397	0.15063
