Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V68	0	0.01557	0.0346	0	0.08323	0.02038	0.11265	0.28133	0.45223	0
V69	0.05508	0	0.72356	0.12759	0	0	0.02372	0	0.0538	0.01625
V70	0.65549	0.00742	0.16244	0.02258	0	0.01738	0.06787	0.00511	0.06171	0
V71	0	0	0.0146	0	0.02614	0.04635	0.16534	0.67102	0.07654	0
V72	0.20726	0.02325	0.08665	0.25097	0.11353	0	0.05554	0.00166	0.05467	0.20647
V73	0	0.13233	0	0	0.64565	0	0.04475	0	0.1655	0.01177
V74	0.02774	0	0.03513	0.20354	0	0.02107	0.06032	0.00084	0	0.65136
V75	0.00946	0.06665	0.21759	0.41087	0.02881	0.00019	0.06885	0	0.19443	0.00316
V76	0	0	0.0175	0.03337	0.03452	0.76894	0.13583	0.00984	0	0
V77	0	0	0.08007	0.28814	0.02997	0.21045	0.37415	0.00518	0.01203	0
V78	0	0.4241	0.02391	0.02505	0.04555	0	0.3672	0.0032	0.05145	0.05953
V79	0	0.01487	0.09567	0.27186	0.03711	0.2261	0.10494	0.00331	0.22821	0.01794
V80	0.39423	0	0.04443	0.02251	0	0	0.07491	0.00836	0.00515	0.45041
V81	0	0.01683	0.03724	0.16411	0.14733	0.48327	0.10456	0	0.04666	0
V82	0.03637	0.48347	0.06946	0.2367	0	0.00478	0.05528	0.04074	0.07319	0
V83	0.021	0.04229	0.1347	0.41413	0.01931	0.00675	0.10029	0.19777	0.06377	0
V84	0	0	0.03409	0.06068	0.12649	0.44298	0.30239	0.01199	0.02137	0
V85	0.21219	0	0.40012	0.07849	0	0	0.03083	0	0	0.27836
V86	0.2746	0	0.31319	0.34926	0	0	0.04255	0	0.0204	0
V87	0	0.04045	0.0525	0.00739	0.12595	0.00211	0.07822	0.02415	0.65212	0.01711
V88	0.0025	0.30514	0.12455	0.46165	0	0	0.05524	0	0.05091	0
V89	0	0	0.0231	0.05371	0.06497	0	0.76305	0.09517	0	0
V90	0.02823	0.03428	0.33292	0.07668	0	0.01704	0.05117	0	0.00628	0.4534
V91	0.06171	0	0.70703	0.11866	0	0	0.02734	0	0.06007	0.0252
V92	0	0	0.0227	0.03136	0.07531	0	0.82371	0.02614	0.01761	0.00316
V93	0	0.03122	0.08442	0.02114	0.09369	0	0.30927	0.03676	0.41451	0.00899
V94	0.78433	0	0.11597	0.01597	0	0.0139	0.04771	0.02213	0	0
V95	0	0	0.01282	0.01747	0.06659	0	0.61016	0.26495	0.02801	0
V96	0.03396	0.0982	0.33607	0.38898	0	0.00647	0.05771	0	0.07044	0.00817
V97	0	0	0.01779	0.02989	0.05231	0	0.77907	0.02397	0	0.09698
V98	0	0.25877	0.00891	0.05459	0.15224	0.01317	0.1088	0.0862	0.2114	0.10592
V99	0.49469	0.01053	0.09693	0.01145	0.0301	0	0.1235	0.01905	0.21376	0
V100	0.15419	0.01102	0.098	0.20652	0.04152	0.25569	0.1043	0.00386	0.12491	0
V101	0.00022	0	0	0.02367	0	0.06216	0.24254	0.04572	0	0.62569
V102	0.01101	0.19066	0.01719	0.0234	0.09707	0.26388	0.23005	0.10382	0.06292	0
V103	0.04049	0.02688	0.07222	0.00879	0.09158	0.00303	0.07779	0.03281	0.62106	0.02535
V104	0.06274	0	0.71535	0.11332	0	0	0.02332	0	0.07064	0.01462
V105	0.26519	0	0.13006	0.02237	0.01169	0.13794	0.10293	0.28273	0.04711	0
V106	0	0.67053	0.18436	0.02789	0	0.00728	0.02534	0	0.0846	0
V107	0.20531	0.20901	0.04126	0.01009	0.23057	0.00798	0.05555	0.03553	0.2047	0
V108	0	0	0.04963	0.16544	0	0.35058	0.10812	0.02717	0.00655	0.29251
V109	0	0.00835	0.01944	0.03949	0.04583	0.72818	0.14044	0.00959	0.00868	0
V110	0	0.12159	0	0	0.61497	0	0.03767	0.05546	0.16403	0.00627
V111	0	0	0.01327	0.03821	0.14025	0	0.77297	0.02167	0	0.01363
V112	0	0	0.02036	0.03182	0.04826	0	0.65885	0.0261	0.0204	0.19421
V113	0	0.00774	0.04753	0.00724	0.07099	0.05106	0.10362	0.04799	0.50543	0.1584
V114	0	0.0259	0.06992	0.00154	0.09848	0.00359	0.081	0.03371	0.65843	0.02742
V115	0	0.87854	0	0	0	0	0.03507	0	0.08639	0
V116	0.35873	0.07773	0.07214	0	0.00441	0.02444	0.10202	0.31576	0.04476	0
V117	0	0	0.02365	0.02984	0.06487	0	0.85783	0.02381	0	0
V118	0	0	0.02859	0.03267	0.03065	0.75033	0.14085	0.01691	0	0
V119	0.00315	0.01565	0.13645	0.47242	0.01893	0.14934	0.10938	0	0.09467	0
V120	0.60396	0	0.25732	0.03959	0	0.06931	0.02982	0	0	0
V121	0.03024	0.06404	0.21971	0.0707	0.04615	0.09033	0.37652	0.0189	0.04083	0.04258
V122	0	0.01745	0.13028	0.02765	0.08664	0.04599	0.20907	0.01952	0.44494	0.01846
V123	0	0.04509	0	0	0.32164	0.01544	0.10502	0.3615	0.15132	0
V124	0.62583	0.03956	0.08037	0.00179	0	0.00471	0.06426	0.17642	0.00707	0
V125	0	0.13633	0.07817	0.02913	0.02849	0.12922	0.1382	0.37909	0.08137	0
