mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V128	0.13344	0.69521	0.08962	0.08173	0
V129	0.15232	0.19971	0.23947	0.25843	0.15006
V130	0	0.49149	0.07317	0.31398	0.12136
V131	0	0.10773	0.20796	0.68431	0
V132	0.24208	0.13927	0	0.43195	0.18669
V133	0	0.20131	0.48371	0.1303	0.18468
V134	0	0.23108	0.72743	0	0.04149
V135	0	0.25514	0.66176	0.01949	0.06361
V136	0.89397	0.09563	0	0	0.0104
V137	0.81309	0.13514	0	0	0.05177
V138	0.14859	0.26893	0.06439	0.25083	0.26726
V139	0.03691	0.13037	0.14468	0.68804	0
V140	0	0.17361	0.0924	0.16966	0.56433
V141	0	0.31411	0.61213	0.07376	0
V142	0.10475	0.18566	0.29049	0.21651	0.20259
V143	0	0.28948	0.44429	0.18316	0.08307
V144	0.37874	0.28593	0.08248	0.19517	0.05768
V145	0	0.17443	0.82557	0	0
V146	0	0.38414	0.00899	0.40378	0.20309
V147	0.01161	0.25465	0.64238	0.08764	0.00372
V148	0.08722	0.71179	0.08927	0.11173	0
V149	0	0.06605	0	0.90604	0.02791
V150	0.05974	0.33595	0.56902	0	0.03528
V151	0.31065	0.12981	0	0.48012	0.07941
V152	0	0.09402	0.08807	0.77447	0.04344
V153	0.07882	0.31163	0.44764	0.08397	0.07794
V154	0.04588	0.58731	0.06737	0.13782	0.16161
V155	0	0.10928	0.11487	0.77585	0
V156	0.00838	0.21755	0.35311	0.22182	0.19914
V157	0.00876	0.20707	0.13803	0.36679	0.27936
V158	0.0957	0.19953	0.40099	0.11156	0.19222
V159	0.03681	0.28764	0.01843	0.64364	0.01349
V160	0.33362	0.2658	0.09034	0.14468	0.16556
V161	0.11664	0.20659	0.00854	0.17942	0.48881
V162	0	0.16247	0.83753	0	0
V163	0	0.15906	0	0.20756	0.63338
V164	0.84317	0.14061	0.00546	0	0.01076
V165	0.4956	0.27411	0.10269	0.08873	0.03887
V166	0	0.1331	0.21698	0.60719	0.04274
V167	0	0.5967	0.06796	0.23	0.10534
V168	0	0.16247	0.83753	0	0
V169	0	0.63374	0.22733	0.13893	0
V170	0.14939	0.40917	0.08563	0.28747	0.06834
V171	0.19414	0.22407	0.35113	0.20732	0.02334
V172	0.09236	0.33889	0.05811	0.16488	0.34576
V173	0.11904	0.21712	0.08321	0.47079	0.10984
V174	0.10557	0.18081	0.31424	0.26875	0.13063
V175	0	0.28229	0.09975	0.28544	0.33252
V176	0.25869	0.11726	0	0.62405	0
V177	0.10069	0.20955	0.53375	0.15601	0
V178	0.17439	0.20932	0.43282	0.13611	0.04736
V179	0.00739	0.18015	0	0.18224	0.63023
V180	0	0.1886	0.28547	0.13192	0.39401
V181	0	0.36882	0	0.19203	0.43914
V182	0.44465	0.27585	0.02061	0.22797	0.03092
V183	0.00542	0.8227	0.09924	0.07264	0
V184	0.20291	0.16131	0.27606	0.3537	0.00603
V185	0.02781	0.50479	0.05234	0.24845	0.1666
V186	0.05578	0.29185	0.01267	0.35931	0.28038
V187	0.01571	0.63729	0.06484	0.28215	0
V188	0.74053	0.13074	0.03183	0.06978	0.02712
V189	0.33931	0.28732	0.05391	0.31902	0.00045
V190	0.29049	0.21316	0.19575	0.11714	0.18346
V191	0.12897	0.28899	0.0076	0.49836	0.07609
V192	0.20883	0.27966	0.13007	0.29972	0.08172
V193	0	0.33483	0.5022	0.07142	0.09155
V194	0.15956	0.21049	0.05658	0.24459	0.32878
V195	0.46901	0.26326	0.25621	0.00422	0.0073
V196	0	0.15185	0	0.21242	0.63573
V197	0.0057	0.79788	0.09333	0.10309	0
V198	0.13772	0.31291	0.03417	0.31288	0.20231
V199	0.67548	0.11878	0.20574	0	0
V200	0.66335	0.12145	0.01408	0.04835	0.15276
V201	0	0.10146	0	0.76106	0.13748
V202	0.84081	0.14191	0	0	0.01728
V203	0.4133	0.30652	0.04183	0.14032	0.09802
V204	0.23301	0.2274	0.00069	0.16604	0.37287
V205	0.02577	0.21922	0.07035	0.21797	0.46669
V206	0	0.16629	0	0.81685	0.01686
V207	0	0.08577	0	0.91423	0
V208	0.07041	0.33535	0.46989	0.07481	0.04953
V209	0.06498	0.21072	0.04753	0.19247	0.4843
V210	0	0.16148	0.83852	0	0
V211	0.06225	0.21328	0.16306	0.17176	0.38966
V212	0	0.699	0.15145	0.12358	0.02598
V213	0.01711	0.17367	0.01231	0.38178	0.41513
V214	0	0.52083	0.43548	0.0437	0
V215	0.14853	0.31841	0.13539	0.19555	0.20211
V216	0	0.2146	0.27984	0.1539	0.35165
V217	0	0.07476	0	0.86806	0.05718
V218	0	0.29096	0.2843	0.38043	0.04431
V219	0.0417	0.35159	0.39003	0.21668	0
V220	0.1213	0.67089	0.13555	0.07226	0
V221	0	0.23152	0.44448	0.08166	0.24235
V222	0	0.14171	0	0.19601	0.66227
V223	0.40062	0.15717	0.30998	0.12114	0.01109
V224	0	0.54209	0.05687	0.19168	0.20937
V225	0.62352	0.23065	0.13837	0	0.00746
V226	0.3799	0.50473	0.0538	0.05876	0.00282
V227	0.02038	0.31732	0.01331	0.63506	0.01393
V228	0.46427	0.16136	0.27032	0.07362	0.03042
V229	0.17373	0.42724	0.29258	0.09697	0.00947
V230	0	0.13474	0	0.19681	0.66845
V231	0	0.57693	0.1123	0.26315	0.04762
V232	0.70684	0.11845	0.17471	0	0
V233	0	0.20149	0.09936	0.2277	0.47144
V234	0	0.37908	0.23596	0.38497	0
V235	0.87955	0.10455	0	0	0.0159
V236	0	0.20837	0.5912	0.18476	0.01566
V237	0.03853	0.22424	0.24539	0.37373	0.11812
V238	0	0.11931	0	0.38449	0.4962
V239	0	0.45134	0.06526	0.27481	0.20859
V240	0.00116	0.76837	0.09526	0.10772	0.02749
V241	0	0.82679	0.10106	0.07214	0
V242	0	0.35772	0.3014	0.31943	0.02144
V243	0.35261	0.17293	0.31361	0.059	0.10185
V244	0	0.43244	0.20601	0.17305	0.18851
V245	0	0.7951	0.11933	0.08557	0
V246	0.50363	0.30951	0.05003	0.05845	0.07838
V247	0.10672	0.26578	0.58853	0.03043	0.00853
V248	0.02618	0.60106	0.06624	0.12292	0.1836
V249	0.1449	0.22433	0.1766	0.21681	0.23736
