B_cells	NK_cells	T_cells_CD4.	Monocytes
V159	0.97498	0.02502	0	0
V160	0.78308	0	0.02766	0.18925
V161	0.24789	0	0	0.75211
V162	0.05297	0.34725	0.08076	0.51902
V163	0.07259	0.53852	0.2164	0.17249
V164	0.36473	0.332	0.1179	0.18538
V165	0	0.28531	0	0.71469
V166	0	0.1179	0.04626	0.83584
V167	0.39242	0	0	0.60758
V168	0.28707	0.6015	0.11143	0
V169	0.22473	0.05226	0	0.723
V170	0.07934	0.00905	0.60785	0.30377
V171	0.08267	0.24933	0.668	0
V172	0.74475	0	0.25525	0
V173	0.025	0.17249	0.01061	0.79191
V174	0.00104	0.19693	0.05998	0.74206
V175	0.00675	0	0.90712	0.08612
V176	0	0.79497	0.20503	0
V177	0	0.9902	0.0098	0
V178	0	0.84473	0.01809	0.13718
V179	0.15894	0	0.43382	0.40724
V180	0	0.89409	0.10591	0
V181	0.13582	0.13635	0.61864	0.10919
V182	0.29069	0.18443	0.52319	0.0017
V183	0.14578	0.83387	0.02035	0
V184	1	0	0	0
V185	0.59777	0.40223	0	0
V186	0.09072	0.5174	0.32812	0.06376
V187	1	0	0	0
V188	0.05052	0.24952	0	0.69996
V189	0.9069	0	0	0.0931
V190	0.67791	0	0.32209	0
V191	0.14784	0.21168	0.64048	0
V192	0.31973	0.50455	0.06176	0.11396
V193	0.65746	0.00612	0.26028	0.07614
V194	0	0.97028	0.02972	0
V195	0	0.01612	0.98388	0
V196	0.00723	0.07876	0	0.91401
V197	0.48313	0.02615	0	0.49073
V198	0.01699	0.53518	0.44783	0
V199	0.18464	0.01105	0.18518	0.61913
V200	0.12322	0.63061	0.02139	0.22478
V201	0.0682	0.60036	0.24872	0.08273
V202	0	0.01101	0.8673	0.12169
V203	0.11733	0.435	0.44767	0
V204	0	0.60269	0	0.39731
V205	0	0.04745	0.95255	0
V206	0	0.08582	0.91418	0
V207	0.14529	0.22323	0.03009	0.60139
V208	0.21045	0.05076	0.73879	0
V209	0.31657	0.50379	0.0866	0.09304
