Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V131	0.20698	0	0.25798	0	0.53504	0
V132	0.05454	0.45852	0.48694	0	0	0
V133	0.25511	0.01008	0.73481	0	0	0
V134	0.20085	0.77079	0.02836	0	0	0
V135	0.22009	0	0.77991	0	0	0
V136	0.0328	0.91038	0.05682	0	0	0
V137	0.18613	0	0.74871	0	0.06516	0
V138	0.32121	0	0.08994	0.10064	0.17397	0.31424
V139	0.33365	0	0.30101	0	0.27872	0.08662
V140	0.78267	0.14873	0.06859	0	0	0
V141	0.43736	0.23641	0.25306	0	0.07317	0
V142	0.07534	0.92466	0	0	0	0
V143	0.2099	0	0.77371	0	0.01639	0
V144	0.29345	0.08696	0.00395	0	0	0.61563
V145	0.16962	0	0.11445	0.60906	0.10687	0
V146	0.24205	0	0.2998	0	0.45815	0
V147	0.77017	0	0.09377	0	0	0.13606
V148	0.16113	0	0.83887	0	0	0
V149	0.02486	0.57586	0	0	0	0.39928
V150	0.146	0	0.10453	0.61231	0.13715	0
V151	0.08577	0.42035	0	0	0	0.49388
V152	0.28042	0.08561	0.60345	0	0.03052	0
V153	0.1455	0	0.79235	0	0.06215	0
V154	0.58764	0.16807	0	0	0	0.24429
V155	0.19141	0.27939	0.2474	0	0.2818	0
V156	0.00783	0.50102	0.13947	0	0.35168	0
V157	0.2977	0.0309	0.07284	0	0.09441	0.50415
V158	0.07897	0	0.92103	0	0	0
V159	0.35527	0.13879	0.47456	0	0.03139	0
V160	0.11513	0	0.88487	0	0	0
V161	0.02753	0.62974	0.06436	0.1007	0.17769	0
V162	0.06594	0.6437	0.08803	0	0.20232	0
V163	0.04588	0	0.95412	0	0	0
V164	0.12976	0.28483	0.5314	0	0.05402	0
V165	0.18238	0	0.27384	0	0.54378	0
V166	0.32843	0	0.14535	0	0.39566	0.13056
V167	0.18215	0	0.58251	0.1124	0.12294	0
V168	0.8519	0	0.1481	0	0	0
V169	0.15611	0	0.83839	0	0.0055	0
V170	0.64875	0	0.28591	0	0.06535	0
V171	0.1532	0.52052	0	0	0	0.32628
V172	0.32315	0	0.67685	0	0	0
V173	0.18824	0	0.81176	0	0	0
V174	0.79188	0	0.20812	0	0	0
V175	0.02753	0.82185	0.15062	0	0	0
V176	0.02642	0	0.97358	0	0	0
V177	0.45473	0	0.43748	0	0.07346	0.03434
V178	0.08306	0	0.3037	0	0.61324	0
V179	0.33053	0	0.16876	0.31867	0.18204	0
V180	0.55512	0	0.32037	0.05083	0.07367	0
V181	0.84166	0.00619	0.15215	0	0	0
V182	0.14424	0	0.85576	0	0	0
V183	0.15757	0	0.11213	0.62829	0.10202	0
V184	0.49911	0.40204	0.09885	0	0	0
V185	0.27717	0.61026	0.09993	0	0.0029	0.00974
V186	0.13692	0	0.78032	0	0.08276	0
V187	0.35055	0.54937	0.10008	0	0	0
V188	0.09836	0.73078	0	0	0	0.17086
V189	0.24041	0	0.37476	0	0.38482	0
V190	0.33041	0.03665	0.19445	0	0.43849	0
V191	0.01365	0.71294	0	0	0	0.2734
V192	0.73019	0.12033	0.14948	0	0	0
V193	0.13071	0	0	0	0	0.86929
V194	0.09621	0	0.27975	0	0.62404	0
V195	0.09034	0	0.87697	0	0.03269	0
V196	0.15219	0	0.13565	0.56336	0.1488	0
V197	0.2719	0	0.27513	0	0.45297	0
V198	0.21298	0.40564	0.1605	0	0.22088	0
V199	0.18446	0.08947	0.30254	0	0.42354	0
V200	0.27743	0	0.70006	0	0.02251	0
V201	0.18888	0	0.0961	0.62499	0.09003	0
V202	0.39532	0	0.5376	0	0.05301	0.01407
V203	0.80671	0	0.19329	0	0	0
V204	0.30647	0	0.07606	0	0.00572	0.61175
V205	0.04505	0	0.95495	0	0	0
