B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.5786	0	0.17944	0.24196
V2	0.2128	0.07354	0.06983	0.64383
V3	0.09743	0.59092	0.05236	0.25929
V4	0.86051	0.09811	0.00448	0.0369
V5	0.1423	0.44159	0.29398	0.12213
V6	0.12385	0.78349	0.08509	0.00757
V7	0.18853	0.34135	0.11579	0.35433
V8	0.16095	0.00993	0.7982	0.03093
V9	0.28962	0.22232	0.05448	0.43358
V10	0.04882	0.01396	0.88603	0.05119
V11	0.23137	0.32485	0.44378	0
V12	0.05938	0.53394	0.40668	0
V13	0.30782	0.63713	0.05348	0.00157
V14	0.1155	0.81765	0.06685	0
V15	0.1583	0.5501	0.1717	0.1199
V16	0.87464	0.03	0.03923	0.05613
V17	0.13415	0.78497	0.07353	0.00736
V18	0.58667	0.31089	0.07536	0.02708
V19	0.20363	0.73599	0.06038	0
V20	0.21047	0.4383	0.04853	0.3027
V21	0.16063	0.06575	0.7479	0.02571
V22	0.05544	0.08467	0.23677	0.62312
V23	0.39973	0.04358	0.55669	0
V24	0.92178	0.02323	0.05499	0
V25	0.37729	0.21952	0.15416	0.24904
V26	0.4286	0.35646	0.04304	0.1719
V27	0.17433	0.04459	0.03348	0.74761
V28	0.00731	0.06915	0.92354	0
V29	0.45661	0.02689	0.49307	0.02343
V30	0.13639	0.20945	0.30591	0.34825
V31	0.23778	0.18334	0.31871	0.26017
V32	0.15807	0.00751	0.06062	0.77379
V33	0.07691	0.46429	0.39351	0.06529
V34	0.1605	0.04581	0.76569	0.02799
V35	0.20393	0.64893	0.14096	0.00619
V36	0.03333	0.0385	0.50946	0.41871
V37	0.57243	0.05219	0.11449	0.26089
V38	0.4704	0	0.1778	0.3518
V39	0.20288	0.51696	0.17795	0.10222
V40	0.13402	0.73088	0.13511	0
V41	0.03679	0.64321	0.10041	0.21959
V42	0.27793	0.00962	0.234	0.47845
V43	0.16307	0.32058	0.51311	0.00323
V44	0.03697	0.08468	0.74149	0.13686
V45	0.13509	0.53891	0.2688	0.0572
V46	0.79575	0.061	0.14128	0.00197
V47	0.46472	0.17539	0.32842	0.03148
V48	0.80426	0.14577	0.02186	0.02811
V49	0.74801	0.16956	0	0.08243
V50	0.10765	0.74482	0.14754	0
V51	0.33971	0.36813	0.29011	0.00204
V52	0.05306	0.11998	0.79703	0.02992
V53	0.72985	0.10304	0.1671	0
V54	0.44237	0.17957	0.37725	0.00081
V55	0.25612	0.11826	0.26623	0.3594
V56	0.11657	0	0.11316	0.77027
V57	0.14379	0.77202	0.0842	0
V58	0.674	0	0.0421	0.2839
V59	0.45671	0.37033	0.14479	0.02817
V60	0.17037	0.14754	0.35282	0.32926
V61	0.80366	0.08513	0.02297	0.08825
V62	0.85849	0.02517	0.08704	0.0293
V63	0.05774	0.75142	0.1886	0.00224
V64	0.05306	0.80976	0.04208	0.0951
V65	0.07234	0	0.12213	0.80553
V66	0.25779	0.63077	0.06912	0.04232
V67	0.18028	0.30537	0.51435	0
V68	0.22252	0.13425	0.03419	0.60904
V69	0.05314	0.29991	0.62048	0.02647
V70	0.55387	0.13561	0.20217	0.10835
V71	0.2049	0.06479	0.39948	0.33083
V72	0.59076	0.13962	0.11709	0.15253
V73	0.19089	0.56007	0.19153	0.05751
V74	0.08058	0.21156	0.70786	0
V75	0.71197	0	0.1988	0.08923
V76	0.01525	0.17184	0.22256	0.59035
V77	0.08699	0.28506	0.02055	0.6074
V78	0.34905	0.10209	0.21053	0.33832
V79	0.02708	0.10966	0.7902	0.07307
V80	0.3773	0.01741	0.53378	0.0715
V81	0.08585	0.16226	0.75188	0
V82	0.01051	0.08791	0.88605	0.01553
V83	0.19165	0.16572	0.09946	0.54316
V84	0.43967	0.02693	0.18566	0.34773
V85	0.13928	0.30102	0.42571	0.134
V86	0.07637	0.06295	0.81962	0.04106
V87	0.07733	0.75707	0.12244	0.04315
V88	0.215	0.0471	0.29774	0.44015
V89	0.07089	0	0.23355	0.69555
V90	0.07438	0.79862	0.127	0
V91	0.07433	0.67127	0.24837	0.00603
V92	0.47939	0.01382	0.38868	0.11811
V93	0.88542	0.00629	0	0.1083
V94	0.05374	0.43941	0.05391	0.45293
V95	0.29005	0.39873	0.19602	0.11521
V96	0.14454	0.09065	0.04251	0.72231
V97	0.68618	0.09157	0.22225	0
V98	0.70868	0.2665	0.01234	0.01248
V99	0.79343	0.0367	0.16433	0.00554
V100	0.10874	0.04038	0.82413	0.02675
V101	0.10413	0.05676	0	0.83911
V102	0.8964	0.04308	0.02051	0.04001
V103	0.05969	0.03587	0.12375	0.78069
V104	0.08378	0.84426	0.07196	0
V105	0.1056	0.81596	0.07844	0
V106	0.15473	0.47496	0.35999	0.01031
V107	0.21542	0.19623	0.55994	0.02841
V108	0.18363	0.66872	0.14764	0
V109	0.03566	0.16431	0.60861	0.19142
V110	0.1034	0.78327	0.106	0.00732
V111	0.89366	0	0.08457	0.02177
V112	0.16849	0.05854	0.45208	0.32088
V113	0.24089	0.0948	0.20663	0.45768
V114	0.30818	0.0255	0.10624	0.56008
V115	0.04091	0.67756	0.28153	0
V116	0.17366	0.29772	0.39411	0.13451
V117	0.68248	0.22428	0.05944	0.0338
V118	0.20661	0.53969	0.07789	0.17582
V119	0.18297	0.06482	0.07274	0.67948
V120	0.11009	0.08244	0.7979	0.00958
V121	0.61222	0.11065	0.1152	0.16193
V122	0.90763	0.00085	0.03946	0.05207
V123	0.03691	0.50212	0.08939	0.37157
V124	0.67924	0.26267	0.00788	0.05021
V125	0.41231	0.37683	0.21086	0
V126	0.09543	0.13965	0.07659	0.68833
V127	0.21645	0.03583	0.28739	0.46033
V128	0.09822	0	0.13796	0.76382
V129	0.58678	0.20967	0.18802	0.01552
V130	0.03855	0.59107	0.37038	0
V131	0.07303	0.82547	0.05119	0.05031
V132	0.89443	0	0.05115	0.05442
V133	0.8822	0.00762	0.07342	0.03676
V134	0.15051	0.37579	0.16943	0.30427
V135	0.13964	0.00278	0.21153	0.64605
V136	0.29221	0.3804	0.03389	0.2935
V137	0.65384	0.0262	0.25701	0.06295
V138	0.24647	0.37627	0.21614	0.16112
V139	0.3837	0.19133	0.22173	0.20325
V140	0.09071	0.08246	0.08063	0.7462
V141	0.09389	0.15938	0.55489	0.19185
V142	0.79135	0	0.20865	0
V143	0.4626	0.2409	0.0942	0.20229
V144	0.21649	0.14786	0.19869	0.43696
V145	0.01611	0.69632	0.28757	0
V146	0.14203	0	0.06747	0.7905
V147	0.88122	0.01397	0.03971	0.0651
V148	0.16202	0.07806	0.5846	0.17532
V149	0.28687	0.45982	0.25331	0
V150	0.11764	0.23849	0.58816	0.05571
V151	0.24848	0.57598	0.08207	0.09347
V152	0.26474	0.40923	0.25716	0.06887
V153	0.1532	0.69198	0.07296	0.08185
V154	0.27471	0.41959	0.30532	0.00038
V155	0.48797	0.13412	0.2976	0.08032
V156	0.05872	0.15005	0.68933	0.1019
V157	0.33568	0.14944	0.32944	0.18545
V158	0.10117	0	0.07177	0.82706
V159	0.87414	0.05801	0	0.06785
V160	0.71461	0	0.07174	0.21365
V161	0.28186	0	0.04387	0.67427
V162	0.11172	0.29486	0.11755	0.47587
V163	0.13408	0.46333	0.2164	0.18619
V164	0.37424	0.28772	0.13708	0.20096
V165	0.05595	0.27189	0	0.67216
V166	0.05485	0.09432	0.10161	0.74922
V167	0.41765	0	0	0.58235
V168	0.32012	0.51819	0.12849	0.0332
V169	0.25816	0.04051	0.05934	0.64199
V170	0.14367	0.02318	0.54258	0.29056
V171	0.16242	0.23734	0.58273	0.01751
V172	0.71438	0	0.27164	0.01398
V173	0.08344	0.14026	0.06837	0.70793
V174	0.06073	0.16239	0.10851	0.66837
V175	0.09671	0.02041	0.77866	0.10422
V176	0.04355	0.72669	0.22976	0
V177	0.06416	0.86809	0.05469	0.01306
V178	0.04683	0.72595	0.05948	0.16774
V179	0.20796	0.00238	0.40768	0.38198
V180	0.06781	0.79111	0.14108	0
V181	0.19463	0.13486	0.54151	0.129
V182	0.32408	0.17719	0.46002	0.03871
V183	0.22039	0.71964	0.05997	0
V184	0.9535	0	0.0465	0
V185	0.58779	0.36547	0.04674	0
V186	0.15438	0.44867	0.30246	0.0945
V187	0.90984	0.00168	0.05643	0.03204
V188	0.1162	0.2359	0	0.64791
V189	0.8213	0.00531	0.03105	0.14235
V190	0.65836	0.0085	0.32034	0.0128
V191	0.21603	0.20607	0.5601	0.0178
V192	0.3382	0.43161	0.08779	0.1424
V193	0.61332	0.02282	0.25103	0.11284
V194	0.08787	0.83179	0.06688	0.01346
V195	0.05092	0.05502	0.87004	0.02403
V196	0.07005	0.07867	0.03134	0.81994
V197	0.47144	0.03196	0.03732	0.45928
V198	0.10136	0.46987	0.40025	0.02853
V199	0.22588	0.00939	0.20794	0.5568
V200	0.17418	0.53586	0.05755	0.23241
V201	0.13374	0.51583	0.23888	0.11155
V202	0.04414	0.03743	0.77382	0.1446
V203	0.19526	0.39602	0.40871	0
V204	0.04614	0.52567	0.04075	0.38744
V205	0.05194	0.08032	0.84491	0.02283
V206	0.07891	0.11318	0.80791	0
V207	0.19211	0.18647	0.07835	0.54307
V208	0.27543	0.0763	0.64739	0.00088
V209	0.33646	0.43141	0.10754	0.12458
V210	0.12992	0.69114	0.1535	0.02545
V211	0.48126	0	0.04296	0.47578
V212	0.51686	0.04128	0.42456	0.01731
V213	0.65634	0.01411	0.13016	0.19938
V214	0.36851	0.15123	0.19164	0.28863
V215	0.35399	0.08794	0.0287	0.52937
V216	0.12808	0	0.05853	0.8134
V217	0.07625	0.46814	0.27978	0.17583
V218	0.13419	0.42681	0.214	0.22499
V219	0.15239	0.60155	0.05359	0.19247
V220	0.04911	0.77361	0.06539	0.11189
V221	0.822	0	0.00733	0.17067
V222	0.34271	0.13157	0.37607	0.14965
V223	0.02737	0.15465	0.75517	0.06281
V224	0.94491	0	0.05509	0
V225	0.1006	0.77657	0.12282	0
V226	0.32912	0.09077	0.58011	0
V227	0.78005	0	0.19901	0.02094
V228	0.76842	0.05226	0.08503	0.09429
V229	0.05376	0.04752	0.86349	0.03522
V230	0.08567	0.02908	0.06337	0.82188
V231	0.04933	0.28115	0.14935	0.52018
V232	0.08852	0.63678	0.02517	0.24954
V233	0.57616	0.07897	0.2174	0.12748
V234	0.08663	0.81156	0.09991	0.00191
V235	0.39476	0.06659	0.51953	0.01911
