CD19B	CD56NK	CD4MemoryT	CD14
V145	0	0.72545	0.17995	0.0946
V146	0	0.14829	0.03287	0.81884
V147	0.64539	0.09837	0.12708	0.12916
V148	0.06222	0.18284	0.44807	0.30687
V149	0.13195	0.53915	0.2239	0.10501
V150	0.03047	0.3156	0.46563	0.1883
V151	0.06888	0.62787	0.08638	0.21687
V152	0.10298	0.4778	0.2181	0.20112
V153	0	0.72054	0.07345	0.20602
V154	0.12024	0.48631	0.25884	0.1346
V155	0.29709	0.22461	0.27733	0.20097
V156	0.00159	0.23618	0.52467	0.23756
V157	0.17012	0.2446	0.27785	0.30743
V158	0	0.14166	0.01724	0.8411
V159	0.62151	0.13538	0.10655	0.13656
V160	0.45813	0.09913	0.12747	0.31528
V161	0.07524	0.14499	0.05307	0.7267
V162	0	0.36123	0.08506	0.55371
V163	0	0.51747	0.1688	0.31373
V164	0.16891	0.36411	0.14983	0.31714
V165	0	0.32335	0	0.67665
V166	0	0.20377	0.04958	0.74666
V167	0.167	0.1275	0.04822	0.65729
V168	0.13407	0.57977	0.1346	0.15156
V169	0.05898	0.18339	0.05668	0.70095
V170	0.03966	0.14567	0.39882	0.41585
V171	0.06604	0.31122	0.46724	0.1555
V172	0.51029	0.09146	0.29181	0.10644
V173	0	0.23933	0.04054	0.72013
V174	0	0.25256	0.06129	0.68615
V175	0.03375	0.12893	0.59752	0.2398
V176	0	0.76358	0.14384	0.09258
V177	0	0.87117	0.03738	0.09145
V178	0	0.70949	0.02101	0.2695
V179	0.07118	0.13725	0.30014	0.49143
V180	0	0.82712	0.09062	0.08226
V181	0.08429	0.22737	0.42826	0.26008
V182	0.18536	0.25931	0.38881	0.16653
V183	0.04693	0.77929	0.07797	0.09582
V184	0.71149	0.07323	0.12447	0.09081
V185	0.36353	0.43505	0.10799	0.09343
V186	0.0246	0.51257	0.23359	0.22924
V187	0.68096	0.0836	0.13731	0.09814
V188	0	0.31033	0.00905	0.68062
V189	0.5531	0.10427	0.10761	0.23502
V190	0.47233	0.10135	0.3183	0.10802
V191	0.10361	0.28266	0.46154	0.1522
V192	0.13854	0.49294	0.10692	0.26161
V193	0.39968	0.13086	0.24926	0.2202
V194	0	0.84777	0.04897	0.10326
V195	0.00415	0.14382	0.72292	0.12911
V196	0	0.18412	0.01203	0.80385
V197	0.2136	0.16218	0.07861	0.54561
V198	0	0.52677	0.30746	0.16577
V199	0.05538	0.15585	0.15149	0.63729
V200	0.00817	0.57588	0.065	0.35095
V201	0.00102	0.56963	0.18671	0.24264
V202	0	0.14152	0.57607	0.28241
V203	0.07378	0.4711	0.32437	0.13075
V204	0	0.52532	0.01549	0.45919
V205	0.00881	0.16387	0.68954	0.13779
V206	0.02182	0.19526	0.65778	0.12514
V207	0.02267	0.28433	0.07568	0.61732
V208	0.16725	0.16543	0.53909	0.12823
V209	0.14029	0.49627	0.11988	0.24356
V210	0	0.73585	0.11945	0.14471
V211	0.22476	0.13271	0.08144	0.56109
V212	0.35005	0.13811	0.38368	0.12817
V213	0.41271	0.12213	0.1615	0.30366
V214	0.16984	0.24939	0.17638	0.40439
V215	0.12842	0.20903	0.05555	0.607
V216	0	0.14224	0.02157	0.83619
V217	0	0.51034	0.19146	0.2982
V218	0	0.47999	0.16909	0.35093
V219	0	0.6365	0.05369	0.30981
V220	0	0.75525	0.0265	0.21826
V221	0.55165	0.08776	0.09396	0.26663
V222	0.18311	0.22993	0.31276	0.27419
V223	0	0.23484	0.57657	0.18859
V224	0.7007	0.07454	0.13312	0.09164
V225	0	0.81751	0.08967	0.09282
V226	0.20331	0.17775	0.49434	0.1246
V227	0.56674	0.08711	0.23454	0.11161
V228	0.52323	0.14666	0.14468	0.18544
V229	0.00985	0.14252	0.69963	0.14799
V230	0	0.15283	0.01703	0.83014
V231	0	0.33969	0.08696	0.57335
V232	0	0.63367	0.01729	0.34904
V233	0.35778	0.18027	0.22316	0.2388
V234	0	0.83673	0.06402	0.09924
V235	0.24203	0.16034	0.45443	0.14319
V236	0.01681	0.17823	0.60869	0.19627
V237	0.03614	0.14821	0.04978	0.76587
V238	0.03542	0.5691	0.243	0.15247
V239	0	0.4371	0.04131	0.52159
V240	0.33248	0.13799	0.37228	0.15725
V241	0.00468	0.13772	0.66911	0.18849
V242	0.01729	0.74031	0.13411	0.10829
V243	0.151	0.14982	0.50852	0.19065
V244	0.1317	0.1234	0.54076	0.20413
V245	0.37849	0.34172	0.13132	0.14847
V246	0.01996	0.24263	0.59477	0.14263
V247	0.11098	0.1364	0.63595	0.11667
V248	0	0.15906	0.03673	0.80422
V249	0	0.15399	0.65999	0.18601
V250	0.55142	0.09043	0.25171	0.10644
V251	0.67211	0.10909	0.12335	0.09545
V252	0	0.78315	0.13392	0.08293
V253	0.19023	0.18038	0.1734	0.45599
V254	0	0.84471	0.0696	0.08569
V255	0	0.83313	0.04587	0.121
V256	0.0928	0.2893	0.41661	0.2013
V257	0.24073	0.19972	0.23302	0.32653
V258	0.08155	0.33986	0.34649	0.23209
V259	0	0.35573	0.48774	0.15653
V260	0	0.34362	0.53948	0.1169
V261	0.40637	0.126	0.21896	0.24867
V262	0	0.18487	0.0359	0.77923
V263	0	0.86006	0.04016	0.09978
V264	0.07641	0.15895	0.33138	0.43326
V265	0	0.13944	0.09175	0.76881
V266	0.42747	0.38131	0.10681	0.08441
V267	0	0.26415	0.19506	0.54079
V268	0.20281	0.13943	0.15874	0.49902
V269	0	0.5552	0.29957	0.14522
V270	0.43598	0.11989	0.25943	0.1847
V271	0.54185	0.14307	0.12321	0.19187
V272	0	0.76329	0.05061	0.1861
V273	0	0.15408	0.03851	0.80741
V274	0.47821	0.09317	0.22068	0.20794
V275	0	0.1441	0.7269	0.129
V276	0.28877	0.38202	0.08839	0.24082
V277	0	0.28802	0.12529	0.5867
V278	0	0.1834	0.21201	0.60459
V279	0.46005	0.14318	0.16269	0.23408
V280	0	0.14166	0.01724	0.8411
V281	0.33276	0.12955	0.17766	0.36003
V282	0.02371	0.17798	0.62048	0.17784
V283	0.07265	0.58228	0.11031	0.23476
V284	0	0.83152	0.07968	0.0888
V285	0.04064	0.13585	0.70009	0.12342
V286	0.09888	0.56061	0.14467	0.19583
V287	0	0.81619	0.07023	0.11358
V288	0	0.34363	0.30765	0.34872
V289	0.16798	0.29502	0.35078	0.18623
V290	0.57913	0.21267	0.12068	0.08752
V291	0.33366	0.1657	0.37992	0.12073
V292	0.6629	0.08347	0.10849	0.14514
V293	0.19758	0.12822	0.52016	0.15403
V294	0	0.41436	0.02879	0.55685
V295	0	0.26435	0.14071	0.59494
V296	0.10127	0.21576	0.48347	0.1995
V297	0	0.14369	0.0609	0.79541
V298	0.19469	0.19497	0.48597	0.12436
V299	0	0.34425	0.02741	0.62834
V300	0	0.15471	0.15207	0.69323
V301	0.06129	0.21206	0.49857	0.22807
V302	0.42688	0.37414	0.0996	0.09937
V303	0	0.58454	0.28964	0.12583
V304	0.01928	0.14618	0.55707	0.27748
V305	0.04572	0.25702	0.35223	0.34503
V306	0.55307	0.16649	0.14191	0.13853
V307	0	0.85504	0.05022	0.09474
V308	0.10433	0.30651	0.26036	0.32879
V309	0.14851	0.37059	0.08489	0.39601
V310	0	0.37634	0.13595	0.48771
V311	0.31445	0.49514	0.09697	0.09344
V312	0	0.71739	0.15901	0.12359
V313	0	0.20631	0.017	0.77668
V314	0	0.48039	0.09881	0.4208
V315	0.00246	0.62441	0.07707	0.29607
V316	0.17679	0.23169	0.32368	0.26784
V317	0	0.67192	0.08111	0.24698
V318	0	0.54287	0.03174	0.42539
V319	0.02895	0.16843	0.64705	0.15556
V320	0.02826	0.2408	0.49606	0.23489
V321	0.4204	0.3897	0.1055	0.0844
V322	0.05414	0.38053	0.10496	0.46037
V323	0	0.15722	0.0692	0.77358
V324	0.43727	0.30359	0.14776	0.11138
V325	0.14325	0.63618	0.12269	0.09788
V326	0	0.54176	0.07827	0.37996
V327	0	0.24058	0.08065	0.67877
V328	0.01226	0.14638	0.5547	0.28666
V329	0.05429	0.22458	0.15166	0.56947
V330	0.22774	0.12262	0.2948	0.35484
V331	0.15972	0.19771	0.08283	0.55975
V332	0	0.17164	0.1212	0.70715
V333	0.25576	0.17865	0.34231	0.22328
V334	0.20648	0.12391	0.30336	0.36624
V335	0	0.38592	0.38736	0.22671
V336	0.04286	0.68224	0.07645	0.19845
V337	0.14959	0.44388	0.27217	0.13435
V338	0	0.87713	0.03936	0.08351
V339	0.07928	0.13292	0.66142	0.12638
V340	0	0.30686	0.40537	0.28776
V341	0	0.15993	0.04466	0.79541
V342	0.14654	0.12264	0.48764	0.24318
V343	0.69287	0.08856	0.12312	0.09545
V344	0.46823	0.21336	0.22322	0.09519
V345	0.00419	0.14295	0.72934	0.12351
V346	0.10368	0.2201	0.23958	0.43664
V347	0	0.1458	0.0911	0.76309
V348	0	0.6344	0.13609	0.22951
V349	0.20261	0.2527	0.32985	0.21484
V350	0	0.76047	0.15228	0.08725
V351	0	0.15785	0.27249	0.56966
V352	0.02055	0.14307	0.6389	0.19748
V353	0.61089	0.10301	0.13124	0.15485
V354	0	0.67238	0.19026	0.13736
V355	0.16142	0.18392	0.37017	0.28449
V356	0	0.15406	0.06921	0.77673
V357	0.02006	0.39425	0.23058	0.35511
V358	0.31101	0.1936	0.11388	0.38151
V359	0.33906	0.14883	0.09731	0.4148
V360	0.33276	0.45252	0.11507	0.09965
V361	0	0.47132	0.42318	0.1055
V362	0	0.87164	0.04468	0.08368
V363	0.0802	0.22261	0.36292	0.33427
V364	0.08993	0.1701	0.527	0.21298
V365	0.10439	0.15219	0.04677	0.69665
V366	0	0.65795	0.10218	0.23987
V367	0.33656	0.22323	0.06957	0.37064
V368	0	0.69971	0.11174	0.18855
V369	0	0.43513	0.45252	0.11235
V370	0.17349	0.33783	0.34726	0.14142
V371	0.04982	0.69892	0.0907	0.16055
V372	0.0423	0.18577	0.11061	0.66132
V373	0.01109	0.24233	0.35701	0.38957
V374	0.5583	0.09494	0.24863	0.09812
V375	0	0.16775	0.10459	0.72766
V376	0	0.16029	0.06869	0.77102
V377	0.52777	0.0837	0.09531	0.29322
V378	0	0.15721	0.27567	0.56712
V379	0.15093	0.27758	0.06363	0.50786
V380	0.04379	0.19702	0.16351	0.59569
V381	0.48292	0.10739	0.15269	0.25699
V382	0.04569	0.14692	0.68016	0.12723
V383	0.56902	0.08677	0.13394	0.21027
V384	0.33145	0.1734	0.17223	0.32291
V385	0.59379	0.09741	0.15975	0.14905
V386	0.14152	0.13926	0.14637	0.57285
V387	0.36869	0.22556	0.21815	0.18759
V388	0.18908	0.38325	0.17852	0.24915
V389	0.21192	0.53467	0.09362	0.15979
V390	0.17653	0.32017	0.39421	0.10909
V391	0.20359	0.20993	0.07197	0.51452
V392	0.22783	0.28863	0.19717	0.28637
V393	0.1464	0.30234	0.30193	0.24933
V394	0	0.31215	0.1091	0.57875
V395	0.08658	0.43631	0.19848	0.27863
V396	0	0.85981	0.0414	0.09879
V397	0.52936	0.16276	0.17427	0.13361
V398	0.23162	0.23012	0.13677	0.40148
V399	0.06697	0.56438	0.16287	0.20577
V400	0	0.55551	0.06077	0.38373
V401	0.00242	0.25585	0.54862	0.19311
V402	0.55119	0.22267	0.1379	0.08823
V403	0	0.15214	0.04908	0.79878
V404	0.03199	0.27957	0.47806	0.21037
V405	0.08699	0.15951	0.15167	0.60182
V406	0.39887	0.30378	0.10374	0.19361
