Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.02177	0	0.11147	0	0.40651	0	0.00994	0	0	0.4503
V2	0.66143	0.00259	0	0	0.01089	0.28141	0.04368	0	0	0
V3	0.10231	3e-05	0.09377	0	0.5267	0.01137	0.04536	0.21109	0	0.00937
V4	0.01128	0.08581	0.02827	0	0.04671	0.06865	0.0174	0.02001	0.61407	0.10779
V5	0.00198	0.11336	0.10079	0.07964	0.18957	0.06674	0.01542	0	0	0.4325
V6	0.02336	0	0.19485	0	0.6819	0.01474	0	0.08514	0	0
V7	0.02145	0.37643	0.02973	0	0.43373	0.00581	0.03004	0.10281	0	0
V8	0.01226	0.41849	0.06238	0	0.10985	0.00443	0	0.3889	0	0.00369
V9	0.00128	0.01381	0.0504	0.13028	0.00358	0.02104	0.09574	0.66247	0.01445	0.00696
V10	0.02748	0	0.00411	0	0.74648	0.04016	0.00216	0.17961	0	0
V11	0.02135	0.42234	0.01966	0	0.10892	0.02545	0.00219	0.36295	0.02771	0.00944
V12	0	0.03622	0.163	0.57696	0.05824	0.00879	0.05852	0.00171	6e-05	0.09648
V13	0.08784	0.06766	0.14082	0	0.0222	0.18841	0.29205	0.01849	0.17211	0.01043
V14	0.07124	0.40982	0.18817	0.03108	0.13674	0.05853	0.08285	0.02156	0	0
V15	0.20289	0.01655	0.06932	0.6714	0	0.01706	0.02011	0	0.00148	0.00118
V16	0	0.05213	0.17222	0.6053	0.01757	0.03689	0.006	0	0.10292	0.00698
V17	0.02458	0.12637	0.0654	0	0.21448	0.07997	0.03269	0.00845	0.0117	0.43635
V18	0.05206	0.07875	0.08668	0.36379	0.09933	0.00411	0.00486	0	0.00036	0.31004
V19	0	0	0.09087	0.0766	0.14709	0.08454	0.01423	0.00822	0.00329	0.57516
V20	0.00642	0.29226	0.04326	0	0.06078	0.07539	0.35012	0.07982	0.02518	0.06678
V21	0.09862	0.37993	0.02431	0	0.09693	0.31767	0.03198	0.04697	0	0.00359
V22	0.00341	0	0.04072	0.00084	0.09753	0.00135	0.00263	0.42018	0.04574	0.38762
V23	0.22745	0.00847	0.63769	0	0.02717	0.00584	0.00925	0.01076	0	0.07338
V24	0.03332	0.51991	0.07022	0	0.14031	0.00156	0.04369	0.1109	0.08009	0
V25	0.02746	0.10219	0.06273	0.01293	0.19942	0.11849	0.02915	0	0.17961	0.26801
V26	0.0054	0	0.02804	0.02617	0	0	0	0.93685	0	0.00354
V27	0.02207	0	0.05403	0	0.61943	0	0.01455	0	0	0.28992
V28	0.2931	0	0.04856	0	0.10335	0.02172	0.02518	0.04694	0	0.46115
V29	0.02264	0.5767	0.04227	0	0.1825	0.08327	0.01219	0.02791	0	0.05251
V30	0.0018	0.05125	0.11464	0	0	0.31973	0.19752	0.00235	0.30542	0.00729
V31	0.00928	0.23265	0.20516	0	0.13002	0	0	0.41973	0	0.00316
V32	0.47237	0	0	0	0.36787	0.03994	0.02842	0	0.08109	0.01031
V33	0.00623	0.04447	0.21942	0.57182	0	0.02267	0.12456	0	0.00789	0.00293
V34	0.01558	0.01364	0.06335	0	0.44837	0	0.00918	0.01851	0.03934	0.39203
V35	0.02718	0.69304	0.04107	0	0.19818	0.00184	0.0108	0.02788	0	0
V36	0.05402	0.13369	0.02306	0	0.01062	0.11528	0.54752	0.05798	0.04956	0.00827
V37	0.01419	0.52216	0.03856	0	0.14847	0.02908	0.17962	0.05074	0.00924	0.00793
V38	0.12127	0.08434	0.0555	0.21457	0	0.07611	0.39284	0.00298	0.04634	0.00604
V39	0.07125	0.07873	0.06789	0.20223	0.04886	0.07227	0.37272	0.03247	0.03996	0.01361
V40	0.07237	0	0.76586	0	0.1385	0	0.0074	0.01146	0	0.00441
V41	0.62249	0.06073	0	0	0	0.00153	0.01537	0.00878	0.27919	0.01192
V42	0.02529	0.43891	0.03769	0	0.47394	0	0.00061	0.00301	0	0.02055
V43	0.1245	0.03517	0.12062	0.06908	0.25852	0.05952	0.1394	0.03921	0.15362	0.00034
V44	0	0	0.53112	0	0	0	0	0.46887	0	0
V45	0.00884	0.05432	0.02553	0.00537	0	0.03396	0.1728	0	0.669	0.03018
V46	0.15285	0.08232	0.07717	0.2751	0.13217	0	0.00401	0.01617	0	0.2602
V47	0.00171	0.13024	0.03515	0	0	0.12723	0.61153	0.00966	0.06684	0.01765
V48	0.01509	0.02335	0.08951	0	0.16582	0	0.01472	0	0.1205	0.57101
V49	0.12189	0	0	0.01177	0	0	0	0.86634	0	0
V50	0.30393	0.15204	0	0	0.0573	0.45215	0.03411	0.00048	0	0
V51	0.11776	0	0.64135	0	0.09206	0	0.01037	0.09783	0.03087	0.00976
V52	0	0.05848	0.20303	0.39287	0	0.04855	0.25282	0.0112	0.02961	0.00344
V53	0.40648	0	0.09999	0.08826	0.04214	0	0.00719	0.22699	0	0.12894
V54	0.0093	0.00077	0.00074	0	0.26193	0.6722	0.05294	0.00212	0	0
V55	0	0.02037	0.08522	0.77904	0.07468	0.0091	0.01731	0	0	0.01428
V56	0.10964	0	0.61986	0	0.11244	0.13334	0.01618	0	0	0.00855
V57	0	0.00062	0.64148	0.18044	0.00575	0.00876	0.01228	0.04705	0.08551	0.01812
V58	0.00913	0.16495	0.08416	0.15681	0.05674	0.48206	0.04615	0	0	0
V59	0.02879	0.18139	0.03083	0	0	0.11846	0.56623	0.00867	0.05694	0.00869
V60	0.75489	0.00092	0	0	0.07801	0.00013	0.00972	0	0.15243	0.0039
V61	0	0.002	0.03548	0.02767	0.02443	0.82511	0.07442	0.00539	0.00103	0.00447
V62	0.02379	0.05615	0.06118	0.00622	0.09013	0.05512	0.29342	0.01707	0.079	0.31791
V63	0.01113	0.17488	0.03264	0	0.27194	0.46086	0.03917	0	0	0.00938
V64	0.03834	0	0.29116	0.24442	0	0.00174	0	0.39229	0	0.03205
V65	0.04139	0.02391	0.04481	0.38602	0	0.00172	0.03053	0.36027	0.09386	0.01749
V66	0.02908	0.00082	0.03672	0	0.78198	0.01989	0.01291	0.02885	0	0.08975
V67	2e-05	0.15115	0.59602	0	0.05909	0.04796	0.05832	0.02414	0.04576	0.01755
V68	0.01895	0.01635	0	0.00934	0	0	0.00507	0.45781	0.49247	0
V69	0	0	0.95867	0	0.02465	0.00186	0.01079	0.00349	0	0.00055
V70	0.76593	0.0083	0.06206	0	0	0.03474	0.03232	0.01062	0.08603	0
V71	0.01666	0	0	0.02888	0	0	0	0.943	0	0.01146
V72	0.20933	0	0.05161	0.30264	0.28258	0	0.00284	0.00378	0	0.14722
V73	0.05415	0	0.03067	0	0.89468	0.0115	0.00257	0.00466	0	0.00177
V74	0.00413	7e-04	0.10471	0.23803	0.12036	0.03509	0.00902	0.00554	0.00275	0.47966
V75	0	0.06819	0.20112	0.49666	0.02848	0.00714	0.00524	0.00118	0.19142	0.00058
V76	0.00065	0.0133	0	0.00437	0.01653	0.86732	0.08383	0.00675	0.00725	0
V77	0	0.04526	0.04543	0.37842	0	0.30405	0.20183	0	0.0156	0.00941
V78	0.01163	0.45396	0.08705	0	0.15567	0.04097	0.19503	0	0.00486	0.05083
V79	0	0.03182	0.04875	0.33989	0	0.25129	0.02894	0	0.28018	0.01913
V80	0.43084	0.00153	0.02834	0	0.08616	0.00269	0.03085	0	0.07447	0.34512
V81	0.00255	0.00456	0.02117	0.17795	0.21547	0.53839	0.03991	0	0	0
V82	0.05078	0.40185	0.06164	0.27159	0.11581	0.00737	0.00139	0.08957	0	0
V83	0.00946	0.03495	0.06442	0.50513	0.02853	0	0	0.35716	0	0.00036
V84	0.02514	0.02175	0.02306	0.03096	0.15544	0.57076	0.16584	0.00402	0.00303	0
V85	0.17589	0	0.56776	0	0.05098	0	0.009	0	0	0.19637
V86	0.24428	0.00457	0.338	0.39144	0.00108	0.0073	0.00646	0	0	0.00687
V87	0.01679	0.04527	0.02172	0.00987	0.02203	0.00564	0.01726	0	0.86075	0.00068
V88	0	0.267	0.09952	0.55484	0.07233	0	0.0054	0	0	0.00091
V89	0.00119	0.10405	0.02928	0.03979	0	0.09597	0.5025	0.17377	0.04613	0.00732
V90	0	0.04655	0.52204	0	0.09901	0.01936	0.00994	0	0	0.3031
V91	0	0	0.9391	0	0.02986	0.00068	0.00973	0.01445	0	0.00618
V92	0.00237	0.13234	0.03104	0	0	0.11913	0.57022	0.00822	0.12917	0.00751
V93	0.00916	0.08458	0.08906	0	0	0.02995	0.15492	0.02512	0.6064	0.00081
V94	0.88243	0	0	0	0	0.02948	0.02096	0.05898	0	0.00816
V95	0.00467	0.06682	0.00717	0.00723	0.00426	0.05749	0.30985	0.50916	0.02847	0.00489
V96	0	0.09552	0.4002	0.42167	0.02922	0.01345	0.00517	0.01612	0.01241	0.00624
V97	0.0016	0.11674	0.04205	0	0.00326	0.10577	0.55515	0.0084	0.0703	0.09674
V98	0.0142	0.2067	0.03798	0.04954	0.29056	0.01373	0.02414	0.14456	0.14789	0.0707
V99	0.59277	0.01557	0	0	0	0.00958	0.0589	0.00918	0.31009	0.00391
V100	0.17667	0.01587	0.03243	0.25369	0.02796	0.31144	0.03493	0	0.13521	0.01179
V101	0	0.02192	0.06207	0	0.11937	0.1024	0.11388	0.06734	0.00954	0.50348
V102	0.047	0.18235	0.0092	0	0.15855	0.30845	0.09414	0.18916	0	0.01114
V103	0.07557	0.03377	0.01379	0.00817	0	0.00448	0.01588	0.00515	0.83858	0.00461
V104	6e-05	0	0.95348	0	0.01099	0.002	0.0114	0.00343	0.01761	0.00103
V105	0.27285	0	0.06691	0	0	0.10929	0.00551	0.54544	0	0
V106	0.02013	0.53186	0.26883	0	0.15543	0.01497	0.00542	0	0	0.00337
V107	0.25196	0.13544	0.0174	0	0.39888	0.01189	0.00886	0.05674	0.11885	0
V108	0	0	0.04422	0.18287	0.06718	0.40626	0.03124	0.03592	0.00409	0.22823
V109	0.00103	0.02868	0.00072	0.01128	0.02892	0.8306	0.08123	0.00558	0.01196	0
V110	0.03434	0	0.0239	0	0.84599	0	0	0.09403	0	0.00174
V111	0.00768	0.10933	0.03811	0	0.13915	0.10196	0.52952	0.00789	0.04979	0.01656
