Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V81	0.00498	0	0.03931	0.16113	0.1057	0.67194	0.01694	0	0	0
V82	0.06018	0.46169	0.10653	0.31486	0.00892	0.00438	0	0.04345	0	0
V83	0.01059	0	0.05507	0.62266	0	0	0	0.31168	0	0
V84	0.02379	0.00264	0.0423	0	0.0664	0.6906	0.17427	0	0	0
V85	0.20386	0	0.58614	0	0	0	0	0	0	0.21
V86	0.26363	0	0.33949	0.39688	0	0	0	0	0	0
V87	0.03986	0.03493	0	0	0	0	0	0	0.92521	0
V88	0	0.27755	0.08132	0.64113	0	0	0	0	0	0
V89	0	0.07472	0.01388	0.02356	0	0.20681	0.55985	0.11182	0.00936	0
V90	0	0.04087	0.5562	0	0.04159	0	0	0	0	0.36133
V91	0.00675	0	0.99325	0	0	0	0	0	0	0
V92	0	0.08625	0	0	0	0.23202	0.5997	0	0.08203	0
V93	0.01766	0.07236	0.06872	0	0	0.05345	0.18317	0	0.60464	0
V94	0.97792	0	0	0	0	0.01059	0	0.01149	0	0
V95	0	0.04479	0.00457	0	0	0.13287	0.39792	0.41985	0	0
V96	0	0.0894	0.44022	0.45978	0	0.0106	0	0	0	0
V97	0	0.08128	0.00855	0	0	0.21697	0.58609	0	0.04881	0.0583
V98	0.00784	0.25026	0.08079	0.05313	0.27534	0.01796	0.02718	0.11104	0.09471	0.08175
V99	0.61134	0.00345	0	0	0	0.00746	0.05322	0	0.32453	0
V100	0.18499	0.00587	0.05629	0.2495	0	0.3755	0.03426	0	0.09358	0
V101	0	0.00911	0.03295	0	0.09674	0.13481	0.12166	0.03761	0	0.56712
V102	0.0515	0.18607	0.03293	0	0.09346	0.40676	0.10078	0.12549	0	0.00301
V103	0.1007	0.00921	0	0	0	0	0	0	0.89009	0
V104	0.0053	0	0.9947	0	0	0	0	0	0	0
V105	0.34297	0	0.08569	0	0	0.10584	0	0.46551	0	0
V106	0.03219	0.59377	0.32338	0	0.05065	0	0	0	0	0
V107	0.28016	0.17588	0.06641	0	0.36226	0.01476	0.00249	0.0282	0.06984	0
V108	0	0	0.04538	0.17654	0	0.49102	0.01205	0.00203	0	0.27299
V109	0	0	0	0	0	0.98056	0.01944	0	0	0
V110	0.03415	0	0.04374	0	0.8976	0	0	0.02451	0	0
V111	0	0.09933	0.02475	0	0.04563	0.21655	0.57787	0	0.03586	0
V112	0	0.08008	0.0174	0	0	0.17603	0.47699	0	0.10591	0.1436
V113	0.04163	0.01045	0.00049	0	0	0.04814	0.02203	0.00318	0.77879	0.09529
V114	0.04846	0.01082	0	0	0	0	0	0	0.94072	0
V115	0.02837	0.78408	0.08476	0	0.10279	0	0	0	0	0
V116	0.46818	0.00303	0	0	0	0	0	0.52879	0	0
V117	0	0.08463	0.00114	0	0	0.24002	0.64426	0	0.02995	0
V118	0	0	0	0	0	0.99275	0.00725	0	0	0
V119	0	0.01439	0.03995	0.67305	0	0.22779	0.04482	0	0	0
V120	0.71347	0	0.21994	0	0	0.06659	0	0	0	0
V121	0.02361	0.12762	0.34818	0	0	0.23644	0.23886	0.00438	1e-05	0.0209
V122	0.02261	0.03898	0.1224	0	0	0.08363	0.1023	0	0.63009	0
V123	0.03685	0	0.0063	0	0.39059	0	0	0.56625	0	0
V124	0.75719	0	0	0	0	0	0	0.24281	0	0
V125	0.00664	0.09328	0.14785	0.00314	0	0.10266	0	0.64643	0	0
