CD56NK	CD4MemoryT	CD19B	CD14
V142	0.82397	0	0.17577	0.00026
V143	0.46686	0.19585	0.05329	0.284
V144	0.16736	0.09562	0.13908	0.59794
V145	0.00459	0.76781	0.22169	0.00591
V146	0.04979	0.00013	0.01677	0.93331
V147	0.93883	0.00626	0.01402	0.0409
V148	0.13942	0.03409	0.5572	0.26928
V149	0.30658	0.48175	0.20674	0.00493
V150	0.09765	0.19509	0.60263	0.10463
V151	0.2339	0.5836	0.02572	0.15678
V152	0.27128	0.39853	0.20691	0.12328
V153	0.11954	0.72281	0.01326	0.14439
V154	0.2864	0.41711	0.25932	0.03718
V155	0.53423	0.09029	0.26046	0.11501
V156	0.03476	0.08909	0.70672	0.16943
V157	0.33769	0.09965	0.28832	0.27434
V158	0.01658	0	0.01303	0.97038
V159	0.91224	0.0367	0	0.05106
V160	0.69445	0	0.0481	0.25745
V161	0.19965	0	0.01882	0.78152
V162	0.06618	0.22757	0.06203	0.64422
V163	0.10678	0.43944	0.15409	0.29969
V164	0.37375	0.24192	0.08944	0.29489
V165	0.01257	0.1999	0	0.78753
V166	0.01226	0.05464	0.04879	0.8843
V167	0.33146	0	0.00202	0.66652
V168	0.32957	0.53281	0.06664	0.07099
V169	0.18133	0.02275	0.0242	0.77171
V170	0.10821	0.00235	0.4781	0.41134
V171	0.14985	0.19827	0.60006	0.05182
V172	0.76022	0	0.23413	0.00565
V173	0.02786	0.09346	0.02563	0.85306
V174	0.01898	0.10897	0.05447	0.81757
V175	0.06735	0	0.77055	0.1621
V176	0.01202	0.82131	0.16085	0.00582
V177	0.0146	0.96779	0	0.01761
V178	0.01186	0.72254	0.00119	0.2644
V179	0.16205	0	0.33315	0.50481
V180	0.03492	0.89546	0.06962	0
V181	0.18382	0.08208	0.52882	0.20528
V182	0.35083	0.12786	0.4482	0.07311
V183	0.21097	0.78	0.00315	0.00588
V184	0.99249	0	0.00687	0.00064
V185	0.62089	0.36502	0.00884	0.00526
V186	0.13403	0.44417	0.25483	0.16696
V187	0.97266	0	0.02105	0.0063
V188	0.05626	0.17189	0	0.77185
V189	0.82373	0.00473	0.01194	0.1596
V190	0.7108	0	0.2835	0.0057
V191	0.22051	0.16069	0.56792	0.05088
V192	0.33569	0.4066	0.03924	0.21847
V193	0.64312	0.00999	0.20569	0.14119
V194	0.04412	0.92556	0.00297	0.02734
V195	0.00819	0.01297	0.96991	0.00892
V196	0.01449	0.03957	0.00446	0.94148
V197	0.40413	0.01991	0.01677	0.55919
V198	0.07255	0.48269	0.36812	0.07664
V199	0.1598	0.00446	0.14086	0.69488
V200	0.13812	0.50357	0.01148	0.34683
V201	0.10891	0.51956	0.1784	0.19312
V202	0.01474	0.00246	0.75674	0.22607
V203	0.19408	0.39614	0.38374	0.02604
V204	0.01114	0.46295	0.00044	0.52547
V205	0.01705	0.02956	0.93461	0.01878
V206	0.05145	0.06161	0.87946	0.00748
V207	0.12874	0.12997	0.03802	0.70327
V208	0.29338	0.03308	0.65785	0.0157
V209	0.33891	0.41089	0.0562	0.19399
V210	0.0989	0.75954	0.08025	0.06131
V211	0.40722	6e-05	0.0227	0.57002
V212	0.56706	0.01446	0.39425	0.02422
V213	0.65497	0.00893	0.08856	0.24754
V214	0.34955	0.1033	0.14057	0.40659
V215	0.28321	0.05253	0.01093	0.65333
V216	0.03343	0	0.01225	0.95432
V217	0.0471	0.44444	0.21867	0.28978
V218	0.10615	0.38988	0.15181	0.35216
V219	0.11589	0.58328	0.00615	0.29467
V220	0.01189	0.79512	0.00129	0.1917
V221	0.80192	0	0.00235	0.19572
V222	0.35231	0.08346	0.34231	0.22191
V223	0.00694	0.0952	0.79352	0.10433
V224	0.98149	0	0.01796	0.00055
V225	0.06632	0.88048	0.04745	0.00575
V226	0.35753	0.04795	0.57933	0.01519
V227	0.82267	0	0.16381	0.01353
V228	0.81344	0.03358	0.05083	0.10216
V229	0.01671	0.00805	0.94433	0.03092
V230	0.01553	0.00946	0.01225	0.96276
V231	0.018	0.20945	0.08773	0.68481
V232	0.04818	0.59089	0	0.36093
V233	0.61145	0.04825	0.17264	0.16766
V234	0.04363	0.91728	0.0229	0.01619
V235	0.43073	0.02921	0.5034	0.03667
V236	0.04652	0.03548	0.81476	0.10324
V237	0.14907	0	0.01984	0.83109
V238	0.14929	0.53375	0.25496	0.062
V239	0.06618	0.32822	0.01086	0.59474
V240	0.54254	0.01354	0.38787	0.05605
V241	0.01592	0.00143	0.89204	0.09061
V242	0.15175	0.75189	0.08173	0.01462
V243	0.27367	0.01636	0.61297	0.097
V244	0.22921	0	0.66338	0.10741
V245	0.65966	0.23626	0.03828	0.06579
V246	0.06146	0.11092	0.79925	0.02837
V247	0.1941	0.00842	0.79702	0.00046
V248	0.02136	0.01105	0.02964	0.93796
V249	0.00049	0.01846	0.88953	0.09151
V250	0.80409	0	0.1903	0.00561
V251	0.96528	0.02372	0.00466	0.00634
V252	0.01379	0.84146	0.14475	0
V253	0.37054	0.03326	0.13407	0.46212
V254	0.01386	0.93987	0.03984	0.00643
V255	0.05349	0.89757	0	0.04894
V256	0.20329	0.16484	0.51768	0.1142
V257	0.45289	0.05558	0.20621	0.28532
V258	0.20179	0.215	0.41654	0.16666
V259	0.0361	0.26062	0.65004	0.05323
V260	0.00156	0.26292	0.72852	0.00701
V261	0.649	0.00946	0.1679	0.17364
V262	0.08795	0.0266	0.0079	0.87755
V263	0.02348	0.94855	0	0.02796
V264	0.16816	0.01175	0.38582	0.43427
V265	0.02732	0	0.10331	0.86937
V266	0.69121	0.30439	0.00441	0
V267	0.00363	0.11957	0.24535	0.63145
V268	0.38108	0.00387	0.11343	0.50162
V269	0.00938	0.54252	0.38491	0.06319
V270	0.68644	0.00565	0.21281	0.09511
V271	0.83107	0.03337	0.02362	0.11193
V272	0.06164	0.79795	0.00688	0.13354
V273	0.04841	0.0044	0.02263	0.92455
V274	0.72379	0	0.15322	0.12299
V275	0.00057	0.01388	0.97597	0.00958
V276	0.54172	0.27276	0.00643	0.17909
V277	0.03449	0.14341	0.13013	0.69197
V278	0.03308	0.02349	0.24561	0.69782
V279	0.72465	0.02672	0.0895	0.15913
V280	0.01658	0	0.01303	0.97038
V281	0.5561	0.0084	0.11332	0.32218
V282	0.05835	0.03633	0.82713	0.07819
V283	0.23612	0.52989	0.04923	0.18476
V284	0.03252	0.91406	0.04742	0.006
V285	0.08205	0.00705	0.91018	0.00072
V286	0.27891	0.50514	0.09475	0.1212
V287	0.11232	0.85321	0.00835	0.02611
V288	0.01655	0.22329	0.40548	0.35468
V289	0.32636	0.16856	0.4067	0.09837
V290	0.85985	0.12973	0.01029	0.00013
V291	0.54782	0.03587	0.40213	0.01417
V292	0.94055	0	0	0.05945
V293	0.33542	0.00114	0.61488	0.04855
V294	0.08681	0.29262	0	0.62057
V295	0.01745	0.11649	0.15788	0.70818
V296	0.20151	0.07773	0.60734	0.11342
V297	0.06614	0	0.04797	0.88589
V298	0.34782	0.06275	0.57432	0.01511
V299	0.06565	0.20548	0.0061	0.72277
V300	0.00468	0.0082	0.18852	0.7986
V301	0.13064	0.06925	0.64513	0.15498
V302	0.69691	0.28876	0	0.01433
V303	0.00354	0.58592	0.37111	0.03943
V304	0.05543	0.00625	0.72424	0.21408
V305	0.12751	0.10785	0.43684	0.3278
V306	0.85551	0.05546	0.03765	0.05139
V307	0.02317	0.95057	0.00938	0.01688
V308	0.24717	0.16827	0.27526	0.3093
V309	0.34487	0.24202	0.01693	0.39617
V310	0.07777	0.24448	0.12576	0.552
V311	0.56475	0.4266	0.00328	0.00537
V312	0.11148	0.73228	0.13013	0.02611
V313	0.00737	0.06869	0.00937	0.91456
V314	0.01811	0.40666	0.09175	0.48348
V315	0.12916	0.57206	0.02516	0.27362
V316	0.34051	0.08493	0.36396	0.2106
V317	0.09549	0.65962	0.0333	0.2116
V318	0.03614	0.48244	0.00554	0.47588
V319	0.06007	0.03188	0.86625	0.0418
V320	0.08198	0.09672	0.65251	0.16879
V321	0.6804	0.3152	0.0044	0
V322	0.19718	0.2486	0.05407	0.50015
V323	0.04704	0.00158	0.0632	0.88818
V324	0.72244	0.19951	0.05491	0.02313
V325	0.34801	0.60349	0.04336	0.00514
V326	0.00435	0.49505	0.07345	0.42714
V327	0.01867	0.0912	0.07798	0.81214
V328	0.04424	0.00618	0.72204	0.22753
V329	0.16466	0.06132	0.13723	0.63679
V330	0.39616	0	0.29269	0.31115
V331	0.33224	0.04515	0.02895	0.59366
V332	0.01093	0.01878	0.14543	0.82486
V333	0.46445	0.03731	0.35812	0.14011
V334	0.36086	0	0.31217	0.32697
V335	0.02614	0.29018	0.51349	0.1702
V336	0.19577	0.65973	0.01315	0.13135
V337	0.32504	0.35926	0.27863	0.03706
V338	0.00678	0.98215	0.00392	0.00715
V339	0.13917	0.00157	0.85163	0.00763
V340	0.05723	0.17365	0.51694	0.25218
V341	0.0209	0.00992	0.04269	0.92649
V342	0.26287	0	0.57106	0.16608
V343	0.9838	0.00468	0.00491	0.00662
V344	0.73096	0.10916	0.15988	0
V345	0.01041	0.01635	0.97235	0.00089
V346	0.23498	0.06372	0.24964	0.45166
V347	0.03647	0	0.09435	0.86918
V348	0.06026	0.62246	0.12669	0.19059
V349	0.38648	0.11312	0.36688	0.13352
V350	0.03285	0.80416	0.16299	0
V351	0.01632	0.00757	0.3396	0.6365
V352	0.04703	0.00372	0.84759	0.10167
V353	0.90134	0.00519	0.02377	0.0697
V354	0.05078	0.68606	0.21248	0.05068
V355	0.29515	0.03862	0.43112	0.23511
V356	0.02815	0.00184	0.07211	0.8979
V357	0.11718	0.26895	0.25809	0.35578
V358	0.54609	0.05808	0.03548	0.36035
V359	0.56094	0.02564	0.02215	0.39127
V360	0.59884	0.37355	0.01401	0.01359
V361	0.00237	0.43736	0.55383	0.00644
V362	0.0068	0.97582	0.01038	0.007
V363	0.17868	0.07005	0.44129	0.30998
V364	0.16991	0.02946	0.67496	0.12566
V365	0.24297	0.00613	0.0067	0.7442
