Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V70	0.67521	0.00669	0.07154	0	0.05185	0.0313	0.02609	0.02249	0.10324	0.01158
V71	0	0	0	0.19516	0.01021	0	0	0.79463	0	0
V72	0.12065	0.03463	0.14856	0.2617	0.25969	0.00838	0	0.01894	0.01163	0.13582
V73	0.003	0.08121	0.05814	0	0.82236	0.03528	0	0	0	0
V74	0	0.04251	0.1298	0.19733	0.11729	0.03593	0.0028	0.01809	0.02074	0.43551
V75	0	0.05422	0.24818	0.39371	0.08172	0	0.00063	0	0.22154	0
V76	0	0	0	0.05146	0.03308	0.70429	0.1267	0.04391	0.02461	0.01593
V77	0	0.01916	0.05507	0.29089	0.02595	0.26782	0.23867	0.07797	0.02056	0.0039
V78	0	0.38837	0.07307	0	0.1855	0.03472	0.23246	0.05528	0.01781	0.01278
V79	0	0.00892	0.06528	0.28261	0.07207	0.21703	0.04668	0	0.30741	0
V80	0.3377	0.03498	0.06367	0	0.12087	0	0.02286	0.00628	0.10089	0.31275
V81	0	0	0.01153	0.18676	0.18439	0.50651	0.08182	0.01693	0.01047	0.0016
V82	0.00724	0.37989	0.08687	0.27118	0.16713	0.00217	0.00365	0.08186	0	0
V83	0	0.0299	0.07121	0.50969	0.05695	0	0	0.33225	0	0
V84	0	0.00509	0.01204	0.06549	0.13231	0.49398	0.20866	0.05932	0.02008	0.00303
V85	0.10824	0.00381	0.59807	0	0.07919	0	0	0	0.01513	0.19556
V86	0.1621	0	0.47425	0.30195	0.03698	0.00116	0.00056	0.01677	0	0.00624
V87	0	0.00985	0.03391	5e-05	0.14209	0	0	0	0.8141	0
V88	0	0.25608	0.1454	0.47109	0.118	0	0.00943	0	0	0
V89	0	0.05468	0.00544	0.0574	0.01579	0.07506	0.46807	0.29132	0.03225	0
V90	0	0.07233	0.50518	0	0.1106	0.00213	0	0	0.02326	0.28649
V91	0	0	0.93093	0	0.0305	0	0	0	0.02314	0.01542
V92	0	0.07253	0.01796	0	0.01649	0.08046	0.53428	0.17613	0.10216	0
V93	0	0.04556	0.08204	0	0.09495	0	0.16694	0.01435	0.59616	0
V94	0.80946	0	0	0	0.03975	0.03073	0.00897	0.08095	0	0.03014
V95	0	0.03334	0	0.08278	0.0282	0.05766	0.28746	0.4912	0.01935	0
V96	0	0.08532	0.46026	0.33374	0.06294	0.00341	0.0029	0.02071	0.03073	0
V97	0	0.06937	0.02487	0	0.02574	0.07664	0.52235	0.1759	0.05508	0.05006
V98	0	0.20815	0.02213	0.09771	0.29154	0.01092	0.0252	0.11817	0.19734	0.02884
V99	0.48521	0.0073	0.0127	0	0.08222	0	0.06219	0.00891	0.34147	0
V100	0.08628	0.0026	0.08475	0.22217	0.08683	0.29159	0.06004	0	0.1646	0.00114
V101	0	0.05539	0.04895	0.01177	0.10539	0.09864	0.12588	0.10695	0.02855	0.41849
V102	0.00336	0.14624	0	0.06678	0.16138	0.29117	0.12462	0.19204	0.01442	0
V103	0	0.00138	0.05968	0.00192	0.11632	0	0	0	0.8207	0
V104	0	0	0.92272	0	0.01763	0	0	0	0.05287	0.00678
V105	0.21597	0	0.03445	0.11339	0.02888	0.12282	0	0.47816	0	0.00634
V106	0.00912	0.51483	0.25513	0	0.21681	0	0.00412	0	0	0
V107	0.20238	0.15859	0.0365	0.00866	0.3684	0.01592	0.00369	0.04069	0.16517	0
V108	0	0.00582	0.03284	0.18387	0.0815	0.37415	0.05726	0.04875	0.02592	0.18989
V109	0	0	0	0.05582	0.05128	0.68762	0.12653	0.03734	0.03038	0.01102
V110	0	0.07407	0.03031	0.0248	0.77954	0.02033	0	0.07095	0	0
V111	0	0.07069	0.02733	0	0.10349	0.08071	0.51047	0.16816	0.03915	0
V112	0	0.07059	0.03217	0	0.05128	0.06173	0.43506	0.13618	0.11146	0.10154
V113	0	0	0.0362	0.01284	0.13943	0.0049	0.02533	0	0.7721	0.00919
V114	0	0.00057	0.0409	0	0.1146	0	0	0	0.84392	0
V115	0.01982	0.6485	0.03313	0	0.27147	0	0.01754	0	0.00955	0
V116	0.2641	0.04412	0	0.10605	0.05826	0	0	0.52746	0	0
V117	0.00107	0.07148	0.02234	0	0.008	0.08073	0.57144	0.19775	0.04718	0
V118	0	0	0	0.0543	0.02703	0.70091	0.12695	0.05109	0.02136	0.01836
V119	0	0.01817	0.11761	0.5018	0.05033	0.16169	0.05065	0	0.09976	0
V120	0.61227	0	0.23094	0	0.03324	0.08558	0.00819	0.0027	0	0.02708
V121	0	0.09296	0.29222	0	0.07469	0.1444	0.24184	0.09666	0.03355	0.02367
V122	0	0.01841	0.13025	0	0.09908	0.01722	0.1034	0	0.63165	0
V123	0	0.00884	0	0.12592	0.32257	0.01873	0	0.51353	0.0104	0
V124	0.54471	0.02666	0	0.03929	0.04896	0	0	0.34037	0	0
V125	0	0.07663	0	0.17623	0.07271	0.09727	0	0.57716	0	0
V126	0	0.10816	0.03714	0.01585	0.73535	0.0248	0	0.0537	0.02499	0
V127	0	0.00989	0.62552	0	0.03734	0	0.16255	0.00605	0.15865	0
V128	0	0.1283	0.46813	0	0.35735	0.04173	0.0021	0	0.00238	0
V129	0	0.04947	0.10563	0.18532	0.16747	0	0	0	0.4921	0
V130	0	0	0.36006	0.09583	0.01443	0	0	0.52968	0	0
V131	0	0.28734	0.52921	0	0.13865	0	0.00347	0	0.04133	0
V132	0.06343	0.05006	0.01779	0.02478	0.07678	0.07486	0.40332	0.26593	0.02304	0
V133	0	0.00263	0	0.27274	0.02974	0.09247	0.0152	0.58721	0	0
V134	0	0.06407	0.29481	0.00149	0.29944	0.02096	0.12607	0.04765	0.03916	0.10635
V135	0	0.11828	0.17019	0	0.13659	0	0.00107	0	0.57388	0
V136	0	0.47384	0.08064	0.1505	0.23501	0	0.00259	0	0.00019	0.05723
V137	0	0.03211	0.01278	0.026	0.05418	0.32738	0.34577	0.10583	0.09595	0
V138	0	0.08457	0.05057	0	0.07949	0.05752	0.38967	0.1177	0.08971	0.13076
V139	0.51148	0.00828	0.01041	0	0.14117	0.07267	0.00967	0	0.2463	0
V140	0	0.00237	0.45335	0.40777	0.06362	0.04401	0.01584	0.00483	0.00297	0.00524
V141	0	0.01541	0.18534	0.7162	0.04172	0.02107	0.01042	0	0	0.00984
V142	0	0.05587	0.07743	0.19033	0.01668	0.06361	0.41846	0.14418	0.03211	0.00133
V143	0.00928	0.61101	0.04234	0.04361	0.26372	0	0.00393	0	0.0261	0
V144	0	0.02693	0	0.03339	0.02044	0.34368	0.38543	0.15554	0.03399	0.00061
V145	0	0.06021	0.08419	0.52098	0.05607	0.02509	0	0.25345	0	0
V146	0	0.00056	0.53173	0	0.06411	0.00887	0.01715	0.20145	0.02299	0.15315
V147	0	0.01437	0.04474	0.01124	0.26531	0	0	0	0.62621	0.03814
V148	0	0.00967	0.03025	0	0.11238	0	0.02323	0	0.82447	0
V149	0	0.01273	0.09842	0.56196	0.04489	0	0	0.11956	0.16244	0
V150	0	0.05534	0.10962	0	0.27111	0.00678	0.00096	0.00391	0.07347	0.47881
V151	0	0.04957	0.11098	0	0.15243	0.07526	0.00762	0	0.0315	0.57263
V152	0	0	0	0.17608	0.03266	0	0	0.76713	0	0.02412
V153	0	0.06185	0.02064	0.03886	0.74883	0.02039	0	0.10944	0	0
V154	0	0	0.78315	0.17022	0.02844	0	0	0.01072	0.00747	0
V155	0	0	0	0.13317	0.03541	0.06533	0	0.577	0.18908	0
V156	0.03642	0	0.17509	0.0401	0.05592	0.41951	0.0762	0.07144	0.12061	0.00472
V157	0	0.30885	0.03788	0.0563	0.32758	0.20564	0.03654	0	0.02721	0
V158	0.25964	0.43468	0.01539	0.00627	0.235	0	0.00626	0.04276	0	0
V159	0	0.04447	0.29926	0.03442	0.36308	0.03311	0	0.14662	0.00158	0.07747
V160	0.0393	0.65705	0.02342	0	0.27821	0	0.002	0	2e-05	0
V161	0	0.01534	0.17994	0.73733	0.03883	0.00447	0.0081	0	0.01598	0
V162	0	0.06279	0.10327	0	0.18333	0	0	0	0.03753	0.61307
V163	0.00456	0	0.93557	0	0.02259	0	0	0	0.01169	0.0256
V164	0	0	0.94396	0	0.01226	0	0	0	0.0265	0.01727
V165	0	0.02679	0.42196	0	0.13543	0	0	0	0.03637	0.37944
V166	0	0.08208	0.13803	0.54245	0.06734	0.00747	0.01493	0.09101	0.05435	0.00233
V167	0.81687	0.00194	0	0	0.06855	0.00447	0	0.01166	0.07826	0.01825
V168	0	0	0	0.11393	0.04921	0.21001	0.01466	0.44035	0.17183	0
V169	0	0.02735	0.08404	0.17712	0.10628	0.18187	0.02696	0.03524	0.02002	0.34112
V170	0	0	0.03236	0	0.10985	0	0	0	0.85779	0
V171	0	0	0.21369	0.07941	0.0602	0.35018	0.0756	0.07783	0.1414	0.00168
V172	0	0.05985	0.02184	0.00411	0.02888	0.19406	0.45246	0.16539	0.07342	0
V173	0	0.06334	0.04355	0	0.06316	0.07189	0.37769	0.11913	0.08045	0.1808
V174	0	0.067	0.32084	0.33529	0.17706	0.02367	0.00978	0.02288	0.00212	0.04138
V175	0.79908	0	0.10888	0	0.04928	0	0.00679	0.01578	0	0.02019
V176	0.1014	0	0	0.04348	0.04637	0.6098	0.09653	0.02095	0.0618	0.01967
V177	0.62266	0.01385	0.05461	0.06686	0.07284	0.00323	0	0.05218	0	0.11377
V178	0.12423	0	0.00112	0.06484	0.09477	0.54811	0.08724	0.02429	0.00762	0.04778
V179	0.13258	0.05731	0.05202	0	0.7426	0.01548	0	0	0	0
V180	0.3617	0.10302	0.11922	0.30047	0.08387	0.00887	0.00882	0.01404	0	0
V181	0	0.11389	0.71687	0	0.09553	0	0.05682	0	0.01478	0.0021
V182	0	0.00344	0	0.1414	0.27468	0.03403	0	0.51152	0.03493	0
V183	0	0.13925	0.13657	0.51333	0.06832	0.01766	0.09916	0.02372	0.00198	0
V184	0.10784	0	0.00161	0.0627	0.05967	0.51569	0.07396	0.06774	0.00864	0.10216
V185	0.49339	0.00181	0.03994	0.18781	0.05501	0.00434	0	0.14498	0.06429	0.00843
V186	0.77927	0.01119	0.04037	0.05453	0.05294	0.00069	0.00234	0.04395	0	0.01472
V187	0.68483	0.0011	0.1174	0	0.05728	0	0	0.01839	0.07675	0.04425
V188	0.04834	0.13851	0.06547	0.06115	0.64751	0.02334	0.00716	0.00853	0	0
V189	0.8106	0.00202	0.03247	0.02297	0.04652	0.01328	0	0.03804	0	0.0341
V190	0	0.00282	0.02371	0.00325	0.16889	0.02497	0.00965	0	0.7667	0
V191	0	0.03807	0.15791	0.335	0.38566	0.01527	0.03274	0.03535	0	0
V192	0	0.06176	0.09254	0	0.36755	0.01214	0	0.00965	0.02086	0.43551
V193	0	0.02779	0.27298	0.28109	0.14845	0.01789	0.09318	0.1348	0.02384	0
