Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.38956	0.12255	0.22657	0.12448	0.13684
V2	0.12197	0.71306	0.04604	0.00117	0.11776
V3	0.09323	0.0104	0.4047	0.38826	0.10342
V4	0.01332	0.07353	0.24247	0.17387	0.49682
V5	0.0103	0.07065	0.05078	0.25861	0.60966
V6	0.39248	0.01959	0.2454	0.21555	0.12698
V7	0.01784	0.0792	0.42116	0.14152	0.34028
V8	0.03072	0.03399	0.79752	0.05262	0.08516
V9	0.07503	0	0.22865	0.58056	0.11575
V10	0.52021	0.01746	0.41385	0	0.04849
V11	0.03926	0.08852	0.09691	0.20701	0.5683
V12	0.10497	0.03294	0.20568	0.35786	0.29855
V13	0.16186	0.05816	0.01459	0.46664	0.29875
V14	0.18493	0	0.04132	0.61554	0.15821
V15	0.02973	0	0	0.81104	0.15923
V16	0.61462	0.03765	0	0.27257	0.07516
V17	0.09702	0.30181	0	0.1472	0.45397
V18	0.13913	0.37822	0.23207	0.15684	0.09374
V19	0.02508	0.07163	0	0.27656	0.62673
V20	0.01925	0.0105	0.67137	0.2007	0.09818
V21	0.04699	0.28884	0.1211	0.21214	0.33094
V22	0.85001	0.05454	0.04611	0	0.04933
V23	0.09234	0.07677	0.00399	0.27449	0.55241
V24	0.53081	0.13297	0	0.07868	0.25754
V25	0.03126	0.05181	0	0.5113	0.40562
V26	0.54641	0.19681	0.04117	0.04103	0.17458
V27	0.18446	0.47576	0.1697	0	0.17008
V28	0.05159	0.05738	0.17723	0.57959	0.1342
V29	0.014	0	0.29869	0.56211	0.1252
V30	0.78643	0.08908	0.00814	0.01206	0.10428
V31	0.47985	0.12635	0	0.22469	0.1691
V32	0.93021	0	0	0	0.06979
V33	0.03933	0.2554	0	0.22074	0.48453
V34	0.18323	0.73764	0.00291	0	0.07623
V35	0.15336	0.54137	0.2328	0	0.07248
V36	0.04785	0.22201	0.16323	0.16863	0.39828
V37	0.79567	0	0	0.03174	0.17259
V38	0.15903	0.03657	0.44463	0.20105	0.15873
V39	0.39279	0.05113	0.31164	0.03421	0.21023
V40	0.29328	0.54919	0.00521	0.0491	0.10323
V41	0.11491	0.75762	0.00918	0	0.11829
V42	0.89893	0.01837	0.00347	0	0.07923
V43	0.53734	0.10361	0.30704	0	0.052
V44	0.07254	0.27568	0.52089	0	0.13089
V45	0.09887	0.61169	0.08465	0.08584	0.11895
V46	0.1804	0.67469	0.05858	0	0.08633
V47	0.01718	0.03527	0.85839	0	0.08916
V48	0.21141	0.12217	0.19552	0.31383	0.15707
V49	0.52317	0.12014	0.19466	0.09611	0.06591
V50	0.04208	0.04777	0.8327	0	0.07746
V51	0.14981	0.28639	0.18577	0.09573	0.28229
V52	0.11911	0.7907	0.00709	0	0.0831
V53	0.05373	0.12951	0	0.67886	0.13791
V54	0.24286	0	0	0.55001	0.20713
V55	0.0741	0	0	0.78229	0.14361
V56	0.07388	0	0	0.73162	0.1945
V57	0.20329	0.1304	0.52046	0.01481	0.13104
V58	0.08841	0.0316	0.12886	0.31484	0.43629
V59	0.88689	1e-05	0.06779	0	0.04531
V60	0.48938	0.18443	0.10093	0.10171	0.12356
V61	0.23646	0.03727	0.00592	0.31982	0.40054
V62	0.07984	0.06106	0.29475	0.21205	0.3523
V63	0.46881	0.25321	0.04349	0.03925	0.19524
V64	0.94331	0	0.00625	0	0.05044
V65	0.11424	0.06586	0.0154	0.60798	0.19653
V66	0.03744	0	0.10293	0.72023	0.13939
V67	0.01437	0.0613	0.34129	0.18813	0.3949
V68	0.52314	0.00524	0.35735	0.01993	0.09434
V69	0.64978	0.09917	0.17086	0	0.08019
V70	0.12555	0.64033	0.03391	0.09179	0.10842
V71	0.16371	0.70018	0.03687	0	0.09924
V72	0.07851	0.43891	0.01259	0.09234	0.37765
V73	0.07831	0	0.08126	0.6001	0.24033
V74	0.02878	0.03118	0	0.75434	0.1857
V75	0.52664	0.15305	0.26958	0	0.05073
V76	0.01313	0	0	0.80355	0.18332
V77	0.0404	0.02837	0.82557	0.02164	0.08402
V78	0.0182	0.0433	0.84835	0	0.09015
V79	0.12793	0.40941	0.02554	0.16205	0.27506
V80	0.19337	0.6654	0	0.00606	0.13517
V81	0.02862	0.03381	0.85527	0	0.0823
V82	0.2828	0.12832	0.00525	0.47493	0.1087
V83	0.12686	0.0725	0	0.55936	0.24128
V84	0.12529	0.2163	0	0.1696	0.48881
V85	0.01744	0.03557	0.85918	0	0.08781
V86	0.05968	0.22586	0.27526	0.33201	0.1072
V87	0.50099	0	0.01152	0.39356	0.09393
V88	0.36931	0.16238	0.03129	0.21386	0.22316
V89	0.07423	0.10314	0.73274	0.01082	0.07907
V90	0.03629	0.23629	0.04574	0.21351	0.46817
V91	0.01446	0	0.05131	0.78636	0.14787
V92	0.29393	0.08046	0.00842	0.16667	0.45052
V93	0.02733	0.08264	0.14378	0.52519	0.22106
V94	0.06114	0.20538	0.00412	0.3288	0.40056
V95	0.0945	0.2767	0.00565	0.19742	0.42573
V96	0.84256	0	0.00585	0.02863	0.12296
V97	0.20068	0.07274	0.02694	0.2374	0.46224
V98	0.09846	0.37463	0.16633	0.13202	0.22856
V99	0.56382	0.10199	0	0.20088	0.13331
V100	0.59967	0.15314	0.03119	0.05374	0.16226
V101	0.12743	0.7793	0.01279	0	0.08047
V102	0.37475	0.23224	0.11526	0.1031	0.17465
V103	0.15325	0.04451	0	0.21852	0.58372
V104	0.09148	0.43615	0.07534	0.07328	0.32375
V105	0.01161	0.07988	0.03069	0.26758	0.61023
V106	0.11375	0.6649	0.13317	0	0.08818
V107	0.08801	0.20125	0.61652	0.01162	0.0826
V108	0.04705	0.16361	0.7178	0	0.07154
V109	0.09262	0.23296	0.03937	0.32534	0.30971
V110	0.2411	0.44989	0.16375	0.05593	0.08933
V111	0.33817	0.19214	0.42246	0	0.04723
V112	0.21414	0	0.08162	0.48952	0.21471
V113	0.29091	0.02603	0.08979	0.23977	0.35349
V114	0.62864	0.06	0.0269	0.15929	0.12516
V115	0.88852	0	0	0.00895	0.10254
V116	0.01057	0.07167	0	0.25829	0.65948
V117	0.07717	0.02775	0.74242	0.06106	0.09161
V118	0.04145	0	0	0.79931	0.15924
V119	0.38084	0.00593	0.34789	0.19561	0.06973
V120	0.02955	0.021	0.75244	0.09378	0.10324
V121	0.25981	0.63579	0	0	0.1044
V122	0.07597	0.3833	0.07166	0.2388	0.23026
V123	0.55351	0.03247	0.05258	0.19631	0.16514
V124	0.2635	0.12518	0.04196	0.27616	0.2932
V125	0.08836	0.39308	0.44802	0	0.07054
V126	0.20586	0.19684	0.20176	0.14646	0.24908
V127	0.32662	0.00365	0.58381	0.02116	0.06477
V128	0.26669	0.65519	0.00473	0	0.07339
V129	0.32045	0.04223	0.24433	0.19374	0.19925
V130	0.07946	0.4836	0.02889	0.20982	0.19823
V131	0.02747	0	0.201	0.64437	0.12716
V132	0.40233	0	0	0.36746	0.2302
V133	0.02165	0.0786	0.53462	0.12597	0.23915
V134	0.10191	0.04099	0.72149	0.01764	0.11797
V135	0.05145	0.11075	0.67716	0.02271	0.13794
V136	0.9466	0	0	0	0.0534
V137	0.91548	0.0042	0	0.01374	0.06658
V138	0.30649	0.15855	0.06131	0.18643	0.28722
V139	0.14169	0	0.12193	0.61653	0.11985
V140	0.03535	0.05659	0.15884	0.19993	0.54929
V141	0.0536	0.20181	0.59446	0.0621	0.08804
V142	0.26256	0.01187	0.31221	0.17353	0.23983
V143	0.05158	0.19408	0.45201	0.13835	0.16398
V144	0.56424	0.19012	0.04765	0.0911	0.10689
V145	0.01857	0.04227	0.83975	0.00425	0.09515
V146	0.0718	0.33894	0	0.32861	0.26064
V147	0.13278	0.06771	0.62623	0.08097	0.09231
V148	0.22229	0.68386	0.00521	0	0.08863
V149	0.01057	0	0	0.80873	0.1807
V150	0.19164	0.17963	0.53181	0	0.09692
V151	0.47419	0	0	0.38104	0.14477
V152	0.0225	0	0.08465	0.71718	0.17567
V153	0.2244	0.1772	0.42164	0.03848	0.13829
V154	0.18425	0.56974	0.01403	0.0245	0.20748
V155	0.04903	0	0.10186	0.71163	0.13748
V156	0.13337	0.04855	0.38076	0.19287	0.24446
V157	0.12226	0.06413	0.15411	0.34488	0.31462
V158	0.2467	0.0181	0.42587	0.08469	0.22464
V159	0.15475	0.18609	0	0.52488	0.13429
V160	0.52549	0.15661	0.07486	0.05669	0.18635
V161	0.26614	0.06562	0.04656	0.15682	0.46486
V162	0.01881	0.04332	0.85368	0	0.08419
V163	0.06252	0.06632	0	0.25894	0.61221
V164	0.92409	0.02551	0.00113	0	0.04927
V165	0.65918	0.17962	0.06327	0.01765	0.08028
V166	0.07233	0	0.21072	0.55923	0.15772
V167	0.09686	0.60712	0.00833	0.10529	0.18241
V168	0.01881	0.04332	0.85368	0	0.08419
V169	0.12074	0.61562	0.14333	0.02011	0.1002
V170	0.30818	0.35257	0.03695	0.15985	0.14245
V171	0.36666	0.06933	0.32301	0.14681	0.0942
V172	0.23681	0.25493	0.05748	0.10339	0.34738
V173	0.26032	0.09354	0.06723	0.39495	0.18397
V174	0.26156	0.003	0.32921	0.219	0.18723
V175	0.10883	0.1751	0.10698	0.25833	0.35076
V176	0.3946	0	0	0.50697	0.09843
V177	0.24174	0.02655	0.51556	0.1401	0.07606
V178	0.33679	0.03809	0.41693	0.09888	0.1093
V179	0.11648	0.06759	0	0.22152	0.59441
V180	0.03897	0.0663	0.35242	0.13123	0.41108
V181	0.10013	0.31183	0	0.16623	0.4218
V182	0.61157	0.18255	0	0.11824	0.08763
