CD19B	CD56NK	CD4MemoryT	CD14
V139	0.27796	0.23819	0.22641	0.25744
V140	0.09359	0.15145	0.132	0.62296
V141	0.1013	0.20589	0.44278	0.25004
V142	0.60388	0.05446	0.24666	0.095
V143	0.32393	0.27724	0.14259	0.25624
V144	0.17153	0.20146	0.20817	0.41884
V145	0.03701	0.63777	0.23676	0.08846
V146	0.11263	0.09431	0.11875	0.67431
V147	0.68703	0.07046	0.11218	0.13033
V148	0.1486	0.14102	0.47283	0.23755
V149	0.2158	0.45853	0.23605	0.08963
V150	0.11283	0.26707	0.47429	0.14581
V151	0.17631	0.54067	0.10885	0.17417
V152	0.19611	0.41026	0.23537	0.15826
V153	0.10917	0.62647	0.09768	0.16667
V154	0.20418	0.4163	0.26927	0.11025
V155	0.35972	0.18748	0.28903	0.16377
V156	0.08085	0.19363	0.54496	0.18056
V157	0.25246	0.20324	0.30097	0.24333
V158	0.09102	0.08993	0.11188	0.70717
V159	0.66458	0.10899	0.09154	0.13489
V160	0.51924	0.065	0.14735	0.26841
V161	0.21015	0.0844	0.12033	0.58511
V162	0.10229	0.30856	0.14882	0.44033
V163	0.11321	0.44237	0.20222	0.2422
V164	0.26694	0.31263	0.16583	0.25459
V165	0.07158	0.28141	0.09036	0.55665
V166	0.08003	0.15945	0.14344	0.61707
V167	0.29582	0.07037	0.10159	0.53222
V168	0.22747	0.50139	0.14406	0.12709
V169	0.19132	0.12172	0.12599	0.56096
V170	0.13656	0.09993	0.4415	0.32201
V171	0.14028	0.26499	0.47517	0.11956
V172	0.54687	0.05828	0.29305	0.1018
V173	0.08917	0.19407	0.12517	0.5916
V174	0.07963	0.2116	0.14657	0.56221
V175	0.10682	0.08837	0.62047	0.18434
V176	0.04132	0.67137	0.1989	0.08841
V177	0.03828	0.78441	0.08316	0.09415
V178	0.04354	0.63953	0.08646	0.23047
V179	0.17657	0.0891	0.35076	0.38357
V180	0.05302	0.7281	0.13782	0.08107
V181	0.16751	0.18542	0.44509	0.20199
V182	0.24965	0.2198	0.39705	0.1335
