Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.00883	0	0.11	0	0.39462	0	0	0	0	0.48655
V2	0.66387	0	0	0	0.01209	0.28772	0.03451	0.0018	0	0
V3	0.10213	0	0.11092	0	0.50745	0.01486	0.04647	0.2117	0	0.00646
V4	0.03834	0.05094	0.03211	0.00831	0.09379	0.06358	0.00731	0.01915	0.58184	0.10465
V5	0	0.10755	0.09488	0.08221	0.19472	0.06799	0.00251	0	0	0.45014
V6	0.00779	0	0.21206	0	0.6732	0.01621	0	0.09073	0	0
V7	0.00885	0.36791	0.03197	0	0.4606	0.004	0.02438	0.10229	0	0
V8	0.01229	0.39381	0.06574	0	0.15532	0.00136	0	0.36789	0	0.00358
V9	0.00397	0.005	0.06287	0.12684	0.01173	0.03209	0.10798	0.63247	0.01179	0.00526
V10	0.00147	0	0.01725	0	0.74268	0.04863	0	0.18997	0	0
V11	0.02339	0.40048	0.0287	0.00017	0.16073	0.02689	0	0.34607	0	0.01357
V12	0	0.02695	0.16037	0.54339	0.06477	0.01358	0.07594	0.01025	0.00571	0.09905
V13	0.10418	0.03855	0.13184	0	0.02246	0.20903	0.30315	0.0166	0.16432	0.00987
V14	0.0795	0.37579	0.18453	0.02948	0.16691	0.0628	0.0805	0.02051	0	0
V15	0.21764	0.00762	0.07147	0.61522	0.00611	0.02134	0.03679	0.01029	0.01353	0
V16	0.00092	0.03876	0.16964	0.57044	0.03834	0.04099	0.02168	0	0.11467	0.00454
V17	0.02084	0.12084	0.06741	9e-04	0.22059	0.08403	0.01867	0.00953	0	0.45719
V18	0.05527	0.07256	0.08619	0.34727	0.10915	0.003	0.00427	0	0	0.32229
V19	0	0	0.08328	0.08072	0.14651	0.08803	0	0.01028	0	0.59119
V20	0.00604	0.25606	0.04031	0	0.07286	0.09841	0.37598	0.07595	0.00218	0.07219
V21	0.10302	0.33839	0.02426	0	0.12937	0.33148	0.0234	0.04331	0	0.00677
V22	0.00227	0	0.04906	0.00782	0.10559	0.00043	0	0.39743	0.02595	0.41145
V23	0.27142	0.01054	0.60901	0	0.02574	0.00306	0	0.00754	0	0.07269
