CD56NK	CD4MemoryT	CD19B	CD14
V141	0.09047	0.09504	0.3786	0.4359
V142	0.87703	0	0.12297	0
V143	0.45701	0.14867	0.0403	0.35402
V144	0.16184	0.07213	0.08534	0.68069
V145	0.00264	0.77598	0.20361	0.01777
V146	0.04187	0.00098	0.00889	0.94826
V147	0.91888	0.00882	0.01226	0.06005
V148	0.17575	0.03364	0.40088	0.38973
V149	0.38501	0.43278	0.16747	0.01475
V150	0.14169	0.19527	0.48108	0.18196
V151	0.27415	0.4699	0.02453	0.23142
V152	0.32135	0.33203	0.15662	0.19
V153	0.15524	0.60664	0.01452	0.2236
V154	0.35694	0.36743	0.20562	0.07002
V155	0.5682	0.08291	0.18123	0.16767
V156	0.05683	0.09607	0.56369	0.28342
V157	0.35917	0.08619	0.19224	0.3624
V158	0.0097	0	0.00569	0.98461
V159	0.89232	0.03407	0.00034	0.07327
V160	0.64806	0	0.03589	0.31604
V161	0.17136	0.00011	0.01204	0.81649
V162	0.06581	0.15529	0.04104	0.73786
V163	0.12924	0.34213	0.11353	0.4151
V164	0.38092	0.1826	0.06427	0.3722
V165	0.00903	0.13183	0	0.85914
V166	0.00846	0.04026	0.02925	0.92202
V167	0.28286	0	0.00159	0.71555
V168	0.38396	0.4416	0.05838	0.11606
V169	0.15654	0.01851	0.01541	0.80954
V170	0.12878	0.00405	0.32271	0.54446
V171	0.21461	0.20057	0.48637	0.09845
V172	0.82194	0	0.16649	0.01157
V173	0.02516	0.06525	0.01639	0.8932
V174	0.01617	0.07593	0.03387	0.87403
V175	0.10302	0	0.62654	0.27044
V176	0.01693	0.81484	0.15072	0.0175
V177	0.01994	0.94294	9e-05	0.03703
V178	0.01264	0.59549	0.00297	0.3889
V179	0.17015	0.00033	0.2069	0.62262
V180	0.05167	0.8813	0.06703	0
V181	0.23002	0.07914	0.38578	0.30507
V182	0.41717	0.12665	0.33344	0.12274
V183	0.2698	0.70952	0.00505	0.01563
V184	0.99451	0	0.00543	6e-05
V185	0.67839	0.29963	0.00936	0.01262
V186	0.17351	0.37337	0.19459	0.25853
V187	0.96802	0.00256	0.01824	0.01117
V188	0.05174	0.11346	0	0.8348
V189	0.77733	0.00729	0.01047	0.20492
V190	0.78339	0.00176	0.20304	0.01181
V191	0.29232	0.16375	0.44994	0.09399
V192	0.3604	0.30895	0.03371	0.29693
V193	0.65442	0.0117	0.14071	0.19317
V194	0.06572	0.87463	0.00512	0.05453
V195	0.01654	0.00792	0.95378	0.02176
V196	0.00881	0.0272	0.00182	0.96217
V197	0.35188	0.01734	0.01139	0.61938
V198	0.10879	0.44593	0.30533	0.13995
V199	0.14732	0.00607	0.08231	0.76429
V200	0.1558	0.37867	0.01144	0.45409
V201	0.1408	0.43093	0.1384	0.28987
V202	0.02372	0.00288	0.60811	0.36529
V203	0.26103	0.36953	0.31528	0.05416
V204	0.00986	0.32752	0.00169	0.66093
V205	0.0341	0.03347	0.88838	0.04405
V206	0.09016	0.07374	0.81711	0.01899
V207	0.11971	0.0918	0.02521	0.76327
V208	0.3908	0.03787	0.53689	0.03444
V209	0.36979	0.31662	0.04736	0.26622
V210	0.13855	0.67623	0.07442	0.1108
V211	0.35397	0.00262	0.01533	0.62807
V212	0.64956	0.01569	0.29063	0.04411
V213	0.61985	0.01022	0.06133	0.30861
V214	0.34051	0.08129	0.09158	0.48662
V215	0.24823	0.03959	0.00795	0.70424
V216	0.02556	0	0.00526	0.96918
V217	0.063	0.35943	0.16137	0.4162
V218	0.12394	0.30052	0.10896	0.46658
V219	0.13753	0.45239	0.00728	0.4028
V220	0.014	0.68546	0.00345	0.2971
V221	0.75162	0.00031	0.00277	0.2453
V222	0.38499	0.07619	0.2332	0.30562
V223	0.01225	0.1115	0.6823	0.19395
V224	0.98564	0	0.01432	4e-05
V225	0.09798	0.83579	0.04958	0.01664
V226	0.45603	0.05213	0.45912	0.03272
V227	0.85958	0	0.11671	0.02371
V228	0.78958	0.03151	0.04017	0.13874
V229	0.03365	0.00523	0.89312	0.068
V230	0.00907	0.00611	0.0053	0.97952
V231	0.01714	0.14259	0.05514	0.78513
V232	0.05903	0.45701	0	0.48397
V233	0.61686	0.04208	0.11845	0.22262
V234	0.06665	0.87154	0.02601	0.0358
V235	0.51928	0.0314	0.38311	0.06621
