Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01105	0.00195	0.05122	0.00587	0.14248	0.00328	0.03004	0.00024	0.01818	0.73568
V2	0.60098	0.01106	0.05699	0.00563	0.05437	0.21584	0.04673	0	0.0084	0
V3	0.10948	0.06542	0.12343	0.02359	0.3707	0.01454	0.11705	0.1148	0.04192	0.01908
V4	0.00197	0.07123	0.06956	0.00544	0.10268	0.06669	0.02361	0.01355	0.43279	0.21248
V5	0	0.08599	0.04725	0.05753	0.03968	0.05311	0.02485	7e-04	0.01375	0.67712
V6	0.00908	0.08768	0.21696	0.03313	0.5065	0.02835	0.03275	0.05365	0.03189	0
V7	0	0.50429	0.03776	0.0128	0.25921	0.01519	0.07906	0.05973	0.03129	0.00066
V8	0	0.53485	0.07226	0.00828	0.06292	0.02829	0.02316	0.21322	0.04457	0.01244
V9	0.00609	0.01501	0.11161	0.1219	0.09716	0.02685	0.21474	0.35171	0.05124	0.0037
V10	0.00078	0.08982	0.04483	0.01315	0.58344	0.06706	0.04557	0.11846	0.03691	0
V11	0.00774	0.52322	0.03604	0.00437	0.06462	0.04955	0.02283	0.19525	0.07195	0.02442
V12	0.0062	0.0352	0.19084	0.39219	0.07731	0.00377	0.10266	0.00741	0.01524	0.16918
V13	0.08376	0.02402	0.13565	0.02288	0.11546	0.1028	0.39038	0.00821	0.1059	0.01094
V14	0.06693	0.42165	0.15155	0.05913	0.08381	0.04625	0.13085	0.01131	0.0265	0.00203
V15	0.21923	0.02251	0.16687	0.44607	0.06001	0.01607	0.04526	0.00678	0.01721	0
V16	0.00865	0.06871	0.23338	0.45012	0.07967	0.03995	0.02144	0.0022	0.08983	0.00604
V17	0.01406	0.09332	0.02243	0.00655	0.0495	0.05971	0.04533	0.00505	0.02235	0.68169
V18	0.05329	0.06286	0.08358	0.22123	0.02971	0.00871	0.01992	0.00092	0.01389	0.50588
V19	0	0	0.03527	0.04772	0.01443	0.06082	0.02178	0.00531	0.01198	0.80269
V20	0.00107	0.20263	0.04138	0.0214	0.09063	0.01288	0.47219	0.0327	0.01974	0.10537
V21	0.0925	0.41153	0.04351	0.00633	0.0625	0.28841	0.02974	0.02526	0.03021	0.01002
V22	0.00037	0	0.02534	0.0037	0.029	0.01574	0.02651	0.17522	0.05228	0.67182
V23	0.24288	0.04271	0.46046	0.04021	0.04103	0.00465	0.01712	0.00149	0.01395	0.13549
V24	0.02005	0.57327	0.07107	0.00644	0.07697	0.00778	0.08535	0.05813	0.09762	0.00331
