CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V109	0.28665	0.01361	0.04823	0	0.20425	0.44726
V110	0.17959	0.0963	0.66155	0	0.06256	0
V111	0.09642	0	0.8219	0	0.08168	0
V112	0.1381	0.26571	0	0.52684	0.06935	0
V113	0.14692	0.02675	0.59688	0	0.22945	0
V114	0.20971	0	0.61344	0.02741	0.14944	0
V115	0.43135	0.0677	0.0446	0.01469	0.20354	0.23812
V116	0.65453	0.02413	0.06443	0.06756	0.06677	0.12258
V117	0.46346	0.00396	0.01091	0.05802	0.39727	0.06637
V118	0.17215	0.58943	0.04498	0.07236	0.1149	0.00618
V119	0.16681	0.72972	0	0.09967	0	0.00381
V120	0.21248	0.14997	0.02532	0.36091	0.25131	0
V121	0.39871	0.00162	0.00435	0.24304	0.08951	0.26277
V122	0.31749	0	0	0.50882	0.17369	0
V123	0.40437	0.01757	0.03204	0.01895	0.21387	0.3132
V124	0.07698	0	0.25272	0	0.6703	0
V125	0.17354	0.09233	0.60908	0	0.10577	0.01928
V126	0.29045	0.25116	0.07329	0.00451	0.01701	0.36358
V127	0.12766	0	0.73573	0	0.13661	0
V128	0.34451	0.21744	0.07748	0.14247	0.17688	0.04121
V129	0.10909	0	0.77112	0	0.11979	0
V130	0.4562	0.10761	0	0.23326	0.13801	0.06492
V131	0.12673	0	0	0	0.804	0.06927
V132	0.15747	0.38555	0.33774	0	0.11924	0
V133	0.17523	0.13494	0.50284	0.0053	0.18169	0
V134	0.24367	0.56635	0	0.06312	0.0945	0.03237
V135	0.16982	0	0.68839	0	0.09515	0.04664
V136	0.21475	0.61908	0.02142	0.06742	0.06808	0.00924
V137	0.15205	0.09815	0.49468	0	0.25512	0
V138	0.24752	0	0	0.33098	0.21164	0.20986
V139	0.18817	0.0236	0.14659	0	0.47053	0.17111
V140	0.48625	0.20616	0.05448	0.0879	0.07652	0.08869
V141	0.29983	0.21699	0.08087	0.22746	0.15253	0.02231
V142	0.22781	0.62242	0	0.11264	0	0.03713
V143	0.18945	0.00557	0.58491	0	0.22007	0
V144	0.30486	0.1636	0.0275	0.10768	0.03945	0.3569
V145	0.07552	0	0	0.81041	0.11406	0
V146	0.17934	0	0.05029	0	0.72871	0.04166
V147	0.45503	0.07276	0.14455	0.03378	0.06307	0.23081
V148	0.15095	0.1063	0.69371	0	0.04904	0
V149	0.2448	0.45473	0	0.04876	0	0.25171
V150	0.06375	0	0	0.80396	0.13229	0
V151	0.27161	0.37817	0	0.03036	0.02623	0.29363
V152	0.18916	0.17886	0.38163	0	0.22615	0.0242
V153	0.12114	0	0.56423	0.12813	0.18651	0
V154	0.4281	0.21279	0.03827	0.01296	0.029	0.27888
V155	0.16278	0.30818	0.04469	0	0.45936	0.02499
V156	0.11334	0.42773	0	0.00165	0.45728	0
V157	0.26241	0.09263	0.02674	0.22943	0.09978	0.28901
