CD56NK	CD4MemoryT	CD19B	CD14
V1	0.53042	0.00564	0.12735	0.33659
V2	0.11241	0.04588	0.0296	0.81211
V3	0.04267	0.56857	0.00378	0.38498
V4	0.87389	0.10305	0	0.02306
V5	0.10009	0.46536	0.2174	0.21715
V6	0.06777	0.89674	0.01147	0.02402
V7	0.12116	0.30288	0.05363	0.52233
V8	0.13771	0.01238	0.80661	0.0433
V9	0.20133	0.17943	0.02032	0.59892
V10	0.01258	0.01427	0.9006	0.07254
V11	0.22483	0.36624	0.40495	0.00398
V12	0.01891	0.62786	0.3392	0.01404
V13	0.26495	0.71118	0.00074	0.02313
V14	0.05944	0.93345	0.00198	0.00513
V15	0.10828	0.59322	0.09004	0.20845
V16	0.91775	0.038	0.01096	0.03329
V17	0.07749	0.89281	0.0057	0.024
V18	0.5943	0.33374	0.02708	0.04487
V19	0.15418	0.83119	0.00101	0.01362
V20	0.14268	0.40759	0.00835	0.44139
V21	0.13781	0.03638	0.78338	0.04244
V22	0.0091	0.0485	0.14568	0.79672
V23	0.42729	0.02935	0.53826	0.0051
V24	0.94464	0.03594	0.01943	0
V25	0.33124	0.19273	0.09393	0.3821
V26	0.38027	0.35133	0.00856	0.25984
V27	0.06878	0.0235	0.01238	0.89534
V28	0.0017	0.04239	0.95533	0.00058
V29	0.48523	0.01802	0.45935	0.03741
V30	0.08331	0.16262	0.22064	0.53343
V31	0.19053	0.14952	0.24538	0.41457
V32	0.05317	0.0066	0.01947	0.92076
V33	0.03652	0.50795	0.32229	0.13324
V34	0.13732	0.02204	0.79819	0.04246
V35	0.15715	0.74994	0.05768	0.03523
V36	0.00218	0.01451	0.38764	0.59566
V37	0.52288	0.04477	0.06491	0.36744
V38	0.38915	0.00127	0.12599	0.48359
V39	0.15808	0.56186	0.0985	0.18156
V40	0.09325	0.8506	0.05615	0
V41	0.00218	0.63474	0.02637	0.3367
V42	0.18825	0.0107	0.15343	0.64762
V43	0.13547	0.34411	0.4813	0.03913
V44	0.00952	0.04719	0.70494	0.23835
V45	0.0894	0.60779	0.18752	0.11529
V46	0.83837	0.06361	0.09383	0.00419
V47	0.49229	0.16493	0.28167	0.0611
V48	0.8199	0.15698	8e-04	0.02232
V49	0.73613	0.16568	0	0.09819
V50	0.05864	0.87581	0.06131	0.00425
V51	0.33182	0.40658	0.22557	0.03603
