cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V138	0.34522	0.36179	0.21266	0.08033
V139	0.48472	0.18848	0.23261	0.0942
V140	0.11059	0.15659	0.12782	0.605
V141	0.13378	0.13855	0.63034	0.09733
V142	0.85516	0.00235	0.14249	0
V143	0.56551	0.24899	0.09154	0.09396
V144	0.35094	0.1703	0.24843	0.23033
V145	0.00205	0.71942	0.27446	0.00407
V146	0.18625	0.02681	0.07359	0.71336
V147	0.95258	0.0187	0.01709	0.01162
V148	0.2208	0.05704	0.63856	0.0836
V149	0.36689	0.40698	0.22282	0.00331
V150	0.1496	0.19792	0.61825	0.03423
V151	0.33962	0.55795	0.04868	0.05375
V152	0.34208	0.37676	0.24061	0.04055
V153	0.20763	0.70994	0.03094	0.05149
V154	0.33323	0.3696	0.28312	0.01405
V155	0.53413	0.12277	0.3025	0.0406
V156	0.07565	0.11426	0.75522	0.05487
V157	0.42379	0.13819	0.35236	0.08567
V158	0.05003	0.01244	0.06592	0.87161
V159	0.91871	0.06328	0	0.018
V160	0.82857	0.01083	0.07769	0.08291
V161	0.49189	0.01761	0.06563	0.42488
V162	0.18121	0.38867	0.1489	0.28123
V163	0.19508	0.48197	0.22212	0.10082
V164	0.48667	0.28442	0.13471	0.0942
V165	0.03754	0.45027	0.00835	0.50385
V166	0.0412	0.17815	0.17354	0.60711
V167	0.67245	0.00553	0.01405	0.30796
V168	0.3926	0.4864	0.09526	0.02574
V169	0.44074	0.07706	0.07781	0.4044
V170	0.20213	0.01598	0.63951	0.14238
V171	0.19627	0.19083	0.59481	0.01808
V172	0.76097	0.00516	0.23128	0.00258
V173	0.10428	0.24715	0.10012	0.54845
V174	0.06778	0.26742	0.17025	0.49454
V175	0.12072	0.00158	0.82495	0.05275
V176	0.02111	0.76632	0.20849	0.00408
V177	0.02253	0.96621	0.00288	0.00837
V178	0.02471	0.85249	0.01302	0.10979
V179	0.30737	0.00866	0.49867	0.1853
V180	0.05747	0.84433	0.09797	0.00024
V181	0.25941	0.10809	0.5689	0.0636
V182	0.38101	0.14246	0.45185	0.02468
V183	0.28343	0.70262	0.01029	0.00366
V184	0.98869	0.00617	0.00514	0
V185	0.67665	0.30585	0.01463	0.00287
V186	0.2205	0.42476	0.29992	0.05482
V187	0.96541	0.00965	0.02281	0.00213
V188	0.18138	0.36198	0.00689	0.44974
V189	0.89727	0.02569	0.02282	0.05423
V190	0.71595	0.0101	0.27133	0.00262
V191	0.25823	0.1619	0.5622	0.01767
V192	0.43384	0.42434	0.06971	0.07211
V193	0.68562	0.0301	0.23682	0.04746
V194	0.07873	0.89696	0.01213	0.01218
V195	0.01741	0.01179	0.96717	0.00363
V196	0.04649	0.14689	0.036	0.77062
V197	0.66575	0.05725	0.04368	0.23333
V198	0.1262	0.44095	0.40495	0.0279
V199	0.37378	0.03219	0.28686	0.30718
V200	0.26494	0.5774	0.03245	0.12522
V201	0.19174	0.51168	0.23219	0.0644
V202	0.03817	0.00843	0.87651	0.0769
V203	0.25055	0.34768	0.39124	0.01053
V204	0.02871	0.70105	0.0159	0.25434
V205	0.03471	0.0352	0.92287	0.00722
V206	0.08394	0.06699	0.84559	0.00348
V207	0.32286	0.25276	0.10257	0.32181
V208	0.33678	0.04467	0.61224	0.0063
V209	0.42822	0.41831	0.08935	0.06411
V210	0.16532	0.69554	0.11564	0.0235
V211	0.68378	0.02084	0.05656	0.23881
V212	0.58615	0.02808	0.37715	0.00862
V213	0.76422	0.03204	0.12556	0.07818
V214	0.49679	0.15739	0.20915	0.13667
V215	0.5508	0.1235	0.03845	0.28725
V216	0.12896	0.01179	0.06146	0.79779
V217	0.10593	0.49082	0.30257	0.10067
V218	0.19524	0.45311	0.22871	0.12294
V219	0.21717	0.65443	0.02192	0.10648
V220	0.02386	0.88513	0.01265	0.07837
V221	0.91424	0.0124	0.00689	0.06647
V222	0.42177	0.11725	0.39279	0.0682
V223	0.01841	0.11414	0.83211	0.03534
V224	0.97702	0.00558	0.0174	0
V225	0.11146	0.81033	0.07423	0.00397
V226	0.39892	0.05757	0.53738	0.00613
V227	0.85082	0.00138	0.14336	0.00444
V228	0.82823	0.0619	0.07428	0.0356
V229	0.03451	0.01035	0.94431	0.01083
V230	0.04827	0.05343	0.06265	0.83565
V231	0.05862	0.39305	0.2124	0.33592
V232	0.11509	0.73644	0.00289	0.14558
V233	0.67267	0.07345	0.2015	0.05238
V234	0.07776	0.87033	0.04392	0.00799
V235	0.44361	0.04461	0.49904	0.01273
V236	0.0881	0.04895	0.82935	0.0336
V237	0.42502	0.01873	0.07153	0.48472
V238	0.21914	0.47228	0.28573	0.02285
V239	0.18034	0.51284	0.04178	0.26504
V240	0.55942	0.02932	0.39204	0.01922
V241	0.03563	0.00226	0.932	0.03011
V242	0.21985	0.66254	0.11026	0.00735
V243	0.32241	0.02989	0.61625	0.03145
V244	0.28704	0.00215	0.67596	0.03485
V245	0.67999	0.23947	0.05796	0.02258
V246	0.10027	0.11688	0.77204	0.01081
V247	0.23248	0.01042	0.75706	4e-05
V248	0.08582	0.06452	0.1249	0.72476
V249	0.00042	0.02638	0.94241	0.03079
V250	0.83938	0.00152	0.15701	0.00208
V251	0.96225	0.03068	0.00493	0.00214
V252	0.02118	0.79282	0.18578	0.00022
V253	0.54379	0.07335	0.21711	0.16574
V254	0.02193	0.90625	0.06763	0.0042
V255	0.09706	0.88048	0.00226	0.0202
V256	0.25664	0.17591	0.53021	0.03723
V257	0.52957	0.09562	0.27991	0.0949
V258	0.27043	0.22571	0.45073	0.05313
V259	0.07105	0.24461	0.66563	0.01871
V260	0.00078	0.24085	0.75467	0.00371
V261	0.70891	0.03072	0.20504	0.05533
V262	0.30083	0.09695	0.04296	0.55925
V263	0.04182	0.94311	0.00268	0.01239
V264	0.29492	0.03294	0.5229	0.14924
V265	0.10914	0.00702	0.31229	0.57155
V266	0.72173	0.27069	0.00752	6e-05
V267	0.00246	0.23166	0.47676	0.28912
V268	0.59038	0.02767	0.19658	0.18537
V269	0.02016	0.51018	0.44555	0.02411
V270	0.71318	0.02225	0.23374	0.03084
V271	0.85497	0.06391	0.04085	0.04027
V272	0.12052	0.80675	0.02186	0.05087
V273	0.1866	0.043	0.0945	0.67589
V274	0.78075	0.0038	0.17578	0.03967
V275	0.00042	0.01248	0.98341	0.00369
V276	0.62102	0.30199	0.01663	0.06036
V277	0.11279	0.27982	0.28636	0.32102
V278	0.1092	0.07006	0.48976	0.33097
V279	0.77964	0.05184	0.11726	0.05126
V280	0.05003	0.01244	0.06592	0.87161
V281	0.69421	0.03218	0.16572	0.1079
V282	0.10074	0.04863	0.82491	0.02571
V283	0.33993	0.51839	0.07988	0.0618
V284	0.05778	0.86121	0.07689	0.00411
V285	0.11299	0.00385	0.8831	6e-05
V286	0.35864	0.47076	0.12906	0.04155
V287	0.17842	0.78912	0.0209	0.01156
V288	0.04337	0.28127	0.54669	0.12866
V289	0.36914	0.17834	0.41993	0.03259
V290	0.85312	0.13202	0.01483	2e-05
V291	0.56808	0.04805	0.37814	0.00572
V292	0.97483	0.00867	0	0.0165
V293	0.36289	0.00904	0.61132	0.01674
V294	0.23111	0.47838	0.0043	0.28621
V295	0.05841	0.24521	0.34792	0.34846
V296	0.25183	0.09608	0.61583	0.03626
V297	0.23557	0.00726	0.15954	0.59763
V298	0.386	0.07252	0.5353	0.00618
V299	0.1991	0.3936	0.03287	0.37443
V300	0.00379	0.04485	0.47391	0.47745
V301	0.19479	0.09009	0.66603	0.04909
V302	0.72439	0.26953	7e-05	0.006
V303	0.00152	0.54875	0.43375	0.01598
V304	0.10668	0.0155	0.80789	0.06993
V305	0.22752	0.14348	0.52388	0.10513
V306	0.84575	0.08163	0.05469	0.01794
V307	0.04155	0.92661	0.02359	0.00825
V308	0.3605	0.20653	0.33758	0.09539
V309	0.50693	0.31318	0.04105	0.13883
V310	0.18753	0.36245	0.2309	0.21913
V311	0.62254	0.3668	0.00763	0.00303
V312	0.1739	0.65053	0.16421	0.01136
V313	0.00637	0.21544	0.05426	0.72393
V314	0.05041	0.56477	0.18155	0.20327
V315	0.23908	0.6118	0.05417	0.09495
V316	0.40794	0.11612	0.41002	0.06591
V317	0.17583	0.68287	0.0659	0.0754
V318	0.0978	0.66782	0.02667	0.20771
V319	0.09863	0.04094	0.84631	0.01412
V320	0.14288	0.1195	0.68453	0.0531
V321	0.71462	0.27781	0.0075	6e-05
V322	0.37068	0.34027	0.10797	0.18108
V323	0.1753	0.03641	0.20627	0.58202
V324	0.72038	0.19877	0.07193	0.00892
V325	0.42519	0.50929	0.06222	0.0033
V326	0.00275	0.66452	0.1522	0.18052
V327	0.06687	0.23148	0.22351	0.47813
V328	0.09333	0.0156	0.81694	0.07413
V329	0.35316	0.13178	0.26057	0.25449
V330	0.513	0.00889	0.37549	0.10261
V331	0.59187	0.0998	0.06929	0.23904
V332	0.03697	0.07685	0.391	0.49518
V333	0.48578	0.06401	0.40237	0.04784
V334	0.49	0.0085	0.39536	0.10614
V335	0.05857	0.30688	0.5777	0.05685
V336	0.28283	0.64042	0.02941	0.04734
V337	0.36411	0.32449	0.29747	0.01393
V338	0.00318	0.97866	0.01382	0.00434
V339	0.17606	0.00317	0.81744	0.00333
V340	0.11584	0.20761	0.59668	0.07988
V341	0.08222	0.06039	0.16298	0.6944
V342	0.3325	0.00202	0.61194	0.05354
V343	0.97725	0.0155	0.00509	0.00216
V344	0.73168	0.10883	0.15948	1e-05
V345	0.01752	0.01313	0.96928	8e-05
V346	0.38507	0.10996	0.35163	0.15334
V347	0.13981	0.02029	0.28361	0.55629
V348	0.11856	0.63222	0.18264	0.06657
V349	0.42809	0.13776	0.39011	0.04404
V350	0.0572	0.73945	0.20314	2e-04
V351	0.05247	0.03264	0.62711	0.28778
V352	0.08722	0.00849	0.87099	0.0333
V353	0.90808	0.02702	0.03984	0.02506
V354	0.09339	0.62794	0.25878	0.01989
V355	0.3773	0.06321	0.48834	0.07115
V356	0.11323	0.03864	0.23747	0.61066
V357	0.21102	0.32251	0.34572	0.12075
V358	0.70035	0.10719	0.06949	0.12297
V359	0.7438	0.06246	0.04918	0.14456
V360	0.63943	0.33092	0.02353	0.00612
V361	0.0011	0.39336	0.60177	0.00377
V362	0.0031	0.96796	0.02463	0.00431
V363	0.27952	0.10285	0.52226	0.09537
V364	0.23728	0.04621	0.67704	0.03948
V365	0.53955	0.03904	0.03089	0.39052
V366	0.15473	0.66169	0.11134	0.07223
V367	0.72869	0.14389	0.00855	0.11887
V368	0.1719	0.67705	0.10667	0.04437
V369	0.03626	0.34241	0.61767	0.00366
V370	0.36771	0.21845	0.40012	0.01372
V371	0.29491	0.63585	0.03881	0.03043
V372	0.36951	0.07089	0.21163	0.34798
V373	0.15788	0.13251	0.57671	0.13289
V374	0.84246	0.00665	0.15089	0
V375	0.13199	0.06027	0.30319	0.50456
V376	0.11203	0.05383	0.23371	0.60042
V377	0.89813	0.00673	0.01583	0.07931
V378	0.02777	0.03311	0.6502	0.28892
V379	0.56411	0.21093	0.02108	0.20388
V380	0.32557	0.08597	0.31049	0.27797
V381	0.81929	0.01766	0.1027	0.06035
V382	0.13037	0.0179	0.84833	0.00341
V383	0.88684	0.01186	0.05638	0.04492
V384	0.6905	0.07101	0.15038	0.08812
V385	0.90895	0.01154	0.06269	0.01682
V386	0.52979	0.0192	0.2083	0.24271
V387	0.66126	0.11837	0.18842	0.03195
V388	0.47658	0.29121	0.16977	0.06244
V389	0.51174	0.44258	0.0171	0.02857
V390	0.3872	0.18803	0.42171	0.00306
V391	0.63448	0.12156	0.03295	0.21101
V392	0.52021	0.20491	0.19563	0.07926
V393	0.37782	0.19464	0.36843	0.0591
V394	0.22786	0.29369	0.194	0.28445
V395	0.34217	0.35014	0.23258	0.07511
V396	0.0225	0.95212	0.01288	0.01249
V397	0.81128	0.0717	0.10214	0.01489
V398	0.59307	0.14001	0.1296	0.13732
V399	0.29502	0.48462	0.17388	0.04649
