CD56NK	CD4MemoryT	CD19B	CD14
V1	0.54168	0	0.09742	0.3609
V2	0.09312	0.00274	0.01082	0.89332
V3	0.03144	0.52343	0	0.44513
V4	0.9214	0.0486	0.00074	0.02926
V5	0.0768	0.43659	0.23299	0.25362
V6	0.05476	0.93752	0.00661	0.0011
V7	0.09294	0.23166	0.03043	0.64497
V8	0.12757	0	0.8298	0.04263
V9	0.20192	0.10156	0.00422	0.69229
V10	0.00935	0	0.92041	0.07024
V11	0.2559	0.30722	0.43688	0
V12	0.01324	0.62137	0.3654	0
V13	0.30016	0.69139	0.00183	0.00662
V14	0.04933	0.94687	0.0038	0
V15	0.08461	0.59824	0.07799	0.23917
V16	0.94324	0.00761	0.00726	0.04189
V17	0.06864	0.9232	0.00392	0.00424
V18	0.70878	0.25	0.01309	0.02813
V19	0.16766	0.8307	0.00164	0
V20	0.13153	0.34123	0	0.52723
V21	0.1249	0.00674	0.82673	0.04164
V22	0	0.0067	0.11795	0.87535
V23	0.46684	0.00568	0.52025	0.00723
V24	0.96252	0.01041	0.01379	0.01327
V25	0.36212	0.10457	0.07153	0.46178
V26	0.43784	0.26874	0.002	0.29141
V27	0.05282	0	0.00032	0.94686
V28	0.00624	0.01584	0.97792	0
V29	0.53017	0.00113	0.42655	0.04216
V30	0.05412	0.0788	0.2075	0.65958
V31	0.18579	0.06713	0.23313	0.51396
V32	0.03351	0	0.00589	0.9606
V33	0.02091	0.48403	0.36722	0.12784
V34	0.12144	0.00141	0.83528	0.04186
V35	0.16688	0.77219	0.04178	0.01915
V36	0	0	0.34991	0.65009
V37	0.54576	0.00531	0.03755	0.41138
V38	0.38977	0	0.09558	0.51465
V39	0.15686	0.5558	0.08649	0.20084
V40	0.09266	0.85607	0.05127	0
V41	0.00086	0.59708	0.0111	0.39096
V42	0.18139	0	0.12195	0.69666
V43	0.12738	0.29744	0.56981	0.00537
V44	0.00416	0.01482	0.71246	0.26856
V45	0.07016	0.6225	0.19606	0.11129
