Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V72	0.22402	0.00506	0.06254	0.28528	0.26221	0	0.00294	0.00505	0	0.15291
V73	0.02311	0.01119	0.04589	0	0.90507	0.01283	0.00165	0.00028	0	0
V74	0.00542	0.0028	0.09362	0.22138	0.11982	0.03504	0.00518	0.00155	0	0.51519
V75	0.02046	0.06147	0.18936	0.47608	0.03302	0.00779	0.01376	0.00518	0.1929	0
V76	0	0	0.01063	0.0038	0	0.87911	0.09091	0	0.01148	0.00407
V77	0	0.02102	0.03716	0.3227	0	0.34003	0.25876	0.01045	0.00706	0.00282
V78	0.00465	0.38016	0.06422	0	0.18909	0.0643	0.23916	0.01284	0	0.04557
V79	0.00888	0.018	0.05557	0.31494	0.00999	0.27253	0.0425	0	0.26612	0.01145
V80	0.44308	0.00106	0.02551	0	0.09127	0.00204	0.02629	0	0.0397	0.37106
V81	0	0.00041	0.03119	0.15846	0.17635	0.576	0.05759	0	0	0
V82	0.05539	0.37562	0.05647	0.25853	0.1598	0.00543	0.00114	0.08762	0	0
V83	0.03179	0.04169	0.06617	0.50057	0.01904	0	0	0.34073	0	0
V84	0.01428	0.00613	0.03836	0.01802	0.1141	0.59433	0.20763	0.00549	0	0.00165
V85	0.23808	0	0.5194	0	0.03566	0	0	0	0	0.20686
V86	0.29839	0	0.32356	0.36174	0	0.00776	0.00855	0	0	0
V87	0.03165	0.01541	0.02904	0.02216	0.06848	0	0.00585	0	0.82741	0
V88	0.00689	0.2609	0.07505	0.54551	0.09396	0	0.01747	0.00022	0	0
V89	0	0.05206	0.03025	0.01391	0	0.1488	0.57368	0.16089	0.01856	0.00185
V90	0.03308	0.04497	0.47957	0	0.10251	0.01139	0	0	0	0.32848
V91	0.09605	0	0.89372	0	0.00122	0	0	0.00105	0.00797	0
V92	0	0.06592	0.01324	0	0	0.17194	0.62809	0.02981	0.09063	0.00037
V93	0.0263	0.04638	0.09073	0	0.02525	0.04319	0.18405	0.02107	0.56303	0
V94	0.89655	0	0	0	0	0.03393	0.01269	0.05683	0	0
V95	0.00784	0.04324	0.01559	0	0	0.09741	0.38141	0.44807	0.00218	0.00427
V96	0.04013	0.09329	0.38173	0.39643	0.02515	0.01419	0.01162	0.01997	0.01749	0
V97	0	0.05971	0.01885	0	0	0.15835	0.61303	0.03048	0.03384	0.08573
V98	0.00943	0.19373	0.0557	0.04552	0.32276	0.01302	0.02532	0.12956	0.1331	0.07187
V99	0.60723	0.00138	0	0	0.00066	0.01433	0.06318	0.00903	0.30419	0
V100	0.18538	0.00747	0.04662	0.22556	0.02517	0.33205	0.04899	0	0.12317	0.00559
V101	0	0.01313	0.04931	0	0.11546	0.11854	0.13492	0.05573	0	0.51291
V102	0.03873	0.15096	0.01898	0	0.15849	0.33762	0.12411	0.16187	0	0.00923
V103	0.09518	0.00666	0.02803	0.0195	0.02685	0	0.00622	0	0.81756	0
V104	0.09443	0	0.87747	0	0	0	0	0	0.0281	0
V105	0.3159	0	0.0815	0	0	0.11674	0	0.48586	0	0
V106	0.03311	0.4978	0.23774	0	0.22164	0.00971	0	0	0	0
V107	0.25731	0.12951	0.02984	0	0.40532	0.00987	0.00378	0.05011	0.11425	0
V108	0	0	0.04841	0.16298	0.05541	0.42841	0.04266	0.02539	0	0.23673
V109	0	0.01159	0.01396	0.00952	0.01315	0.84121	0.09156	0	0.0152	0.00381
V110	0.00583	0.00818	0.03809	0	0.86186	0	0	0.08603	0	0
V111	0	0.06291	0.02288	0	0.08905	0.1551	0.60189	0.03041	0.0251	0.01266
V112	0	0.05715	0.02855	0	0.01722	0.13175	0.50584	0.02503	0.07433	0.16013
V113	0.03639	0	0.03867	0.00844	0.0479	0.053	0.02148	0.01851	0.682	0.0936
V114	0.04429	0.00788	0.03818	0.01425	0.02904	0	0.00725	0	0.85911	0
V115	0.00848	0.64477	0.04149	0	0.28989	0	0.01403	0.00134	0	0
V116	0.40776	0.0487	0	0	0.00537	0	0	0.53817	0	0
V117	0.00665	0.06174	0.01215	0	0	0.17376	0.67392	0.03362	0.03704	0.00112
V118	0.01262	0	0.01414	0.00106	0	0.86335	0.09312	0.00773	0.00522	0.00276
V119	0.00372	0.02888	0.05956	0.58029	0.00131	0.19321	0.05037	0	0.08266	0
V120	0.69613	0	0.20323	0	0	0.09625	0.00438	0	0	0
V121	0.05262	0.08927	0.28603	0	0.04288	0.19387	0.26423	0.03376	0.00293	0.0344
V122	0.03071	0.02051	0.14196	0	0.02649	0.07772	0.10965	0	0.59297	0
V123	0.02325	0	0.02388	0.00397	0.40506	0	0	0.54384	0	0
V124	0.67553	0.01709	0	0	0	0	0	0.30738	0	0
V125	0.01981	0.09968	0.10361	0.01683	0.04619	0.09605	0	0.61783	0	0
V126	0.00712	0.04685	0.04215	0	0.8361	0	0	0.06779	0	0
V127	0.05602	0.00921	0.60322	0	0	0.03899	0.17329	3e-05	0.11924	0
V128	0.03682	0.1012	0.43166	0	0.39074	0.03881	0.00063	0.00014	0	0
V129	0.03213	0.0478	0.08182	0.23476	0.12621	0.00465	0.009	0	0.46363	0
V130	0.04888	0	0.41968	0	0	0	0	0.53144	0	0
V131	0.06053	0.2933	0.49279	0.01029	0.12115	9e-04	0.00844	0	0.0126	0
V132	0.1013	0.04376	0.01828	0	0.05059	0.12978	0.49302	0.15695	0.00288	0.00343
V133	0.01302	0.01781	0.0161	0.19082	0	0.10405	0.02996	0.62825	0	0
