Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.07603	0.0397	0.88428	0	0	0
V2	0.70025	0.14674	0	0.09962	0.05339	0
V3	0.00514	0.04587	0.18732	0	0	0.76167
V4	0.23528	0.55313	0	0.11077	0.02755	0.07327
V5	0	0.04599	0	0.72303	0.23098	0
V6	0.13188	0.0182	0.16202	0.0275	0.09889	0.56151
V7	0	0.4568	0	0.02032	0.52288	0
V8	0.84447	0.07326	0	0.08228	0	0
V9	0.2493	0.18109	0	0.29743	0	0.27218
V10	0.54922	0.06875	0.00432	0.3777	0	0
V11	0	1	0	0	0	0
V12	0	0	0	0	0	1
V13	0	0.61502	0.38498	0	0	0
V14	0.01326	0.04586	0	0.94088	0	0
V15	0.61537	0.10063	0	0.12735	0.15665	0
V16	0	0.02113	0	0.51388	0.33887	0.12612
V17	0	0	0.10553	0	0	0.89447
V18	0.84092	0.15908	0	0	0	0
V19	0.72344	0.08341	0.15244	0	0.0407	0
V20	0.7829	0.09137	0.03483	0.0909	0	0
V21	0	0	0	0	0	1
V22	0.22714	0.07669	0	0.08031	0.61586	0
V23	0.04441	0.04021	0.37001	0.00608	0.53928	0
V24	0.18236	0.03227	0	0.1434	0.64196	0
V25	0.55228	0.30747	0	0.14025	0	0
V26	0.33605	0.04613	0	0	0.61782	0
V27	0	0	0.14206	0	0	0.85794
V28	0.00541	0.29958	0.17339	0.28712	0	0.2345
V29	0	0.74097	0.08892	0.04331	0	0.1268
V30	0.23334	0.23905	0.08757	0	0.19529	0.24476
V31	0.80205	0.05271	0.14524	0	0	0
V32	0	0.02602	0.38523	0.58875	0	0
V33	0.27475	0.46383	0.26142	0	0	0
V34	0	0.01046	0.58516	0.016	0.38838	0
V35	0	0.06539	0.19899	0.65479	0.08083	0
V36	0.05142	0.62287	0.1283	0.00785	0.18955	0
V37	0	0.02249	0.86791	0	0	0.10959
V38	0	0	0.08637	0	0	0.91363
V39	0.66761	0.06668	0	0.26571	0	0
V40	0	0.62022	0	0.22833	0.05846	0.09299
V41	0.81807	0.03622	0	0	0	0.1457
V42	0.30141	0.03736	0.6141	0	0	0.04713
V43	0.23251	0.49023	0	0.03067	0.21491	0.03168
V44	0	1	0	0	0	0
V45	0.51855	0.36006	0	0	0	0.1214
V46	0	0	0	0.35995	0.3326	0.30745
V47	0	0.50896	0	0.21329	0.22548	0.05228
V48	0	0.73479	0.24868	0	0.01653	0
V49	0	0.97605	0	0.01084	0.0131	0
V50	0	0.01373	0.29824	0.00846	0.64828	0.03129
V51	0	0.00595	0	0.02192	0.97213	0
V52	0	0.64621	0.33567	0.01813	0	0
V53	0.17133	0.03273	0.038	0.03557	0.72236	0
V54	0.03437	0.14685	0.70826	0.042	0.02024	0.04829
V55	0	0.04862	0.07668	0.0401	0.8346	0
V56	0	0.04477	0.84822	0.10701	0	0
V57	0.06499	0.4319	0	0	0.07214	0.43097
V58	0	0.03286	0.96714	0	0	0
V59	0	0.03275	0	0.96725	0	0
V60	0.53223	0.04887	0	0.4189	0	0
V61	0.28757	0.14241	0	0.18721	0	0.38281
V62	0.6666	0.05999	0.03236	0.13362	0.04289	0.06454
V63	0	0.5834	0	0.05104	0	0.36556
V64	0	0.10693	0	9e-04	0.89217	0
V65	0.64082	0.14944	0	0	0	0.20974
V66	0.58554	0.07137	0.0789	0.00856	0.25563	0
V67	0	0.15368	0.3626	0.26461	0	0.21911
V68	0.92859	0.06432	0	0.00708	0	0
V69	0.58837	0.0389	0	0	0	0.37273
V70	0	0.03379	0.24189	0.70232	0.022	0
