cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V138	0.22199	0.40875	0.18392	0.18534
V139	0.38124	0.1902	0.20414	0.22442
V140	0.03265	0.09186	0.06571	0.80978
V141	0.06339	0.13862	0.58291	0.21508
V142	0.78737	0.02004	0.19224	0.00034
V143	0.46343	0.25209	0.06809	0.21638
V144	0.17816	0.14253	0.18374	0.49558
V145	0.00098	0.77655	0.21721	0.00526
V146	0.0672	0.018	0.0462	0.8686
V147	0.92684	0.02759	0.01625	0.02932
V148	0.13029	0.06395	0.61671	0.18904
V149	0.26625	0.5191	0.20995	0.0047
V150	0.08453	0.22777	0.61988	0.06783
V151	0.20868	0.65047	0.03266	0.10819
V152	0.2415	0.45271	0.22085	0.08493
V153	0.10271	0.78238	0.01793	0.09699
V154	0.24776	0.45904	0.26836	0.02484
V155	0.50339	0.12818	0.28672	0.0817
V156	0.03231	0.12593	0.72986	0.1119
V157	0.32469	0.14086	0.33068	0.20377
V158	0.03117	0.0055	0.05649	0.90684
V159	0.89676	0.06697	0	0.03627
V160	0.72629	0.00938	0.06286	0.20147
V161	0.23353	0.0104	0.0403	0.71576
V162	0.06763	0.31084	0.08956	0.53196
V163	0.09697	0.51235	0.17406	0.21662
V164	0.36459	0.30454	0.10872	0.22215
V165	0.01072	0.29276	0.00697	0.68955
V166	0.01022	0.10415	0.08699	0.79864
V167	0.38474	0.00424	0.01275	0.59827
V168	0.29127	0.58595	0.07518	0.0476
V169	0.20661	0.05073	0.04645	0.69621
V170	0.10838	0.02361	0.56048	0.30753
V171	0.13007	0.23002	0.6062	0.03371
V172	0.72058	0.01704	0.25743	0.00494
V173	0.03009	0.15282	0.05194	0.76516
V174	0.0181	0.17122	0.08908	0.7216
V175	0.06296	0.02895	0.80071	0.10738
V176	0.00742	0.82785	0.15964	0.00509
V177	0.01055	0.97664	0.00074	0.01207
V178	0.00646	0.80221	0.00678	0.18455
V179	0.16868	0.01443	0.41363	0.40325
V180	0.02842	0.89763	0.07381	0.00014
V181	0.16773	0.1175	0.57219	0.14257
V182	0.31211	0.16821	0.47034	0.04934
V183	0.17808	0.81146	0.00553	0.00493
V184	0.96429	0.02202	0.01336	0.00033
V185	0.57089	0.4138	0.01073	0.00459
V186	0.11966	0.49564	0.27025	0.11445
V187	0.94777	0.02092	0.02624	0.00508
V188	0.062	0.25199	0.00633	0.67969
V189	0.84172	0.02263	0.01606	0.1196
V190	0.66438	0.02352	0.30713	0.00498
V191	0.18932	0.19535	0.58195	0.03337
V192	0.31505	0.47736	0.04984	0.15775
V193	0.63173	0.03162	0.23328	0.10336
V194	0.03415	0.94206	0.00596	0.01783
V195	0.01427	0.05885	0.91857	0.00832
V196	0.01639	0.0927	0.02451	0.8664
V197	0.44658	0.04418	0.02962	0.47962
V198	0.0624	0.51458	0.37332	0.0497
V199	0.17727	0.02355	0.19746	0.60172
V200	0.12994	0.5947	0.01936	0.256
V201	0.09552	0.57978	0.19177	0.13292
V202	0.01577	0.0335	0.79874	0.15199
V203	0.16448	0.43124	0.38648	0.01779
