Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V62	0.01994	0	0.0334	0.01963	0.03045	0	0.37566	0.00108	0.03403	0.4858
V63	0	0.26461	0.03165	0.01517	0.15227	0.45135	0.04159	0	0.01145	0.0319
V64	0.07951	0.00543	0.30549	0.24871	0.02619	0.01337	0.02884	0.19991	0.01527	0.07728
V65	0.07388	0.02313	0.1307	0.32914	0.03655	0.00622	0.08322	0.18841	0.08885	0.0399
V66	0	0.1402	0.02814	0.00749	0.49548	0.02418	0.045	0.00678	0.02444	0.22829
V67	0.02239	0.17995	0.43625	0.08808	0.03904	0.0355	0.08932	0.00614	0.05001	0.05332
V68	0.0277	0.0163	0.05133	0.01162	0.0695	0.01287	0.04116	0.28241	0.48117	0.00593
V69	0.04196	0.02621	0.743	0.0918	0.04127	0	0.01805	0	0.01782	0.01989
V70	0.68274	0.00887	0.13557	0.01124	0.02639	0.02262	0.04775	0.00342	0.06114	0.00025
V71	0.04282	0	0.01766	0.02095	0.0358	0.03032	0.07066	0.71142	0.03741	0.03296
V72	0.21955	0.03046	0.09343	0.22014	0.13117	0.00052	0.02123	0.00339	0.01183	0.26826
V73	0.02027	0.18648	0.03708	0.01738	0.64929	0.01785	0.02988	0	0.00784	0.03392
V74	0.00996	0	0.06542	0.15047	0	0.02749	0.02601	0.00373	0.00741	0.7095
V75	0.01631	0.08239	0.24757	0.41456	0.054	0.0087	0.0173	0.00631	0.14553	0.00733
V76	0	0.00741	0.02994	0.02585	0.04751	0.8233	0.05928	0.00055	0.00617	0
V77	0.00479	0.00209	0.10248	0.28981	0.05459	0.23304	0.28809	0	0.00708	0.01803
V78	0	0.4666	0.049	0.01506	0.05165	0.00794	0.29103	0	0.01375	0.10496
V79	0.00807	0.02424	0.11715	0.28179	0.0448	0.24428	0.03526	0.00013	0.19983	0.04446
V80	0.35921	0	0.04207	0.00728	0	0	0.04721	0	0.04199	0.50225
V81	0	0.04111	0.0619	0.16429	0.16141	0.52715	0.0393	0	0.00311	0.00172
V82	0.05707	0.50048	0.08264	0.23015	0.02606	0.01874	0.0173	0.04567	0.01377	0.00812
V83	0.03726	0.05989	0.1586	0.44361	0.0517	0.00806	0.02791	0.19788	0.01508	0
V84	0.02205	0.01785	0.0454	0.04611	0.1365	0.49481	0.22849	0	0.00386	0.00493
V85	0.19555	0.00021	0.38319	0.04402	0.00663	0	0.02148	0	0.01217	0.33676
V86	0.27821	0.0115	0.31617	0.31291	0.03207	0.00629	0.01807	0.00051	0.00929	0.01498
V87	0.01083	0.03929	0.07917	0.02308	0.09983	0.00359	0.02623	0	0.70249	0.01549
V88	0.00803	0.32329	0.14957	0.44463	0.03009	0.00309	0.02098	7e-04	0.01347	0.00615
V89	0.00285	0	0.05189	0.04957	0.08564	0	0.71254	0.06637	0.01586	0.01529
V90	0.01556	0.0543	0.32286	0.0388	0	0.01683	0.02228	0	0.01156	0.51782
V91	0.05159	0.01786	0.72969	0.08314	0.04584	0	0.01838	0.00026	0.02231	0.03093
V92	0.00136	0.00723	0.05136	0.02033	0.08524	0.00456	0.75596	0	0.05515	0.01881
V93	0.01015	0.04888	0.1172	0.0188	0.07665	0.00035	0.26232	0.00865	0.43978	0.01723
V94	0.77472	8e-04	0.0913	0.00618	0.02196	0.022	0.0386	0.02239	0.00714	0.0149
V95	0.00572	0.00827	0.03437	0.01649	0.08124	0.00669	0.56169	0.24846	0.0274	0.00968
V96	0.03146	0.11998	0.36043	0.36562	0.03333	0.01452	0.01594	0.01078	0.02763	0.02032
V97	0.00033	0	0.04381	0.01668	0.06704	0	0.69934	0	0.01957	0.15323
V98	4e-04	0.30236	0.03601	0.05855	0.15278	0.0196	0.05805	0.07034	0.1327	0.16923
