Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V133	0	0.20821	0.74587	0.04592	0	0
V134	0.15133	0.79662	0	0	0.05206	0
V135	0.03186	0.00871	0.90546	0	0	0.05397
V136	0	0.90763	0.08555	0.00682	0	0
V137	0	0.15702	0.69288	0	0.1501	0
V138	0	0	0	0.52398	0.03414	0.44188
V139	0	0.03014	0.14062	0	0.52465	0.30459
V140	0.72602	0.22724	0	0.04674	0	0
V141	0.26106	0.30186	0.1203	0.31677	0	0
V142	0.02942	0.89705	0	0.05674	0	0.01679
V143	0.03576	0.07239	0.79633	0.03405	0.06147	0
V144	0	0.17532	0	0.09417	0	0.73051
V145	0	0	0	1	0	0
V146	0.13525	0.00786	0.02231	0	0.83458	0
V147	0.55358	0.08367	0.07843	0	0	0.28432
V148	0	0.13581	0.86419	0	0	0
V149	0	0.54438	0	0	0	0.45562
V150	0	0	0	1	0	0
V151	0	0.43404	0	0	0	0.56596
V152	0.00459	0.27891	0.60901	0	0.10748	0
V153	0	0.01934	0.75309	0.22757	0	0
V154	0.41348	0.22194	0	0	0	0.36459
V155	0	0.42103	0.06323	0	0.51574	0
V156	0	0.49103	0	0	0.50897	0
V157	0	0.09414	0	0.32372	0	0.58214
V158	0	0.03546	0.96454	0	0	0
V159	0.10971	0.27185	0.43761	0.18083	0	0
V160	0	0	1	0	0	0
V161	0	0.53142	0	0.43418	0.0344	0
V162	0	0.62642	0	0.14784	0.22573	0
V163	0	0	1	0	0	0
V164	0	0.37819	0.5027	0.09803	0.02109	0
V165	0	0.01382	0	0	0.93259	0.05359
V166	0	0	0	0.13856	0.55297	0.30846
V167	0	0	0.4827	0.5173	0	0
V168	0.77113	0.01123	0	0.21763	0	0
V169	0	0.00115	0.83155	0.16729	0	0
V170	0.54143	0.04101	0.06406	0.33226	0.02124	0
V171	0	0.55124	0	0	0	0.44876
V172	0.01879	0.08235	0.71016	0.14824	0	0.04046
V173	0	0.00214	0.94275	0	0	0.05512
V174	0.73716	0.09643	0	0	0.16641	0
V175	0	0.83596	0.16353	0.00051	0	0
V176	0	0	1	0	0	0
V177	0.05875	0.10048	0.42552	0	0.16055	0.2547
V178	0	0.02695	0	0	0.97305	0
V179	0	0	0.00929	0.79932	0.0844	0.10699
V180	0.29662	0.01279	0.19682	0.45128	0	0.04249
V181	0.69366	0.13306	0.01784	0.05625	0.0228	0.07639
V182	0	0.07542	0.92458	0	0	0
V183	0	0	0	1	0	0
V184	0.4592	0.44398	0	0.0087	0.08811	0
V185	0	0.69406	0	0	0.11536	0.19058
V186	0	0	0.70004	0.29996	0	0
V187	0.3039	0.57053	0	0	0.12557	0
V188	0	0.7223	0	0	0	0.2777
V189	0	0.06303	0.18212	0	0.68454	0.07031
V190	0	0.17388	0	0	0.72029	0.10583
V191	0	0.67416	0	0	0	0.32584
V192	0.68828	0.24304	0.05629	0.00557	0.00681	0
V193	0	0.08365	0	0	0	0.91635
V194	0	0.00681	0	0.0997	0.89349	0
