B_cells	NK_cells	T_cells_CD4.	Monocytes
V144	0.22633	0.16117	0.19915	0.41336
V145	0.01549	0.70987	0.27464	0
V146	0.15798	0.00727	0.0817	0.75305
V147	0.85817	0.01801	0.06209	0.06172
V148	0.1703	0.08653	0.5843	0.15887
V149	0.29016	0.46334	0.2465	0
V150	0.12425	0.24456	0.58505	0.04614
V151	0.25438	0.58904	0.06746	0.08911
V152	0.27005	0.41623	0.25124	0.06248
V153	0.15856	0.70924	0.05407	0.07812
V154	0.27744	0.42202	0.30054	0
V155	0.48757	0.13779	0.30261	0.07203
V156	0.0661	0.15869	0.68606	0.08915
V157	0.34118	0.156	0.3312	0.17162
V158	0.1148	0	0.09827	0.78693
V159	0.86357	0.06444	0.00586	0.06613
V160	0.70861	0	0.09164	0.19976
V161	0.29728	0	0.06114	0.64158
V162	0.12085	0.31253	0.11039	0.45623
V163	0.13996	0.47823	0.20486	0.17696
V164	0.38097	0.29665	0.1322	0.19018
V165	0.06666	0.28724	0	0.6461
V166	0.0628	0.1132	0.10947	0.71453
V167	0.42824	0	0.02141	0.55035
V168	0.32489	0.52575	0.11966	0.0297
V169	0.27204	0.05469	0.06479	0.60847
V170	0.15383	0.03378	0.54461	0.26778
V171	0.16815	0.24208	0.57965	0.01012
V172	0.70016	0	0.28763	0.01221
V173	0.09407	0.15926	0.06907	0.6776
V174	0.06955	0.18086	0.10905	0.64054
V175	0.10591	0.02859	0.77582	0.08969
V176	0.04646	0.73816	0.21538	0
V177	0.0671	0.90058	0.01776	0.01456
V178	0.0516	0.74694	0.0402	0.16126
V179	0.21815	0.01335	0.41265	0.35585
V180	0.07118	0.80233	0.12649	0
V181	0.20162	0.14258	0.54011	0.11569
V182	0.32753	0.18117	0.46051	0.03079
V183	0.22404	0.73085	0.04511	0
V184	0.9184	0	0.0816	0
V185	0.58504	0.36472	0.05024	0
V186	0.15953	0.45808	0.29558	0.08681
V187	0.88109	0.00376	0.08583	0.02931
V188	0.12519	0.25084	0	0.62397
V189	0.80704	0.00963	0.05059	0.13274
V190	0.64577	0.014	0.33004	0.01019
V191	0.22135	0.21061	0.55774	0.0103
V192	0.34479	0.44098	0.07883	0.1354
V193	0.60844	0.02755	0.26081	0.1032
V194	0.09117	0.85126	0.04381	0.01376
V195	0.06178	0.0656	0.85708	0.01554
V196	0.08334	0.09987	0.03371	0.78307
V197	0.48128	0.03965	0.04501	0.43405
V198	0.10598	0.47797	0.39394	0.02211
V199	0.23831	0.02127	0.21588	0.52454
V200	0.181	0.55345	0.04132	0.22423
V201	0.1387	0.52864	0.22792	0.10474
V202	0.05539	0.04851	0.76847	0.12763
V203	0.19853	0.39906	0.4024	0
V204	0.05484	0.54487	0.02728	0.37302
V205	0.06161	0.0894	0.835	0.01399
V206	0.08539	0.11905	0.79556	0
V207	0.20351	0.20277	0.07446	0.51926
V208	0.27644	0.08138	0.64217	0
V209	0.34274	0.44036	0.09889	0.11801
V210	0.13379	0.70339	0.13937	0.02344
V211	0.49072	0	0.0597	0.44958
V212	0.51109	0.04585	0.43024	0.01281
V213	0.653	0.01857	0.14264	0.1858
V214	0.37559	0.16058	0.19213	0.27169
V215	0.3665	0.10022	0.03001	0.50327
V216	0.14474	0	0.0805	0.77475
V217	0.08144	0.48324	0.26914	0.16618
V218	0.14015	0.44176	0.20351	0.21459
V219	0.15893	0.62003	0.03562	0.18543
V220	0.05318	0.79462	0.04527	0.10693
V221	0.80751	0	0.03264	0.15985
V222	0.34742	0.13749	0.37826	0.13683
V223	0.03487	0.16324	0.74984	0.05205
V224	0.9108	0	0.0892	0
V225	0.1046	0.7867	0.1087	0
V226	0.32868	0.09423	0.57709	0
V227	0.76171	0	0.21919	0.0191
V228	0.75638	0.05546	0.10029	0.08787
V229	0.06447	0.05783	0.85151	0.02619
V230	0.09654	0.04858	0.07537	0.7795
V231	0.05852	0.29888	0.14414	0.49846
V232	0.09612	0.66183	0	0.24205
V233	0.57403	0.08323	0.22554	0.1172
V234	0.08991	0.8252	0.08387	0.00102
V235	0.39445	0.07104	0.5213	0.01321
V236	0.08323	0.09679	0.76599	0.05399
V237	0.24749	0	0.0683	0.68421
V238	0.17125	0.51717	0.29688	0.01471
V239	0.12301	0.41452	0.03573	0.42674
V240	0.49768	0.04385	0.42622	0.03226
V241	0.05918	0.03084	0.85889	0.0511
V242	0.17337	0.68873	0.1379	0
V243	0.27134	0.0586	0.6176	0.05246
V244	0.24293	0.00797	0.6873	0.0618
V245	0.60668	0.26643	0.08455	0.04235
V246	0.09438	0.16976	0.7343	0.00155
V247	0.19018	0.04704	0.76278	0
V248	0.10407	0.04617	0.09652	0.75324
V249	0.00735	0.08066	0.85871	0.05328
V250	0.74333	0	0.24315	0.01352
V251	0.88792	0.04092	0.04652	0.02464
V252	0.04661	0.75835	0.19505	0
V253	0.41409	0.06724	0.19219	0.32649
V254	0.05723	0.83644	0.10633	0
V255	0.09998	0.86147	0.01312	0.02543
V256	0.21054	0.21842	0.51613	0.0549
V257	0.4524	0.09863	0.25788	0.19109
V258	0.21273	0.26379	0.43432	0.08916
V259	0.07223	0.29592	0.62164	0.01022
V260	0.01026	0.29022	0.69952	0
V261	0.62243	0.02389	0.2259	0.12779
V262	0.18717	0.07226	0.03262	0.70795
V263	0.07468	0.89063	0.01757	0.01712
V264	0.21131	0.04578	0.45339	0.28951
V265	0.10648	0	0.18041	0.71311
V266	0.65629	0.30124	0.04247	0
V267	0.01445	0.20166	0.32887	0.45501
V268	0.44057	0.01126	0.17639	0.37179
V269	0.03769	0.5303	0.41742	0.01459
V270	0.63953	0.01962	0.26886	0.07199
V271	0.78345	0.05425	0.06592	0.09639
V272	0.10439	0.77752	0.04754	0.07055
V273	0.15088	0.02629	0.08434	0.7385
V274	0.69579	0	0.2074	0.09681
