Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V121	0.20192	0.68716	0.00836	0.00543	0.09713
V122	0.05612	0.36729	0.08742	0.2281	0.26107
V123	0.53162	0.00367	0.07842	0.18418	0.2021
V124	0.24014	0.08223	0.06345	0.22968	0.38451
V125	0.05001	0.42253	0.47829	0	0.04916
V126	0.17614	0.15713	0.22415	0.11827	0.3243
V127	0.2885	0	0.64426	0.02887	0.03837
V128	0.20954	0.71687	0.01639	0	0.0572
V129	0.29641	0.00334	0.27718	0.17085	0.25223
V130	0.05351	0.48137	0.04528	0.2152	0.20465
V131	0.0343	0	0.22776	0.67022	0.06772
V132	0.38052	0	0	0.33725	0.28223
V133	0.01217	0.03399	0.56146	0.09097	0.3014
V134	0.07555	0.01185	0.78322	0.01242	0.11696
V135	0.02678	0.08634	0.72553	0.01786	0.14348
V136	0.96042	0	0.00354	0	0.03604
V137	0.92434	0.00463	0.00582	0.00969	0.05551
V138	0.27582	0.11348	0.08162	0.14263	0.38645
V139	0.13933	0	0.15228	0.64222	0.06617
V140	0.03577	0	0.15258	0.07053	0.74112
V141	0.02492	0.20055	0.64122	0.08207	0.05124
V142	0.22792	0	0.32996	0.12989	0.31222
V143	0.03095	0.17335	0.48614	0.13589	0.17368
V144	0.52955	0.18841	0.07177	0.105	0.10528
V145	0	0.02219	0.90929	0.00266	0.06587
V146	0.05813	0.32756	0.00854	0.30754	0.29823
V147	0.10437	0.04744	0.68809	0.09069	0.06941
V148	0.16522	0.73542	0.01682	0.02301	0.05952
V149	0.03567	0	0	0.83504	0.12928
V150	0.15245	0.16765	0.5802	0	0.0997
V151	0.46214	0	0.00554	0.38848	0.14384
V152	0.03554	0	0.1086	0.72153	0.13433
V153	0.18675	0.15576	0.46363	0.04065	0.1532
V154	0.13476	0.56497	0.02888	0.03531	0.23609
V155	0.05747	0	0.12884	0.73666	0.07704
V156	0.1161	0.00128	0.41151	0.15549	0.31562
V157	0.11467	0.01489	0.17386	0.28916	0.40742
V158	0.20862	0	0.44817	0.04719	0.29602
V159	0.13905	0.20095	0.01517	0.55477	0.09007
V160	0.48597	0.12867	0.09803	0.04192	0.24541
V161	0.23703	0	0.05825	0.05528	0.64944
V162	0	0.02836	0.92071	0	0.05093
V163	0.06689	0	0.00518	0.11014	0.81779
V164	0.92664	0.03009	0.01441	0	0.02887
V165	0.62892	0.18242	0.08645	0.03319	0.06902
V166	0.07101	0	0.23631	0.56258	0.1301
V167	0.05898	0.61456	0.02297	0.12395	0.17953
V168	0	0.02836	0.92071	0	0.05093
V169	0.07235	0.6476	0.15519	0.06648	0.05838
V170	0.26669	0.35784	0.05895	0.17691	0.13961
V171	0.33896	0.04971	0.37068	0.16083	0.07983
V172	0.20126	0.19784	0.07301	0.05052	0.47737
V173	0.2417	0.07444	0.09254	0.39309	0.19822
V174	0.22851	0	0.35399	0.19417	0.22333
V175	0.09629	0.12039	0.12221	0.19704	0.46407
V176	0.39709	0	0.00019	0.54873	0.05398
V177	0.21387	0.00659	0.57853	0.15632	0.0447
V178	0.30648	0.0103	0.47126	0.10117	0.1108
V179	0.11245	0	0	0.08107	0.80648
V180	0.03547	0	0.354	0.04584	0.56469
V181	0.08408	0.26035	0	0.09484	0.56073
V182	0.58179	0.20185	0.007	0.13957	0.06978
V183	0.08567	0.84337	0.01191	0	0.05905
V184	0.34376	0	0.29564	0.30057	0.06002
V185	0.12382	0.45871	0.02722	0.14252	0.24773
V186	0.15943	0.15849	0.02936	0.26039	0.39234
V187	0.09862	0.64994	0.00882	0.18448	0.05814
V188	0.86822	0	0.03394	0.06391	0.03393
V189	0.47742	0.21031	0.03908	0.22709	0.0461
V190	0.44933	0.0303	0.22373	0.01964	0.277
V191	0.2429	0.19749	0.00606	0.40061	0.15294
V192	0.35134	0.15832	0.13039	0.20189	0.15807
V193	0.08177	0.18291	0.52451	0.03725	0.17356
V194	0.29446	0.01733	0.08888	0.12558	0.47375
V195	0.59195	0.13937	0.23586	0	0.03282
V196	0.02057	0	0.05089	0.11194	0.81659
V197	0.08429	0.81967	0.01133	0.02638	0.05833
V198	0.25603	0.19787	0.0386	0.20581	0.30169
V199	0.77394	0	0.20685	0	0.01921
V200	0.78352	0	0.0233	0.01314	0.18004
V201	0.05907	0	0.01561	0.68917	0.23616
V202	0.92323	0.03984	0	0	0.03693
V203	0.55169	0.22419	0.03008	0.04597	0.14807
V204	0.36849	0.04587	0.0343	0.03574	0.51561
V205	0.13607	0.00142	0.12034	0.11538	0.6268
V206	0.07184	0.08241	0	0.73881	0.10693
V207	0.04932	0.00688	0	0.84863	0.09517
V208	0.17375	0.18921	0.48131	0.03654	0.11918
V209	0.17947	0	0.09668	0.08054	0.64331
V210	0	0.01512	0.92585	0	0.05903
V211	0.17647	0	0.20682	0.06574	0.55097
V212	0.07798	0.71543	0.07894	0.03459	0.09306
V213	0.11646	0	0.0545	0.28033	0.54871
V214	0.03876	0.51703	0.37363	0.00612	0.06446
V215	0.27584	0.19144	0.14032	0.08692	0.30548
V216	0.07142	0.01019	0.3393	0.07224	0.50685
V217	0.03024	0	0.01987	0.79463	0.15526
V218	0.09488	0.16326	0.2889	0.32417	0.12879
V219	0.1473	0.24112	0.38657	0.17674	0.04827
V220	0.19972	0.68901	0.06167	0	0.0496
V221	0.05531	0.04028	0.50894	0.0283	0.36717
V222	0.03614	0	0	0.10126	0.8626
V223	0.54984	0	0.31075	0.09897	0.04044
V224	0.06415	0.52392	0.02881	0.09129	0.29183
V225	0.71655	0.13027	0.12353	0	0.02965
V226	0.45509	0.49632	0.00518	0	0.04341
V227	0.11916	0.24255	0.00802	0.53964	0.09063
V228	0.61744	0	0.27069	0.05198	0.05989
V229	0.28565	0.36248	0.2596	0.02993	0.06235
V230	0.03355	0	0	0.10154	0.86492
V231	0.08543	0.57592	0.06269	0.15657	0.11939
V232	0.80694	0	0.17325	0	0.0198
V233	0.07667	0	0.14957	0.13621	0.63755
V234	0.04081	0.3519	0.2113	0.32164	0.07435
V235	0.96456	0	0	0.00221	0.03322
V236	0.09197	0	0.6439	0.17638	0.08775
V237	0.14958	0.05088	0.27024	0.31106	0.21824
V238	0.02739	0	0	0.3176	0.65501
V239	0.08949	0.38294	0.05139	0.17833	0.29785
V240	0.08255	0.78852	0.01797	0.01554	0.09541
V241	0.06847	0.85857	0.0125	7e-05	0.06038
V242	0.05495	0.29492	0.29472	0.25411	0.1013
V243	0.50268	0	0.32476	0.01727	0.15529
V244	0.05129	0.38194	0.19048	0.08986	0.28643
V245	0.06593	0.82965	0.03407	0.01864	0.0517
V246	0.62113	0.23686	0.03014	0	0.11187
V247	0.20901	0.07354	0.61836	0.03568	0.06341
V248	0.11473	0.57408	0.02905	0.02348	0.25866
V249	0.28351	0.03265	0.21039	0.11095	0.3625
V250	0.02758	0.01511	0.65632	0.03994	0.26106
V251	0.24545	0	0.08959	0.56455	0.10041
V252	0.03578	0.0993	0.55443	0.14398	0.16651
V253	0.30417	0.52991	0.08379	0.03081	0.05133
V254	0.52333	0.35852	0.00312	0.06553	0.0495
V255	0.8344	0.05349	0	0.00851	0.1036
V256	0.06148	0.71708	0.02439	0.0178	0.17925
V257	0.46171	0.26657	0.14429	0.02477	0.10266
V258	0.18522	0.29604	0.05031	0.40866	0.05978
V259	0.54405	0.23734	0.17207	0	0.04654
V260	0.29152	0	0.10662	0.10964	0.49222
V261	0.03504	0	0.51699	0.28159	0.16639
V262	0.91879	0	0.04995	0	0.03126
V263	0.81579	0.05285	0.01281	0.088	0.03054
V264	0.08384	0.8138	0.01859	0.03233	0.05143
V265	0.83792	0.05516	0.07514	0	0.03177
V266	0.02904	0	0.07761	0.09757	0.79578
V267	0.06738	0	0	0.20588	0.72674
V268	0.21751	0.39642	0.14093	0.16117	0.08397
V269	0.1056	0.29563	0.35413	0.17269	0.07195
V270	0.07356	0	0.02847	0.82008	0.07789
V271	0.23044	0.66958	0.01512	0.01538	0.06949
V272	0.11778	0.75889	0.03212	0.01186	0.07936
V273	0.31698	0	0.17501	0.31775	0.19025
V274	0.11848	0.01163	0.03622	0.2347	0.59897
V275	0.06338	0.65622	0.14675	0.07459	0.05906
V276	0.01685	0	0.69602	0.21497	0.07216
V277	0.37404	0	0.57337	0	0.05259
V278	0.02345	0.01582	0.34163	0.44459	0.17451
V279	0.16976	0	0.00751	0.70953	0.11321
V280	0.22185	0	0.03515	0.59728	0.14572
V281	0.05407	0.20507	0.04198	0.62442	0.07445
V282	0.07702	0.85117	0.01223	0	0.05958
V283	0.38225	0	0.10583	0.04942	0.4625
V284	0.0352	0.10854	0.53386	0.01373	0.30868
V285	0.50784	0.43015	0.00426	0.01407	0.04368
V286	0.08526	0.01691	0.82854	0.02075	0.04854
V287	0.27661	0.03301	0.17212	0.28814	0.23013
V288	0.21383	0	0.62935	0	0.15682
V289	0.18411	0.19914	0.02341	0.52861	0.06474
V290	0.42702	0.41194	0.12927	0	0.03178
V291	0.43151	0.17908	0.00661	0.33077	0.05203
